"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"Female_AAUP_N1752-23-e15.5_Heart73",20376488,14882,7874,5458,12410,4881,6736,6220,11781,6169,64322,43370,23002,10269,707,694,2012,4708,3850,2621,1107,1155,1224,2968,2553,513,1887,1523,1928,1767,12396,11384,7866,8138,3106,2947,20306,22613,5871,5273,13015,12041,24467,6218,6058,32461,17360,44183,18889,192,137,6800
"Female_ABCM_K1403-43-e15.5_Heart73",20398728,15268,7325,5594,10561,4844,5712,5387,10573,5042,60265,46977,23476,10294,766,572,1898,3624,3594,2431,1271,1197,1112,2796,2355,476,1211,893,1977,1808,11374,10698,7905,7953,3141,2843,18289,21453,5952,5863,11663,11409,24236,5629,5300,28343,16736,49922,12976,200,88,6313
"Female_ABCM_K1403-70-e15.5_Heart73",20414664,12908,6160,4919,10645,4403,6090,5208,11599,6399,63125,38798,19393,10506,828,566,1782,3798,3617,2996,1161,1101,1168,3723,2786,517,1346,1079,1755,1576,10992,10227,7714,7798,2791,2537,17647,20028,6042,5779,11955,11476,23332,5556,5375,28919,17084,46492,13358,161,122,6896
"Female_ABIF_K1339-10-e15.5_Heart73",20499702,8774,4608,3473,7281,3085,3604,3561,7474,4131,52040,26761,15536,6938,609,521,1300,3129,3072,2348,656,714,1277,5029,2645,487,1517,1628,1523,1398,8981,8632,6017,6311,2255,2098,12672,14796,4392,4711,11140,10451,19584,5353,5352,28873,15425,49718,8001,207,210,5837
"Female_ABIF_K1592-3-e15.5_Heart73",20437932,12839,6328,4524,9668,4131,5019,5276,8587,4571,59199,39910,19706,10592,633,536,1559,3628,3751,2597,977,921,1006,9465,2381,800,2350,1282,1717,1569,10750,10251,7065,6671,2832,2565,16644,19783,5411,6357,11896,12032,19748,3642,5119,30084,16440,40708,8066,393,88,6829
"Female_ABLW_K1686-5-e15.5_Heart73",20428696,12688,6918,4540,9711,4125,5449,5159,10521,6296,64626,39096,20162,9231,638,600,1649,3948,3583,2770,930,984,1242,4119,2587,601,1469,1242,1699,1555,10712,9394,7173,7304,2721,2547,16307,17663,5486,4779,11668,11154,22702,5598,5720,30165,15908,40302,15457,259,147,6759
"Female_ABQL_K1758-12-e15.5_Heart73",20327856,17969,9665,5963,13224,5874,7344,6478,13676,5823,74579,47976,23210,11074,786,714,2198,5429,4417,3213,1426,1564,1360,3039,2628,584,1442,1209,2122,2042,12495,11750,8299,8569,3173,2920,23136,23995,6967,6229,13182,12597,25782,6940,6533,33646,18357,56226,13863,233,224,8087
"Female_ABTQ_K2033-13-e15.5_Heart73",20451708,10519,5583,3995,8869,3338,3979,4638,7703,4392,68341,35184,22154,9270,618,565,1390,3577,3247,2889,826,816,922,3292,2142,470,1009,887,1663,1546,9666,9427,7032,7185,2450,2493,17474,15985,5395,4877,11718,10496,20735,4784,5191,29486,15778,44468,9294,473,60,6669
"Female_ABTQ_K2037-8-e15.5_Heart73",20361848,13749,9011,5644,12700,4373,6424,6042,11122,6657,72983,42501,23446,10847,724,622,1896,4122,3592,2407,1035,1073,1004,8509,2845,864,2341,1262,1713,1534,12114,8427,7313,7028,3150,2790,19418,27492,6103,5582,13473,14499,23516,5696,5625,36349,18941,49672,9642,183,96,6278
"Male_ABOU_K1836-12-e15.5_Heart73",20358306,15894,8425,5329,11340,5158,6600,5572,12353,6823,65596,45094,21383,11519,703,675,1977,5626,4162,3058,1210,1267,1191,3735,2424,540,747,709,1736,1624,12185,10980,8184,8465,3197,3007,21684,25120,6466,5554,12105,11251,25421,6217,6253,35894,18578,56705,11250,384,324,7928
