"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,2842.80651474334,0,53650.5625,30961160.42836,20424834,20424834,0,0,0,0,NA
"4","left lung",1,1,1,27564.4252226969,10404.1923828125,34630.1484375,15844693.7386137,12674,12674,349351525.272461,-82.7409657566672,-75.1779233075588,173.974988164747,NA
"16","right lung: cranial lobe",2,2,2,29340.9289828988,10445.005859375,42004.98828125,34338551.174319,6880,6880,201865591.402344,-119.454941860465,-72.4136627906977,188.045494186047,NA
"41","right lung: middle lobe",3,2,3,29043.109818072,10912.2333984375,45576.140625,31696928.9981749,4547,4547,132059020.342773,-124.787772157466,-85.2106883659556,181.851330547614,NA
"29","right lung: caudal lobe",4,2,4,29406.7413626142,10578.13671875,42409.36328125,35253694.5945043,9780,9780,287597930.526367,-116.4663599182,-72.5261758691206,166.333435582822,NA
"10","right lung: accessory lobe",5,2,5,25418.8096782644,11004.169921875,31665.447265625,13520471.1729537,4496,4496,114282968.313477,-95.8983540925267,-84.4971085409253,173.262010676157,NA
"48","left kidney",6,3,6,23859.4206585611,15009.037109375,28149.994140625,3899567.20059515,5439,5439,129771388.961914,-90.3425261996691,-91.2281669424527,115.319176319176,NA
"51","right kidney",7,4,7,26397.7934256058,19005.275390625,34934.37890625,9584947.0471914,5143,5143,135763851.587891,-120.035776783978,-90.5945945945946,117.07466459265,NA
"38","stomach wall",8,5,8,25591.5029947049,11079.154296875,41243.46484375,17412131.4233649,10499,10499,268685189.941406,-79.7099723783218,-93.5734831888751,130.533288884656,NA
"24","stomach lumen",9,5,9,12874.5858752318,8295.671875,24832.85546875,7810920.53407982,6336,6336,81573376.1054688,-77.2695707070707,-94.3980429292929,128.722853535354,NA
"20","medial lobe of liver",10,6,10,41212.9375433069,11061.0869140625,58666.5703125,55486867.6493648,65620,65620,2704392961.5918,-108.068957634867,-111.399451386772,159.260408412069,NA
"28","left lobe of liver ",11,6,11,40632.0050852171,9339.724609375,58360.68359375,77280626.4456169,38941,38941,1582250910.02344,-81.2381808376775,-104.068077347783,145.451066998793,NA
"25","right lobe of liver",12,6,12,44616.2688384849,13245.1513671875,62059.25,72341030.0899097,20082,20082,895983910.814453,-124.817149686286,-89.6920127477343,139.219699233144,NA
"40","caudate lobe of liver",13,6,13,34764.5177570594,16556.1015625,51490.07421875,24753472.053533,9409,9409,327099347.576172,-109.265703050271,-95.7069826761611,133.311297693698,NA
"8","left adrenal",14,7,14,31236.2821194161,20378.29296875,39990.22265625,17285840.7847358,638,638,19928747.9921875,-91.1583072100314,-78.3009404388715,125.586206896552,NA
"27","right adrenal",15,8,15,33806.1064226017,19997.3203125,44069.69140625,17528830.0125082,602,602,20351276.0664062,-114.843853820598,-78.8471760797342,127.529900332226,NA
"50","rectum/hindgut",16,9,16,24475.8875602056,17861.50390625,31600.611328125,5336068.29401187,1648,1648,40336262.6992188,-106.127427184466,-132.154733009709,103.274878640777,NA
"13","bladder",17,10,17,22023.5140041792,9872.6650390625,44879.96875,19905493.5507124,3935,3935,86662527.6064453,-106.221092757306,-127.570266836086,123.763405336722,NA
"14","heart: left ventricle",18,11,18,29862.5177218256,22595.455078125,36160.91015625,3487096.98867537,5192,5192,155046192.011719,-94.9125577812019,-102.1656394453,187.944530046225,NA
"18","heart: right ventricle",19,11,19,31692.0446727545,23111.8671875,40063.95703125,5586087.23605044,3873,3873,122743289.017578,-105.931577588433,-102.63929770204,191.68035114898,NA
"30","left thymic rudiment",20,12,20,28214.621596709,19397.56640625,32600.78125,9293202.24743812,998,998,28158192.3535156,-94.9058116232465,-87.5511022044088,212.329659318637,NA
"32","right thymic rudiment",21,13,21,28009.7008216982,20215.513671875,32313.23046875,8614564.76205193,1043,1043,29214117.9570312,-104.657718120805,-88.8044103547459,213.87631831256,NA
"46","brain: third ventricle",22,14,22,17524.6455698788,10780.49609375,26075.134765625,7862310.07036287,1243,1243,21783134.4433594,-107.5164923572,-127.030571198713,281.965406275141,NA
"43","brain: mesencephalic vesicle",23,14,23,12954.3183743224,8840.9462890625,22248.158203125,8518528.44133944,4116,4116,53319974.4287109,-109.264091350826,-90.8726919339164,306.035957240039,NA
"11","brain: fourth ventricle",24,14,24,15802.3859426538,9266.8095703125,25116.712890625,8843210.99033436,2577,2577,40722748.5742188,-105.497477687233,-84.6969344198681,281.035312378735,NA
"22","brain: cerebral aqueduct",25,14,25,18544.567599109,10693.095703125,22665.126953125,6317620.99109003,605,605,11219463.3974609,-107.319008264463,-88.2396694214876,292.196694214876,NA
"45","brain: left lateral ventricle",26,14,26,22621.4801707818,11177.3544921875,32950.45703125,23079722.8241691,1465,1465,33140468.4501953,-96.718771331058,-140.384982935154,296.427986348123,NA
"1","brain: right lateral ventricle",27,14,27,23432.9870882003,11992.884765625,31871.72265625,23855651.6994673,1236,1236,28963172.0410156,-122.754854368932,-138.569579288026,292.126213592233,NA
"9","brain: right olfactory bulb",28,14,28,23279.2571614583,14121.1884765625,30718.998046875,6295592.31090504,1701,1701,39598016.4316406,-116.781305114638,-159.463844797178,274.958259847149,NA
"37","brain: left olfacotory bulb",29,14,29,22405.2776379788,14206.2568359375,30344.12890625,8191560.25318431,1550,1550,34728180.3388672,-98.3812903225806,-160.335483870968,277.632258064516,NA
"3","brain: right thalamus ",30,14,30,24377.956437562,14481.064453125,36459.9296875,6326057.82951475,10710,10710,261087913.446289,-116.72614379085,-123.986461251167,293.434360410831,NA
"15","brain: left thalamus",31,14,31,24054.2010181838,14960.509765625,35859.09375,6016308.86556163,9404,9404,226205706.375,-101.412377711612,-125.294449170566,295.274670353041,NA
"42","brain: right hypothamalus ",32,14,32,22045.6493899313,14001.53515625,29422.908203125,4482521.31588436,7163,7163,157912986.580078,-113.675834147703,-122.848108334497,272.878263297501,NA
"2","brain: left hypothalmus",33,14,33,21603.5330371241,14782.7783203125,28520.509765625,4034199.8809961,7283,7283,157338531.109375,-98.4934779623781,-124.567897844295,275.473019360154,NA
"44","brain: right septal area",34,14,34,21338.0408429512,13609.01953125,28668.86328125,6410639.61842732,2709,2709,57804752.6435547,-112.21557770395,-144.626430417128,277.277593207826,NA
"47","brain: left septal area",35,14,35,21319.9310203291,13750.2783203125,29019.486328125,6684076.94321366,2541,2541,54173944.7226562,-102.421094057458,-145.158992522629,278.898071625344,NA
"6","brain: left neopallial cortex abd amygdala",36,14,36,26110.8973488946,17158.421875,34106.60546875,9888239.50682831,16264,16264,424667634.482422,-131.042547958682,-133.709050664043,288.510944417118,NA
"39","brain: right neopallial cortex and amygdala",37,14,37,24053.7992109854,15124.3154296875,33831.671875,9900894.99322011,17633,17633,424140641.487305,-86.3824079850281,-134.622582657517,294.444620881302,NA
"23","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,26937.0790434657,19938.130859375,35420.4453125,7742515.59909597,5463,5463,147157262.814453,-129.868204283361,-135.661724327293,281.209774848984,NA
"35","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,25607.6025026511,17815.88671875,34332.7109375,6674354.82109674,4774,4774,122250694.347656,-86.6160452450775,-138.281734394638,287.789275240888,NA
"5","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,32969.863703728,24019.19921875,42455.45703125,5649596.56484673,11687,11687,385318797.105469,-124.745272525028,-138.084110550184,293.798494053222,NA
"17","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,31384.1581653733,20587.685546875,41486.15234375,5618193.05191093,11175,11175,350717967.498047,-94.6715883668904,-138.863803131991,298.774317673378,NA
"21","pons",42,15,42,23221.2322353619,15987.30859375,32223.8828125,4596925.64128913,22640,22640,525728697.808594,-106.516916961131,-98.4758392226148,278.087323321555,NA
"7","left cerebellar primordium ",43,16,43,21143.375973245,12599.4970703125,29532.7578125,4707482.94588007,5593,5593,118254901.818359,-91.4308957625603,-86.8818165564098,285.994457357411,NA
"26","right cerebellar primordium",44,17,44,23115.2476586528,13988.607421875,31365.701171875,5309282.52542195,5690,5690,131525759.177734,-121.419507908612,-86.1644991212654,281.910896309315,NA
"49","midbrain",45,18,45,23826.0101752368,13946.7021484375,40670.6171875,4709867.12072915,30171,30171,718854552.99707,-109.213416857247,-97.7520135229194,306.829239998674,NA
