"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,2843.72019883881,0,59696.921875,27606976.9428626,20358291,20358292,0,0,0,0,NA
"24","left lung",1,1,1,26977.0018147332,10486.1982421875,33734.87890625,15292018.6423043,13612,13612,367210948.702148,-80.2048927416985,-76.1657361151925,175.626359094916,NA
"26","right lung: cranial lobe",2,2,2,27149.3689091716,12216.966796875,35747.98046875,14675438.9714212,9025,9025,245023054.405273,-120.162991689751,-74.6630470914127,188.083656509695,NA
"11","right lung: middle lobe",3,2,3,25406.0526120705,12346.7041015625,34215.18359375,13093529.2267975,5733,5733,145652899.625,-123.898133612419,-89.1971044828188,182.618001046572,NA
"9","right lung: caudal lobe",4,2,4,27334.9878390548,11311.3818359375,36502.31640625,17327107.214606,12661,12661,346088281.030273,-117.007029460548,-72.0720322249427,166.867230076613,NA
"12","right lung: accessory lobe",5,2,5,25310.6712891446,12057.7890625,32934.375,18112487.2204591,4759,4759,120453484.665039,-93.680395040975,-85.1689430552637,173.054002941794,NA
"31","left kidney",6,3,6,23791.8070528055,12850.4384765625,34774.73828125,12347832.3469928,6397,6397,152196189.716797,-88.0548694700641,-94.6057526965765,113.496639049554,NA
"30","right kidney",7,4,7,25390.5994286139,14438.6787109375,34089.70703125,8290078.09459008,6040,6040,153359220.548828,-118.419205298013,-90.8235099337748,115.526986754967,NA
"48","stomach wall",8,5,8,24186.9856159913,13763.9580078125,43322.26171875,14058971.4224495,11083,11083,268064361.582031,-77.4627808355139,-96.4029594875034,129.836777045926,NA
"43","stomach lumen",9,5,9,12004.8835749143,8092.806640625,21651.318359375,5136660.75319623,6683,6683,80228636.9311523,-74.9790513242556,-98.1129732156217,127.767619332635,NA
"6","medial lobe of liver",10,6,10,37701.8795631353,11243.6904296875,51719.53125,25375710.1952313,73976,73976,2789034242.5625,-109.021317724667,-112.503163188061,158.198280523413,NA
"42","left lobe of liver ",11,6,11,38175.2761564219,10798.126953125,51184.4375,32463229.7963132,42442,42442,1620235070.63086,-77.8697987842232,-103.613731680882,145.106898826634,NA
"39","right lobe of liver",12,6,12,39958.8830194321,12703.7978515625,52095.37109375,43564387.8198958,23398,23398,934957944.888672,-124.163090862467,-88.6900589794,138.715018377639,NA
"45","caudate lobe of liver",13,6,13,33271.789613242,14555.8720703125,44519.2109375,24787076.1226334,10960,10960,364658814.161133,-108.351003649635,-97.3957116788321,133.661587591241,NA
"51","left adrenal",14,7,14,31072.5536066977,20498.017578125,43015.68359375,21063870.3410025,712,712,22123658.1679688,-89.3300561797753,-80.1587078651685,124.370786516854,NA
"20","right adrenal",15,8,15,32739.0266007474,19545.38671875,42627.01953125,22212591.3214306,623,623,20396413.5722656,-112.791332263242,-79.4060995184591,125.767255216693,NA
"29","rectum/hindgut",16,9,16,23912.8531822397,18200.333984375,29919.859375,5547772.99224048,1904,1904,45530072.4589844,-105.147584033613,-135.621848739496,100.980042016807,NA
"21","bladder",17,10,17,21771.4334989126,11645.2001953125,29203.662109375,13607274.8499184,4088,4088,89001620.1435547,-105.516634050881,-132.460616438356,122.51198630137,NA
"35","heart: left ventricle",18,11,18,31294.9092061407,23270.076171875,37180.09765625,4360333.30452416,5316,5316,166363737.339844,-90.5349887133183,-102.559819413093,188.135816403311,NA
"15","heart: right ventricle",19,11,19,31945.6094551699,24564.849609375,36670.4140625,4159299.18034285,3362,3362,107401138.988281,-101.649613325402,-103.988399762046,191.665377751338,NA
"3","left thymic rudiment",20,12,20,28244.7281895166,20086.673828125,32186.44140625,9553822.88508299,1108,1108,31295158.8339844,-93.8249097472924,-89.8176895306859,213.404332129964,NA
"41","right thymic rudiment",21,13,21,27548.2943560328,20051.990234375,31601.08203125,7952045.98857413,1108,1108,30523510.1464844,-103.951263537906,-91.5703971119134,213.282490974729,NA
"49","brain: third ventricle",22,14,22,18467.1018994828,11628.044921875,24766.01171875,8513356.3386346,994,994,18356299.2880859,-107.184104627767,-130.430583501006,280.182092555332,NA
"16","brain: mesencephalic vesicle",23,14,23,14586.2858780171,8619.1953125,21560.951171875,10162261.5285972,8501,8501,123998016.249023,-110.468650746971,-96.7149747088578,310.335137042701,NA
"1","brain: fourth ventricle",24,14,24,16884.5261101248,9579.2470703125,24033.263671875,6937394.01646876,2834,2834,47850746.9960938,-106.942836979534,-85.0529287226535,282.754410726888,NA
