"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,3087.19954113916,0,58485.1484375,34864392.8411608,20397372,20397372,0,0,0,0,NA
"25","left lung",1,1,1,29934.5134570499,12262.6982421875,41826.41015625,17257054.1453912,13633,13633,408097221.959961,-81.3235531431086,-75.8334189099978,173.116335362723,NA
"24","right lung: cranial lobe",2,2,2,30731.4110044869,11019.4189453125,41489.3984375,40931847.2109645,7884,7884,242286444.359375,-120.587519025875,-73.6646372399797,183.339928970066,NA
"51","right lung: middle lobe",3,2,3,29223.0998404747,11330.6728515625,41522.07421875,33267607.74971,4699,4699,137319346.150391,-125.27324962758,-88.7999574377527,178.219834007236,NA
"41","right lung: caudal lobe",4,2,4,30920.1689787261,11346.6259765625,42425.921875,34862539.6449489,10580,10580,327135387.794922,-116.027126654064,-73.7341209829868,162.194139886578,NA
"21","right lung: accessory lobe",5,2,5,27294.6877479491,11526.85546875,34815.66796875,19428971.3558162,4872,4872,132979718.708008,-94.2524630541872,-85.5201149425287,171.204433497537,NA
"9","left kidney",6,3,6,28119.4585695909,18018.3671875,34282.7265625,5972133.51495909,4883,4883,137307316.195312,-88.6223633012492,-94.5697317223019,111.97706328077,NA
"34","right kidney",7,4,7,30463.8382806343,16075.462890625,42351.98828125,14702234.973637,4124,4124,125632869.069336,-116.234481086324,-91.0453443258972,113.982783705141,NA
"16","stomach wall",8,5,8,27796.2722590326,11414.3212890625,41429.46484375,15132591.5483136,10636,10636,295641151.74707,-77.1934937946596,-95.6025761564498,128.393286949981,NA
"44","stomach lumen",9,5,9,13193.2808795844,7977.666015625,25647.34765625,7893471.30721301,7229,7229,95374227.4785156,-74.7052151058238,-96.4097385530502,126.789320791257,NA
"47","medial lobe of liver",10,6,10,42442.0121581548,11324.2529296875,58348.046875,42705021.3194221,71719,71719,3043898669.9707,-106.432409821665,-112.294984592646,157.449532202066,NA
"29","left lobe of liver ",11,6,11,41238.3596648007,11598.7001953125,60369.8359375,48164885.1364107,42631,42631,1758032510.87012,-79.4373108770613,-105.638549412399,142.592385822524,NA
"31","right lobe of liver",12,6,12,45820.292414266,11990.5537109375,62848.11328125,69490328.8193214,20386,20386,934092481.157227,-124.585058373394,-90.6193956636908,135.065927597371,NA
"46","caudate lobe of liver",13,6,13,36546.760540574,14651.12109375,52091.92578125,21430268.5341322,10787,10787,394229905.951172,-109.17697228145,-97.787429313062,129.969778437008,NA
"43","left adrenal",14,7,14,36322.1674671922,22987.849609375,46153.5703125,29365736.583218,662,662,24045274.8632812,-89.7175226586103,-81.8731117824773,122.865558912387,NA
"42","right adrenal",15,8,15,37755.0871064707,23376.388671875,49679.203125,33543490.3650625,538,538,20312236.8632812,-111.449814126394,-80.5278810408922,123.719330855019,NA
"37","rectum/hindgut",16,9,16,29530.4537756778,20289.65234375,39378.69140625,11368269.384335,1789,1789,52829981.8046875,-106.280044717719,-133.719396310788,99.0201229737283,NA
"12","bladder",17,10,17,25866.6956341746,7367.9248046875,50027.24609375,27851042.0476961,4147,4147,107269186.794922,-105.122498191464,-130.882565710152,121.343380757174,NA
"20","heart: left ventricle",18,11,18,33782.1549862132,24307.224609375,46557.4453125,8429509.46204033,5848,5848,197558042.359375,-93.3219904240766,-104.051641586867,187.323016415869,NA
"49","heart: right ventricle",19,11,19,34698.0339206836,24992.810546875,43987.125,6428895.25143658,3318,3318,115128076.548828,-104.586196503918,-104.571127185051,189.907474382158,NA
"18","left thymic rudiment",20,12,20,29534.2314347207,20949.3671875,33810.109375,9156546.86241059,922,922,27230561.3828125,-97.2798264642082,-87.6355748373102,211.224511930586,NA
"14","right thymic rudiment",21,13,21,29837.8118470149,19882.552734375,34082.41796875,9892996.7364525,1005,1005,29987000.90625,-107.297512437811,-88.1273631840796,213.803980099502,NA
"5","brain: third ventricle",22,14,22,18098.8122574786,11211.78125,26219.857421875,9069887.54520432,1357,1357,24560088.2333984,-106.473839351511,-123.209285187915,280.210759027266,NA
"35","brain: mesencephalic vesicle",23,14,23,14840.8237952205,8537.8681640625,26398.18359375,17464855.7143322,7390,7390,109673687.84668,-104.877131258457,-88.4500676589986,306.895805142084,NA
"2","brain: fourth ventricle",24,14,24,16040.2254838835,9400.8173828125,24263.119140625,10704166.9687079,2909,2909,46661015.9326172,-103.14437951186,-78.9157786180818,278.308353386043,NA
"1","brain: cerebral aqueduct",25,14,25,19408.1165157761,10267.439453125,24664.296875,7854421.65234949,724,724,14051476.3574219,-104.408839779006,-83.1685082872928,288.968232044199,NA
"38","brain: left lateral ventricle",26,14,26,21675.511370378,11444.7470703125,32653.19921875,22413748.1453996,2265,2265,49095033.2539062,-92.6516556291391,-136.129801324503,296.208388520971,NA
"27","brain: right lateral ventricle",27,14,27,21907.1948075028,11569.1572265625,33527.99609375,28714584.0460611,1665,1665,36475479.3544922,-119.875075075075,-136.53033033033,296.218018018018,NA
"22","brain: right olfactory bulb",28,14,28,24593.4929969032,13794.9658203125,32661.79296875,8137928.35432108,1776,1776,43678043.5625,-116.517454954955,-155.90259009009,275.26295045045,NA
"15","brain: left olfacotory bulb",29,14,29,24532.880528019,14098.228515625,32015.72265625,8286948.51978532,1562,1562,38320359.3847656,-97.8706786171575,-156.962227912932,276.435979513444,NA
"26","brain: right thalamus ",30,14,30,25310.6384001201,14082.3564453125,38125.23046875,8460410.95551574,10795,10795,273228341.529297,-114.93330245484,-119.767021769338,292.829087540528,NA
"23","brain: left thalamus",31,14,31,24498.3677846919,15101.908203125,39405.05078125,6243863.99448059,11020,11020,269972012.987305,-98.7926497277677,-121.897096188748,294.189019963702,NA
"50","brain: right hypothamalus ",32,14,32,23650.0036988632,15003.904296875,32307.51171875,5609909.89882114,7360,7360,174064027.223633,-113.429891304348,-118.438043478261,272.071059782609,NA
"40","brain: left hypothalmus",33,14,33,23874.3319798797,15866.67578125,32251.0078125,5059046.99039931,7414,7414,177004297.298828,-97.5740490963043,-120.358510925277,273.461154572431,NA
"10","brain: right septal area",34,14,34,23097.0795464528,10701.8896484375,30764.091796875,7200236.95806344,2757,2757,63678648.3095703,-111.374682626043,-141.024664490388,277.09938338774,NA
"8","brain: left septal area",35,14,35,23077.6582085289,13737.2919921875,30808.5078125,6040890.98642505,2530,2530,58386475.2675781,-101.716996047431,-141.662055335968,278.167984189723,NA
"33","brain: left neopallial cortex abd amygdala",36,14,36,26566.6996204317,16212.564453125,37756.85546875,6668528.04290203,16746,16746,444885951.84375,-129.210020303356,-131.127313985429,290.840439507942,NA
"32","brain: right neopallial cortex and amygdala",37,14,37,26036.8057077122,14317.7607421875,42427.44921875,13704702.8272082,19688,19688,512612630.773438,-83.5536367330353,-130.231156034132,292.93381755384,NA
"6","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,28173.3223305263,21596.1015625,35415.07421875,5624171.36225955,5778,5778,162785456.425781,-128.531152647975,-131.34596746279,282.000865351333,NA
"7","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,26804.3225887062,19129.548828125,33794.87890625,6258470.09510251,5604,5604,150211423.787109,-84.0426481084939,-135.408101356174,285.978229835832,NA
"28","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,33510.3104498808,17893.798828125,40086.48046875,5543611.6909867,13129,13129,439956865.896484,-122.581841724427,-134.094447406505,295.257673851779,NA
"30","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,32281.3154929478,22553.294921875,47556.21484375,11419626.4097122,12782,12782,412619774.630859,-90.5987325927085,-136.390549209826,298.046941010796,NA
"45","pons",42,15,42,24563.4313789394,16371.5537109375,34753.16796875,7279801.62641719,21805,21805,535605621.217773,-105.284567759688,-93.6916762210502,275.865718871818,NA
"4","left cerebellar primordium ",43,16,43,22972.5131222141,14616.712890625,33141.58984375,6890784.70149745,5847,5847,134320284.225586,-89.1077475628528,-81.4792201128784,283.088592440568,NA
"3","right cerebellar primordium",44,17,44,25035.6468062031,16051.951171875,32829.10546875,7451674.56576876,5201,5201,130210399.039062,-119.519515477793,-81.1774658719477,280.176119976928,NA
"36","midbrain",45,18,45,24627.6752110677,12367.6982421875,46281.66796875,23559984.6256252,32343,32343,796532899.351562,-105.247596079523,-94.2062888414804,305.031135021488,NA
"11","medulla oblongata",46,19,46,25496.5789008031,16700.640625,34599.65625,8493648.43194584,15634,15634,398613514.535156,-102.340156070104,-71.6741077139568,266.762568760394,NA
"19","spinal cord",47,20,47,27987.4303371204,14122.7060546875,35548.2578125,8852179.609938,43747,43747,1224366114.95801,-100.966466271973,-65.5252245868288,178.045763138044,NA
"48","vertebrae",48,21,48,22111.0104953285,16270.2978515625,28184.166015625,2522842.79803369,9969,9969,220424663.62793,-102.968101113452,-86.8954759755241,157.649011937005,NA
