"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,2704.57373262024,0,57887.67578125,20553085.5832894,20352659,20352660,0,0,0,0,NA
"18","left lung",1,1,1,24145.6383042348,7500.150390625,32736.025390625,17973058.0933642,15117,15117,365009614.245117,-80.8210623801019,-74.1483098498379,183.085995898657,NA
"16","right lung: cranial lobe",2,2,2,23297.3729450697,8775.583984375,30077.16796875,14826073.1634973,7626,7626,177665766.079102,-120.263047469184,-73.6304746918437,195.316679779701,NA
"28","right lung: middle lobe",3,2,3,22928.6340061142,10675.1796875,30282.935546875,13108489.3086485,5732,5732,131426930.123047,-124.420621074669,-88.4143405443126,187.493196092114,NA
"9","right lung: caudal lobe",4,2,4,23589.4142713481,10116.1953125,31077.609375,12659075.8995922,12092,12092,285243197.369141,-118.214770095931,-68.8227753886867,173.62934171353,NA
"29","right lung: accessory lobe",5,2,5,21281.6484711185,8858.4130859375,28385.23828125,12788713.8628838,5403,5403,114984746.689453,-94.7231167869702,-82.7666111419582,179.08402739219,NA
"24","left kidney",6,3,6,20825.2355940802,9805.3359375,26890.107421875,6449578.13722133,6318,6318,131573838.483398,-91.8858816081038,-81.6652421652422,114.678695789807,NA
"5","right kidney",7,4,7,21682.7534249549,12068.3212890625,31800.68359375,10883977.3055314,7199,7199,156094141.90625,-121.434782608696,-79.0811223781081,116.675649395749,NA
"40","stomach wall",8,5,8,21041.786644971,10333.24609375,34438.62890625,11155281.8948358,11370,11370,239245114.15332,-79.710290237467,-83.4003518029903,132.005189094107,NA
"30","stomach lumen",9,5,9,9902.47147392891,6275.8701171875,20156.33203125,5626130.65509938,6329,6329,62672741.9584961,-78.1343024174435,-84.4926528677516,130.725865065571,NA
"25","medial lobe of liver",10,6,10,33322.7840795019,7060.9619140625,43798.59375,31706548.5881068,75675,75675,2521701685.21631,-107.267869177403,-105.819147670961,160.002325735051,NA
"44","left lobe of liver ",11,6,11,33106.747818021,6744.36083984375,47875.015625,58582503.7683643,46092,46092,1525956220.42822,-79.9514883276924,-95.7150481645405,145.219474095288,NA
"48","right lobe of liver",12,6,12,33745.2614810852,9768.4775390625,44955.08203125,32374923.8815728,26277,26277,886724235.938477,-125.320774822088,-80.4403470715835,142.275335845036,NA
"34","caudate lobe of liver",13,6,13,28036.8633516002,11256.7392578125,36945.8046875,17407226.7769053,10772,10772,302013092.023438,-110.063126624582,-87.2298551800965,134.331229112514,NA
"50","left adrenal",14,7,14,29429.2065477491,16657.509765625,39838.5234375,28983458.829723,715,715,21041882.6816406,-91.9104895104895,-69.1384615384615,127.709090909091,NA
"23","right adrenal",15,8,15,28302.3734448426,14006.306640625,37141.46484375,21712317.7979053,665,665,18821078.3408203,-115.44962406015,-68.2857142857143,129.529323308271,NA
"21","rectum/hindgut",16,9,16,20068.5835929552,14359.3759765625,25854.291015625,5299457.49051374,1966,1966,39454835.34375,-107.874364191251,-122.693285859613,95.2482197355036,NA
"11","bladder",17,10,17,19867.0021806894,8607.84765625,35012.7421875,17252157.0708029,4772,4772,94805334.40625,-108.369027661358,-123.970243084661,117.491198658843,NA
"20","heart: left ventricle",18,11,18,26570.1967473943,19049.08203125,32240.36328125,3281482.12386543,5103,5103,135587714.001953,-92.8526357044876,-102.188712522046,192.807564177935,NA
