"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,3045.59111676833,0,61265.15234375,32111434.0133707,20381379,20381380,0,0,0,0,NA
"34","left lung",1,1,1,29698.1951841356,13874.9931640625,42382.6328125,24001152.716947,13770,13770,408944147.685547,-80.4752360203341,-75.7893972403776,176.087000726216,NA
"28","right lung: cranial lobe",2,2,2,28691.4112012383,15512.5908203125,38955.92578125,16358662.4222091,7350,7350,210881872.329102,-119.000408163265,-72.7882993197279,186.968163265306,NA
"33","right lung: middle lobe",3,2,3,26863.0196639363,13226.3193359375,39021.65234375,16968481.7297282,4519,4519,121393985.861328,-124.474883823855,-86.7614516485948,180.326620933835,NA
"24","right lung: caudal lobe",4,2,4,28990.5166324998,13960.619140625,38788.15234375,15508734.7738779,10543,10543,305647016.856445,-115.953713364318,-72.5434885706156,164.758607606943,NA
"31","right lung: accessory lobe",5,2,5,25820.4888073963,14889.4189453125,31792.787109375,11009929.2438074,4926,4926,127191727.865234,-94.4127080795778,-84.7036134794966,173.200365408039,NA
"6","left kidney",6,3,6,25607.7370684167,13972.8955078125,38946.41015625,12714609.9079979,5522,5522,141405924.091797,-83.4755523361101,-91.4277435711699,113.117348786671,NA
"7","right kidney",7,4,7,24199.0880297567,15834.3896484375,29137.224609375,3752966.40143157,5917,5917,143186003.87207,-113.898935271252,-88.8274463410512,110.462396484705,NA
"42","stomach wall",8,5,8,27150.9247031353,12050.4501953125,42711.16015625,21377311.0089492,9876,9876,268142532.368164,-74.1904617253949,-94.3978331308222,129.220635884974,NA
"9","stomach lumen",9,5,9,13958.739571009,8714.3388671875,24576.8125,6293334.90428604,4543,4543,63414553.8710938,-71.2837332159366,-94.7926480299362,128.683248954435,NA
"48","medial lobe of liver",10,6,10,37737.8510303296,13827.369140625,54531.49609375,33363477.2419704,80959,80959,3055218681.56445,-109.479613137514,-108.940537803086,154.839610173051,NA
"44","left lobe of liver ",11,6,11,39497.4733328068,14905.017578125,56719.4921875,58231780.2560174,43645,43645,1723867223.61035,-77.5619429487914,-103.334013059915,143.599541757361,NA
"46","right lobe of liver",12,6,12,37141.8057329421,11620.873046875,51975.9609375,25189110.8242363,25435,25435,944701828.817383,-125.024100648712,-85.9588362492628,131.271594259878,NA
"50","caudate lobe of liver",13,6,13,32642.5229933916,16315.724609375,43178.5390625,11639908.3734574,12723,12723,415310820.044922,-107.213471665488,-94.4316591998742,128.211821111373,NA
"2","left adrenal",14,7,14,33409.9635863947,22617.125,48185.6015625,23875550.6222638,786,786,26260231.3789062,-84.2506361323155,-78.2900763358779,123.708651399491,NA
"4","right adrenal",15,8,15,33465.016027114,21748.248046875,41478.37890625,19407191.2639064,748,748,25031831.9882812,-110.010695187166,-77.2486631016043,122.407754010695,NA
"22","rectum/hindgut",16,9,16,24745.5923824959,17715.490234375,35240.44921875,8715781.23002151,1851,1851,45804091.5,-97.8957320367369,-131.057266342518,95.8244192328471,NA
"5","bladder",17,10,17,23555.8021526764,10728.0732421875,58223.4296875,38976986.6844007,4239,4239,99853045.3251953,-101.066289219155,-129.907997169144,117.490445859873,NA
"29","heart: left ventricle",18,11,18,31519.6382076457,23894.783203125,39383.79296875,3944441.52711624,5461,5461,172128744.251953,-93.2887749496429,-102.174693279619,187.369712506867,NA
"25","heart: right ventricle",19,11,19,32133.0047776671,23783.1875,40627.2578125,4493521.00537184,3938,3938,126539772.814453,-104.808024377857,-103.121635347892,189.651345860843,NA
"14","left thymic rudiment",20,12,20,28470.5390373856,20874.638671875,32069.109375,7133279.80352445,1011,1011,28783714.9667969,-97.6577645895153,-87.8981206726014,213.339268051434,NA
