"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,3146.41236632471,0,47764.3203125,34516568.8780965,20400974,20400974,0,0,0,0,NA
"9","left lung",1,1,1,31164.5840314352,11429.3984375,38082.97265625,20395950.4584284,15273,15273,475976691.912109,-122.564722058535,-155.235448176521,176.796438158842,NA
"38","right lung: cranial lobe",2,2,2,32885.1635583132,11720.5712890625,44414.2890625,36104928.6902967,7337,7337,241278445.027344,-84.3063922584163,-156.00095406842,189.359138612512,NA
"25","right lung: middle lobe",3,2,3,31196.0650110843,12491.330078125,42247.2890625,27641522.8458286,5480,5480,170954436.260742,-81.5947080291971,-140.11405109489,184.335583941606,NA
"22","right lung: caudal lobe",4,2,4,33075.5421963652,10801.4013671875,46109.66015625,39690261.4624675,10575,10575,349773858.726562,-86.205011820331,-157.088888888889,168.065153664303,NA
"21","right lung: accessory lobe",5,2,5,29396.109764311,13181.2412109375,36796.61328125,22049591.4630692,4608,4608,135457273.793945,-108.070095486111,-145.215277777778,175.507378472222,NA
"16","left kidney",6,3,6,28745.7126629026,13725.0732421875,35823.84375,10259260.3510749,5725,5725,164569204.995117,-111.063056768559,-135.539563318777,114.570829694323,NA
"17","right kidney",7,4,7,30134.6478173511,18422.947265625,42825.34765625,20723882.0599565,5395,5395,162576424.974609,-83.5592215013902,-138.505653382762,116.78109360519,NA
"5","stomach wall",8,5,8,28519.1553397188,15890.7158203125,44649.703125,19344904.1979731,10564,10564,301276357.008789,-123.145210147671,-136.121923513821,129.846838318819,NA
"24","stomach lumen",9,5,9,13629.1293075558,9179.7578125,25736.88671875,9326938.81326104,5047,5047,68786215.6152344,-125.018624925698,-134.022191400832,128.858529819695,NA
"43","medial lobe of liver",10,6,10,44621.2951430155,12823.265625,62299.5078125,46034541.4447235,59793,59793,2668041100.48633,-95.4917632498787,-120.359724382453,159.116317963641,NA
"47","left lobe of liver ",11,6,11,44443.8813158116,13795.1357421875,55409.66796875,33358045.6927351,46935,46935,2085973569.55762,-124.844614892937,-130.310024501971,146.072206242676,NA
"7","right lobe of liver",12,6,12,46808.2761339711,14640.3525390625,63366.65625,71699221.8481821,23466,23466,1098403007.75977,-77.3511037245376,-139.653583908634,138.686951333845,NA
"13","caudate lobe of liver",13,6,13,37056.531032965,18355.7421875,50049.09375,24017553.0455132,10277,10277,380829969.425781,-94.0481658071422,-134.241607472998,134.610197528462,NA
