"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,3663.56222297287,0,55441.19921875,37418180.6153517,20330242,20330242,0,0,0,0,NA
"32","left lung",1,1,1,29167.4512034946,11911.330078125,37172.89453125,16625203.1403578,17944,17944,523380744.395508,-84.4657824342399,-77.9101092287115,179.183905483727,NA
"35","right lung: cranial lobe",2,2,2,28620.5427640776,10219.3212890625,39392.17578125,26625258.1441062,9724,9724,278306157.837891,-125.069004524887,-79.3459481694776,191.515837104072,NA
"30","right lung: middle lobe",3,2,3,27343.797440225,12313.9345703125,39244.09375,16650729.4114084,6035,6035,165019817.551758,-127.83198011599,-94.8260149130075,184.080695940348,NA
"31","right lung: caudal lobe",4,2,4,29541.8976560286,11273.4287109375,43114.5234375,26193169.7995018,13230,13230,390839305.989258,-122.424036281179,-76.000604686319,169.504988662132,NA
"27","right lung: accessory lobe",5,2,5,26996.6954457769,11893.1953125,35297.921875,19052506.6181775,5686,5686,153503210.304688,-98.3434752022511,-89.1220541681323,176.163032008442,NA
"38","left kidney",6,3,6,24563.126162903,14396.85546875,30571.580078125,5731899.71820895,7358,7358,180735482.306641,-89.1217722207121,-85.3475129111171,111.449850502854,NA
"46","right kidney",7,4,7,28170.8819289363,13614.2724609375,41926.1875,30823345.6168191,6479,6479,182519144.017578,-119.880537119926,-86.4972989658898,112.585584195092,NA
"50","stomach wall",8,5,8,25580.8857356205,12804.6943359375,40178.42578125,13577022.8076146,13681,13681,349972097.749023,-77.1190702434033,-85.0434909728821,130.461662159199,NA
"41","stomach lumen",9,5,9,14385.7137211391,8820.1943359375,25321.02734375,10850349.815521,5824,5824,83782396.7119141,-74.2419299450549,-85.1648351648352,129.454842032967,NA
"11","medial lobe of liver",10,6,10,41571.773110576,13007.7021484375,54332.56640625,31884704.740018,74006,74006,3076560640.82129,-107.723873739967,-111.887009161419,156.717752614653,NA
"49","left lobe of liver ",11,6,11,41037.0168728107,12561.1875,54369.15625,32775443.7044671,48013,48013,1970310291.11426,-78.1743694416096,-99.404931997584,144.291171141149,NA
"2","right lobe of liver",12,6,12,45506.4903007918,12232.7412109375,63812.078125,92602711.4811905,23261,23261,1058526470.88672,-126.277417135979,-87.6002751386441,138.301491767336,NA
"29","caudate lobe of liver",13,6,13,35544.2172101211,14591.970703125,49925.328125,35620708.6391786,11043,11043,392514790.651367,-110.398623562438,-92.9551752241239,132.16807027076,NA
"8","left adrenal",14,7,14,35388.7421875,22044.33984375,46177.73828125,34835691.6279109,787,787,27850940.1015625,-92.7420584498094,-74.5870393900889,124.372299872935,NA
"33","right adrenal",15,8,15,35344.1717069596,23603.701171875,55120.7578125,30769010.631872,709,709,25059017.7402344,-117.141043723554,-74.574047954866,124.671368124118,NA
"43","rectum/hindgut",16,9,16,25312.4666501906,18686.859375,33822.28125,9472234.77994325,2197,2197,55611489.2304688,-102.642694583523,-129.737369139736,92.3482020937642,NA
"37","bladder",17,10,17,25321.3708623643,12370.8828125,38606.98046875,25381509.7451422,5436,5436,137646972.007812,-104.060890360559,-131.35191317145,116.109823399558,NA
"25","heart: left ventricle",18,11,18,31907.3979904208,22724.658203125,38908.9453125,6104830.50813293,3259,3259,103986210.050781,-94.0935869898742,-107.068732740104,190.552930346732,NA
"23","heart: right ventricle",19,11,19,31751.2252199277,24283.896484375,40708.91796875,7101654.04696433,2428,2428,77091974.8339844,-102.789126853377,-109.848846787479,191.895387149918,NA
"20","left thymic rudiment",20,12,20,29607.0002324474,20036.828125,33427.4296875,9068692.17167855,1378,1378,40798446.3203125,-97.9179970972424,-96.7953555878084,215.292452830189,NA
"17","right thymic rudiment",21,13,21,29286.1940208971,20278.42578125,34082.90625,9767252.52651553,1553,1553,45481459.3144531,-107.32195750161,-97.7469414037347,217.799742433999,NA
"5","brain: third ventricle",22,14,22,18632.4162169559,11523.171875,24738.3671875,7713346.31866235,1363,1363,25395983.3037109,-105.025678650037,-132.65884079237,291.62729273661,NA
"45","brain: mesencephalic vesicle",23,14,23,14395.4473577293,8977.26953125,21831.087890625,8531857.84363804,3043,3043,43805346.3095703,-109.923102201775,-96.4534998356885,318.056194544857,NA
"48","brain: fourth ventricle",24,14,24,17708.2703254714,10605.7138671875,25767.0546875,6740274.16699098,2635,2635,46661292.3076172,-107.317267552182,-87.8554079696395,293.740037950664,NA
"39","brain: cerebral aqueduct",25,14,25,19812.1020214676,10147.5078125,24731.662109375,4777362.57676718,583,583,11550455.4785156,-108.948542024014,-91.9125214408233,304.03602058319,NA
"42","brain: left lateral ventricle",26,14,26,23112.468470016,13516.4453125,31327.935546875,14482198.643651,1444,1444,33374404.4707031,-90.9785318559557,-145.317174515235,306.349030470914,NA
"3","brain: right lateral ventricle",27,14,27,22732.906310631,12135.3486328125,30092.630859375,13941323.5317229,1208,1208,27461350.8232422,-119.348509933775,-146.25,304.026490066225,NA
"13","brain: right olfactory bulb",28,14,28,21909.3735406736,13671.3505859375,27411.470703125,3295127.85241159,2124,2124,46535509.4003906,-112.040018832392,-169.252824858757,286.173728813559,NA
"12","brain: left olfacotory bulb",29,14,29,22692.978228485,16313.9501953125,29755.158203125,3832080.66696757,2044,2044,46384447.4990234,-92.4603718199609,-168.245107632094,287.616927592955,NA
"14","brain: right thalamus ",30,14,30,24081.4317852315,16272.5,35928.15234375,4585760.44128724,12507,12507,301186467.337891,-114.626928919805,-130.499560246262,304.16766610698,NA
"21","brain: left thalamus",31,14,31,23999.3625258744,16220.4345703125,34894.5234375,4773652.01322107,11753,11753,282064507.766602,-97.9503105590062,-130.363992172211,305.560027227091,NA
"16","brain: right hypothamalus ",32,14,32,22891.0948540373,15480.693359375,31222.056640625,3816335.57819503,8312,8312,190270780.426758,-112.656881616939,-129.314846005775,282.73989412897,NA
"15","brain: left hypothalmus",33,14,33,23120.2590196461,16387.078125,29926.609375,3364401.62158995,8572,8572,198186860.316406,-95.8569762015866,-129.579911339244,284.339127391507,NA
