"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,3455.01011527541,0,54051.36328125,22562771.0118972,20321232,20321232,0,0,0,0,NA
"9","left lung",1,1,1,22095.3232195429,10384.3076171875,29244.8515625,7698727.85261138,17164,17164,379244127.740234,-83.8640177114892,-77.3337800046609,182.197914239105,NA
"13","right lung: cranial lobe",2,2,2,20410.5076141616,11021.896484375,25264.77734375,5465594.56065357,9424,9424,192348623.755859,-123.002971137521,-81.9263582342954,194.983977079796,NA
"25","right lung: middle lobe",3,2,3,20096.9861825824,11601.2578125,25422.736328125,5057088.09931882,6844,6844,137543773.433594,-124.331531268264,-97.1272647574518,186.051285797779,NA
"36","right lung: caudal lobe",4,2,4,20351.0775403856,9918.2333984375,27179.19140625,4881309.29458043,15500,15500,315441701.875977,-120.605806451613,-75.7301290322581,171.71535483871,NA
"40","right lung: accessory lobe",5,2,5,19939.3834490471,10881.0244140625,24264.791015625,6686724.20274952,5098,5098,101650976.823242,-97.5684582189094,-88.0070615927815,178.764025107885,NA
"32","left kidney",6,3,6,18223.8756768541,11851.421875,24078.359375,2525730.66167365,5738,5738,104568598.633789,-80.8203206692227,-84.3405367723946,112.535203903799,NA
"30","right kidney",7,4,7,18427.3909761418,10787.4580078125,25338.970703125,4338027.45240027,8449,8449,155693026.357422,-112.625517812759,-82.9897029234229,109.080719611788,NA
"43","stomach wall",8,5,8,20135.6986256453,11957.6513671875,29474.94140625,7660191.17406659,13462,13462,271066774.898438,-72.8335314217798,-83.875129995543,131.555192393404,NA
"29","stomach lumen",9,5,9,11546.8989859741,7391.79443359375,18952.830078125,4081712.96664591,5362,5362,61914472.362793,-70.0113763521074,-83.7279000372995,130.997016038791,NA
"47","medial lobe of liver",10,6,10,30120.5067842728,10973.091796875,41429.03125,20096022.896995,81921,81921,2467502036.27441,-109.201743142784,-109.185471368758,155.538555437556,NA
"51","left lobe of liver ",11,6,11,29857.8038427307,11720.263671875,40378.140625,21550387.5802802,41695,41695,1244921131.22266,-77.3391054083223,-99.000791461806,145.964911859935,NA
"33","right lobe of liver",12,6,12,27887.7832300274,9647.3505859375,39166.1171875,17064616.9527333,24793,24793,691421809.62207,-122.676118259186,-81.0633646593797,134.221877142742,NA
"37","caudate lobe of liver",13,6,13,24802.0970055044,8891.7431640625,31190.23828125,14301719.3298575,13194,13194,327238867.890625,-104.745187206306,-89.7021373351523,130.608988934364,NA
"46","left adrenal",14,7,14,25104.6064725769,17428.33984375,32040.544921875,13721990.8404522,788,788,19782429.9003906,-85.2157360406091,-71.2068527918782,127.196700507614,NA
"24","right adrenal",15,8,15,24361.0921359946,12690.6962890625,31399.9453125,15197012.6108761,766,766,18660596.5761719,-108.579634464752,-71.7297650130548,123.353785900783,NA
"27","rectum/hindgut",16,9,16,19452.6347827419,14563.5283203125,27003.01953125,4030109.69938369,2168,2168,42173312.2089844,-92.0654981549816,-124.520295202952,88.9354243542435,NA
"35","bladder",17,10,17,18665.3386281544,8654.22265625,29423.955078125,11400965.8746417,5258,5258,98142350.5068359,-96.6913275009509,-126.808672499049,112.370292887029,NA
"41","heart: left ventricle",18,11,18,23462.5530628974,16329.8310546875,31914.412109375,4736550.82852459,3362,3362,78881103.3974609,-93.9042236763831,-107.188875669244,191.235574063058,NA
"45","heart: right ventricle",19,11,19,24165.9224285595,18239.4296875,32082.134765625,5934677.39076978,2431,2431,58747357.4238281,-102.651172357055,-110.034553681613,192.426984779926,NA
"3","left thymic rudiment",20,12,20,21489.4636984902,16108.076171875,23783.423828125,2775035.4739606,1453,1453,31224190.7539062,-97.7178251892636,-98.5127322780454,217.514796971783,NA
"2","right thymic rudiment",21,13,21,21281.3019491703,14406.103515625,23708.0234375,3169171.94057498,1531,1531,32581673.2841797,-107.917700849118,-100.218158066623,218.483997387329,NA
"11","brain: third ventricle",22,14,22,14682.9539400204,9921.9404296875,19116.828125,3337998.99077779,1336,1336,19616426.4638672,-101.237275449102,-134.792664670659,294.819610778443,NA
"48","brain: mesencephalic vesicle",23,14,23,11489.594416139,8434.6318359375,16397.66796875,3406969.59985247,2803,2803,32205333.1484375,-101.26650017838,-98.5251516232608,320.645736710667,NA
"19","brain: fourth ventricle",24,14,24,12796.5802616326,8235.595703125,19868.41796875,3042077.04262482,3491,3491,44672861.6933594,-101.774849613291,-90.619020338012,297.226869091951,NA
"49","brain: cerebral aqueduct",25,14,25,13978.1579642688,9380.55859375,17657.80859375,2239301.65286344,924,924,12915817.9589844,-102.430735930736,-94.5822510822511,307.397186147186,NA
"16","brain: left lateral ventricle",26,14,26,18966.0275940488,11217.5341796875,23784.5234375,6244597.36473238,1229,1229,23309247.9130859,-85.960130187144,-145.407648494711,306.042310821806,NA
"12","brain: right lateral ventricle",27,14,27,18450.8656411957,12241.75,23095.416015625,6394845.22078919,1013,1013,18690726.8945312,-115.568608094768,-147.650542941757,307.467917077986,NA
"4","brain: right olfactory bulb",28,14,28,18168.8203427497,13480.091796875,22786.169921875,2336258.68106401,1937,1937,35193005.0039062,-110.245224574084,-171.245224574084,288.562209602478,NA
"15","brain: left olfacotory bulb",29,14,29,18441.8378727257,12904.67578125,23402.322265625,2450272.19640659,1855,1855,34209609.2539062,-91.0657681940701,-170.42371967655,288.607008086253,NA
"10","brain: right thalamus ",30,14,30,18023.7817995521,12584.9599609375,28253.3125,2941674.09543299,13205,13205,238004038.663086,-109.9020068156,-132.273381294964,307.335781900795,NA
"14","brain: left thalamus",31,14,31,18458.2124294599,13214.859375,26401.353515625,2303023.11756666,12839,12839,236984989.381836,-92.6033959031077,-131.672404392866,307.714619518654,NA
"26","brain: right hypothamalus ",32,14,32,17364.7665035578,12541.5634765625,22605.611328125,1713389.43390494,8689,8689,150882456.149414,-110.113822073887,-131.645643917597,286.151570951778,NA
"18","brain: left hypothalmus",33,14,33,17977.4060660826,13549.19921875,22512.4921875,1200841.48979333,8570,8570,154066369.986328,-92.9536756126021,-131.335355892649,286.011201866978,NA
"5","brain: right septal area",34,14,34,17044.5165363779,11086.486328125,21513.6875,2358002.46097433,3236,3236,55156055.5117188,-106.053461063041,-154.797280593325,290.703955500618,NA
"6","brain: left septal area",35,14,35,17345.8319057823,12349.1435546875,21861.37890625,2153862.64836854,3090,3090,53598620.5888672,-96.0731391585761,-154.057605177994,290.639158576052,NA
"31","brain: left neopallial cortex abd amygdala",36,14,36,19109.9524702969,13884.8232421875,23652.314453125,3577027.44818468,22671,22671,433241732.454102,-124.519827091879,-144.39124873186,306.108376339817,NA
"20","brain: right neopallial cortex and amygdala",37,14,37,19385.7946958987,13449.7587890625,23914.595703125,3240127.41196298,23548,23548,456496693.499023,-77.5265415321896,-140.976218787158,304.703499235604,NA
"7","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,20078.7606778889,14496.9091796875,24507.9140625,3387096.29519067,6546,6546,131435567.397461,-124.437213565536,-146.373663305836,297.473877176902,NA
"8","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,20226.8481880529,15816.9150390625,24912.025390625,2511146.60694603,6754,6754,136612132.662109,-78.0978679301155,-145.63680781759,297.558631921824,NA
"50","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,23772.5705113951,18280.5,27442.853515625,1855397.66637492,12648,12648,300675471.828125,-117.054554079696,-147.943943706515,309.836258697027,NA
"34","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,23660.2178126707,18779.6796875,27473.51171875,1552670.16446545,11898,11898,281509271.535156,-84.7343250966549,-145.989914271306,309.487140695915,NA
"38","pons",42,15,42,17466.1486863472,12494.9521484375,24939.2109375,2325902.43751316,26870,26870,469315415.202148,-101.631447711202,-104.989691105322,293.105321920357,NA
