"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,3780.08374276302,0,53266.8203125,35354159.5936319,20345593,20345592,0,0,0,0,NA
"35","left lung",1,1,1,28165.1266854196,11611.9091796875,34502.5234375,16503065.8947056,16846,16846,474469724.142578,-80.8875697494954,-74.0285527721714,184.437789386204,NA
"36","right lung: cranial lobe",2,2,2,26807.987286007,11641.71484375,33108.74609375,14256266.804944,9619,9619,257866029.704102,-121.673354818588,-73.1693523235264,197.193055411165,NA
"33","right lung: middle lobe",3,2,3,26073.6971499119,13695.6103515625,34632.98046875,11673533.8574547,6279,6279,163716744.404297,-126.225513616818,-87.7214524605829,187.99729256251,NA
"34","right lung: caudal lobe",4,2,4,27104.1079408724,12579.701171875,33237.78125,10617016.5087907,13830,13830,374849812.822266,-119.1571945047,-68.0895155459147,175.015328994939,NA
"32","right lung: accessory lobe",5,2,5,26128.6369581457,11700.0029296875,33105.4375,18783828.964152,5454,5454,142505585.969727,-95.3540520718739,-83.7086541987532,180.520168683535,NA
"6","left kidney",6,3,6,24977.7754144892,13243.689453125,32658.16015625,8034190.57109028,6793,6793,169674028.390625,-88.7722655674959,-83.046371264537,116.602237597527,NA
"17","right kidney",7,4,7,24974.4286746417,16027.6484375,37335.375,13293165.4684174,7130,7130,178067676.450195,-120.287517531557,-79.2830294530154,117.320196353436,NA
"13","stomach wall",8,5,8,24967.4247096062,12885.9990234375,42364.94921875,13130384.2764128,12212,12212,304902190.553711,-77.625286603341,-82.0620700949885,135.831477235506,NA
"12","stomach lumen",9,5,9,13267.9179603395,8053.6171875,24723.666015625,6645683.72562803,7199,7199,95515741.3964844,-74.836782886512,-82.6645367412141,134.682594804834,NA
"1","medial lobe of liver",10,6,10,42720.4785726351,11302.8408203125,62800.66796875,62093148.9517493,65538,65538,2799814724.69336,-108.442125179285,-103.263419695444,160.461549024993,NA
"8","left lobe of liver ",11,6,11,42128.6785418939,11112.2412109375,56701.87109375,52941235.3789671,35644,35644,1501634617.94727,-79.0587476153069,-90.7843676355067,149.732886320278,NA
"10","right lobe of liver",12,6,12,41947.3016394153,12516.9501953125,53956.5234375,55790508.2788535,22798,22798,956314582.775391,-125.961005351347,-76.4001666812878,143.194622335293,NA
"15","caudate lobe of liver",13,6,13,35336.0139568025,14620.26171875,47064.76171875,36141958.0090066,10930,10930,386222632.547852,-110.604025617566,-85.4132662397072,136.196523330284,NA
"2","left adrenal",14,7,14,33436.0191209029,18380.20703125,45317.18359375,38385762.6494656,614,614,20529715.7402344,-90.5211726384365,-69.4788273615635,128.464169381107,NA
"45","right adrenal",15,8,15,32224.7515891189,14429.5576171875,44598.6328125,40822141.2896309,609,609,19624873.7177734,-115.272577996716,-67.9014778325123,130.408866995074,NA
"27","rectum/hindgut",16,9,16,25692.6996263587,17862.37109375,34580.92578125,10866280.3837946,2070,2070,53183888.2265625,-100.935748792271,-126.180193236715,97.5444444444445,NA
"20","bladder",17,10,17,22040.8912443164,8430.3154296875,31887.720703125,17666814.6144507,5079,5079,111945686.629883,-104,-123.148060641859,120.156723764521,NA
"30","heart: left ventricle",18,11,18,28122.4161785189,18821.359375,45284.23046875,9889870.57970484,3657,3657,102843675.964844,-93.8966365873667,-104.003007929997,192.835931091058,NA
"28","heart: right ventricle",19,11,19,26990.8858836311,13367.5361328125,36435.37109375,10140940.3323612,2596,2596,70068339.7539062,-103.6937596302,-106.708012326656,194.100154083205,NA
"21","left thymic rudiment",20,12,20,29025.0171646118,18890.943359375,34491.37890625,13876139.4376612,1280,1280,37152021.9707031,-96.21015625,-94.74296875,219.27734375,NA
"24","right thymic rudiment",21,13,21,28810.0052893702,19387.40234375,33816.24609375,11272507.6845231,1422,1422,40967827.5214844,-105.914205344585,-95.7918424753868,219.525316455696,NA
"46","brain: third ventricle",22,14,22,19622.6660650018,14027.6494140625,24750.06640625,5714513.58388331,890,890,17464172.7978516,-108.041573033708,-140.605617977528,286.287640449438,NA
"19","brain: mesencephalic vesicle",23,14,23,14113.3887142201,9426.5810546875,21142.75390625,6603688.14515129,2975,2975,41987331.4248047,-103.712941176471,-108.349243697479,319.925378151261,NA
"42","brain: fourth ventricle",24,14,24,16729.2836659432,10498.6171875,23346.59765625,3368897.54366288,3049,3049,51007585.8974609,-100.59724499836,-97.1712036733355,298.189570350935,NA
"40","brain: cerebral aqueduct",25,14,25,17581.6213143509,12522.447265625,21930.3515625,1507706.7054656,1089,1089,19146385.6113281,-102.761248852158,-102.131313131313,308.168044077135,NA
"50","brain: left lateral ventricle",26,14,26,23506.8252425368,13142.431640625,30532.216796875,12616006.2430641,1096,1096,25763480.4658203,-97.3138686131387,-158.547445255474,299.530109489051,NA
"49","brain: right lateral ventricle",27,14,27,21827.5198054269,12786.7021484375,28653.828125,11553001.1086873,951,951,20757971.3349609,-123.562565720294,-155.849631966351,299.983175604627,NA
"51","brain: right olfactory bulb",28,14,28,21764.6883670197,16825.09765625,29260.541015625,3856512.15361459,2095,2095,45597022.1289062,-122.818138424821,-174.687350835322,278.491169451074,NA
"14","brain: left olfacotory bulb",29,14,29,22266.4818471246,16616.5546875,28801.814453125,4294302.34247186,1903,1903,42373114.9550781,-103.368365738308,-177.62007356805,278.871255911718,NA
"22","brain: right thalamus ",30,14,30,22451.5968694991,16156.65234375,33260.59375,4222875.48112538,13279,13279,298134754.830078,-116.745236840123,-139.332479855411,300.228029219068,NA
"37","brain: left thalamus",31,14,31,22769.1509721683,17004.416015625,34524.66015625,3861683.16366889,12890,12890,293494356.03125,-99.7295577967417,-141.958727695888,300.858184639255,NA
"16","brain: right hypothamalus ",32,14,32,22367.6120730448,14856.8779296875,29992.8046875,2846420.08781125,8478,8478,189632615.155273,-115.506369426752,-135.197924038688,278.832743571597,NA
"4","brain: left hypothalmus",33,14,33,22716.3389574717,15899.115234375,29868.509765625,2221257.9668849,8372,8372,190181189.751953,-98.7878643096034,-138.439202102246,279.212494027711,NA
"7","brain: right septal area",34,14,34,21021.1653268279,12698.1865234375,26706.328125,3893095.92676479,3397,3397,71408898.6152344,-115.86546953194,-159.145128054165,281.668236679423,NA
