"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,3282.00963519971,0,56749.7421875,33361772.9041502,20376488,20376488,0,0,0,0,NA
"51","left lung",1,1,1,29014.1410895923,11435.5,35365.93359375,16896867.4433178,14882,14882,431788447.695312,-83.0759306544819,-73.7685122967343,176.038301303588,NA
"22","right lung: cranial lobe",2,2,2,28613.3507846234,11712.6640625,37362.8046875,22851198.0595604,7874,7874,225301524.078125,-121.285496570993,-73.9650749301499,189.565278130556,NA
"28","right lung: middle lobe",3,2,3,27894.38205816,10898.23828125,36933.29296875,20385500.6356541,5458,5458,152247537.273438,-124.306339318432,-88.8351044338586,182.058079882741,NA
"19","right lung: caudal lobe",4,2,4,29366.3795704856,11229.8193359375,39905.74609375,20805442.8312746,12410,12410,364436770.469727,-118.443593875907,-71.3822723609992,167.310717163578,NA
"35","right lung: accessory lobe",5,2,5,26814.2085818256,11041.1279296875,33662.7109375,18593282.6788572,4881,4881,130880152.087891,-96.9743904937513,-83.6220036877689,173.739192788363,NA
"15","left kidney",6,3,6,24018.1535951882,16415.904296875,31584.9921875,4225677.97202116,6736,6736,161786282.617188,-87.6027315914489,-92.269893111639,111.579720902613,NA
"10","right kidney",7,4,7,26538.2218508214,15742.970703125,37376.3046875,11820473.5410222,6220,6220,165067739.912109,-118.16768488746,-92.2971061093248,112.566077170418,NA
"16","stomach wall",8,5,8,25282.2505061447,14671.7099609375,39632.7109375,13787401.3286254,11781,11781,297850193.212891,-77.9746201510907,-91.0853068500127,129.802478567184,NA
"14","stomach lumen",9,5,9,13078.1252157651,8406.375,24146.419921875,7212365.60704219,6169,6169,80678954.4560547,-75.8748581617766,-91.8536229534771,128.244610147512,NA
"18","medial lobe of liver",10,6,10,43004.2693430338,12630.7724609375,59976.59375,64008567.1268992,64322,64322,2766120612.68262,-109.155545536519,-108.696775597774,156.9370666335,NA
"8","left lobe of liver ",11,6,11,41454.4117513096,13484.03515625,56193.140625,46027346.4857286,43370,43370,1797877837.6543,-78.2761816924141,-100.843186534471,144.700645607563,NA
"17","right lobe of liver",12,6,12,44420.779829777,12451.98828125,61356.75390625,86851894.0987043,23002,23002,1021766777.64453,-124.19567863664,-86.677897574124,135.648378401878,NA
"21","caudate lobe of liver",13,6,13,34256.1403300057,12067.5908203125,45708.69140625,24515754.3964555,10269,10269,351776305.048828,-106.572597137014,-94.7109747784594,132.459538416594,NA
"20","left adrenal",14,7,14,34513.8195472728,20766.056640625,45437.95703125,34740790.4450611,707,707,24401270.4199219,-91.4611032531825,-78.9278642149929,123.391796322489,NA
"12","right adrenal",15,8,15,34419.4142735726,19162.81640625,47951.14453125,32927342.4065704,694,694,23887073.5058594,-115.440922190202,-78.3328530259366,122.877521613833,NA
"50","rectum/hindgut",16,9,16,24246.6913994548,17811.951171875,34030.640625,10110429.2072578,2012,2012,48784343.0957031,-100.984095427435,-134.063618290258,95.096421471173,NA
"9","bladder",17,10,17,22841.9295028907,9109.6337890625,34813.52734375,22086835.5867817,4708,4708,107539804.099609,-101.364910790144,-132.22217502124,117.817969413764,NA
"37","heart: left ventricle",18,11,18,32063.9082726258,23597.2734375,36695.734375,4278945.46095754,3850,3850,123446046.849609,-93.6937662337662,-101.024675324675,188.18987012987,NA
"47","heart: right ventricle",19,11,19,32636.9447044306,25795.443359375,37086.39453125,3923838.75669709,2621,2621,85541432.0703125,-103.488744753911,-102.445631438382,190.291110263258,NA
"4","left thymic rudiment",20,12,20,28606.1493567214,19826.767578125,33157.95703125,9581228.73548445,1107,1107,31667007.3378906,-96.1165311653117,-89.5284552845528,212.917795844625,NA
"2","right thymic rudiment",21,13,21,28276.3333671537,20273.08984375,32923.5390625,8347664.4162329,1155,1155,32659165.0390625,-105.907359307359,-90.8458874458874,212.511688311688,NA
"24","brain: third ventricle",22,14,22,18390.5620452282,11055.412109375,23900.287109375,7837111.16616899,1224,1224,22510047.9433594,-105.207516339869,-128.499183006536,285.637254901961,NA
"45","brain: mesencephalic vesicle",23,14,23,13945.1858104284,8642.11328125,21347.482421875,7403565.28256912,2968,2968,41389311.4853516,-102.859164420485,-91.2183288409703,310.847371967655,NA
"43","brain: fourth ventricle",24,14,24,16937.3008814691,9951.84765625,24446.40234375,6594331.41522245,2553,2553,43240929.1503906,-102.010967489228,-84.8104191147669,285.737563650607,NA
"11","brain: cerebral aqueduct",25,14,25,18746.0445087872,11504.912109375,23085.359375,5752080.91509372,513,513,9616720.83300781,-103.485380116959,-87.6569200779727,296.682261208577,NA
"13","brain: left lateral ventricle",26,14,26,21029.561316429,11155.443359375,30466.380859375,16231065.6983458,1887,1887,39682782.2041016,-92.1054583995761,-142.561208267091,299.951775304716,NA
"46","brain: right lateral ventricle",27,14,27,21593.5649340323,11472.8798828125,30069.91796875,20304013.1204992,1523,1523,32886999.3945312,-119.817465528562,-141.738017071569,299.582403151674,NA
"40","brain: right olfactory bulb",28,14,28,22221.617699081,15011.25390625,28814.150390625,3995684.29343404,1928,1928,42843278.9238281,-116.476141078838,-162.261929460581,279.404564315353,NA
"39","brain: left olfacotory bulb",29,14,29,21782.8878694026,14116.005859375,28742.8671875,4924145.36201071,1767,1767,38490362.8652344,-96.8879456706282,-163.451046972269,280.322580645161,NA
"6","brain: right thalamus ",30,14,30,23617.7022551062,16203.0478515625,38748.953125,4104871.22036875,12396,12396,292765037.154297,-113.614795095192,-125.094788641497,297.648919006131,NA
"5","brain: left thalamus",31,14,31,23026.9228520772,15885.6923828125,33822.3125,4212564.65517375,11384,11384,262138489.748047,-97.7135453267744,-126.926212227688,298.383959943781,NA
"27","brain: right hypothamalus ",32,14,32,22524.762747952,14825.6494140625,30307.626953125,4205048.78208359,7866,7866,177179783.775391,-112.330790744978,-123.898932112891,276.459699974574,NA
"32","brain: left hypothalmus",33,14,33,22342.146861776,15258.0107421875,30462.552734375,4084542.10659869,8138,8138,181820391.161133,-96.2874170557877,-126.229294666994,277.382034898009,NA
"34","brain: right septal area",34,14,34,20938.2243440116,13824.1044921875,28908.056640625,4827100.15829425,3106,3106,65034124.8125,-111.344494526722,-146.794913071475,281.532195750161,NA
"23","brain: left septal area",35,14,35,21117.2056653217,13727.0498046875,28913.947265625,4587808.9608828,2947,2947,62232405.0957031,-100.956905327452,-147.620631150322,281.867662029182,NA
"26","brain: left neopallial cortex abd amygdala",36,14,36,24536.368060664,16635.63671875,36313.32421875,5762929.5610613,20306,20306,498235489.839844,-128.511326701468,-135.009307593815,295.60425490003,NA
"25","brain: right neopallial cortex and amygdala",37,14,37,22931.1086756909,14915.25,30216.33984375,6595289.25307255,22613,22613,518541160.483398,-82.5796665634812,-136.474019369389,296.49100075178,NA
"41","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,25871.5681228443,19136.412109375,34573.15234375,8073621.70107439,5871,5871,151891976.449219,-128.593254982115,-136.640606370295,286.653892011582,NA
"42","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,24799.0267911116,17083.0234375,33476.74609375,8606648.18418502,5273,5273,130765268.269531,-82.8253366205196,-141.445287312725,289.315569884316,NA
"44","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,30457.6816370234,18489.24609375,40423.90234375,7038577.22077561,13015,13015,396406726.505859,-122.356434882828,-139.416288897426,300.263081060315,NA
"7","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,29168.7726048955,19500.125,38387.078125,6181350.28603386,12041,12041,351221190.935547,-90.3006394817706,-141.914708080724,302.084212274728,NA
"31","pons",42,15,42,23257.7886201392,16289.2939453125,32776.94140625,5248103.20746505,24467,24467,569048314.168945,-104.047329055462,-98.4713287284914,281.806147055217,NA
"29","left cerebellar primordium ",43,16,43,20844.5153682165,14540.3642578125,32758.71875,6231525.76348566,6218,6218,129611196.55957,-87.7251527822451,-86.5342553875844,289.375844322933,NA
"30","right cerebellar primordium",44,17,44,23792.9931373029,16521.140625,35288.7109375,5326549.38521674,6058,6058,144137952.425781,-118.451964344668,-85.4366127434797,287.586827335754,NA
"49","midbrain",45,18,45,22867.0325034272,15435.509765625,42856.15234375,5694523.35450338,32461,32461,742286742.09375,-103.55583623425,-98.9948553648994,311.998213240504,NA
