"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,2337.93905476382,0,51014.02734375,24598336.1403509,20437933,20437932,0,0,0,0,NA
"28","left lung",1,1,1,27448.8971401832,12618.9814453125,34463.0390625,12420175.14572,12839,12839,352416390.382812,-83.3057870550666,-77.2900537425033,177.791027338578,NA
"4","right lung: cranial lobe",2,2,2,28001.3610060507,13296.6455078125,38250.85546875,19949891.1409808,6328,6328,177192612.446289,-120.003476611884,-75.4105562579014,190.113463969659,NA
"25","right lung: middle lobe",3,2,3,27965.483259422,14129.4140625,37709.82421875,24644658.2709858,4524,4524,126515846.265625,-125.230106100796,-89.3050397877984,183.45424403183,NA
"8","right lung: caudal lobe",4,2,4,28950.401124057,13785.9560546875,38992.53125,24485209.0852389,9668,9668,279892478.067383,-117.807095573024,-74.6501861812164,168.864811750103,NA
"23","right lung: accessory lobe",5,2,5,25401.3214691982,11545.681640625,32098.833984375,15449339.0714701,4131,4131,104932858.989258,-97.0317114500121,-85.8310336480271,175.607601065117,NA
"51","left kidney",6,3,6,24612.9323996548,15598.9619140625,34059.640625,8671360.99866691,5019,5019,123532307.713867,-88.8836421597928,-91.8649133293485,118.967722653915,NA
"34","right kidney",7,4,7,24791.6532262841,16722.546875,31727.390625,5862827.22085641,5276,5276,130800762.421875,-118.624526156179,-89.9880591357089,118.53620166793,NA
"32","stomach wall",8,5,8,25384.0087862194,14909.126953125,38754.5,10011805.817228,8587,8587,217972483.447266,-79.0060556655409,-93.9551647839758,133.257482240596,NA
"40","stomach lumen",9,5,9,12898.5450587134,8134.54443359375,24145.3515625,7941393.61117507,4571,4571,58959249.4633789,-77.0231896740319,-95.1120105009845,132.728724567928,NA
"10","medial lobe of liver",10,6,10,39603.6595558189,13524.67578125,56399.52734375,24877625.5437887,59199,59199,2344497042.04492,-108.201996655349,-110.981908478184,160.497846247403,NA
"14","left lobe of liver ",11,6,11,37787.4286698783,18079.755859375,48401.98828125,13772869.6450029,39910,39910,1508096278.21484,-80.1087947882736,-101.508318717114,147.850187922826,NA
"13","right lobe of liver",12,6,12,42861.572267409,12640.0146484375,60416.390625,49871479.0852956,19706,19706,844630143.101562,-125.062569775703,-89.6190500355222,140.910230386684,NA
