"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,2748.82924294228,0,50706.88671875,26822645.0837789,20358306,20358306,0,0,0,0,NA
"21","left lung",1,1,1,25098.1602650642,10140.111328125,31430.1875,11553472.7058157,15894,15894,398910159.25293,-82.5150371209261,-77.2223480558701,170.943689442557,NA
"16","right lung: cranial lobe",2,2,2,27858.1322650454,10202.2353515625,37919.98828125,25877975.0987551,8425,8425,234704764.333008,-121.005934718101,-75.186587537092,184.107537091988,NA
"51","right lung: middle lobe",3,2,3,26653.6494818666,13416.3154296875,37123.53515625,21411962.3629327,5329,5329,142037298.088867,-124.607055732783,-90.6990054419216,178.451491837118,NA
"19","right lung: caudal lobe",4,2,4,27892.8454472725,9065.486328125,41038.42578125,29268573.4522326,11340,11340,316304867.37207,-118.898059964727,-74.1022927689594,162.218694885362,NA
"42","right lung: accessory lobe",5,2,5,23728.701448675,10174.560546875,30377.09375,14088394.9074201,5158,5158,122392642.072266,-96.7625048468399,-86.8807677394339,169.456184567662,NA
"8","left kidney",6,3,6,22103.9841875296,12604.486328125,27174.39453125,3659966.29740642,6600,6600,145886295.637695,-92.3116666666667,-98.8869696969697,104.837878787879,NA
"7","right kidney",7,4,7,27017.8370607572,14579.3740234375,36976.96484375,11472223.7563638,5572,5572,150543388.102539,-120.273510409189,-95.87832017229,107.722182340273,NA
"11","stomach wall",8,5,8,22285.1101681556,13433.673828125,33550.76953125,9884366.99141832,12353,12353,275287965.907227,-79.7286489111957,-93.3921314660406,125.557192584797,NA
"10","stomach lumen",9,5,9,11418.8809073945,8124.60205078125,21732.671875,5552430.12983793,6823,6823,77911024.4311523,-77.3357760515902,-94.3255166349113,123.862963505789,NA
"5","medial lobe of liver",10,6,10,37296.9519758464,13700.9716796875,61297.5,37028919.1423529,65596,65596,2446530861.80762,-110.104198426733,-113.130892127569,154.644033172754,NA
"14","left lobe of liver ",11,6,11,34267.4856465843,15432.1357421875,43245.11328125,17011136.9179711,45094,45094,1545257997.74707,-79.401184193019,-104.126069987138,141.309375970196,NA
"1","right lobe of liver",12,6,12,40685.0662364488,14387.5859375,59132.02734375,49331871.5525226,21383,21383,869968771.333984,-126.288126081467,-89.7746340550905,132.643034186036,NA
"12","caudate lobe of liver",13,6,13,31467.5969436027,14152.474609375,45683.59375,18664787.9492182,11519,11519,362475249.193359,-109.081430679747,-97.745550829065,128.016841739734,NA
"22","left adrenal",14,7,14,30384.915340505,19443.658203125,38914.71484375,14597842.3597103,703,703,21360595.484375,-93.5106685633001,-83.7396870554765,115.816500711238,NA
"15","right adrenal",15,8,15,32090.8147280093,15148.068359375,46592.625,39562683.8110906,675,675,21661299.9414062,-116.383703703704,-82.1348148148148,118.351111111111,NA
"9","rectum/hindgut",16,9,16,22888.8432955551,16821.5546875,31337.61328125,7326002.53728019,1977,1977,45251243.1953125,-109.786545270612,-141.365199797673,94.1244309559939,NA
"18","bladder",17,10,17,21830.4851254742,7648.451171875,50410.03515625,23813066.5600757,5626,5626,122818309.315918,-107.439033060789,-138.988268752222,116.712051190899,NA
"36","heart: left ventricle",18,11,18,27287.984613392,18611.447265625,36251.34765625,4263644.14635107,4162,4162,113572591.960938,-92.8572801537722,-104.786881307064,184.651609802979,NA
"32","heart: right ventricle",19,11,19,27472.9884945737,12958.283203125,33198.4453125,6517587.02272081,3058,3058,84012398.8164062,-102.842380640942,-107.068345323741,187.921517331589,NA
"29","left thymic rudiment",20,12,20,26457.4830207257,18463.25390625,30089.25390625,7773900.58473336,1210,1210,32013554.4550781,-95.3512396694215,-91.001652892562,208.490082644628,NA
"33","right thymic rudiment",21,13,21,26076.3895597992,18850.638671875,29628.5390625,6061702.60766428,1267,1267,33038785.5722656,-105.222573007103,-92.7316495659037,208.596685082873,NA
"30","brain: third ventricle",22,14,22,16818.9916643708,11245.4521484375,22477.123046875,5417783.41303049,1191,1191,20031419.0722656,-106.642317380353,-126.475230898405,281.177162048699,NA
"45","brain: mesencephalic vesicle",23,14,23,12589.5730375931,7711.45947265625,19505.53515625,7084856.15415218,3735,3735,47022055.2954102,-106.524765729585,-88.1917001338688,305.540026773762,NA
"25","brain: fourth ventricle",24,14,24,16123.1313387931,8549.9189453125,23287.3046875,6294268.77469176,2424,2424,39082470.3652344,-103.434405940594,-81.8444719471947,281.728135313531,NA
"27","brain: cerebral aqueduct",25,14,25,17811.3496075665,9368.1484375,21094.640625,4136480.6811464,540,540,9618128.78808594,-105.531481481481,-85.0907407407407,291.983333333333,NA
"43","brain: left lateral ventricle",26,14,26,22245.8485452226,14111.892578125,27571.30078125,7756155.34782111,747,747,16617648.8632812,-96.3882195448461,-141.0093708166,296.060240963855,NA
"4","brain: right lateral ventricle",27,14,27,23120.636081023,13654.052734375,29870.849609375,6958265.8558985,709,709,16392530.9814453,-123.157968970381,-134.056417489422,292.256699576869,NA
"3","brain: right olfactory bulb",28,14,28,19876.5144059845,15865.2646484375,26315.767578125,3858814.95404971,1736,1736,34505629.0087891,-117.431451612903,-161.806451612903,278.581797235023,NA
"39","brain: left olfacotory bulb",29,14,29,19421.1612416535,13885.9501953125,26410.48828125,4582633.57391045,1624,1624,31539965.8564453,-97.7290640394089,-163.097906403941,279.971674876847,NA
"49","brain: right thalamus ",30,14,30,21698.912000779,14613.6474609375,32645.22265625,3238048.49563705,12185,12185,264401242.729492,-115.651456709069,-122.399671727534,293.29692244563,NA
"48","brain: left thalamus",31,14,31,21417.7667412874,14763.17578125,30783.013671875,3003447.91101549,10980,10980,235167078.819336,-99.4342440801457,-124.277322404372,294.790255009107,NA
"50","brain: right hypothamalus ",32,14,32,20941.92711579,13265.5498046875,28216.3828125,2189575.92030621,8184,8184,171388731.515625,-114.237170087977,-122.640029325513,272.39247311828,NA
"20","brain: left hypothalmus",33,14,33,20669.9496497527,14295.4443359375,28945.748046875,1943600.25763787,8465,8465,174971123.785156,-97.6594211458949,-124.386769049025,273.744831659776,NA
"41","brain: right septal area",34,14,34,19508.9159496452,14682.2802734375,27321.38671875,2827024.41990362,3197,3197,62370004.2910156,-111.980294025649,-146.23553331248,279.177666562402,NA
"40","brain: left septal area",35,14,35,19404.9366513941,14567.8974609375,26160.66015625,2971356.83313086,3007,3007,58350644.5107422,-102.220818091121,-146.980046558031,280.271699368141,NA
"46","brain: left neopallial cortex abd amygdala",36,14,36,21919.5393542888,16230.8486328125,31690.919921875,5343515.66347926,21684,21684,475303291.358398,-130.025179856115,-133.223436635307,292.281451761668,NA
"47","brain: right neopallial cortex and amygdala",37,14,37,19976.4345871846,12350.3955078125,26878.744140625,6979770.15569911,25120,25120,501808036.830078,-83.340326433121,-133.65525477707,295.044307324841,NA
"26","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,22775.2344363183,17920.39453125,29613.45703125,3698704.30975671,6466,6466,147264665.865234,-129.283482833282,-135.478657593566,285.251469223631,NA
"37","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,21267.9631979767,16411.421875,28022.44921875,4237112.98259844,5554,5554,118122267.601562,-86.722002160605,-139.67410875045,288.863881886928,NA
"13","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,28078.8685702576,22238.9375,34166.8984375,3934191.48384735,12105,12105,339894704.042969,-123.265097067328,-137.046674927716,296.559851301115,NA
"2","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,26404.7423190855,19190.82421875,31618.400390625,4194196.95144861,11251,11251,297079755.832031,-92.938938760999,-139.370189316505,299.489645364856,NA
"28","pons",42,15,42,21311.7609475956,13234.4697265625,28579.763671875,2636730.33919189,25421,25421,541766275.048828,-105.508713268557,-96.6513119074781,277.681483812596,NA
"23","left cerebellar primordium ",43,16,43,19375.3690696251,13037.3818359375,28800.5390625,4538481.17659953,6217,6217,120456669.505859,-88.7966865047451,-84.3788000643397,285.685861347917,NA
"24","right cerebellar primordium",44,17,44,21240.1730570888,14865.4912109375,30601.85546875,3974727.9735266,6253,6253,132814802.125977,-120.944186790341,-83.4332320486167,282.724772109388,NA
"44","midbrain",45,18,45,20291.6484885945,13580.8779296875,29795.830078125,2883226.49956555,35894,35894,728348430.849609,-106.750041789714,-96.5083858026411,307.032512397615,NA
"17","medulla oblongata",46,19,46,20680.0053526432,15472.994140625,26311.646484375,2827144.26967797,18578,18578,384193139.441406,-102.922166002799,-73.9635052212294,269.611045322424,NA
"35","spinal cord",47,20,47,22943.8390253526,14819.6376953125,34904.8046875,6132645.00293651,56705,56705,1301030391.93262,-102.43858566264,-67.1107838814919,170.589172030685,NA
"31","vertebrae",48,21,48,18191.9531075521,13369.9677734375,24651.740234375,2237017.51204161,11250,11250,204659472.459961,-105.525777777778,-91.2735111111111,154.066311111111,NA
"6","heart: left ventricle chamber",102,11,49,18344.2319030762,9375.7080078125,25418.9765625,14212981.1088141,384,384,7044185.05078125,-92.7083333333333,-104.84375,185.213541666667,NA
"34","heart: right ventricle chamber",103,11,50,20215.4601658951,11651.41796875,32094.23046875,19460208.3478889,324,324,6549809.09375,-102.796296296296,-107.746913580247,188.305555555556,NA
