"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,3105.81268493253,0,53310.65625,30714608.7785369,20410043,20410044,0,0,0,0,NA
"46","left lung",1,1,1,31576.4017314566,13245.2294921875,46225.04296875,33211826.1371221,12761,12761,402946462.495117,-122.32434762166,-151.744220672361,179.921636235405,NA
"4","right lung: cranial lobe",2,2,2,29015.4913933985,11532.34375,36982.69921875,19335970.4484368,6535,6535,189616236.255859,-84.6172915072685,-150.284468247896,192.616832440704,NA
"25","right lung: middle lobe",3,2,3,27383.4047249727,11970.052734375,34917.68359375,16717062.1350024,5160,5160,141298368.380859,-81.4244186046512,-135.530426356589,186.050968992248,NA
"2","right lung: caudal lobe",4,2,4,28961.2791850165,13066.287109375,37283.59375,17556808.0488395,10101,10101,292537881.047852,-85.5175725175725,-154.396792396792,171.614493614494,NA
"8","right lung: accessory lobe",5,2,5,26515.3199598462,15817.3935546875,33033.5703125,15635485.4949213,4331,4331,114837850.746094,-108.326714384669,-142.488801662434,177.664049873009,NA
"20","left kidney",6,3,6,26915.5903448112,15590.853515625,43483.26171875,17934227.1443186,4432,4432,119289896.408203,-116.018727436823,-140.841155234657,116.180279783394,NA
"19","right kidney",7,4,7,24250.2949149423,14887.470703125,29366.033203125,4434077.30919155,6198,6198,150303327.882812,-87.4096482736367,-141.956921587609,116.759115843821,NA
"22","stomach wall",8,5,8,28035.0476962776,15574.05078125,45227.75,24687939.4576623,9188,9188,257586018.233398,-124.838593818024,-138.413147583805,131.940792337832,NA
"10","stomach lumen",9,5,9,14156.6109882588,8677.6806640625,23973.80859375,7498041.30944699,3313,3313,46900852.2041016,-127.739209175973,-138.059462722608,130.096287352852,NA
"29","medial lobe of liver",10,6,10,41567.198480528,10916.462890625,59205.6953125,37670041.1299999,72609,72609,3018152714.47266,-97.8355162583151,-118.911278216199,159.087991846741,NA
"40","left lobe of liver ",11,6,11,43658.3361149835,12175.4287109375,60951,52980264.6095392,39963,39963,1744718086.16309,-124.480969897155,-129.412381452844,145.646798288417,NA
"43","right lobe of liver",12,6,12,43016.7021721399,11817.7783203125,62561.24609375,66919626.6537133,23155,23155,996051738.795898,-78.8565752537249,-142.80531202764,140.085035629454,NA
"14","caudate lobe of liver",13,6,13,34343.0788983641,11525.962890625,44868.26953125,38419478.075933,10328,10328,354695318.862305,-96.7520333075136,-136.051219984508,135.16101859024,NA
"6","left adrenal",14,7,14,33827.9571940104,21728.9375,41635.71484375,19342288.0025585,564,564,19078967.8574219,-113.487588652482,-152.441489361702,127.789007092199,NA
"50","right adrenal",15,8,15,33069.6052117599,16219.927734375,40114.6953125,20719121.3155682,608,608,20106319.96875,-91.4276315789474,-153.254934210526,128.580592105263,NA
"18","rectum/hindgut",16,9,16,24589.9447006905,18053.84765625,33093.13671875,7585939.91061894,1842,1842,45294678.1386719,-103.495114006515,-100.921281216069,98.1074918566775,NA
"16","bladder",17,10,17,22587.9788600065,9141.7841796875,31369.048828125,16897889.8322089,4194,4194,94733983.3388672,-102.723652837387,-102.773485932284,120.845731998093,NA
"21","heart: left ventricle",18,11,18,31617.6692662653,23128.4765625,36640.390625,4663680.77120295,3563,3563,112653755.595703,-111.614369912995,-123.547010945832,190.738422677519,NA
"15","heart: right ventricle",19,11,19,32798.2972340703,23375.828125,43122.41015625,7193822.53656004,2872,2872,94196709.65625,-102.087743732591,-121.589136490251,192.825557103064,NA
"49","left thymic rudiment",20,12,20,28787.3586330088,20568.4453125,32864.125,9099863.61407483,995,995,28643421.8398438,-108.100502512563,-134.950753768844,214.669346733668,NA
"31","right thymic rudiment",21,13,21,28432.2064434163,20543.353515625,32848.36328125,8359038.27398688,1030,1030,29285172.6367188,-98.8427184466019,-132.86213592233,215.178640776699,NA
"1","brain: third ventricle",22,14,22,17587.2887649304,11386.513671875,24506.650390625,7601413.63071219,1316,1316,23144872.0146484,-106.167933130699,-102.524316109422,288.297872340426,NA
"38","brain: mesencephalic vesicle",23,14,23,13283.1164356996,9272.279296875,22248.673828125,6955765.87105527,3389,3389,45016481.6005859,-106.670404249041,-139.604898200059,309.696960755385,NA
"28","brain: fourth ventricle",24,14,24,16482.8405076676,9607.525390625,27289.4609375,9570757.05178921,2427,2427,40003853.9121094,-107.003708281829,-144.840955912649,285.14297486609,NA
"27","brain: cerebral aqueduct",25,14,25,19184.9759038881,11433.189453125,26481.701171875,7011510.94957274,473,473,9074493.60253906,-106.953488372093,-142.302325581395,295.830866807611,NA
"36","brain: left lateral ventricle",26,14,26,24337.282344774,12394.1767578125,34279.58203125,24990044.0194263,1297,1297,31565455.2011719,-117.992289899769,-88.4518118735544,302.101773323053,NA
"42","brain: right lateral ventricle",27,14,27,20994.9825958376,11952.234375,28848.68359375,13130602.2081496,1482,1482,31114564.2070312,-91.7591093117409,-91.3663967611336,303.431174089069,NA
"26","brain: right olfactory bulb",28,14,28,21878.3874118304,14019.287109375,29472.162109375,7159239.73577842,1750,1750,38287177.9707031,-95.628,-67.1645714285714,285.029714285714,NA
"12","brain: left olfacotory bulb",29,14,29,23373.2777124708,14921.9814453125,32249.349609375,8936128.20751146,1605,1605,37514110.7285156,-115.045482866044,-67.6,284.505919003115,NA
"47","brain: right thalamus ",30,14,30,22902.8972086203,14593.923828125,39784.609375,5025130.34090423,11406,11406,261230445.561523,-98.5861827108539,-106.291951604419,300.696738558653,NA
"45","brain: left thalamus",31,14,31,24044.0565043321,13804.4521484375,34947.94921875,6623994.14811714,10411,10411,250322672.266602,-114.51090193065,-106.280472577082,300.602919988474,NA
"24","brain: right hypothamalus ",32,14,32,21954.5216194315,13881.123046875,29177.28125,4181752.63749288,8366,8366,183671527.868164,-97.2817355964619,-105.082954817117,279.926727229261,NA
"3","brain: left hypothalmus",33,14,33,21842.7119404021,14402.7373046875,28940.939453125,3338978.47102894,8305,8305,181403722.665039,-113.834196267309,-104.937025888019,279.960385310054,NA
"7","brain: right septal area",34,14,34,20205.1638886695,12174.6162109375,27301.23828125,5626094.11793391,3264,3264,65949654.9326172,-100.72181372549,-82.9132965686274,285.923100490196,NA
"33","brain: left septal area",35,14,35,20720.9362768135,14587.7197265625,28392.388671875,6780553.45696932,2851,2851,59075389.3251953,-110.983163802175,-83.1623991581901,286.256752016836,NA
"37","brain: left neopallial cortex abd amygdala",36,14,36,22538.5921713998,15220.5625,32543.92578125,8119391.67412904,20732,20732,467270092.897461,-82.0488616631295,-95.0210302913371,299.313332047077,NA
