"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,3372.47852201579,0,57286.05859375,37281776.2323851,20392723,20392724,0,0,0,0,NA
"45","left lung",1,1,1,33549.8548122557,16180.353515625,43182.64453125,23697894.929907,12537,12537,420614529.78125,-82.8510010369307,-79.1918321767568,170.385419159289,NA
"46","right lung: cranial lobe",2,2,2,31025.8466651677,14809.060546875,37853.64453125,19476360.8019344,7062,7062,219104529.149414,-119.546162560181,-76.2558765222317,183.106768620787,NA
"39","right lung: middle lobe",3,2,3,29796.2308486359,14830.609375,37259.28125,19058193.3441919,5347,5347,159320446.347656,-125.262577146063,-90.7849261268001,175.747147933421,NA
"42","right lung: caudal lobe",4,2,4,31735.9741528365,17028.40234375,37897.04296875,15157585.2198604,11906,11906,377848508.263672,-117.430119267596,-77.2828825802117,160.119015622375,NA
"41","right lung: accessory lobe",5,2,5,29868.4444291149,15738.0107421875,38139.390625,21517025.0268151,4339,4339,129599180.37793,-96.0350311131597,-87.6070523162019,168.720903433971,NA
"20","left kidney",6,3,6,29574.5297731467,16136.5625,36100.2265625,8050901.15807618,4513,4513,133469852.866211,-89.3199645468646,-100.849102592511,109.836472413029,NA
"28","right kidney",7,4,7,28897.4461992699,20332.154296875,34825.16796875,5986750.82470757,5427,5427,156826440.523438,-116.020637552976,-98.8033904551317,108.85461580984,NA
"13","stomach wall",8,5,8,30785.0675129869,16309.62890625,45885.0625,18268544.5241073,9595,9595,295382722.787109,-78.3869723814487,-99.4985930171965,125.8852527358,NA
"14","stomach lumen",9,5,9,14338.8944484743,9423.265625,28428.1953125,9656626.52818866,5132,5132,73587206.3095703,-75.7991036632892,-100.6424395947,124.46395167576,NA
"22","medial lobe of liver",10,6,10,42398.7854431916,16583.693359375,53435.8125,19718572.1355112,68700,68700,2912796559.94727,-110.477088791849,-113.897758369723,153.237525473071,NA
"48","left lobe of liver ",11,6,11,46820.7913837508,19429.474609375,62547.15234375,39790792.7401953,41373,41373,1937116601.91992,-79.9115365093177,-106.876006090929,141.213738428444,NA
"15","right lobe of liver",12,6,12,42119.1152164954,15304.9326171875,50835.18359375,26251951.8704614,20919,20919,881089771.213867,-123.741861465653,-91.7686791911659,130.513839093647,NA
"12","caudate lobe of liver",13,6,13,37687.3634255632,14919.3056640625,47677.85546875,25442414.8527215,9873,9873,372087339.100586,-107.387724096019,-100.969208953712,128.169350754583,NA
"19","left adrenal",14,7,14,39196.3772026432,26277.38671875,49810.1953125,35677232.0440324,681,681,26692732.875,-90.1130690161527,-87.2481644640235,120.496328928047,NA
"17","right adrenal",15,8,15,38573.559411951,23016,46602.6953125,22051721.0428335,666,666,25689990.5683594,-111.244744744745,-85.5705705705706,119.513513513514,NA
"23","rectum/hindgut",16,9,16,28379.5858730568,21654.583984375,38081.6484375,11672948.0059741,1576,1576,44726227.3359375,-104.184010152284,-140.77347715736,102.034898477157,NA
"50","bladder",17,10,17,25637.8273465287,10085.646484375,40095.265625,23862435.2751975,4358,4358,111729651.576172,-106.35658558972,-133.924047728316,122.405461220743,NA
"37","heart: left ventricle",18,11,18,36289.0400622689,21333.546875,55008.55859375,13244004.5788455,4124,4124,149656001.216797,-95.0526188166828,-105.543646944714,185.609117361785,NA
"33","heart: right ventricle",19,11,19,36183.4861096398,27336.873046875,48711.51171875,10230271.0302911,2655,2655,96067155.6210938,-105.383427495292,-106.458003766478,188.117890772128,NA
"26","left thymic rudiment",20,12,20,34088.4407124596,21872.21484375,40022.3125,20911254.0730838,929,929,31668161.421875,-97.4962325080732,-89.967707212056,207.806243272336,NA
"34","right thymic rudiment",21,13,21,33472.454578142,22823.197265625,38946.05859375,18196144.4517434,918,918,30727713.3027344,-107.040305010893,-90.4041394335512,208.818082788671,NA
"31","brain: third ventricle",22,14,22,20551.1720461111,13859.517578125,27428.4375,8812819.03333738,1033,1033,21229360.7236328,-103.145208131655,-121.982575024201,278.068731848984,NA
"7","brain: mesencephalic vesicle",23,14,23,17176.7017627165,11213.0634765625,24712.544921875,9214051.10088514,4142,4142,71145898.7011719,-100.347899565427,-85.9852728150652,302.817238049252,NA
"4","brain: fourth ventricle",24,14,24,20150.399660188,13455.671875,25843.337890625,6597206.72090424,2583,2583,52048482.3222656,-99.5942702284166,-79.11420828494,278.106465350368,NA
"24","brain: cerebral aqueduct",25,14,25,21521.873678034,13903.1435546875,24753.216796875,3160931.34511448,704,704,15151399.0693359,-100.018465909091,-82.7159090909091,288.910511363636,NA
"5","brain: left lateral ventricle",26,14,26,27364.9143992457,12846.6484375,33961.26953125,17501501.5176805,1421,1421,38885543.3613281,-89.9880365939479,-135.106966924701,292.046446164673,NA
"8","brain: right lateral ventricle",27,14,27,25165.4773904552,14105.634765625,32247.20703125,13826538.1517155,1334,1334,33570746.8388672,-118.02323838081,-133.707646176912,292.709145427286,NA
"3","brain: right olfactory bulb",28,14,28,25536.2851472286,20077.21875,31332.625,4248217.10039314,1732,1732,44228845.875,-115.459584295612,-156.157043879908,275.021362586605,NA
"10","brain: left olfacotory bulb",29,14,29,26503.2390726822,18512.771484375,32395.953125,5318056.33450261,1688,1688,44737467.5546875,-96.8240521327014,-157.303909952607,274.92654028436,NA
"9","brain: right thalamus ",30,14,30,25535.7739844526,17393.47265625,41386.87890625,5079889.70901656,11077,11077,282859768.425781,-110.857452378803,-119.422858174596,291.394150040625,NA
"47","brain: left thalamus",31,14,31,26331.2398721096,17534.548828125,36489.42578125,4689352.61035396,10179,10179,268025690.658203,-95.3461047254151,-120.677178504765,291.160821298752,NA
"40","brain: right hypothamalus ",32,14,32,24963.0752169816,17047.001953125,36098.34765625,5734886.19065768,6715,6715,167627050.082031,-110.836038719285,-118.124944154877,270.352196574832,NA
"1","brain: left hypothalmus",33,14,33,25814.4359594433,17979.68359375,34058.26953125,3876989.16727741,6907,6907,178300309.171875,-95.5601563631099,-120.029390473433,270.336615028232,NA
"2","brain: right septal area",34,14,34,23361.5143494481,18696.384765625,30828.326171875,4894514.04717954,2871,2871,67070907.6972656,-109.285963079067,-140.861720654824,276.413444792755,NA
"30","brain: left septal area",35,14,35,23783.1701048666,19089.736328125,32180.640625,5303856.29728497,2679,2679,63715112.7109375,-99.8167226577081,-141.345651362449,276.547592385218,NA
"27","brain: left neopallial cortex abd amygdala",36,14,36,26584.456920634,19601.330078125,35628.46875,12678977.805472,19087,19087,507417529.244141,-126.820977628753,-128.021271022162,289.199507518206,NA
"29","brain: right neopallial cortex and amygdala",37,14,37,28293.6623065484,18281.951171875,37703.4296875,13791693.6222856,18682,18682,528582199.210938,-81.0372015844128,-129.738946579595,288.667326838668,NA
"43","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,25311.5844007477,20883.31640625,32435.60546875,4394712.77839337,6023,6023,152451672.845703,-125.693840278931,-131.478333056616,284.829154906193,NA
"21","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,28079.555085691,22454.3046875,34984.32421875,4986957.82909455,5989,5989,168168455.408203,-82.1450993488061,-134.721823342795,283.868926365002,NA
"49","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,32384.127551549,25485.833984375,39134.96484375,6908809.53456386,13499,13499,437153337.818359,-119.551226016742,-132.602340914142,295.200237054597,NA
"44","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,34293.7329504001,27561.939453125,40831.734375,5390905.71600183,12036,12036,412759369.791016,-88.6316882685278,-134.664174144234,294.621136590229,NA
"11","pons",42,15,42,26061.3118157396,16343.7744140625,34736.44140625,4786064.12811802,23293,23293,607046136.124023,-101.276993088052,-93.8467780019748,275.132700811403,NA
"18","left cerebellar primordium ",43,16,43,25663.2485570714,19146.4296875,35492.00390625,6955134.03176201,6194,6194,158958161.5625,-85.1369066838876,-81.706651598321,280.467710687762,NA
"16","right cerebellar primordium",44,17,44,24691.2642233152,18756.900390625,32865.8203125,4980998.37452147,6811,6811,168172200.625,-117.172955513141,-80.5698135369256,280.471296432242,NA
"6","midbrain",45,18,45,25660.571985661,17805.357421875,42780.921875,8031478.32039035,33619,33619,862682769.585938,-101.143014366876,-93.3637228947916,303.318897052262,NA
"51","medulla oblongata",46,19,46,25254.2923065673,19217.193359375,31410.076171875,3311277.20567024,17414,17414,439778246.226562,-100.737969449868,-71.4078327782244,266.330308946824,NA
"36","spinal cord",47,20,47,27645.7155482257,16529.470703125,41960.234375,10402067.9083736,56741,56741,1568645545.92188,-100.411748118644,-66.4014909853545,173.770501048624,NA
"32","vertebrae",48,21,48,22839.7833723379,16660.609375,28412.205078125,2769765.3586349,9661,9661,220655147.160156,-102.417244591657,-96.5154745885519,148.986750853949,NA
