"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,3312.25314976006,0,50709.640625,32344467.5689266,20389395,20389396,0,0,0,0,NA
"48","left lung",1,1,1,29719.7857695386,12819.1513671875,40029.609375,23192332.2555223,12718,12718,377976235.416992,-81.7627771662211,-76.5176914609215,179.29658751376,NA
"50","right lung: cranial lobe",2,2,2,29183.4345622606,14943.0947265625,37171.99609375,16877195.9348221,7277,7277,212367853.30957,-119.198158581833,-76.0081077367047,190.604644771197,NA
"3","right lung: middle lobe",3,2,3,27905.7218300736,14638.103515625,34828.6796875,14196505.5431485,5156,5156,143881901.755859,-124.886927851047,-89.0104732350659,182.888091543832,NA
"46","right lung: caudal lobe",4,2,4,29444.477400895,13312.0029296875,37869,15350923.6248508,10920,10920,321533693.217773,-116.153205128205,-73.9351648351648,167.633424908425,NA
"18","right lung: accessory lobe",5,2,5,26839.4154175303,12444.4921875,33938.828125,16081221.7497504,4900,4900,131513135.545898,-95.450612244898,-86.0308163265306,175.318367346939,NA
"25","left kidney",6,3,6,25966.9331758657,13639.736328125,36865.4609375,8866446.84607914,4994,4994,129678864.280273,-83.8660392470965,-88.8856627953544,115.618942731278,NA
"27","right kidney",7,4,7,25463.8375102589,16357.7021484375,35303.40625,4300372.88717835,5959,5959,151739007.723633,-112.506796442356,-87.0184594730659,112.960731666387,NA
"35","stomach wall",8,5,8,26548.9718546888,12153.609375,45075.1328125,21222316.426208,9866,9866,261932156.318359,-76.1804175957835,-93.7270423677275,132.206872085952,NA
"32","stomach lumen",9,5,9,12980.0589737593,7426.7568359375,24161.640625,9588794.96124511,4848,4848,62927325.9047852,-73.6243811881188,-94.411303630363,131.280734323432,NA
"23","medial lobe of liver",10,6,10,42981.8384036775,11500.67578125,63533.80078125,51648003.3365769,77230,77230,3319487379.91602,-105.201994043765,-110.685769778583,158.520264146057,NA
"24","left lobe of liver ",11,6,11,43600.3516330411,10311.6708984375,58564.17578125,66616941.5864033,43539,43539,1898315709.75098,-77.6566526562392,-102.77629251935,144.648843565539,NA
"28","right lobe of liver",12,6,12,43537.4569287209,13737.9912109375,60834.96484375,59851349.5219096,24069,24069,1047903050.81738,-122.461797332669,-87.0655199634384,137.116706136524,NA
"37","caudate lobe of liver",13,6,13,35096.8817139846,14298.923828125,44924.85546875,26426505.0040673,10394,10394,364796988.535156,-106.846642293631,-93.7564941312296,130.754954781605,NA
"29","left adrenal",14,7,14,32695.6747774978,23106.7734375,40705.76171875,15711962.1628051,862,862,28183671.6582031,-84.7412993039443,-77.2343387470998,127.155452436195,NA
"31","right adrenal",15,8,15,33839.0330816872,18551.54296875,41111.28125,16707659.9375847,772,772,26123733.5390625,-109.314766839378,-76.1269430051813,125.974093264249,NA
"49","rectum/hindgut",16,9,16,26127.2852235634,19012.611328125,34479.50390625,7717149.26673497,1886,1886,49276059.9316406,-97.0901378579003,-128.470837751856,96.7613997879109,NA
"41","bladder",17,10,17,24588.0491060978,14316.8779296875,44647.26953125,19254651.5055461,4005,4005,98475136.6699219,-100.938826466916,-127.725343320849,117.671161048689,NA
"19","heart: left ventricle",18,11,18,32828.1759271284,24320.673828125,39547.796875,4453704.85607599,4512,4512,148120729.783203,-95.352615248227,-104.164671985816,189.939494680851,NA
"34","heart: right ventricle",19,11,19,34417.7293490706,26462.15234375,41130.50390625,4890647.25064708,3248,3248,111788784.925781,-106.221674876847,-105.139778325123,192.571120689655,NA
"21","left thymic rudiment",20,12,20,30395.8422656927,20325.021484375,34765.08984375,9723873.07046411,1154,1154,35076801.9746094,-97.9367417677643,-92.0589254766031,216.419410745234,NA
"43","right thymic rudiment",21,13,21,30255.6289508827,20639.228515625,34883.546875,10995514.351604,1094,1094,33099658.0722656,-107.571297989031,-92.617915904936,216.934186471664,NA
"45","brain: third ventricle",22,14,22,18637.5769327172,11159.125,26665.49609375,9230730.20298901,1426,1426,26577184.7060547,-103.135343618513,-128.683730715288,284.852033660589,NA
