"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,2944.32811100663,0,49109.82421875,26287004.4089855,20446192,20446192,0,0,0,0,NA
"51","left lung",1,1,1,29441.6720260809,11276.193359375,41066.01953125,37012517.694506,10814,10814,318382241.290039,-82.787497688182,-75.187164786388,175.778250416127,NA
"24","right lung: cranial lobe",2,2,2,25143.6588154702,11962.6396484375,31762.720703125,16276822.295245,6368,6368,160114819.336914,-118.894786432161,-73.1678706030151,188.111809045226,NA
"2","right lung: middle lobe",3,2,3,24538.9499635598,11514.55078125,31718.85546875,17281106.8484448,4454,4454,109296483.137695,-124.366861248316,-86.5720700493938,180.958913336327,NA
"44","right lung: caudal lobe",4,2,4,25743.5953434546,12167.8212890625,32101.9296875,13295868.4175005,10657,10657,274349495.575195,-117.063150980576,-72.410528291264,166.135310124801,NA
"25","right lung: accessory lobe",5,2,5,24324.0783026483,11482.7275390625,32700.5703125,18579225.5038173,3881,3881,94401747.8925781,-95.9564545220304,-83.7119299149704,173.115434166452,NA
"11","left kidney",6,3,6,25117.7461801811,13029.17578125,32232.1484375,7710774.09719631,4463,4463,112100501.202148,-89.8099932780641,-92.2209276271566,115.780416760027,NA
"12","right kidney",7,4,7,23551.1954094822,15625.9638671875,29319.857421875,4845944.33608871,5216,5216,122843035.255859,-117.315375766871,-88.0538726993865,116.949578220859,NA
"19","stomach wall",8,5,8,25496.7106176734,12163.0595703125,43135.8671875,16070986.4653332,9261,9261,236125037.030273,-78.721196415074,-93.7028398661052,130.620991253644,NA
"29","stomach lumen",9,5,9,11912.4887232463,7695.03515625,22706.40625,5687839.84618114,5971,5971,71129470.1665039,-76.3783285881762,-94.9371964495059,129.54412996148,NA
"49","medial lobe of liver",10,6,10,39654.0284277366,10287.8740234375,62004.52734375,32383406.4239153,57117,57117,2264919141.70703,-108.096818810512,-108.984960694714,158.232557732374,NA
"46","left lobe of liver ",11,6,11,41311.9177220048,10182.1103515625,54693.25390625,36389059.3319717,37401,37401,1545107034.7207,-80.2772653137617,-100.097056228443,146.243415951445,NA
"47","right lobe of liver",12,6,12,39296.4063652537,13923.1767578125,56052.71875,36023905.1151085,20361,20361,800114130.00293,-124.612740042238,-86.7948037915623,138.455527724571,NA
"43","caudate lobe of liver",13,6,13,33736.5674279739,15212.58203125,43596.12109375,25626063.7907405,9082,9082,306395505.380859,-108.739154371284,-93.9121338912134,134.105813697423,NA
"6","left adrenal",14,7,14,32301.3967653752,19237.13671875,43190.984375,29751552.0494897,563,563,18185686.3789062,-90.4227353463588,-80.2131438721137,125.600355239787,NA
"30","right adrenal",15,8,15,30500.0712151092,17204.921875,38708.13671875,19234604.3646024,515,515,15707536.6757812,-112.08932038835,-77.5165048543689,127.6,NA
"31","rectum/hindgut",16,9,16,23805.9435331894,16703.78125,32835.71484375,6025876.670333,1708,1708,40660551.5546875,-103.634074941452,-131.162763466042,102.504098360656,NA
"8","bladder",17,10,17,21865.999055179,11901.1494140625,46205.19921875,16189970.7547333,3815,3815,83418786.3955078,-104.25373525557,-128.736828309305,123.239842726081,NA
"35","heart: left ventricle",18,11,18,29676.5787522268,19665.01953125,44049.30859375,10722473.5350053,4210,4210,124938396.546875,-95.6451306413302,-102.828266033254,187.432779097387,NA
"14","heart: right ventricle",19,11,19,30724.5991952165,20996.865234375,43325.17578125,11785607.6992397,2523,2523,77518163.7695312,-105.321046373365,-102.961950059453,189.513674197384,NA
