"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,3166.98390164194,0,58922.86328125,29717196.4311118,20409527,20409528,0,0,0,0,NA
"4","left lung",1,1,1,28293.6357315534,10790.4599609375,37584.234375,24022654.4402396,11020,11020,311795865.761719,-82.1833030852995,-74.3205081669691,185.306352087114,NA
"3","right lung: cranial lobe",2,2,2,26873.258599338,12424.8544921875,34701.42578125,13584996.1096765,5837,5837,156859210.444336,-119.401404831249,-74.0997087544972,198.213465821484,NA
"22","right lung: middle lobe",3,2,3,25534.768308947,12337.998046875,40220.8828125,14858949.8842682,4578,4578,116898169.318359,-124.77872433377,-87.6304062909568,191.475753604194,NA
"9","right lung: caudal lobe",4,2,4,27267.8230619191,13105.263671875,40276.36328125,15187011.0015555,9724,9724,265152311.454102,-117.752262443439,-71.3583916083916,177.292369395311,NA
"49","right lung: accessory lobe",5,2,5,24096.481893461,11871.8837890625,30752.32421875,10001730.3522302,4088,4088,98506417.9804688,-96.0836594911937,-82.9576810176125,182.967221135029,NA
"45","left kidney",6,3,6,25267.5018877484,12210.412109375,37015.078125,15461121.6704911,5019,5019,126817591.974609,-85.148236700538,-82.0410440326758,124.81589958159,NA
"32","right kidney",7,4,7,24732.702474612,16237.5546875,32548.76953125,5023930.41222231,5976,5976,147802629.988281,-113.458165997323,-80.4431057563588,121.692269076305,NA
"13","stomach wall",8,5,8,25540.2687543288,11696.8564453125,40048.328125,17120816.7793555,8663,8663,221255348.21875,-77.3416830197391,-87.8768325060603,139.253491861942,NA
"16","stomach lumen",9,5,9,12620.9300880251,6997.30517578125,23544.7734375,9139685.25389466,4212,4212,53159357.5307617,-74.7860873694207,-88.017094017094,138.067188983856,NA
"21","medial lobe of liver",10,6,10,39471.3941811449,11542.80859375,59062.69921875,33988928.3781571,68721,68721,2712513679.52246,-111.806478369057,-105.959648433521,164.001818949084,NA
"20","left lobe of liver ",11,6,11,39361.7753663762,11794.8515625,54179.703125,38653650.4544626,39588,39588,1558253963.2041,-80.3917601293321,-98.5894210366778,152.192204708498,NA
"17","right lobe of liver",12,6,12,39703.0856935907,11362.728515625,56586.57421875,39353961.007532,28495,28495,1131339426.83887,-125.026566064222,-82.5131075627303,142.995367608352,NA
"10","caudate lobe of liver",13,6,13,32582.7255013376,16308.90625,46825.453125,13533254.1566481,11728,11728,382130204.679688,-108.808577762619,-89.0758015006821,137.822731923602,NA
"18","left adrenal",14,7,14,32026.9919261259,21262.48828125,45127.28515625,25831456.4860791,680,680,21778354.5097656,-86.0485294117647,-71.0926470588235,136.814705882353,NA
"19","right adrenal",15,8,15,31610.4316004726,18163.919921875,40764.94140625,18043207.8453592,681,681,21526703.9199219,-109.892804698972,-70.4977973568282,135.543318649046,NA
"6","rectum/hindgut",16,9,16,24784.3090694058,18239.5546875,33423.328125,7873157.7162494,1663,1663,41216305.9824219,-98.956704750451,-120.874323511726,104.899579073963,NA
"39","bladder",17,10,17,21072.2571347346,11360.8837890625,33696.51171875,12973240.6477928,3837,3837,80854250.6259766,-102.055772739119,-120.636434714621,126.366953348971,NA
"11","heart: left ventricle",18,11,18,30153.8756375085,19049.203125,38955.09375,8365845.06778601,4041,4041,121851811.451172,-94.4444444444444,-102.732244493937,195.017817371938,NA
"14","heart: right ventricle",19,11,19,30151.8578465603,18702.533203125,42899.875,9775434.62250495,2741,2741,82646242.3574219,-104.710689529369,-104.941991973732,197.891280554542,NA
"41","left thymic rudiment",20,12,20,27680.0055762816,18424.544921875,31989.314453125,10227770.2320509,890,890,24635204.9628906,-97.7539325842697,-89.1786516853933,221.983146067416,NA
"42","right thymic rudiment",21,13,21,27524.7104732669,19536.83203125,32501.134765625,8781318.18130935,934,934,25708079.5820312,-107.319057815846,-90.5203426124197,222.304068522484,NA
"23","brain: third ventricle",22,14,22,17023.835614277,11108.2138671875,23305.66796875,6923957.09503322,1275,1275,21705390.4082031,-104.583529411765,-126.225098039216,288.752941176471,NA
"33","brain: mesencephalic vesicle",23,14,23,12508.1659607345,7818.34619140625,21012.1796875,8336629.9312756,4003,4003,50070188.3408203,-100.165875593305,-91.3170122408194,313.830876842368,NA
"38","brain: fourth ventricle",24,14,24,15240.3047164114,8778.734375,22937.208984375,8709899.29432885,2432,2432,37064421.0703125,-98.1282894736842,-84.1796875,289.747121710526,NA
"1","brain: cerebral aqueduct",25,14,25,17200.2252001122,9379.2001953125,22274.0859375,5312643.96697657,529,529,9098919.13085938,-99.6862003780718,-87.812854442344,299.674858223062,NA
"35","brain: left lateral ventricle",26,14,26,22892.4971641541,12358.9013671875,30913.119140625,21319145.629144,1280,1280,29302396.3701172,-93.58046875,-141.5484375,301.61640625,NA
"27","brain: right lateral ventricle",27,14,27,21305.0017935949,12031.0703125,29420.248046875,15257807.6844537,1310,1310,27909552.3496094,-120.170229007634,-137.43893129771,302.551908396947,NA
"46","brain: right olfactory bulb",28,14,28,22129.9573976923,16371.302734375,29642.3984375,4931383.80564431,1583,1583,35031722.5605469,-118.895135818067,-158.526216045483,282.288692356286,NA
"37","brain: left olfacotory bulb",29,14,29,22561.5414746716,16479.033203125,30162.439453125,5551028.24605392,1570,1570,35421620.1152344,-100.467515923567,-160.925477707006,282.080891719745,NA
"29","brain: right thalamus ",30,14,30,22197.0087333552,14255.6015625,34979.7890625,5165403.0775348,11307,11307,250981577.748047,-112.266383656142,-123.48925444415,301.874767842929,NA
"26","brain: left thalamus",31,14,31,22978.1826784396,12930.75390625,37104.1328125,5184540.28006621,10411,10411,239225859.865234,-96.4382864278167,-125.469407357603,301.577946402843,NA
"51","brain: right hypothamalus ",32,14,32,21021.7639154424,13403.9296875,29827.8984375,3360708.43386697,7666,7666,161152842.175781,-112.601747978085,-121.604487346726,281.3956430994,NA
"8","brain: left hypothalmus",33,14,33,21447.4955494133,15599.1669921875,30084.54296875,2557516.4873341,7587,7587,162722148.733398,-96.6715434295506,-123.833531039937,280.78779491235,NA
"50","brain: right septal area",34,14,34,20904.7491002379,15050.73046875,28637.52734375,3973914.37509929,2772,2772,57947964.5058594,-112.163059163059,-144.238095238095,284.661976911977,NA
"2","brain: left septal area",35,14,35,21291.7513659467,16198.0341796875,28624.044921875,3752671.36218056,2676,2676,56976726.6552734,-102.643497757848,-145.182361733931,284.50485799701,NA
"31","brain: left neopallial cortex abd amygdala",36,14,36,22641.9616590034,16508.640625,29737.15234375,6580747.65326547,19856,19856,449578790.701172,-129.025181305399,-132.170678887994,299.433672441579,NA
"25","brain: right neopallial cortex and amygdala",37,14,37,23814.5314663144,15940.41796875,31646.5703125,7451049.72090545,17995,17995,428542493.736328,-83.9488191164212,-136.552931369825,298.14248402334,NA
"48","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,23507.9109180979,17343.53515625,29806.7265625,5639317.9566953,5899,5899,138673166.505859,-128.28242074928,-134.420240718766,293.418036955416,NA
"47","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,25000.8656606007,19572.30078125,31214.951171875,4722906.7309745,5563,5563,139079815.669922,-84.9940679489484,-139.744742045659,291.907963329139,NA
"28","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,29646.9158953261,20610.404296875,35186.13671875,4261893.94486182,12404,12404,367740344.765625,-121.396726862302,-137.435504675911,304.109722670106,NA
"24","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,30642.3936798045,23565.279296875,35224.0625,2789594.64849036,11419,11419,349905493.429688,-91.6166039057711,-140.615202732288,302.908223136877,NA
"30","pons",42,15,42,21619.8006836558,13256.8369140625,30069.982421875,3203706.00718677,22044,22044,476586886.270508,-100.450326619488,-98.1646706586826,286.196697514063,NA
"43","left cerebellar primordium ",43,16,43,22174.4908801632,15333.0302734375,32423.447265625,4541837.89111474,5019,5019,111293769.727539,-84.3528591352859,-87.6238294480972,292.135485156406,NA
"44","right cerebellar primordium",44,17,44,20344.9003667126,12544.9599609375,34107.87890625,6168087.86258801,5840,5840,118814218.141602,-115.109417808219,-84.3337328767123,292.368835616438,NA
"34","midbrain",45,18,45,21380.757750984,12692.0390625,31688.998046875,2681881.9981571,30337,30337,648628047.891602,-101.337772357188,-98.6253749546758,314.717671490259,NA
"40","medulla oblongata",46,19,46,21092.9977812403,15011.423828125,27823.1328125,4543119.61700674,16095,16095,339491799.289062,-98.8236098167133,-75.9975768872321,278.774339857098,NA
"12","spinal cord",47,20,47,24722.3599918216,12820.0751953125,42202.203125,18689514.5238787,40847,40847,1009834238.58594,-98.4065414840747,-60.6124072759321,196.850148113693,NA
"15","vertebrae",48,21,48,19647.2904764691,14735.7763671875,27594.666015625,1955761.00121986,16988,16988,333768170.614258,-99.2605368495409,-78.5649281846009,151.607605368495,NA
"5","heart: left ventricle chamber",102,11,49,21369.0998924053,11660.5029296875,29100.541015625,19156074.4258767,452,452,9658833.15136719,-94.9690265486726,-102.37610619469,195.871681415929,NA
"7","heart: right ventricle chamber",103,11,50,24687.8375355114,17495.12109375,36314.82421875,10208891.6469788,198,198,4888191.83203125,-105.222222222222,-106.257575757576,198.520202020202,NA
