"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,3483.7142712051,0,57441.58203125,39113834.6961301,20351162,20351162,0,0,0,0,NA
"15","left lung",1,1,1,31550.3293213459,10268.1015625,42607.63671875,24492305.3786343,15476,15476,488272896.577148,-81.5043292840527,-77.5564099250452,176.474799689842,NA
"13","right lung: cranial lobe",2,2,2,31129.9342672992,13737.09765625,38615.1796875,19572211.9964207,9314,9314,289944207.765625,-120.855701095126,-74.7943955336053,187.619604895856,NA
"19","right lung: middle lobe",3,2,3,30052.9584157686,13993.724609375,38406.04296875,21892337.9042692,5939,5939,178484520.03125,-123.955716450581,-91.3744738171409,181.129314699444,NA
"17","right lung: caudal lobe",4,2,4,31051.8834921322,13704.98046875,39555.8984375,19363456.47144,13139,13139,407990697.203125,-117.397671055636,-71.9475606971611,165.662911941548,NA
"20","right lung: accessory lobe",5,2,5,29714.0760249866,10844.5986328125,37590.5390625,22828388.5494402,6163,6163,183127850.541992,-95.6427064741197,-86.996430309914,172.83903942885,NA
"50","left kidney",6,3,6,28600.0716600851,17854.6015625,40988.53125,15473755.4901912,6038,6038,172687232.683594,-86.1659489897317,-92.5028155018218,108.974163630341,NA
"1","right kidney",7,4,7,25532.7951126277,13926.4755859375,39813.26171875,5289138.83012677,7710,7710,196857850.318359,-115.625810635538,-88.5098573281453,107.171595330739,NA
"5","stomach wall",8,5,8,29027.7097620113,13143.1767578125,46235.41015625,22419209.7175172,11242,11242,326329513.144531,-77.4169186977406,-91.4039316847536,127.79985767657,NA
"25","stomach lumen",9,5,9,15482.9701809762,9804.9326171875,26472.337890625,11247111.2933382,3316,3316,51341529.1201172,-74.5931845597105,-92.2385404101327,126.277442702051,NA
"31","medial lobe of liver",10,6,10,43772.3509084018,11771.431640625,63386.14453125,48235104.8146478,72846,72846,3188640674.27344,-111.016459380062,-108.966806688082,153.604933695742,NA
"11","left lobe of liver ",11,6,11,45372.5957641365,13577.0390625,57903.48046875,43395199.2947856,41296,41296,1873706714.67578,-78.2824244478884,-101.129140836885,142.255182099961,NA
"26","right lobe of liver",12,6,12,42189.52985522,11388.9248046875,58373.69921875,57065273.4158512,25709,25709,1084650623.04785,-124.775370492824,-81.3943366136373,132.715974950406,NA
"3","caudate lobe of liver",13,6,13,36049.2558384418,13156.97265625,48825.3515625,34949599.8778918,14322,14322,516297442.118164,-107.865521575199,-92.3646138807429,127.739840804357,NA
"27","left adrenal",14,7,14,35915.8784294577,22882.37109375,46948.98828125,33866015.1545522,680,680,24422797.3320312,-87.1485294117647,-78.0867647058824,120.316176470588,NA
"29","right adrenal",15,8,15,35761.7800497866,16296.220703125,46757.74609375,45140669.0053713,703,703,25140531.375,-110.27880512091,-76.4096728307255,119.311522048364,NA
"48","rectum/hindgut",16,9,16,27516.7707540761,19917.990234375,37777.203125,10177918.729084,1955,1955,53795286.8242188,-100.657289002558,-137.640920716113,93.2593350383632,NA
"8","bladder",17,10,17,27755.0779359467,14464.7978515625,53332.7890625,27877452.4134976,4587,4587,127312542.492188,-103.590582079791,-134.283845650752,115.559843034663,NA
"21","heart: left ventricle",18,11,18,34706.1779794766,25288.515625,41416.796875,6578726.99756312,4319,4319,149895982.693359,-95.7918499652697,-104.732808520491,185.471405417921,NA
"22","heart: right ventricle",19,11,19,37063.0258802383,25629.8359375,49478.9453125,12062408.0013677,3299,3299,122270922.378906,-106.213094877236,-105.641709608972,188.153076689906,NA
"32","left thymic rudiment",20,12,20,31521.6533449805,22336.626953125,35656.88671875,9675689.47441588,1346,1346,42428145.4023438,-98.3506686478455,-92.5564635958395,211.647102526003,NA
"36","right thymic rudiment",21,13,21,31610.5660024924,22756.982421875,35768.81640625,9144418.51100643,1398,1398,44191571.2714844,-109.252503576538,-92.1330472103004,214.288984263233,NA
"34","brain: third ventricle",22,14,22,20485.9577930821,12626.6005859375,28874.4453125,10067829.4075411,1378,1378,28229649.8388672,-105.965892597968,-128.2206095791,286.195936139332,NA
"42","brain: mesencephalic vesicle",23,14,23,14513.3167725571,9108.03125,23065.36328125,11822060.2681404,3807,3807,55252196.953125,-102.534016285789,-91.6947727869714,311.901759915944,NA
"6","brain: fourth ventricle",24,14,24,18412.4672599949,9901.65625,27064.65234375,10750211.433637,2581,2581,47522577.9980469,-101.187136768694,-83.7717938783417,287.560635412631,NA
"43","brain: cerebral aqueduct",25,14,25,20768.0897946919,11530.8271484375,27180.71875,6960015.57256864,637,637,13229273.1992188,-101.992150706436,-87.6373626373626,298.494505494506,NA
"41","brain: left lateral ventricle",26,14,26,26857.3532831433,13228.5322265625,36449.421875,22759311.0382031,1403,1403,37680866.65625,-92.6920883820385,-140.902352102637,299.466856735567,NA
"2","brain: right lateral ventricle",27,14,27,25148.0856159764,14313.2529296875,33920.45703125,15801381.7051711,1303,1303,32767955.5576172,-121.779739063699,-137.983883346124,300.04221028396,NA
"44","brain: right olfactory bulb",28,14,28,24786.0951577516,17542.60546875,31790.00390625,5404639.97159831,1873,1873,46424356.2304688,-118.887880405766,-162.995194874533,282.291510945008,NA
"40","brain: left olfacotory bulb",29,14,29,25300.288162885,17615.2734375,32742.47265625,6050075.43893061,1891,1891,47842844.9160156,-99.6430460074035,-164.647276573242,282.292966684294,NA
"45","brain: right thalamus ",30,14,30,27057.9522667186,18387.638671875,42382.6796875,6879568.42528734,12145,12145,328618830.279297,-114.040016467682,-124.563524083985,299.231206257719,NA
"12","brain: left thalamus",31,14,31,27835.9703154819,18208.25390625,42007.796875,6148644.74912502,11528,11528,320893065.796875,-97.0531748785566,-125.888532269257,299.026630811936,NA
"18","brain: right hypothamalus ",32,14,32,25079.3099054606,17292.552734375,33635.203125,4404600.23644451,8115,8115,203518599.882812,-114.051632778805,-123.976586568084,278.125077017868,NA
"16","brain: left hypothalmus",33,14,33,25858.1866668356,16810.568359375,32238.49609375,3341810.0535897,8322,8322,215191829.441406,-97.6052631578947,-125.867099254987,277.994953136265,NA
"46","brain: right septal area",34,14,34,24634.4249194247,15369.78125,30921.138671875,5466489.90422441,3013,3013,74223522.2822266,-112.542316627946,-147.286757384666,283.209093926319,NA
"49","brain: left septal area",35,14,35,25117.8818479262,16626.359375,32880.82421875,5668017.19859615,2851,2851,71611081.1484375,-102.784286215363,-147.855840056121,283.328656611715,NA
"51","brain: left neopallial cortex abd amygdala",36,14,36,25882.780365128,19527.408203125,35492.01171875,5650615.52406829,23474,23474,607572386.291016,-130.09964215728,-134.139217858056,298.471628184374,NA
"4","brain: right neopallial cortex and amygdala",37,14,37,27461.7756067342,16990.248046875,34937.421875,5680927.57769692,22549,22549,619235578.15625,-83.5487161293184,-137.08182181028,297.376956849528,NA
"24","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,27913.573390421,21558.392578125,35388.48046875,6680267.80528334,6588,6588,183894621.496094,-129.837431693989,-136.492562234366,289.930327868852,NA
"9","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,29610.1844392397,23135.23828125,38451.59765625,6201902.66179266,6251,6251,185093262.929688,-84.09726443769,-140.735722284435,289.498000319949,NA
"10","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,33446.0242505783,23511.833984375,43043.07421875,6364054.64833164,13267,13267,443728403.732422,-123.21647697294,-137.934122258235,302.415240823095,NA
"14","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,34657.4609984106,25013.552734375,46108.78515625,6662612.63442278,12249,12249,424519239.769531,-90.7336925463303,-140.466976896073,301.699730590252,NA
"23","pons",42,15,42,25956.4756371637,16578.177734375,39153.83984375,4768226.40412547,25126,25126,652182406.859375,-103.250975085569,-98.3056594762398,283.348483642442,NA
"28","left cerebellar primordium ",43,16,43,25199.9721569497,19195.275390625,36249.13671875,6300425.06648495,5672,5672,142934242.074219,-86.6547954866008,-86.9033850493653,290.154619181946,NA
"30","right cerebellar primordium",44,17,44,24219.0556308211,16706.0546875,35510.92578125,5982115.06615223,6375,6375,154396479.646484,-118.795294117647,-84.892862745098,290.427764705882,NA
"47","midbrain",45,18,45,24707.2556461175,15777.537109375,40183.078125,3276128.75846587,32728,32728,808619062.786133,-103.256538743583,-99.0272243950134,312.867177951601,NA
"7","medulla oblongata",46,19,46,25702.049404184,17096.47265625,34140.02734375,6060636.39604172,17478,17478,449220419.486328,-102.001773658313,-76.0197963153679,275.488900331846,NA
"38","spinal cord",47,20,47,26621.760777322,15783.8662109375,46093.6328125,12111418.4363031,51254,51254,1364471726.88086,-99.3210090919733,-63.5743941936239,182.998380614196,NA
"35","vertebrae",48,21,48,21318.0684732883,14640.5205078125,27722.1953125,2009523.12270896,13708,13708,292228082.631836,-99.6728187919463,-87.5839655675518,144.225634665889,NA
"33","heart: left ventricle chamber",102,11,49,27924.804314188,20146.58984375,33896.20703125,8243225.54890272,361,361,10080854.3574219,-95.3462603878116,-106.603878116343,185.8891966759,NA
"37","heart: right ventricle chamber",103,11,50,35981.6281524123,32023.640625,41620.890625,6066175.96847129,114,114,4101905.609375,-107.105263157895,-107.087719298246,186.394736842105,NA
