"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"29","external",0,0,0,2797.84641929535,0,54364.3125,28226550.4017109,20450069,20450068,0,0,0,0,NA
"44","left lung",1,1,1,30208.6278528426,11476.7705078125,45118.5859375,43227904.8506983,10497,10497,317099966.571289,-81.6293226636182,-77.4231685243403,179.252834143089,NA
"42","right lung: cranial lobe",2,2,2,25409.7364795673,13450.13671875,32298.36328125,12386453.1633557,6500,6500,165163287.117188,-120.513230769231,-74.2495384615385,189.398153846154,NA
"45","right lung: middle lobe",3,2,3,24220.1945135316,12326.5068359375,30561.587890625,10930941.7842563,4762,4762,115336566.273438,-125.323603527929,-86.7139857202856,181.259764804704,NA
"43","right lung: caudal lobe",4,2,4,25858.8949378116,11632.021484375,32014.337890625,12414229.3605427,9829,9829,254167078.34375,-116.276630379489,-71.6761623766405,167.511649201343,NA
"40","right lung: accessory lobe",5,2,5,23456.9889773079,11797.6669921875,33093.5546875,12746981.1979285,3941,3941,92443993.5595703,-96.175336209084,-85.0101497081959,175.569652372494,NA
"32","left kidney",6,3,6,25616.1533828435,12647.0439453125,38913.47265625,20581217.6223888,4529,4529,116015558.670898,-82.8644292338265,-88.9412673879444,116.510046367852,NA
"33","right kidney",7,4,7,22871.5878298017,15208.091796875,28371.166015625,4804264.48320621,5475,5475,125221943.368164,-111.422831050228,-85.4966210045662,114.781552511416,NA
"46","stomach wall",8,5,8,27235.0485138157,13826.640625,45950.90625,22899159.2495207,8420,8420,229319108.486328,-75.8100950118765,-92.1833729216152,134.888717339667,NA
"9","stomach lumen",9,5,9,13556.5160671253,8922.1953125,23572.0625,7648005.06479278,3618,3618,49047475.1308594,-72.7313432835821,-92.5458817025981,133.578772802653,NA
"7","medial lobe of liver",10,6,10,41292.6901839184,10499.3818359375,55968.21875,53016812.00572,61168,61168,2525791273.16992,-109.086940884122,-107.428066963118,158.870765759874,NA
"51","left lobe of liver ",11,6,11,44324.1207661915,11292.39453125,61450.703125,101301258.841738,35305,35305,1564863083.65039,-79.1336354623991,-100.726242741821,149.134032006798,NA
"48","right lobe of liver",12,6,12,40889.4711561507,10564.2685546875,59763.9140625,53427816.0705018,20373,20373,833041195.864258,-120.275708044961,-84.5682030137928,137.417955136701,NA
"39","caudate lobe of liver",13,6,13,32825.7580164487,11890.53125,45076.3515625,31905124.6400942,8413,8413,276163102.192383,-103.683941519078,-91.2245334601212,133.805657910377,NA
"26","left adrenal",14,7,14,33694.6578451054,19640.248046875,48248.9375,38381585.7913276,611,611,20587435.9433594,-84.0769230769231,-76.6644844517185,127.175122749591,NA
"41","right adrenal",15,8,15,31710.1460491678,15383.6845703125,41701.1796875,28123906.4943416,552,552,17504000.6191406,-107.398550724638,-75.3876811594203,126.963768115942,NA
"30","rectum/hindgut",16,9,16,24078.410551951,16929.083984375,34063.56640625,9066778.85978435,1693,1693,40764749.0644531,-96.939161252215,-125.83638511518,99.8192557590077,NA
"27","bladder",17,10,17,22324.7702935299,8460.7978515625,34720.7734375,23521701.9884264,3933,3933,87803321.5644531,-100.69921179761,-124.288075260615,121.181795067379,NA
