"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,11.3307906571894,0,218,356.666228609057,20435949,20435948,0,0,0,0,NA
"33","left lung",1,1,1,108.592073503076,36,146,209.238270758652,12843,12843,1394648,-83.0405668457526,-77.0247605699603,177.838433387838,NA
"35","right lung: cranial lobe",2,2,2,110.423139158576,49,166,339.179882035981,6180,6180,682415,-120.125080906149,-75.2063106796116,190.203236245955,NA
"19","right lung: middle lobe",3,2,3,110.343188537639,46,152,430.174506027457,4397,4397,485179,-125.535592449397,-89.0459404139186,183.457357289061,NA
"15","right lung: caudal lobe",4,2,4,114.126331024501,44,162,416.170349823,9673,9673,1103944,-117.878527861057,-74.5392329163651,168.851028636411,NA
"16","right lung: accessory lobe",5,2,5,101.118705855548,30,131,264.441922116969,4389,4389,443810,-96.5889724310777,-85.4695830485304,175.412394622921,NA
"7","left kidney",6,3,6,97.1856573705179,58,137,156.355642026435,5020,5020,487872,-88.8711155378486,-91.8661354581673,118.976693227092,NA
"9","right kidney",7,4,7,97.7503779289494,61,128,111.72958783673,5292,5292,517295,-118.643235071807,-89.995275888133,118.531368102797,NA
"20","stomach wall",8,5,8,100.762423816221,57,158,180.43833467067,8532,8532,859705,-78.9395218002813,-93.9473745897797,133.23488045007,NA
"43","stomach lumen",9,5,9,49.154146765089,27,101,128.184702670312,4606,4606,226404,-76.9646113764655,-95.1209292227529,132.654580981329,NA
"17","medial lobe of liver",10,6,10,155.823040300409,42,227,411.6946574812,59652,59652,9295156,-108.154663716221,-110.955206866492,160.417052236304,NA
"51","left lobe of liver ",11,6,11,149.047979544771,58,196,226.056357753662,39892,39892,5945822,-79.9936578762659,-101.475884889201,147.803369096561,NA
"3","right lobe of liver",12,6,12,168.875686394143,40,247,799.017188856136,19668,19668,3321447,-125.155989424446,-89.5901464307505,140.912700833842,NA
"49","caudate lobe of liver",13,6,13,139.207474709629,35,192,403.761071992334,10676,10676,1486179,-110.014331210191,-95.6834020232297,135.626545522668,NA
"24","left adrenal",14,7,14,127.272583201268,83,167,391.239866173622,631,631,80309,-89.7274167987322,-78.4421553090333,128.806656101426,NA
"13","right adrenal",15,8,15,132.892791127542,94,167,290.095892380364,541,541,71895,-113.846580406654,-78.7726432532347,129.547134935305,NA
"6","rectum/hindgut",16,9,16,103.297435897436,64,139,142.968563017056,1560,1560,161144,-102.85641025641,-130.152564102564,107.126923076923,NA
"12","bladder",17,10,17,96.6629955947136,37,255,558.657534180096,3632,3632,351080,-105.152257709251,-125.405011013216,126.424284140969,NA
"28","heart: left ventricle",18,11,18,110.72040302267,75,155,111.325546257863,4764,4764,527472,-94.3979848866499,-103.75314861461,188.624475230898,NA
"31","heart: right ventricle",19,11,19,120.899250374813,60,206,239.656913055171,3335,3335,403199,-105.258770614693,-104.940629685157,190.853073463268,NA
"2","left thymic rudiment",20,12,20,112.497541789577,70,131,184.555358124483,1017,1017,114410,-97.1111111111111,-88.8092428711898,212.367748279253,NA
"5","right thymic rudiment",21,13,21,108.354037267081,73,126,126.896289383066,966,966,104670,-106.989648033126,-89.5258799171843,214.130434782609,NA
"40","brain: third ventricle",22,14,22,67.703187250996,39,93,143.927766501293,1004,1004,67974,-106.27390438247,-123.808764940239,275.613545816733,NA
"45","brain: mesencephalic vesicle",23,14,23,55.1927521008403,26,93,203.816713929505,9520,9520,525435,-105.994117647059,-92.9507352941176,304.643382352941,NA
"48","brain: fourth ventricle",24,14,24,60.7454013377926,30,89,124.212442247894,2392,2392,145303,-106.18102006689,-81.066889632107,277.703177257525,NA
"25","brain: cerebral aqueduct",25,14,25,66.2832080200501,40,81,44.4341216906759,798,798,52894,-106.867167919799,-84.9548872180451,288.181704260652,NA
"39","brain: left lateral ventricle",26,14,26,81.9554779572239,35,119,272.776182860977,2291,2291,187760,-93.7800087298123,-140.285464862505,291.510257529463,NA
"41","brain: right lateral ventricle",27,14,27,85.3547376664056,42,119,325.48926633003,1277,1277,108998,-119.494126859828,-139.061863743148,289.629600626468,NA
"46","brain: right olfactory bulb",28,14,28,82.9342723004695,62,111,77.165377861217,1704,1704,141320,-115.908450704225,-156.543427230047,269.384389671361,NA
"38","brain: left olfacotory bulb",29,14,29,84.6489429852659,62,112,84.7536030486704,1561,1561,132137,-97.6079436258808,-157.987828315183,270.258167841127,NA
"34","brain: right thalamus ",30,14,30,87.7109040074557,58,143,67.9699155775118,10730,10730,941138,-115.115377446412,-122.610065237651,288.390680335508,NA
"36","brain: left thalamus",31,14,31,89.7914802567594,47,136,76.0623415689613,10282,10282,923236,-98.9014783116125,-123.983466251702,289.389126629061,NA
"18","brain: right hypothamalus ",32,14,32,86.8611933982226,54,121,60.8165087900471,7089,7089,615759,-113.694597263366,-119.506841585555,268.088587953167,NA
"14","brain: left hypothalmus",33,14,33,89.1765321375187,55,120,58.9449118770506,6690,6690,596591,-97.8263079222721,-121.343946188341,268.718236173393,NA
"47","brain: right septal area",34,14,34,82.8099115044248,60,108,54.3317714156781,2825,2825,233938,-111.22407079646,-141.739115044248,272.06407079646,NA
"8","brain: left septal area",35,14,35,82.1828125,62,110,51.5945462094574,2560,2560,210388,-101.66640625,-142.458984375,272.937109375,NA
"10","brain: left neopallial cortex abd amygdala",36,14,36,92.0052416651429,63,152,158.846004462807,16407,16407,1509530,-128.165660998354,-132.617236545377,286.547693057841,NA
