"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,12.5742298863326,0,220,456.792155254733,20426173,20426172,0,0,0,0,NA
"41","left lung",1,1,1,109.307867462312,34,142,264.956250622715,12736,12736,1392145,-82.8833228643216,-75.4009108040201,173.968043341709,NA
"17","right lung: cranial lobe",2,2,2,115.773251569572,33,171,639.542473669327,6849,6849,792931,-119.237114907286,-72.492918674259,188.094612352168,NA
"8","right lung: middle lobe",3,2,3,115.334958989138,34,185,566.255183363063,4511,4511,520276,-124.531367767679,-85.1859898027045,181.888051429838,NA
"35","right lung: caudal lobe",4,2,4,116.0884631064,31,172,636.736236267827,9812,9812,1139060,-116.351304525071,-72.5861190379128,166.342845495312,NA
"46","right lung: accessory lobe",5,2,5,100.733058608059,33,145,255.013223342568,4368,4368,440002,-96.0180860805861,-84.8324175824176,173.461996336996,NA
"18","left kidney",6,3,6,94.2281055331623,54,116,74.9904725327487,5458,5458,514297,-90.3585562477098,-91.2116159765482,115.337119824111,NA
"22","right kidney",7,4,7,104.060030983734,68,143,174.063798255868,5164,5164,537366,-120.020139426801,-90.5983733539892,117.085592563904,NA
"13","stomach wall",8,5,8,101.618257261411,36,167,308.968329060619,10363,10363,1053070,-79.8251471581588,-93.5766669883239,130.598764836437,NA
"5","stomach lumen",9,5,9,49.2486248624862,27,102,126.795453547241,6363,6363,313369,-77.2907433600503,-94.3994970925664,128.711614018545,NA
"15","medial lobe of liver",10,6,10,162.600425160965,27,238,932.846409142333,65387,65387,10631954,-108.140685457354,-111.382690748926,159.388471714561,NA
"12","left lobe of liver ",11,6,11,160.12338028169,29,236,1259.58159117526,39050,39050,6252818,-81.3555185659411,-104.078386683739,145.554289372599,NA
"14","right lobe of liver",12,6,12,175.833192041091,45,255,1192.38554894163,20053,20053,3525983,-124.765670971924,-89.7070263800928,139.25567246796,NA
"10","caudate lobe of liver",13,6,13,137.24959982926,55,204,412.785398719249,9371,9371,1286166,-109.305517020595,-95.7050474869278,133.36602283641,NA
"30","left adrenal",14,7,14,124.244131455399,75,159,301.451278202128,639,639,79392,-91.170579029734,-78.3114241001565,125.582159624413,NA
"7","right adrenal",15,8,15,133.821018062397,69,177,324.03534698816,609,609,81497,-114.804597701149,-78.8768472906404,127.563218390805,NA
"50","rectum/hindgut",16,9,16,96.6566083283042,69,125,87.2594264123222,1657,1657,160160,-106.118889559445,-132.165962582981,103.285455642728,NA
"9","bladder",17,10,17,87.0913705583756,34,186,372.618712007866,3940,3940,343140,-106.196446700508,-127.528172588832,123.804314720812,NA
"11","heart: left ventricle",18,11,18,118.105975924334,88,150,60.3071928336492,4652,4652,549429,-95.1754084264832,-102.187876182287,188.039552880482,NA
"20","heart: right ventricle",19,11,19,125.114952220349,92,174,103.957263014304,3558,3558,445159,-105.679314221473,-102.662450815065,191.533726812816,NA
"4","left thymic rudiment",20,12,20,112.474871794872,77,132,155.303012688885,975,975,109663,-95.0215384615385,-87.7989743589744,212.030769230769,NA
"2","right thymic rudiment",21,13,21,112.001968503937,77,130,141.730045382258,1016,1016,113794,-104.575787401575,-89.0521653543307,213.347440944882,NA
"23","brain: third ventricle",22,14,22,67.6123778501629,41,104,143.733897193706,1228,1228,83028,-107.526058631922,-127.030944625407,282.035830618893,NA
"51","brain: mesencephalic vesicle",23,14,23,49.4523114355231,31,91,136.541774894466,4110,4110,203249,-109.252068126521,-90.8004866180049,305.988564476886,NA
"33","brain: fourth ventricle",24,14,24,61.0738177623991,32,104,159.840702688315,2601,2601,158853,-105.563244905805,-84.6320645905421,281.020761245675,NA
"1","brain: cerebral aqueduct",25,14,25,72.4172297297297,37,93,118.632731398912,592,592,42871,-107.260135135135,-88.2601351351351,292.162162162162,NA
"21","brain: left lateral ventricle",26,14,26,86.1856452726018,40,129,459.587749600601,1449,1449,124883,-96.6894409937888,-140.348516218081,296.452726017943,NA
"24","brain: right lateral ventricle",27,14,27,89.6661290322581,40,130,457.531700903434,1240,1240,111186,-122.883870967742,-138.275,292.012903225806,NA
"48","brain: right olfactory bulb",28,14,28,91.1514437242192,55,124,109.529527690375,1697,1697,154684,-116.80141426046,-159.480848556276,274.952268709487,NA
"38","brain: left olfacotory bulb",29,14,29,87.6472843450479,52,122,140.943287057843,1565,1565,137168,-98.3667731629393,-160.373801916933,277.660063897764,NA
"40","brain: right thalamus ",30,14,30,95.6624894790985,53,147,105.754669335022,10693,10693,1022919,-116.748152997288,-124.006639857851,293.463200224446,NA
"42","brain: left thalamus",31,14,31,94.376955602537,56,144,100.6651629476,9460,9460,892806,-101.42378435518,-125.323255813953,295.301374207188,NA
"27","brain: right hypothamalus ",32,14,32,86.4996534035769,49,120,77.4699458033156,7213,7213,623922,-113.699847497574,-122.862470539304,272.889227783169,NA
"34","brain: left hypothalmus",33,14,33,84.7989634478996,56,115,69.9181110519987,7332,7332,621746,-98.4926350245499,-124.57555919258,275.453218767049,NA
"45","brain: right septal area",34,14,34,83.5732695139912,50,116,102.499601976691,2716,2716,226985,-112.221281296024,-144.627761413844,277.269513991163,NA
"44","brain: left septal area",35,14,35,83.4868058290666,52,119,106.819664300739,2539,2539,211973,-102.42221346987,-145.152028357621,278.899566758566,NA
"26","brain: left neopallial cortex abd amygdala",36,14,36,102.766637587238,64,142,162.837481009796,16048,16048,1649199,-131.055707876371,-133.75305333998,288.572594715852,NA
"32","brain: right neopallial cortex and amygdala",37,14,37,94.6073074953048,57,135,161.580559004987,17571,17571,1662345,-86.3568379716578,-134.673268453702,294.491605486313,NA
"39","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,105.476836771625,76,141,126.094214498963,5526,5526,582865,-129.909337676439,-135.653999276149,281.177343467246,NA
"43","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,100.364686122192,67,134,107.765128140646,4763,4763,478037,-86.5891245013647,-138.253831618728,287.80453495696,NA
"25","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,129.843524722246,93,171,95.4044362266783,11791,11791,1530985,-124.781443473836,-138.083029429226,293.811720804003,NA
"47","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,123.620365442611,71,165,95.4855995825768,11274,11274,1393696,-94.6549583111584,-138.84530778783,298.760688309384,NA
"28","pons",42,15,42,91.1648794753633,60,133,77.9452068716342,22568,22568,2057409,-106.510678837292,-98.4713753987947,278.044753633463,NA
