"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,15.6840078152929,0,249,545.998962495356,20325278,20325278,0,0,0,0,NA
"7","left lung",1,1,1,115.718280282935,39,163,278.991422651695,18096,18096,2094038,-83.7402188328912,-77.4113616268789,179.427774093722,NA
"28","right lung: cranial lobe",2,2,2,112.55756067206,32,159,486.869884226429,9642,9642,1085280,-125.461211366936,-79.1241443683883,191.805019705455,NA
"3","right lung: middle lobe",3,2,3,108.182669390535,47,158,293.241102629654,5874,5874,635465,-128.639598229486,-94.5466462376575,184.140789921689,NA
"20","right lung: caudal lobe",4,2,4,116.321001579066,37,177,450.876120037523,13299,13299,1546953,-122.623129558613,-75.8110384239417,169.456726069629,NA
"25","right lung: accessory lobe",5,2,5,107.728367314176,44,155,316.664803708347,6229,6229,671040,-97.5370043345641,-88.2342270027292,175.556911221705,NA
"45","left kidney",6,3,6,97.2257449993196,46,126,108.453523277916,7349,7349,714512,-89.1098108586202,-85.348891005579,111.374336644441,NA
"43","right kidney",7,4,7,111.592844974446,45,173,535.360686096315,6457,6457,720555,-119.935109183831,-86.4777760569924,112.567291311755,NA
"32","stomach wall",8,5,8,101.704013007169,46,163,270.487773251569,13531,13531,1376157,-77.0656270785603,-85.0417559677777,130.405365457099,NA
"1","stomach lumen",9,5,9,54.5381849315068,28,113,184.260572831011,5840,5840,318503,-74.1053082191781,-85.1143835616438,129.329965753425,NA
"29","medial lobe of liver",10,6,10,163.750571170501,43,222,523.787471612977,75284,75284,12327798,-107.357233940811,-111.774799426173,156.566893363796,NA
"24","left lobe of liver ",11,6,11,162.057885853598,47,219,500.677874413394,47991,47991,7777320,-77.8932508178617,-99.2935550415703,144.096018003376,NA
"30","right lobe of liver",12,6,12,179.235837651123,44,255,1536.05811368149,23160,23160,4151102,-126.454792746114,-87.5951640759931,138.262046632124,NA
"35","caudate lobe of liver",13,6,13,140.602600896861,49,199,611.357262945018,11150,11150,1567719,-110.474708520179,-92.7899551569507,132.146547085202,NA
"41","left adrenal",14,7,14,141.412066752246,77,191,635.813273229471,779,779,110160,-92.7483953786906,-74.5365853658537,124.300385109114,NA
"39","right adrenal",15,8,15,140.639436619718,84,236,625.252039174398,710,710,99854,-117.184507042254,-74.5267605633803,124.633802816901,NA
"50","rectum/hindgut",16,9,16,100.23537414966,73,137,159.852468609948,2205,2205,221019,-102.634467120181,-129.728344671202,92.3650793650794,NA
"42","bladder",17,10,17,100.386573220214,45,156,491.151769513084,5422,5422,544296,-104.11508668388,-131.460162301734,116.086868314275,NA
"8","heart: left ventricle",18,11,18,128.37545691906,96,159,73.4107136882992,5745,5745,737517,-92.7845082680592,-107.146910356832,190.182767624021,NA
"5","heart: right ventricle",19,11,19,128.2818727491,90,176,119.260106002055,4165,4165,534294,-103.782232893157,-110.702040816327,191.654021608643,NA
"46","left thymic rudiment",20,12,20,117.682810368349,68,137,156.764168478691,1466,1466,172523,-98.0054570259209,-96.1452933151432,216.456343792633,NA
"47","right thymic rudiment",21,13,21,116.727614276769,74,137,176.126887349872,1597,1597,186414,-108.196618659987,-97.2035065748278,219.16844082655,NA
"12","brain: third ventricle",22,14,22,72.2750737463127,41,98,144.468190031458,1356,1356,98005,-105.044247787611,-132.776548672566,291.604719764012,NA
"2","brain: mesencephalic vesicle",23,14,23,55.0932934926959,33,88,137.91523896664,3012,3012,165941,-109.934594953519,-96.4090305444887,318.02224435591,NA
"10","brain: fourth ventricle",24,14,24,68.732853353543,38,111,129.188272029662,2639,2639,181386,-107.402425161046,-87.8666161424782,293.759757483895,NA
"16","brain: cerebral aqueduct",25,14,25,77.3287904599659,37,99,89.6749888075541,587,587,45392,-108.904599659285,-91.9301533219761,304.015332197615,NA
"11","brain: left lateral ventricle",26,14,26,89.0308771929825,48,124,277.767304356397,1425,1425,126869,-90.9880701754386,-145.263859649123,306.360701754386,NA
"17","brain: right lateral ventricle",27,14,27,87.4473029045643,45,123,278.554737320963,1205,1205,105374,-119.44979253112,-146.063900414938,303.919502074689,NA
"14","brain: right olfactory bulb",28,14,28,85.9466729589429,62,111,58.7993267442683,2119,2119,182121,-112.027371401605,-169.265219443134,286.215195847098,NA
"13","brain: left olfacotory bulb",29,14,29,88.8948655256724,60,120,69.279058751477,2045,2045,181790,-92.4625916870416,-168.272371638142,287.643520782396,NA
"6","brain: right thalamus ",30,14,30,94.5171252105559,62,145,78.3397315712782,12467,12467,1178345,-114.678270634475,-130.566696077645,304.186011069223,NA
"27","brain: left thalamus",31,14,31,94.1861096960435,62,140,81.0464505006595,11778,11778,1109324,-97.9766513839362,-130.41008660214,305.58244184072,NA
