"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,12.3514855059473,0,255,406.617485379919,20359730,20359730,0,0,0,0,NA
"17","left lung",1,1,1,106.746742374609,28,138,255.380162836434,13737,13737,1466380,-80.3815243502948,-76.3903326781684,175.66848656912,NA
"22","right lung: cranial lobe",2,2,2,107.119197961671,41,143,263.671808441528,9027,9027,966965,-120.027030021048,-74.7577268195414,188.04929655478,NA
"2","right lung: middle lobe",3,2,3,100.504772004242,37,139,244.589777471431,5658,5658,568656,-123.565217391304,-89.3036408624956,182.630611523507,NA
"5","right lung: caudal lobe",4,2,4,107.685192474219,34,148,310.501817407054,12703,12703,1367925,-116.894985436511,-72.1220184208455,166.87609226167,NA
"25","right lung: accessory lobe",5,2,5,100.03,32,133,346.681856925418,4600,4600,460138,-93.8252173913043,-85.4423913043478,173.217391304348,NA
"3","left kidney",6,3,6,93.9662605435801,43,144,214.673756018968,6402,6402,601572,-88.0973133395814,-94.5631052796001,113.535613870665,NA
"11","right kidney",7,4,7,100.298213695005,54,138,153.593932292458,6046,6046,606403,-118.419947072445,-90.8175653324512,115.537049288786,NA
"15","stomach wall",8,5,8,96.0114176105225,46,174,256.610173819191,10948,10948,1051133,-77.5760869565217,-96.4586225794666,129.903178662769,NA
"24","stomach lumen",9,5,9,45.8733273862623,27,90,75.8783754547353,6726,6726,308544,-75.0249776984835,-98.1128456735058,127.776092774309,NA
"7","medial lobe of liver",10,6,10,148.541426210409,41,213,408.357178138485,73818,73818,10965031,-109.025928635292,-112.502682272616,158.315126391937,NA
"19","left lobe of liver ",11,6,11,150.328658865464,40,205,506.906966042881,42643,42643,6410465,-77.9447506038506,-103.63269469784,145.173252350913,NA
"49","right lobe of liver",12,6,12,157.337875357738,48,209,711.193652538243,23411,23411,3683437,-124.136816026654,-88.7022339925676,138.736576822861,NA
"14","caudate lobe of liver",13,6,13,131.475536008796,55,177,406.308619821712,10914,10914,1434924,-108.425600146601,-97.4086494410848,133.655213487264,NA
"1","left adrenal",14,7,14,123.595536959554,77,173,376.386460500379,717,717,88618,-89.3835425383542,-80.1659693165969,124.454672245467,NA
"41","right adrenal",15,8,15,130.116504854369,66,171,417.804881119101,618,618,80412,-112.76213592233,-79.4239482200647,125.776699029126,NA
"29","rectum/hindgut",16,9,16,94.3599791013584,66,120,94.6173415573258,1914,1914,180605,-105.134796238245,-135.561128526646,101.030825496343,NA
"6","bladder",17,10,17,86.0666828322017,42,121,257.291453364333,4124,4124,354939,-105.499515033948,-132.421920465567,122.575412221145,NA
"35","heart: left ventricle",18,11,18,123.675131164743,90,149,69.4028343919017,4765,4765,589312,-90.7582371458552,-102.563064008395,188.241972717733,NA
"33","heart: right ventricle",19,11,19,126.215046604527,96,152,65.2038228083507,3004,3004,379150,-101.399467376831,-104.01930758988,191.555592543276,NA
"47","left thymic rudiment",20,12,20,112.569863013699,76,130,158.095434624727,1095,1095,123264,-93.8812785388128,-90.103196347032,213.039269406393,NA
"46","right thymic rudiment",21,13,21,109.795844625113,69,127,138.87329193967,1107,1107,121544,-103.775971093044,-91.9259259259259,212.694670280036,NA
"50","brain: third ventricle",22,14,22,71.3319755600815,43,100,151.732697214489,982,982,70048,-107.202647657841,-130.489816700611,280.22199592668,NA
"10","brain: mesencephalic vesicle",23,14,23,56.9772620721988,31,87,173.381501446725,8532,8532,486130,-110.473394280356,-96.774964838256,310.389474917956,NA
"40","brain: fourth ventricle",24,14,24,65.6131976131976,36,98,126.017466211287,2849,2849,186932,-107.035451035451,-85.047034047034,282.730782730783,NA
"13","brain: cerebral aqueduct",25,14,25,71.6182669789227,39,94,67.6102638160952,854,854,61162,-110.909836065574,-90.0936768149883,293.028103044497,NA
"8","brain: left lateral ventricle",26,14,26,73.7394122731201,37,107,218.524801383784,2314,2314,170633,-99.1149524632671,-151.503025064823,299.284356093345,NA
"21","brain: right lateral ventricle",27,14,27,82.1267942583732,42,120,307.336663777269,1254,1254,102987,-122.606858054226,-144.377192982456,295.259968102073,NA
"27","brain: right olfactory bulb",28,14,28,83.8050647820966,58,110,85.732749819018,1698,1698,142301,-117.581861012956,-163.765017667845,275.760306242638,NA
"38","brain: left olfacotory bulb",29,14,29,82.652914210871,56,103,59.5033057219926,1527,1527,126211,-98.2750491159136,-165.847413228553,278.041912246234,NA
"18","brain: right thalamus ",30,14,30,90.409000497265,62,124,70.2281460875255,12066,12066,1090875,-117.287087684402,-128.43941654235,293.50364661031,NA
"51","brain: left thalamus",31,14,31,94.7645875251509,58,126,57.9551094445456,8449,8449,800666,-101.6104864481,-128.808616404308,293.200142028642,NA
