"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,12.3339779950067,0,224,393.562002133658,20355380,20355380,0,0,0,0,NA
"10","left lung",1,1,1,99.6112114606042,32,131,193.248734392494,16055,16055,1599258,-82.0589847399564,-76.9263157894737,170.954033011523,NA
"19","right lung: cranial lobe",2,2,2,110.20677723422,33,163,471.701510149534,8381,8381,923643,-121.219186254624,-75.022431690729,184.272163226345,NA
"6","right lung: middle lobe",3,2,3,106.065985130112,42,152,386.139352161891,5380,5380,570635,-125.135130111524,-90.7182156133829,178.459107806691,NA
"24","right lung: caudal lobe",4,2,4,110.067750439367,28,169,518.402211478271,11380,11380,1252571,-118.983128295255,-73.9920913884007,162.199121265378,NA
"30","right lung: accessory lobe",5,2,5,94.6504890201144,32,127,252.414548948707,5419,5419,512911,-96.2945192840007,-86.4207418342868,169.177154456542,NA
"2","left kidney",6,3,6,87.2254694124773,44,108,67.8278473489055,6604,6604,576037,-92.3108721986675,-98.8847668079951,104.782101756511,NA
"40","right kidney",7,4,7,106.693067528736,50,150,210.68447142206,5568,5568,594067,-120.304058908046,-95.9006824712644,107.702765804598,NA
"42","stomach wall",8,5,8,88.6162409954159,47,135,187.874984673476,12216,12216,1082536,-79.6967092337918,-93.3513425016372,125.561476751801,NA
"1","stomach lumen",9,5,9,43.5910148298924,27,91,86.9600879331812,6878,6878,299819,-77.250072695551,-94.2963070660076,123.799796452457,NA
"4","medial lobe of liver",10,6,10,146.835909917219,47,255,589.604894953665,66561,66561,9773545,-109.975661423356,-113.153723651988,154.540737068253,NA
"48","left lobe of liver ",11,6,11,135.07605264328,53,176,261.87832248966,44982,44982,6075991,-79.2387177093059,-104.132675292339,141.172958072118,NA
"8","right lobe of liver",12,6,12,160.295150266829,47,237,790.664017488306,21362,21362,3424225,-126.393736541522,-89.7423462222638,132.635708267016,NA
"13","caudate lobe of liver",13,6,13,124.395488980716,51,189,308.584341250331,11616,11616,1444978,-109.189221763085,-97.6511707988981,127.974431818182,NA
"23","left adrenal",14,7,14,121.144285714286,70,158,263.582871449008,700,700,84801,-93.5028571428571,-83.7271428571429,115.778571428571,NA
"45","right adrenal",15,8,15,127.536404160475,40,196,780.156782884032,673,673,85832,-116.39970282318,-82.1619613670134,118.325408618128,NA
"9","rectum/hindgut",16,9,16,90.6290485829959,64,128,128.562578537385,1976,1976,179083,-109.790991902834,-141.372975708502,94.1128542510122,NA
"21","bladder",17,10,17,86.4924838940587,25,209,447.165327425013,5588,5588,483320,-107.42233357194,-139.035969935576,116.688260558339,NA
"27","heart: left ventricle",18,11,18,108.681969026549,70,146,65.3638938909818,5424,5424,589491,-92.0392699115044,-104.708148967552,184.415744837758,NA
"20","heart: right ventricle",19,11,19,109.437594363362,38,146,112.522029549992,3974,3974,434905,-103.126824358329,-107.068696527428,188.069199798691,NA
"18","left thymic rudiment",20,12,20,105.590370955012,67,123,131.99873817192,1267,1267,133783,-95.2296764009471,-90.4206787687451,209.179163378058,NA
"15","right thymic rudiment",21,13,21,103.670237184392,72,122,109.744925135125,1307,1307,135497,-105.55623565417,-92.1568477429227,209.407039020658,NA
"16","brain: third ventricle",22,14,22,65.2284991568297,41,88,103.278545762447,1186,1186,77361,-106.672006745363,-126.522765598651,281.279932546374,NA
"39","brain: mesencephalic vesicle",23,14,23,48.2789943227899,28,78,116.117381789854,3699,3699,178584,-106.531494998648,-88.1435523114355,305.502838605028,NA
"36","brain: fourth ventricle",24,14,24,62.5655940594059,32,97,114.027887141789,2424,2424,151659,-103.479372937294,-81.7978547854785,281.724834983498,NA
"51","brain: cerebral aqueduct",25,14,25,69.4990583804143,33,86,77.929716092812,531,531,36904,-105.482109227872,-85.0885122410546,291.952919020716,NA
"12","brain: left lateral ventricle",26,14,26,85.5809128630705,46,112,171.116366478546,723,723,61875,-96.2973720608575,-140.901798063624,296.065006915629,NA
"37","brain: right lateral ventricle",27,14,27,89.4121813031161,50,120,142.137667008217,706,706,63125,-123.245042492918,-133.85269121813,292.195467422096,NA
"47","brain: right olfactory bulb",28,14,28,77.6712882726748,59,106,67.1664526168505,1731,1731,134449,-117.461005199307,-161.837666088966,278.629116117851,NA
