"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,14.4939577227276,0,219,429.014111333262,20408696,20408696,0,0,0,0,NA
"1","left lung",1,1,1,124.625040205854,41,188,547.60905206915,12436,12436,1549837,-122.505789642972,-152.17216146671,179.894499839177,NA
"7","right lung: cranial lobe",2,2,2,114.743921206525,37,154,351.126040462929,6498,6498,745606,-84.3496460449369,-150.378424130502,192.769775315482,NA
"15","right lung: middle lobe",3,2,3,108.448673587082,39,143,317.42257178384,5202,5202,564150,-80.8821607074202,-135.706651287966,186.051518646674,NA
"46","right lung: caudal lobe",4,2,4,114.2,41,153,317.679337539432,10145,10145,1158559,-85.3939871858058,-154.514933464761,171.544603252834,NA
"50","right lung: accessory lobe",5,2,5,105.861626878868,44,137,292.179389437579,4524,4524,478918,-108.966843501326,-142.964412024757,177.346816976127,NA
"17","left kidney",6,3,6,106.475146859467,53,177,329.391585571648,4426,4426,471259,-116.02236782648,-140.843199277,116.127428829643,NA
"40","right kidney",7,4,7,95.5817685764725,53,117,88.5858890706724,6231,6231,595570,-87.394318728936,-141.940940458995,116.743058899053,NA
"4","stomach wall",8,5,8,111.952117660069,53,184,483.989854782881,9043,9043,1012383,-124.806701315935,-138.321464115891,131.918500497622,NA
"27","stomach lumen",9,5,9,53.7488882300623,29,97,113.243270560754,3373,3373,181295,-127.840201600949,-138.221464571598,129.98606581678,NA
"23","medial lobe of liver",10,6,10,163.603704662859,34,240,616.381521591371,73367,73367,12003113,-97.9776057355487,-118.962489947797,158.977115051726,NA
"11","left lobe of liver ",11,6,11,171.96520450206,45,247,847.556887878688,39804,39804,6844903,-124.542759521656,-129.425032660034,145.458371017988,NA
"10","right lobe of liver",12,6,12,169.147864278333,36,255,1085.5390877177,23224,23224,3928290,-78.7998622115053,-142.821865311746,140.041293489494,NA
"16","caudate lobe of liver",13,6,13,135.840439899672,37,179,682.174634596629,10366,10366,1408122,-96.7710785259502,-136.169785838318,135.160428323365,NA
"21","left adrenal",14,7,14,135.398926654741,82,170,335.817274831529,559,559,75688,-113.441860465116,-152.459749552773,127.704830053667,NA
"24","right adrenal",15,8,15,131.231647634584,55,163,434.35801639851,613,613,80445,-91.3637846655791,-153.287112561175,128.559543230016,NA
"9","rectum/hindgut",16,9,16,97.0704679935449,67,133,131.537012213588,1859,1859,180454,-103.490048413125,-100.938676707907,98.140398063475,NA
"29","bladder",17,10,17,89.3551691281563,31,128,325.206443371436,4198,4198,375113,-102.701524535493,-102.734635540734,120.803239637923,NA
"36","heart: left ventricle",18,11,18,125.466484555579,86,148,68.2148811026919,4759,4759,597095,-111.96175667157,-123.415423408279,190.652447993276,NA
"51","heart: right ventricle",19,11,19,130.289015691869,73,175,117.094813671271,3505,3505,456663,-101.506134094151,-121.348644793153,192.959771754636,NA
"31","left thymic rudiment",20,12,20,115.009765625,75,135,144.588369837488,1024,1024,117770,-108.083984375,-135.373046875,215.306640625,NA
"34","right thymic rudiment",21,13,21,113.317164179104,67,135,143.441796619146,1072,1072,121476,-98.4477611940299,-133.153917910448,215.91697761194,NA
"5","brain: third ventricle",22,14,22,68.172100075815,41,97,142.12134543459,1319,1319,89919,-106.159969673995,-102.42153146323,288.366186504928,NA
"42","brain: mesencephalic vesicle",23,14,23,50.6577698695136,34,86,103.487115523411,3372,3372,170818,-106.668149466192,-139.636714116251,309.653024911032,NA
"13","brain: fourth ventricle",24,14,24,63.8599269183922,35,110,173.416196095388,2463,2463,157287,-106.993503857085,-144.861550954121,285.172553796184,NA
"19","brain: cerebral aqueduct",25,14,25,74.48,42,105,125.811308016878,475,475,35378,-106.909473684211,-142.290526315789,295.810526315789,NA
"39","brain: left lateral ventricle",26,14,26,93.2443047918303,46,139,488.766526108287,1273,1273,118700,-118.128043990573,-88.5443833464258,302.003142183818,NA
"44","brain: right lateral ventricle",27,14,27,80.2276422764228,41,117,270.075601488218,1476,1476,118416,-91.6761517615176,-91.529810298103,303.371273712737,NA
"48","brain: right olfactory bulb",28,14,28,85.6374067699369,52,118,122.607830699541,1743,1743,149266,-95.6689615605278,-67.1032702237521,285.046471600688,NA
"38","brain: left olfacotory bulb",29,14,29,91.2880198634389,54,129,153.471030300226,1611,1611,147065,-114.968963376785,-67.5170701427685,284.485412787089,NA
"2","brain: right thalamus ",30,14,30,89.9047911547912,52,161,84.3281876615131,11396,11396,1024555,-98.5465075465075,-106.239031239031,300.790101790102,NA
"6","brain: left thalamus",31,14,31,94.396977760882,50,141,111.65543426412,10522,10522,993245,-114.513305455237,-106.253373883292,300.659380345942,NA
"28","brain: right hypothamalus ",32,14,32,86.1973479870983,50,117,72.7904397999176,8371,8371,721558,-97.2474017441166,-105.041930474256,280.011229243818,NA
"47","brain: left hypothalmus",33,14,33,85.7633349351273,55,118,58.6740081487688,8324,8324,713894,-113.803700144161,-104.937770302739,280.002522825565,NA
"49","brain: right septal area",34,14,34,79.1442602823818,46,108,91.6475890903537,3258,3258,257852,-100.70349907919,-82.8827501534684,285.951810926949,NA
"18","brain: left septal area",35,14,35,81.1103667136812,56,115,108.043899548013,2836,2836,230029,-110.982369534556,-83.1378702397743,286.280324400564,NA
"41","brain: left neopallial cortex abd amygdala",36,14,36,88.6362749878108,57,128,132.5741192359,20510,20510,1817930,-82.0400780107265,-94.981228668942,299.392198927353,NA
"3","brain: right neopallial cortex and amygdala",37,14,37,102.932926484715,59,143,155.459391033983,17697,17697,1821604,-127.739334350455,-94.7388257896819,297.710120359383,NA
"26","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,87.2310828440965,64,121,82.6177712624224,6132,6132,534901,-83.5097847358121,-91.5657208088715,294.334311806915,NA
"14","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,105.850963222417,74,136,154.010539446887,5710,5710,604409,-128.342732049037,-91.560945709282,291.228546409807,NA
