"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,15.5938210827732,0,248,543.451053823099,20390401,20390400,0,0,0,0,NA
"37","left lung",1,1,1,133.265704314721,48,181,409.774878285532,12608,12608,1680214,-82.551951142132,-78.9022842639594,170.381741751269,NA
"26","right lung: cranial lobe",2,2,2,122.958658900412,49,153,356.945008488209,7039,7039,865506,-119.754368518255,-76.1417815030544,183.265378604915,NA
"44","right lung: middle lobe",3,2,3,118.204077849861,42,153,333.461310768872,5395,5395,637711,-125.65078776645,-90.6285449490269,175.717330861909,NA
"13","right lung: caudal lobe",4,2,4,125.230756358768,52,157,287.194174040876,11952,11952,1496758,-117.487951807229,-77.1296017402945,160.061077643909,NA
"1","right lung: accessory lobe",5,2,5,119.10083277065,52,156,397.48555311093,4443,4443,529165,-95.7931577762773,-87.1665541300923,168.215395003376,NA
"19","left kidney",6,3,6,117.015350389321,54,147,150.429448336257,4495,4495,525984,-89.3012235817575,-100.870745272525,109.823804226919,NA
"18","right kidney",7,4,7,113.989367552704,75,143,113.805167458389,5455,5455,621812,-116.04912923923,-98.8153987167736,108.852245646196,NA
"27","stomach wall",8,5,8,122.695070570887,55,183,340.322366933815,9494,9494,1164867,-78.4149989467032,-99.5393933010322,125.926795871076,NA
"28","stomach lumen",9,5,9,54.3994970013542,34,111,140.963242780999,5169,5169,281191,-75.7384407041981,-100.65428516154,124.384213580963,NA
"6","medial lobe of liver",10,6,10,166.897825773938,56,220,315.471511061237,69450,69450,11591054,-110.339985601152,-113.899438444924,153.213592512599,NA
"23","left lobe of liver ",11,6,11,184.673333172112,67,255,606.577784389089,41351,41351,7636427,-79.7889531087519,-106.906048221325,141.099876665619,NA
"3","right lobe of liver",12,6,12,165.874188001528,51,201,424.871392939863,20936,20936,3472742,-123.839033244173,-91.7387275506305,130.512609858617,NA
"41","caudate lobe of liver",13,6,13,149.019677452074,47,189,451.38975274643,9859,9859,1469185,-107.467390201846,-100.872806572675,128.132366365757,NA
"46","left adrenal",14,7,14,157.167664670659,103,203,602.00782842112,668,668,104988,-90.1556886227545,-87.2709580838323,120.471556886228,NA
"48","right adrenal",15,8,15,152.902985074627,88,189,394.739452959418,670,670,102445,-111.291044776119,-85.5253731343284,119.50447761194,NA
"22","rectum/hindgut",16,9,16,112.038095238095,85,155,203.707569431838,1575,1575,176460,-104.19619047619,-140.831746031746,102.030476190476,NA
"10","bladder",17,10,17,101.322935779817,34,169,460.041593581559,4360,4360,441768,-106.389908256881,-133.963532110092,122.372935779817,NA
"16","heart: left ventricle",18,11,18,144.164787673807,79,246,217.557692390541,5322,5322,767245,-94.54396843292,-105.470875610673,185.546974821496,NA
"21","heart: right ventricle",19,11,19,144.802278037383,101,221,176.617920605117,3424,3424,495803,-106.084988317757,-106.607768691589,188.261098130841,NA
"9","left thymic rudiment",20,12,20,136.676842105263,87,163,326.834341966613,950,950,129843,-97.5642105263158,-89.6231578947368,208.432631578947,NA
"51","right thymic rudiment",21,13,21,134.139186295503,87,156,297.942021202128,934,934,125286,-107.493576017131,-90.0706638115632,209.410064239829,NA
"38","brain: third ventricle",22,14,22,79.513698630137,52,109,156.228509519273,1022,1022,81263,-103.152641878669,-122.013698630137,278.10469667319,NA
"30","brain: mesencephalic vesicle",23,14,23,66.3864464415837,41,99,151.76048681036,4117,4117,273313,-100.33446684479,-85.935389846976,302.783580276901,NA
"14","brain: fourth ventricle",24,14,24,78.5400229797013,49,107,113.822439692958,2611,2611,205068,-99.7139027192647,-79.0865568747606,278.131367292225,NA
"32","brain: cerebral aqueduct",25,14,25,84.3242467718795,51,101,58.5297704447628,697,697,58774,-99.9282639885222,-82.7446197991392,288.956958393113,NA
"34","brain: left lateral ventricle",26,14,26,105.595358955765,43,138,333.789702683103,1379,1379,145616,-89.8977519941987,-134.962291515591,292.003625815809,NA
"29","brain: right lateral ventricle",27,14,27,96.781679389313,52,130,274.581787857406,1310,1310,126784,-117.992366412214,-133.735877862595,292.716030534351,NA
"33","brain: right olfactory bulb",28,14,28,100.049275362319,76,123,73.4320252866607,1725,1725,172585,-115.440579710145,-156.175072463768,275.022608695652,NA
"36","brain: left olfacotory bulb",29,14,29,103.827931644078,69,130,91.1307523821169,1697,1697,176196,-96.8078962875663,-157.335297583972,274.947554507955,NA
