"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,15.3540944138877,0,255,573.480416319682,20396851,20396852,0,0,0,0,NA
"44","left lung",1,1,1,133.579819990526,45,186,563.977876193414,12666,12666,1691922,-80.2464077056687,-75.8071214274435,174.022264329702,NA
"42","right lung: cranial lobe",2,2,2,134.687318785289,51,173,553.442355951017,6553,6553,882606,-117.359529986266,-73.7263848618953,183.185563863879,NA
"45","right lung: middle lobe",3,2,3,129.239761904762,54,174,506.54192897402,4200,4200,542807,-122.583095238095,-87.5009523809524,176.918333333333,NA
"41","right lung: caudal lobe",4,2,4,134.005067117077,47,175,471.409202629298,11249,11249,1507423,-114.376211218775,-75.1584140812517,161.183305182683,NA
"40","right lung: accessory lobe",5,2,5,121.107910906298,48,162,455.854686781383,5208,5208,630730,-91.9180107526882,-85.505376344086,170.308179723502,NA
"24","left kidney",6,3,6,113.28679245283,68,157,147.537778973481,4770,4770,540378,-87.5327044025157,-96.3740041928721,110.442976939203,NA
"23","right kidney",7,4,7,116.20642912471,72,143,123.532819398231,5164,5164,600090,-115.980247869868,-92.330945003873,113.432804027885,NA
"35","stomach wall",8,5,8,117.324109867752,55,205,445.723612367622,9830,9830,1153296,-77.033977619532,-96.8552390640895,126.184537131231,NA
"32","stomach lumen",9,5,9,55.9269254722857,35,109,152.452715483024,4817,4817,269400,-74.3437824372016,-97.6337969690679,124.459829769566,NA
"27","medial lobe of liver",10,6,10,174.228310700392,44,237,708.24812221926,69147,69147,12047365,-101.749562526212,-112.373580921804,156.502827309934,NA
"30","left lobe of liver ",11,6,11,182.613250331579,44,247,1050.79912188993,46746,46746,8536439,-76.896183630685,-105.193898943225,140.371304496641,NA
"28","right lobe of liver",12,6,12,184.185637153768,60,252,890.569093085016,22781,22781,4195933,-123.569553575348,-90.3866818840262,134.510074184628,NA
"38","caudate lobe of liver",13,6,13,155.880677077125,53,214,671.728845702693,8389,8389,1307683,-106.221122899034,-97.4291333889617,131.246036476338,NA
"50","left adrenal",14,7,14,150.397694524496,91,198,489.694424691544,694,694,104376,-87.7608069164265,-83.8414985590778,120.710374639769,NA
"43","right adrenal",15,8,15,155.700159489633,76,201,555.433913712542,627,627,97624,-110.334928229665,-81.11004784689,122.974481658692,NA
