"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,18.3069783376149,0,255,471.453412750679,20342266,20342266,0,0,0,0,NA
"43","left lung",1,1,1,111.7782731819,40,139,287.616054790877,16597,16597,1855184,-80.3500632644454,-73.3872386575887,184.478038199675,NA
"32","right lung: cranial lobe",2,2,2,105.94736290238,41,133,262.126004213192,9537,9537,1010420,-122.057670126874,-72.957324106113,197.400230680507,NA
"51","right lung: middle lobe",3,2,3,103.607740242703,49,144,206.771152150328,6098,6098,631800,-126.936044604788,-87.3630698589701,188.104460478846,NA
"42","right lung: caudal lobe",4,2,4,106.86696884668,41,134,198.789108173659,13899,13899,1485344,-119.294193826894,-67.880351104396,174.95035614073,NA
"48","right lung: accessory lobe",5,2,5,104.508997429306,38,137,330.493705456799,5835,5835,609810,-94.7316195372751,-82.6915167095116,180.132990574122,NA
"25","left kidney",6,3,6,98.8441115396025,47,133,148.707782410343,6742,6742,666407,-88.7582319786413,-83.0320379709285,116.552210026698,NA
"20","right kidney",7,4,7,98.6131601005868,57,151,239.717457079577,7158,7158,705873,-120.306370494552,-79.2924001117631,117.344928751048,NA
"26","stomach wall",8,5,8,99.323208787551,40,177,256.579781713478,12017,12017,1193567,-77.6258633602397,-82.0733960223017,135.79920113173,NA
"30","stomach lumen",9,5,9,50.4437992534218,29,108,105.230559236244,7233,7233,364860,-74.7133969307341,-82.6543619521637,134.559657127057,NA
"14","medial lobe of liver",10,6,10,168.474979256242,40,252,1005.79071500055,66285,66285,11167364,-108.094727313872,-103.204209097081,160.34330542355,NA
"46","left lobe of liver ",11,6,11,166.646845172734,38,229,845.96428029625,35517,35517,5918796,-78.7721091308388,-90.6540529887096,149.567165019568,NA
"27","right lobe of liver",12,6,12,165.230315826515,41,218,935.139667722357,22734,22734,3756346,-126.091053048298,-76.3441981173573,143.214084630949,NA
"37","caudate lobe of liver",13,6,13,139.976803652968,42,187,634.540515857874,10950,10950,1532746,-110.706392694064,-85.2244748858447,136.237077625571,NA
"24","left adrenal",14,7,14,134.332781456954,68,188,688.491062897432,604,604,81137,-90.4817880794702,-69.4354304635762,128.349337748344,NA
"31","right adrenal",15,8,15,128.529021558872,45,181,810.455551698869,603,603,77503,-115.28855721393,-67.8839137645108,130.378109452736,NA
"3","rectum/hindgut",16,9,16,101.75622605364,69,142,189.666947322139,2088,2088,212467,-100.920977011494,-126.349616858238,97.5354406130268,NA
"49","bladder",17,10,17,87.2590112271026,30,131,338.255397997707,5077,5077,443014,-104.015363403585,-123.238132755564,120.106755958243,NA
"13","heart: left ventricle",18,11,18,114.705465920316,70,196,150.909612799513,6074,6074,696721,-92.129074744814,-103.630885742509,192.204972011854,NA
"40","heart: right ventricle",19,11,19,108.344140707777,48,153,182.610240672016,4719,4719,511276,-104.113371477008,-106.57596948506,194.399025217207,NA
"10","left thymic rudiment",20,12,20,116.427205882353,71,140,221.935830303425,1360,1360,158341,-96.0764705882353,-93.8345588235294,220.497794117647,NA
"11","right thymic rudiment",21,13,21,115.286589516678,73,136,187.780889518719,1469,1469,169356,-106.727025187202,-95.2294077603812,220.866575901974,NA
"17","brain: third ventricle",22,14,22,76.0716685330347,52,97,108.837907190454,893,893,67932,-108.076147816349,-140.670772676372,286.333706606943,NA
"2","brain: mesencephalic vesicle",23,14,23,53.8489726027397,35,84,114.900444302093,2920,2920,157239,-103.697945205479,-108.238356164384,319.880136986301,NA
"1","brain: fourth ventricle",24,14,24,65.1678594664932,38,96,61.5357580589942,3074,3074,200326,-100.712101496422,-97.0787247885491,298.185751463891,NA
"5","brain: cerebral aqueduct",25,14,25,68.8176795580111,46,89,30.1860834585125,1086,1086,74736,-102.776243093923,-102.187845303867,308.186003683241,NA
"34","brain: left lateral ventricle",26,14,26,90.1127819548872,46,121,258.608152554482,1064,1064,95880,-97.265977443609,-158.479323308271,299.639097744361,NA
"44","brain: right lateral ventricle",27,14,27,83.5256544502618,47,117,237.865955415062,955,955,79767,-123.705759162304,-155.465968586387,299.857591623037,NA
"33","brain: right olfactory bulb",28,14,28,85.2710325047801,62,117,67.7500356622619,2092,2092,178387,-122.816921606119,-174.751434034417,278.497609942639,NA
"36","brain: left olfacotory bulb",29,14,29,87.1662283008943,63,116,75.2628799246938,1901,1901,165703,-103.415570752236,-177.681746449237,278.877958968964,NA
"6","brain: right thalamus ",30,14,30,88.1323617788462,62,135,71.2755449286814,13312,13312,1173218,-116.829026442308,-139.421048677885,300.2783203125,NA
"8","brain: left thalamus",31,14,31,89.3419936782052,63,137,64.3894306895509,12971,12971,1158855,-99.7446611672192,-142.059671575052,300.844113792306,NA
"22","brain: right hypothamalus ",32,14,32,87.7754910031753,57,122,48.2522244560176,8503,8503,746355,-115.593437610255,-135.21321886393,278.936610608021,NA
"19","brain: left hypothalmus",33,14,33,89.1389252948886,61,123,39.5126326389609,8393,8393,748143,-98.8248540450375,-138.473728106756,279.205170975813,NA
"47","brain: right septal area",34,14,34,82.3531499556344,50,105,62.2947748381578,3381,3381,278436,-115.899438036084,-159.203194321207,281.70925761609,NA
"16","brain: left septal area",35,14,35,83.7223088923557,56,113,61.8148735687253,3205,3205,268330,-105.978159126365,-160.835257410296,282.181903276131,NA
"21","brain: left neopallial cortex abd amygdala",36,14,36,91.6615911686334,65,120,118.569553800027,23643,23643,2167155,-133.58884236349,-147.147189442964,297.903946199721,NA
"18","brain: right neopallial cortex and amygdala",37,14,37,93.9968902894104,64,125,125.588786614077,24118,24118,2267017,-85.7889957707936,-152.758479144208,298.342524255743,NA
"29","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,92.8882993197279,71,120,76.6018905621846,7350,7350,682729,-133.075782312925,-149.281088435374,289.977006802721,NA
"15","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,96.6477347774402,74,126,80.8871213542187,7571,7571,731720,-86.868445383701,-157.047417778365,290.620129441289,NA
"45","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,115.341328556966,85,145,82.752722502711,12841,12841,1481098,-126.812397788334,-151.992679697843,301.805466863951,NA
"28","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,118.028030549236,91,149,75.1761866791665,12308,12308,1452689,-94.2685245368866,-156.807117322067,302.470263243419,NA
"38","pons",42,15,42,85.9286398849932,53,129,63.5984776755914,25042,25042,2151825,-103.32665122594,-110.989178180656,289.399688523281,NA
"23","left cerebellar primordium ",43,16,43,79.9084485407066,59,115,61.8794646382339,6510,6510,520204,-85.7440860215054,-101.908448540707,298.973425499232,NA
"7","right cerebellar primordium",44,17,44,82.4396142902308,62,120,58.5584873768958,6326,6326,521513,-118.712614606386,-97.6005374644325,297.878596269365,NA
"4","midbrain",45,18,45,83.9779223232841,51,158,61.2791886763952,37051,37051,3111466,-104.759520660711,-116.18679657769,318.489487463226,NA
"50","medulla oblongata",46,19,46,79.5920318338429,58,104,48.3257891695191,20607,20607,1640153,-99.7990973940894,-87.3015480176639,286.831028291357,NA
"39","spinal cord",47,20,47,89.1395292943112,50,148,132.735319708915,54089,54089,4821468,-99.8980014420677,-63.1390486050768,197.108894599641,NA
"41","vertebrae",48,21,48,76.3449398991857,49,105,38.6967354838238,12895,12895,984468,-101.613803799922,-85.3706087630865,144.092749127569,NA
"9","heart: left ventricle chamber",102,11,49,91.1967592592593,49,128,181.364908266736,432,432,39397,-92.5787037037037,-102.55787037037,192.828703703704,NA
"12","heart: right ventricle chamber",103,11,50,72.4132231404959,29,105,389.123665918669,605,605,43810,-105.19173553719,-106.960330578512,195.492561983471,NA
