"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,12.1960546226928,0,255,296.658032902499,20354251,20354252,0,0,0,0,NA
"26","left lung",1,1,1,95.891522752643,22,146,299.232650091106,15229,15229,1460332,-80.9890340797163,-74.4156543436864,183.094293781601,NA
"48","right lung: cranial lobe",2,2,2,92.3541639429991,30,123,262.689797316738,7649,7649,706417,-120.166426983919,-73.7818015426853,195.314420185645,NA
"32","right lung: middle lobe",3,2,3,91.0310537334264,30,122,239.41589119446,5732,5732,521790,-124.175331472435,-88.5345429169574,187.515352407537,NA
"27","right lung: caudal lobe",4,2,4,93.0455328574945,32,125,228.590886877592,12189,12189,1134132,-118.136844696037,-68.9194355566494,173.667405037329,NA
"30","right lung: accessory lobe",5,2,5,84.5660053414727,28,118,242.072822391118,5242,5242,443295,-94.9235024799695,-83.1804654711942,179.218618847768,NA
"41","left kidney",6,3,6,82.3731861198738,29,110,118.674718668619,6340,6340,522246,-91.910094637224,-81.6488958990536,114.727602523659,NA
"40","right kidney",7,4,7,85.6990304709141,43,132,194.683888795303,7220,7220,618747,-121.43351800554,-79.084487534626,116.707063711911,NA
"16","stomach wall",8,5,8,83.8268231499731,37,137,205.767068286794,11162,11162,935675,-79.8063967030998,-83.2722630352983,132.088962551514,NA
"18","stomach lumen",9,5,9,37.7871441976853,22,85,88.3843740423978,6394,6394,241611,-78.1318423522052,-84.5644354081952,130.729121050985,NA
"49","medial lobe of liver",10,6,10,131.532672715696,23,187,542.942381267677,75384,75384,9915459,-107.352196752627,-105.836105804945,160.132813329088,NA
"45","left lobe of liver ",11,6,11,130.643867056404,21,198,952.383429874929,46185,46185,6033787,-80.0171051207102,-95.7267944137707,145.319930713435,NA
"20","right lobe of liver",12,6,12,132.995857875736,32,180,556.559950919984,26315,26315,3499786,-125.294318829565,-80.4479954398632,142.335056051682,NA
"14","caudate lobe of liver",13,6,13,110.860979462875,40,150,297.451861085174,10761,10761,1192975,-110.163553573088,-87.2589908001115,134.395966917573,NA
"51","left adrenal",14,7,14,118.25746799431,61,163,502.997718366139,703,703,83135,-91.9132290184922,-69.1650071123755,127.736842105263,NA
"21","right adrenal",15,8,15,112.131934032984,50,148,423.676260968614,667,667,74792,-115.43928035982,-68.2773613193403,129.559220389805,NA
"34","rectum/hindgut",16,9,16,79.4934077079107,56,103,91.203913901676,1972,1972,156761,-107.861561866126,-122.711967545639,95.2545638945233,NA
"42","bladder",17,10,17,78.7243831033041,31,143,319.574720127621,4782,4782,376460,-108.354245085738,-123.936846507737,117.515683814304,NA
"38","heart: left ventricle",18,11,18,105.123029772329,73,130,52.2725765859324,4568,4568,480202,-93.0790280210158,-102.207968476357,192.860332749562,NA
"39","heart: right ventricle",19,11,19,109.069026548673,79,156,52.2891259331989,3390,3390,369744,-104.226843657817,-104.557817109145,195.03982300885,NA
"8","left thymic rudiment",20,12,20,92.2932773109244,57,109,121.455547702681,1190,1190,109829,-96.1378151260504,-91.4857142857143,218.695798319328,NA
"6","right thymic rudiment",21,13,21,92.770533446232,58,110,122.926114037227,1181,1181,109562,-106.169348010161,-92.7180355630821,219.711261642676,NA
"24","brain: third ventricle",22,14,22,51.6815642458101,29,75,88.6797996478612,1432,1432,74008,-109.914106145251,-134.934357541899,286.343575418994,NA
"2","brain: mesencephalic vesicle",23,14,23,38.6447368421053,23,67,87.107181132618,4028,4028,155661,-111.310079443893,-100.263157894737,314.983862959285,NA
"23","brain: fourth ventricle",24,14,24,47.9750367107195,26,81,94.1146905972563,2724,2724,130684,-107.565712187959,-90.4713656387665,290.859765051395,NA
"9","brain: cerebral aqueduct",25,14,25,56.4390243902439,30,77,65.2023831688699,656,656,37024,-109.105182926829,-95.9420731707317,301.547256097561,NA
"5","brain: left lateral ventricle",26,14,26,65.7047487955953,28,99,227.934116551867,1453,1453,95469,-97.7026841018582,-149.548520302822,300.818306951136,NA
"25","brain: right lateral ventricle",27,14,27,65.3864628820961,31,94,249.691032927609,1374,1374,89841,-125.025473071325,-149.066957787482,298.657933042213,NA
"3","brain: right olfactory bulb",28,14,28,67.757525083612,46,95,58.6321937598276,1794,1794,121557,-119.254180602007,-168.911928651059,278.571348940914,NA
"12","brain: left olfacotory bulb",29,14,29,67.416253101737,43,91,74.3846642884757,1612,1612,108675,-100.17617866005,-170.17617866005,280.843052109181,NA
"10","brain: right thalamus ",30,14,30,72.4044501566391,45,111,44.4738587292191,12449,12449,901363,-119.767531528637,-133.009799983934,298.967145955498,NA
"47","brain: left thalamus",31,14,31,70.8334939970204,47,108,36.1065415069533,11411,11411,808281,-103.060555604242,-134.339321707125,300.671545000438,NA
"33","brain: right hypothamalus ",32,14,32,67.558047155305,43,96,39.9026918670569,7804,7804,527223,-116.931060994362,-130.233213736545,278.259738595592,NA
"28","brain: left hypothalmus",33,14,33,67.8066465256798,43,90,35.7708071053333,7613,7613,516212,-100.796006830422,-131.89583606988,279.836332588992,NA
"29","brain: right septal area",34,14,34,63.4757665677547,43,84,47.628782599845,3033,3033,192522,-114.898450379163,-153.608638311902,281.765908341576,NA
"4","brain: left septal area",35,14,35,63.6017820424949,42,84,49.5664280882341,2918,2918,185590,-104.803632625086,-154.297806716929,283.131254283756,NA
"1","brain: left neopallial cortex abd amygdala",36,14,36,76.2071811803549,50,101,54.3185244998034,19384,19384,1477200,-133.716518778374,-144.015373503921,295.36339248865,NA
"46","brain: right neopallial cortex and amygdala",37,14,37,70.8443243243243,45,97,68.7140855383063,22200,22200,1572744,-87.4599099099099,-143.826711711712,299.321981981982,NA
"43","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,78.6380982668151,56,102,57.9552022352526,6289,6289,494555,-133.125775162983,-144.751629829862,286.973445698839,NA
"50","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,73.2672487587742,55,101,74.3616138163616,5841,5841,427954,-88.5654853620955,-147.775380927923,292.9503509673,NA
"44","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,94.4592024294734,61,124,52.1920894213757,12513,12513,1181968,-127.49516502837,-147.842164149285,299.487493007272,NA
"19","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,91.6520362388952,58,121,73.6153637720855,11369,11369,1041992,-95.8968246987422,-148.793473480517,303.456504529862,NA
"13","pons",42,15,42,71.5126469981432,45,103,46.1795359286571,24235,24235,1733109,-108.558159686404,-105.016051165669,286.25149577058,NA
"22","left cerebellar primordium ",43,16,43,64.7648648648649,43,97,62.9996100510042,5920,5920,383408,-93.1339527027027,-93.5444256756757,295.827364864865,NA
"37","right cerebellar primordium",44,17,44,70.9941012616746,43,99,66.0927216724716,6103,6103,433277,-123.355235130264,-92.51450106505,292.438145174504,NA
"35","midbrain",45,18,45,70.5737695023689,39,120,44.0571559769273,33137,33137,2338603,-111.386365693937,-108.14476265202,315.359386788182,NA
"11","medulla oblongata",46,19,46,71.1378131480132,48,97,51.9394752532812,17843,17843,1269312,-105.759289357171,-81.2840889984868,280.250518410581,NA
"15","spinal cord",47,20,47,79.7624710999647,42,143,173.205584911826,51038,51038,4070917,-102.594654962969,-62.8240330733963,185.688310670481,NA
"17","vertebrae",48,21,48,63.204877060254,43,91,35.8473017547962,14804,14804,935685,-104.586935963253,-79.1334774385301,151.214536611727,NA
"31","heart: left ventricle chamber",102,11,49,89.8520900321543,53,108,86.055471424126,311,311,27944,-93.3858520900322,-102.122186495177,193.170418006431,NA
"7","heart: right ventricle chamber",103,11,50,104.825242718447,84,116,36.7985792090935,206,206,21594,-105.631067961165,-106.101941747573,194.441747572816,NA
