"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,15.6486270548701,0,255,306.279940078712,20406278,20406278,0,0,0,0,NA
"6","left lung",1,1,1,93.7311917569513,30,130,203.465393874349,13199,13199,1237158,-84.1936510341692,-73.9807561178877,176.618531706947,NA
"31","right lung: cranial lobe",2,2,2,97.6551972358192,26,145,606.67403849961,6946,6946,678313,-121.230204434207,-71.0986179095883,188.92700835013,NA
"23","right lung: middle lobe",3,2,3,100.683659077171,25,149,618.760045294469,4963,4963,499693,-127.537376586742,-84.5005037275841,180.707838001209,NA
"45","right lung: caudal lobe",4,2,4,96.9344588744589,29,147,523.749535489476,11550,11550,1119593,-118.779047619048,-69.037316017316,166.24025974026,NA
"10","right lung: accessory lobe",5,2,5,84.060923945935,34,109,173.01767574018,4957,4957,416690,-97.7016340528545,-83.2094008472867,174.183780512407,NA
"1","left kidney",6,3,6,81.5690607734807,48,118,99.8919468830279,6154,6154,501976,-87.6641208969776,-86.6377965550861,113.260480987975,NA
"33","right kidney",7,4,7,91.1553846153846,46,134,274.54288309882,5200,5200,474008,-116.848269230769,-84.1744230769231,112.917115384615,NA
"9","stomach wall",8,5,8,85.917749757517,31,140,236.446236472438,10310,10310,885812,-80.245101842871,-91.3070805043647,130.732201745878,NA
"17","stomach lumen",9,5,9,39.2250960685782,22,83,81.7215341740659,6766,6766,265397,-78.3422997339639,-93.5135973987585,129.370529116169,NA
"12","medial lobe of liver",10,6,10,141.489529986647,33,214,478.781957556503,68147,68147,9642087,-109.991914537691,-106.506786799125,155.662670403686,NA
"8","left lobe of liver ",11,6,11,140.597124374722,39,197,501.430348443149,38183,38183,5368420,-79.5934840112092,-97.3394442552969,145.03826310138,NA
"7","right lobe of liver",12,6,12,140.245696124305,35,188,665.742129314974,22654,22654,3177126,-125.098613931315,-83.7940319590359,134.637944733822,NA
"49","caudate lobe of liver",13,6,13,109.387792714657,43,170,320.48681182475,9224,9224,1008993,-107.919449262793,-90.6389852558543,131.369904596704,NA
"3","left adrenal",14,7,14,114.306092124814,68,155,389.947834854596,673,673,76928,-90.2124814264487,-74.778603268945,124.716196136701,NA
"14","right adrenal",15,8,15,112.451448040886,53,177,488.050113087313,587,587,66009,-113.621805792164,-72.618398637138,124.001703577513,NA
"36","rectum/hindgut",16,9,16,83.8312302839117,60,106,83.0146369916543,1902,1902,159447,-102.423764458465,-128.98054679285,97.0194532071504,NA
"22","bladder",17,10,17,78.5967213114754,39,123,287.808750081602,4270,4270,335608,-105.898594847775,-126.004449648712,118.604918032787,NA
"11","heart: left ventricle",18,11,18,105.04355981659,71,146,86.0533450069479,4798,4798,503999,-96.9862442684452,-102.873072113381,188.356815339725,NA
"19","heart: right ventricle",19,11,19,110.975076923077,77,148,150.989529464686,3250,3250,360669,-107.906769230769,-103.322461538462,190.025846153846,NA
"16","left thymic rudiment",20,12,20,93.181589958159,59,109,89.9577847395975,1195,1195,111352,-97.3941422594142,-89.581589958159,212.400836820084,NA
"20","right thymic rudiment",21,13,21,92.6880119136262,64,107,86.1522183247457,1343,1343,124480,-107.94043186895,-89.9069247952345,213.693968726731,NA
"40","brain: third ventricle",22,14,22,55.9013793103448,34,90,93.5658366055066,1450,1450,81057,-105.155172413793,-126.219310344828,283.711724137931,NA
"34","brain: mesencephalic vesicle",23,14,23,39.7330520393812,25,71,88.6903957190133,3555,3555,141251,-103.116736990155,-89.1715893108298,307.369901547117,NA
"5","brain: fourth ventricle",24,14,24,48.9872541879097,27,77,103.120056064327,2746,2746,134519,-101.80225782957,-82.5600873998543,283.520393299345,NA
"2","brain: cerebral aqueduct",25,14,25,58.4584178498986,31,80,97.500808060819,493,493,28820,-103.52738336714,-86.6673427991886,293.766734279919,NA
"37","brain: left lateral ventricle",26,14,26,69.1945843828715,34,105,254.310569266347,1588,1588,109881,-90.9168765743073,-138.301637279597,296.851385390428,NA
"26","brain: right lateral ventricle",27,14,27,73.0866013071895,36,110,311.536238970922,1224,1224,89458,-119.264705882353,-138.746732026144,297.082516339869,NA
"42","brain: right olfactory bulb",28,14,28,76.6213890596189,46,106,82.1702187335334,1627,1627,124663,-116.231100184388,-159.720344191764,277.891210817455,NA
"39","brain: left olfacotory bulb",29,14,29,77.1478648820905,48,105,91.4309281552013,1569,1569,121045,-97.3887826641173,-161.217335882728,278.623964308477,NA
"29","brain: right thalamus ",30,14,30,76.999664795106,47,118,55.4958094752915,11933,11933,918837,-113.574373585854,-122.666973937819,295.880750858963,NA
"30","brain: left thalamus",31,14,31,73.48217769108,49,125,54.4231548918956,11278,11278,828732,-97.5040787373648,-124.807501330023,296.147898563575,NA
"24","brain: right hypothamalus ",32,14,32,72.404695783893,45,99,38.5767637062035,7922,7922,573590,-112.760540267609,-121.833880333249,275.102625599596,NA
"46","brain: left hypothalmus",33,14,33,72.1137965760322,49,103,39.3014135585126,7944,7944,572872,-96.2843655589124,-124.062940584089,275.671198388721,NA
"41","brain: right septal area",34,14,34,69.2930294020482,42,91,49.3698225116932,3027,3027,209750,-110.920052857615,-144.732077964982,280.069375619425,NA
"51","brain: left septal area",35,14,35,69.0248756218905,50,98,49.2905292237708,2814,2814,194236,-100.714285714286,-145.464108031272,280.450248756219,NA
"32","brain: left neopallial cortex abd amygdala",36,14,36,84.2573222920024,56,110,72.679890939753,17993,17993,1516042,-127.950258433835,-133.748846773745,293.856444172734,NA
"28","brain: right neopallial cortex and amygdala",37,14,37,78.0216889487352,48,105,111.777098941188,20794,20794,1622383,-82.5469847071271,-134.4201692796,294.408242762335,NA
"18","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,85.6692137884191,59,110,75.154828203098,5889,5889,504506,-127.775853285787,-134.610120563763,285.508065885549,NA
"43","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,83.2414708112206,56,114,169.369548092229,5276,5276,439182,-83.0043593631539,-139.552691432904,288.407316148597,NA
"27","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,106.233677562516,66,134,75.0631777768724,11717,11717,1244740,-121.411880174106,-137.215498847828,297.954595886319,NA
"25","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,103.673654987555,56,138,105.387505012214,10446,10446,1082975,-90.4708022209458,-139.686387133831,299.741623587976,NA
"50","pons",42,15,42,73.7484684053912,41,107,47.8790510872255,22852,22852,1685300,-103.876378435148,-96.6379747943287,279.896901802906,NA
"4","left cerebellar primordium ",43,16,43,70.0820668693009,41,101,71.8135427945262,5593,5593,391969,-87.4325049168604,-85.4207044519936,287.273019846236,NA
"13","right cerebellar primordium",44,17,44,79.3339760894716,45,112,70.6263362416651,5186,5186,411426,-118.01677593521,-84.184535287312,285.332047821057,NA
"35","midbrain",45,18,45,75.1493229775242,45,116,46.9515823508495,29098,29098,2186695,-103.42996082205,-96.7012853117053,309.040827548285,NA
"44","medulla oblongata",46,19,46,74.5079928952043,48,101,72.4975319690788,16327,16327,1216492,-101.282783119985,-74.243645495192,272.069577999632,NA
"47","spinal cord",47,20,47,84.494319597389,41,148,213.086957292976,40138,40138,3391433,-100.936419353231,-61.3171308984005,187.430041357317,NA
"48","vertebrae",48,21,48,64.4182926829268,47,96,26.2813898527426,16400,16400,1056460,-101.487682926829,-78.9492073170732,140.644329268293,NA
"15","heart: left ventricle chamber",102,11,49,92.030985915493,66,106,45.9679637144906,355,355,32671,-96.8901408450704,-103.154929577465,188.695774647887,NA
"21","heart: right ventricle chamber",103,11,50,99.110599078341,69,116,79.2191926949998,217,217,21507,-110.437788018433,-104.714285714286,189.806451612903,NA
