"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,12.6901169985067,0,251,412.849179153037,20448808,20448808,0,0,0,0,NA
"51","left lung",1,1,1,120.421558367425,38,183,734.163565639767,10511,10511,1265751,-81.3859765959471,-77.2633431643041,179.278850727809,NA
"23","right lung: cranial lobe",2,2,2,100.557234075689,43,132,224.442712846914,6421,6421,645678,-120.615013237813,-74.1129107615636,189.436536365052,NA
"33","right lung: middle lobe",3,2,3,95.9237413103012,45,124,202.554233955821,4747,4747,455350,-125.587739625026,-86.6357699599747,181.22456288182,NA
"13","right lung: caudal lobe",4,2,4,102.13980562867,34,131,221.839620170781,9878,9878,1008937,-116.333873253695,-71.5601336302895,167.446952824458,NA
"6","right lung: accessory lobe",5,2,5,93.0862735621073,37,135,230.668165418981,4138,4138,385191,-95.9166263895602,-84.7786370227163,175.447800869986,NA
"30","left kidney",6,3,6,101.36937735431,41,157,358.261358145028,4513,4513,457480,-82.849767338799,-88.9257699977842,116.490582760913,NA
"43","right kidney",7,4,7,90.1786754002911,55,115,90.8470501832413,5496,5496,495622,-111.426128093159,-85.5263828238719,114.761280931587,NA
"28","stomach wall",8,5,8,108.822748128471,44,179,428.679603218523,8282,8282,901270,-75.8712871287129,-92.2614102873702,134.8746679546,NA
"44","stomach lumen",9,5,9,51.5809264305177,30,97,118.544961801618,3670,3670,189302,-72.6528610354223,-92.475204359673,133.526702997275,NA
"18","medial lobe of liver",10,6,10,162.599996754669,32,225,880.435636257412,61627,61627,10020550,-109.053986077531,-107.418095964431,158.809872296234,NA
"15","left lobe of liver ",11,6,11,174.651079136691,35,255,1666.37073060147,35306,35306,6166231,-79.0795615476123,-100.684812779697,149.062255707245,NA
"16","right lobe of liver",12,6,12,160.966067668805,31,239,865.350772935778,20423,20423,3287410,-120.338833667923,-84.5552073642462,137.390784899378,NA
"11","caudate lobe of liver",13,6,13,129.761978178368,41,182,531.653100486774,8432,8432,1094153,-103.661764705882,-91.1826375711575,133.803723908918,NA
"24","left adrenal",14,7,14,134.479608482871,70,198,683.158488735353,613,613,82436,-84.0750407830343,-76.673735725938,127.166394779772,NA
"2","right adrenal",15,8,15,125.649819494585,51,169,530.047133782909,554,554,69610,-107.382671480144,-75.3682310469314,126.945848375451,NA
"49","rectum/hindgut",16,9,16,95.0740740740741,65,137,151.075686274509,1701,1701,161721,-96.9447383891828,-125.802469135802,99.8342151675485,NA
"25","bladder",17,10,17,88.3547976584373,31,142,431.842009181298,3929,3929,347146,-100.703741410028,-124.296004072283,121.127767879868,NA
"37","heart: left ventricle",18,11,18,117.457825890843,82,164,145.760571495959,4434,4434,520808,-95.8691926026162,-103.811907983762,189.200270635995,NA
"47","heart: right ventricle",19,11,19,116.607807652534,76,163,143.35144665345,3868,3868,451039,-107.121509824199,-104.672957600827,191.343588417787,NA
"20","left thymic rudiment",20,12,20,107.026666666667,71,126,144.923312799452,975,975,104351,-98.2071794871795,-89.5446153846154,214.012307692308,NA
"39","right thymic rudiment",21,13,21,107.461923847695,71,128,140.627936916964,998,998,107247,-108.228456913828,-90.3877755511022,214.918837675351,NA
"31","brain: third ventricle",22,14,22,65.7025060630558,35,101,144.718869119097,1237,1237,81274,-102.099434114794,-125.222312045271,280.48181083266,NA
"46","brain: mesencephalic vesicle",23,14,23,47.8400311122634,30,87,135.635451036376,3857,3857,184519,-98.2076743583096,-89.9590355198341,305.990147783251,NA
"4","brain: fourth ventricle",24,14,24,56.6770485724879,28,89,153.838171107803,2697,2697,152858,-98.1642565813867,-81.8071931776047,281.48275862069,NA
"50","brain: cerebral aqueduct",25,14,25,66.6181434599156,37,89,129.9532430576,474,474,31577,-98.8776371308017,-86.3185654008439,291.793248945148,NA
"9","brain: left lateral ventricle",26,14,26,89.6072902338377,42,135,421.583456795265,1454,1454,130289,-89.7819807427785,-138.704264099037,293.554332874828,NA
"45","brain: right lateral ventricle",27,14,27,80.5914552736983,39,125,337.633914914832,1498,1498,120726,-116.494659546061,-136.100133511348,295.006008010681,NA
"8","brain: right olfactory bulb",28,14,28,89.6726511071215,61,119,97.2802036859854,1671,1671,149843,-115.301615798923,-157.251346499102,276.175344105326,NA
"10","brain: left olfacotory bulb",29,14,29,92.7372214941022,61,124,114.982049717466,1526,1526,141517,-96.7457404980341,-158.745085190039,275.494102228047,NA
"22","brain: right thalamus ",30,14,30,87.8924960578796,54,151,111.811911218096,10781,10781,947569,-109.055282441332,-122.270475837121,293.786197940822,NA
"21","brain: left thalamus",31,14,31,92.4303205255823,57,146,95.5118690261724,10046,10046,928555,-93.4947242683655,-123.49810869998,293.264383834362,NA
"32","brain: right hypothamalus ",32,14,32,81.610511562719,51,118,73.9636405428643,7135,7135,582291,-110.299929922915,-120.205325858444,273.949544498949,NA
"35","brain: left hypothalmus",33,14,33,85.7539259674706,59,120,54.5173383919383,7132,7132,611597,-94.6242288278183,-122.183538979248,273.22728547392,NA
"7","brain: right septal area",34,14,34,83.3148567119155,58,114,72.4210089194841,2652,2652,220951,-108.90987933635,-142.677978883861,277.557692307692,NA
"29","brain: left septal area",35,14,35,85.5869832173557,59,117,80.0123939665491,2443,2443,209089,-99.2353663528449,-143.43389275481,277.38518215309,NA
"42","brain: left neopallial cortex abd amygdala",36,14,36,92.8325586604693,59,129,184.440935842004,17857,17857,1657711,-125.435683485468,-130.916279330235,292.457299658397,NA
"27","brain: right neopallial cortex and amygdala",37,14,37,100.663963476903,54,135,171.969975470972,16647,16647,1675753,-80.9500210248093,-133.895957229531,290.070643359164,NA
"5","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,95.8529469355786,65,126,121.065523530869,5107,5107,489521,-125.247699236342,-133.622674760133,284.886430389661,NA
"17","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,104.472942617929,77,144,124.097358026323,4897,4897,511604,-81.3765570757607,-137.224014702879,283.322238104962,NA
"14","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,122.28900927522,71,154,122.905384858148,12183,12183,1489847,-117.778708035788,-136.216531232045,296.705327095133,NA
"41","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,127.841177556294,90,156,98.6349484609496,10836,10836,1385287,-87.8469915097822,-138.47526762643,294.955980066445,NA
"34","pons",42,15,42,85.5536798179059,56,123,67.3672515979579,21088,21088,1804156,-99.4749146433991,-96.1340572837633,278.857264795144,NA
"3","left cerebellar primordium ",43,16,43,89.3970467596391,58,129,94.0585266611973,4876,4876,435900,-83.7584085315833,-85.3527481542248,284.114848236259,NA
"1","right cerebellar primordium",44,17,44,84.1821299948551,48,139,138.406960196477,5831,5831,490866,-114.783570571086,-83.63008060367,285.004801920768,NA
"48","midbrain",45,18,45,88.3165949306552,44,145,70.7903459905953,29274,29274,2585380,-98.7731434037029,-96.9560360729658,307.012775842044,NA
"26","medulla oblongata",46,19,46,87.3697484482195,53,118,121.864518657313,15305,15305,1337194,-99.1204835021235,-74.0444952629859,270.653903952957,NA
"36","spinal cord",47,20,47,100.988495400973,42,171,301.581499145401,35551,35551,3590242,-97.4505921071137,-61.2417372225816,185.247362943377,NA
"12","vertebrae",48,21,48,75.4756873727088,52,106,46.7432189279087,15712,15712,1185874,-97.9177698574338,-80.6094068228106,154.032968431772,NA
"19","heart: left ventricle chamber",102,11,49,96.2971800433839,65,121,99.204970291427,461,461,44393,-95.2603036876356,-104.995661605206,189.56399132321,NA
"40","heart: right ventricle chamber",103,11,50,79.8660714285714,44,110,217.713566634707,448,448,35780,-109.133928571429,-106.459821428571,191.647321428571,NA
