"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"Female_AAUP_N1752-23-e15.5_Rostrum120",20373844,14846,7798,5497,12391,5140,6726,6214,11800,6163,64955,43376,22986,10377,702,693,2014,4687,4878,3241,1153,1200,1221,2969,2548,510,1892,1523,1935,1795,12368,11388,7895,8176,3157,2984,20313,22607,5874,5272,13031,12071,24412,6219,6040,32455,17292,44036,18829,289,219,8627
"Female_ABCM_K1403-43-e15.5_Rostrum120",20396200,15184,7337,5614,10600,5242,5699,5382,10551,5046,60846,47059,23430,10288,764,572,1901,3610,4711,3015,1298,1209,1108,2797,2343,477,1221,891,2019,1796,11373,10690,7923,7975,3179,2883,18275,21452,5949,5861,11673,11423,24210,5608,5282,28324,16669,49644,12862,377,157,8260
"Female_ABCM_K1403-70-e15.5_Rostrum120",20412086,13010,6125,4943,10651,4739,6088,5212,11545,6382,63473,38869,19353,10546,826,563,1783,3786,4681,3754,1169,1125,1167,3721,2774,518,1346,1076,1794,1601,10975,10231,7727,7825,2830,2586,17679,20005,6039,5784,11960,11486,23268,5547,5349,28918,17031,46335,13234,272,213,8920
"Female_ABIF_K1339-10-e15.5_Rostrum120",20497416,8818,4577,3447,7270,3276,3591,3552,7470,4154,52361,26722,15476,7016,611,523,1300,3105,3933,3022,680,735,1283,5031,2631,487,1521,1628,1550,1451,8984,8643,6024,6330,2317,2144,12689,14796,4404,4714,11149,10473,19556,5350,5337,28849,15353,49636,7983,313,318,7586
"Female_ABIF_K1592-3-e15.5_Rostrum120",20435826,12796,6206,4410,9639,4383,5008,5270,8557,4600,59620,39786,19652,10654,629,535,1558,3617,4742,3308,1011,968,1008,9472,2380,804,2340,1281,1730,1593,10742,10273,7082,6669,2868,2607,16643,19772,5421,6378,11896,12074,19723,3636,5096,30065,16391,40601,7948,592,140,8782
"Female_ABLW_K1686-5-e15.5_Rostrum120",20425952,12697,6899,4525,9746,4373,5440,5154,10481,6332,65290,38989,20091,9346,637,604,1646,3937,4626,3522,977,1018,1247,4121,2581,606,1474,1243,1718,1569,10710,9398,7186,7316,2750,2589,16316,17661,5490,4793,11688,11173,22648,5590,5700,30148,15836,40157,15389,395,227,8770
"Female_ABQL_K1758-12-e15.5_Rostrum120",20324542,18002,9654,5856,13229,6195,7319,6469,13660,5828,75295,47967,23149,11163,784,714,2194,5404,5706,4133,1458,1589,1371,3043,2620,584,1452,1210,2190,2077,12482,11757,8311,8579,3215,2963,23130,24010,6976,6230,13191,12621,25708,6930,6514,33643,18286,56087,13832,363,315,10517
"Female_ABTQ_K2033-13-e15.5_Rostrum120",20449704,10316,5557,3978,8867,3475,3965,4629,7668,4393,68926,35148,22149,9362,616,561,1391,3559,4201,3339,847,822,919,3292,2124,470,1010,887,1693,1580,9678,9438,7046,7220,2485,2534,17467,15986,5411,4893,11728,10508,20712,4791,5185,29464,15737,44294,9233,609,134,8283
"Female_ABTQ_K2037-8-e15.5_Rostrum120",20359288,13677,9027,5671,12678,4605,6411,6044,11070,6684,73667,42461,23397,10914,719,621,1902,4107,4728,2982,1094,1107,999,8514,2844,865,2337,1256,1722,1542,12097,8437,7317,7033,3197,2831,19444,27518,6114,5608,13472,14526,23475,5693,5607,36331,18856,49531,9541,289,150,8149
"Male_ABOU_K1836-12-e15.5_Rostrum120",20355224,15991,8411,5378,11339,5411,6578,5565,12332,6825,66408,44896,21333,11585,698,678,1976,5592,5404,3943,1260,1310,1194,3739,2410,545,751,707,1757,1608,12170,10996,8176,8500,3245,3047,21694,25101,6471,5566,12122,11299,25377,6200,6235,35882,18479,56436,11154,552,450,10349
