"","Label_0","Label_1","Label_2","Label_3","Label_4","Label_5","Label_6","Label_7","Label_8","Label_9","Label_10","Label_11","Label_12","Label_13","Label_14","Label_15","Label_16","Label_17","Label_18","Label_19","Label_20","Label_21","Label_22","Label_23","Label_24","Label_25","Label_26","Label_27","Label_28","Label_29","Label_30","Label_31","Label_32","Label_33","Label_34","Label_35","Label_36","Label_37","Label_38","Label_39","Label_40","Label_41","Label_42","Label_43","Label_44","Label_45","Label_46","Label_47","Label_48","Label_49","Label_50","TotalHeart"
"Female_AAUP_N1752-23-e15.5_baseline",20374374,14916,7776,5504,12462,5140,6759,6232,11662,6191,65120,43462,22983,10381,696,695,2031,4707,4929,3263,1159,1207,1209,2940,2559,511,1846,1505,1925,1779,12389,11416,7909,8175,3099,2940,20036,22466,5904,5261,13123,12147,24336,6238,6015,32570,17318,43625,18598,287,225,8704
"Female_ABCM_K1403-43-e15.5_baseline",20396462,15214,7319,5598,10643,5256,5717,5408,10447,5070,60898,47117,23554,10266,760,574,1907,3613,4746,3024,1311,1213,1099,2780,2375,474,1195,889,1967,1805,11385,10746,7940,7972,3123,2832,18070,21408,5956,5868,11721,11491,24115,5604,5298,28479,16649,49380,12721,376,165,8311
"Female_ABCM_K1403-70-e15.5_baseline",20412192,13061,6114,4945,10693,4765,6104,5230,11420,6429,63606,39062,19376,10501,823,569,1780,3802,4706,3784,1174,1132,1156,3712,2772,514,1340,1074,1755,1577,10946,10260,7744,7826,2775,2525,17555,19997,6028,5749,12003,11551,23213,5545,5364,29075,17011,46123,13055,270,216,8976
"Female_ABIF_K1339-10-e15.5_baseline",20497580,8825,4583,3461,7308,3268,3607,3573,7405,4180,52407,26741,15493,7031,605,525,1308,3103,3944,3044,682,737,1282,5000,2665,490,1479,1587,1510,1414,8997,8686,6034,6357,2254,2084,12385,14695,4446,4697,11320,10575,19444,5336,5343,29013,15376,49500,7974,321,326,7635
"Female_ABIF_K1592-3-e15.5_baseline",20435948,12843,6180,4397,9673,4389,5020,5292,8532,4606,59652,39892,19668,10676,631,541,1560,3632,4764,3335,1017,966,1004,9520,2392,798,2291,1277,1704,1561,10730,10282,7089,6690,2825,2560,16407,19605,5448,6360,11960,12153,19660,3626,5096,30149,16445,40488,7913,596,156,8851
"Female_ABLW_K1686-5-e15.5_baseline",20426172,12736,6849,4511,9812,4368,5458,5164,10363,6363,65387,39050,20053,9371,639,609,1657,3940,4652,3558,975,1016,1228,4110,2601,592,1449,1240,1697,1565,10693,9460,7213,7332,2716,2539,16048,17571,5526,4763,11791,11274,22568,5597,5687,30315,15860,39910,15325,394,232,8836
"Female_ABQL_K1758-12-e15.5_baseline",20325278,18096,9642,5874,13299,6229,7349,6457,13531,5840,75284,47991,23160,11150,779,710,2205,5422,5745,4165,1466,1597,1356,3012,2639,587,1425,1205,2119,2045,12467,11778,8304,8583,3165,2910,22870,23950,6973,6207,13294,12684,25633,6936,6500,33778,18281,55663,13691,359,317,10586
"Female_ABTQ_K2033-13-e15.5_baseline",20450048,10295,5553,3993,8931,3473,3958,4626,7611,4420,69056,35250,22177,9414,619,567,1395,3567,4243,3359,849,825,918,3246,2145,460,1004,897,1666,1574,9625,9456,7065,7229,2451,2496,17197,15823,5441,4867,11834,10626,20624,4754,5173,29579,15741,44013,9120,603,145,8350
"Female_ABTQ_K2037-8-e15.5_baseline",20359730,13737,9027,5658,12703,4600,6402,6046,10948,6726,73818,42643,23411,10914,717,618,1914,4124,4765,3004,1095,1107,982,8532,2849,854,2314,1254,1698,1527,12066,8449,7349,7067,3134,2783,19083,27263,6135,5569,13578,14596,23388,5687,5586,36458,18810,49384,9448,292,158,8219
"Male_ABOU_K1836-12-e15.5_baseline",20355380,16055,8381,5380,11380,5419,6604,5568,12216,6878,66561,44982,21362,11616,700,673,1976,5588,5424,3974,1267,1307,1186,3699,2424,531,723,706,1731,1627,12153,11064,8194,8503,3185,2994,21326,24965,6512,5531,12303,11364,25264,6219,6227,36149,18488,56221,11014,553,453,10404
