"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,3306.24387352545,0,57596.70703125,33854804.9418221,20373843,20373844,0,0,0,0,NA
"44","left lung",1,1,1,29132.3000973405,10111.501953125,35529.54296875,17458954.2952529,14846,14846,432498127.245117,-82.7393910817729,-73.4215276842247,175.966994476627,NA
"1","right lung: cranial lobe",2,2,2,28611.4153440035,11076.5341796875,37581.51171875,23566289.0651333,7798,7798,223111816.852539,-121.526160553988,-73.827776352911,189.63644524237,NA
"46","right lung: middle lobe",3,2,3,27931.8392114804,10290.9111328125,36943.2890625,21381709.7192281,5497,5497,153541320.145508,-124.744769874477,-88.7747862470438,182.052210296525,NA
"43","right lung: caudal lobe",4,2,4,29396.4334138217,11015.71484375,39912.96875,21162770.6235333,12391,12391,364251206.430664,-118.542490517311,-71.2437252844807,167.232910983779,NA
"47","right lung: accessory lobe",5,2,5,27015.8445977474,11155.0419921875,34191.62890625,18887578.7923262,5140,5140,138861441.232422,-96.6373540856031,-83.188326848249,173.489494163424,NA
"35","left kidney",6,3,6,24037.1893117078,15642.0625,31936.353515625,4303220.97194492,6726,6726,161674135.310547,-87.5793933987511,-92.269253642581,111.540142729706,NA
"4","right kidney",7,4,7,26542.1817383755,16947.76171875,37477.90234375,11898205.3157244,6214,6214,164933117.322266,-118.191663984551,-92.3009333762472,112.541680077245,NA
"3","stomach wall",8,5,8,25327.5594619803,14362.185546875,39546.390625,14362042.957984,11800,11800,298865201.651367,-77.9427118644068,-91.0818644067797,129.750677966102,NA
"24","stomach lumen",9,5,9,13015.018270418,8164.7646484375,24430.5390625,7245610.53145611,6163,6163,80211557.6005859,-75.8096706149602,-91.8265455135486,128.175726107415,NA
"38","medial lobe of liver",10,6,10,42984.3523535825,11517.6064453125,60596.12890625,64513460.326183,64955,64955,2792048607.12695,-109.049988453545,-108.676360557309,156.812085289816,NA
"28","left lobe of liver ",11,6,11,41495.9631409569,11699.16015625,57169.671875,46343815.0611369,43376,43376,1799928897.20215,-78.133553116931,-100.807566396164,144.555722058281,NA
"31","right lobe of liver",12,6,12,44395.9387201721,11674.109375,61442.1953125,88031470.6294652,22986,22986,1020485047.42188,-124.284042460628,-86.6582702514574,135.637779517967,NA
"15","caudate lobe of liver",13,6,13,34303.1069306293,12055.2373046875,46119.546875,24851949.2137891,10377,10377,355963340.619141,-106.578009058495,-94.6419967235232,132.444058976583,NA
"49","left adrenal",14,7,14,34638.817352208,20462.671875,45768.30859375,35008684.1245469,702,702,24316449.78125,-91.4131054131054,-78.8717948717949,123.311965811966,NA
"26","right adrenal",15,8,15,34477.4275342713,18652.125,47917.55078125,33537268.2619541,693,693,23892857.28125,-115.489177489177,-78.3088023088023,122.84126984127,NA
"17","rectum/hindgut",16,9,16,24251.3765632758,17805.330078125,34031.5234375,10142208.9217473,2014,2014,48842272.3984375,-100.981628599801,-134.092850049652,95.0873882820258,NA
"18","bladder",17,10,17,22866.8055359238,8933.224609375,34922.28515625,22693933.720651,4687,4687,107176717.546875,-101.375293364626,-132.283550245359,117.762961382547,NA
"11","heart: left ventricle",18,11,18,32259.3490151894,24397.0546875,37429.1796875,3545563.02916412,4878,4878,157361104.496094,-93.3105781057811,-100.865313653137,188.00225502255,NA
"13","heart: right ventricle",19,11,19,32972.9287377545,26132.9140625,37886.52734375,3425454.98662878,3241,3241,106865262.039062,-103.947547053379,-102.248997223079,190.549521752546,NA
"21","left thymic rudiment",20,12,20,28804.6974062229,19368.8828125,33231.9765625,9744921.09187751,1153,1153,33211816.109375,-96.1786643538595,-89.0268863833478,213.614050303556,NA
"51","right thymic rudiment",21,13,21,28511.9420003255,20375.78515625,33468.44921875,8737687.22166299,1200,1200,34214330.4003906,-106.373333333333,-90.425,213.14,NA
"6","brain: third ventricle",22,14,22,18361.6565211341,11036.1142578125,23807.587890625,7821078.56311585,1221,1221,22419582.6123047,-105.228501228501,-128.542997542998,285.710073710074,NA
"34","brain: mesencephalic vesicle",23,14,23,13946.3535422675,8625.009765625,21351.841796875,7419604.13485097,2969,2969,41406723.6669922,-102.859548669586,-91.2142135399124,310.846076119906,NA
"40","brain: fourth ventricle",24,14,24,16929.3941675303,9846.94921875,24509.94140625,6643001.84021533,2548,2548,43136096.3388672,-102.020800627943,-84.8100470957614,285.750392464678,NA
"42","brain: cerebral aqueduct",25,14,25,18754.3081782322,11488.607421875,23107.052734375,5768131.25786826,510,510,9564697.17089844,-103.505882352941,-87.6588235294118,296.711764705882,NA
"41","brain: left lateral ventricle",26,14,26,21032.3078649412,11133.71484375,30275.947265625,16204446.5265033,1892,1892,39793126.4804688,-92.0803382663848,-142.547040169133,299.929175475687,NA
"20","brain: right lateral ventricle",27,14,27,21592.3750609149,11458.2890625,30062.001953125,20333916.7129069,1523,1523,32885187.2177734,-119.820748522653,-141.755745239659,299.565331582403,NA
"29","brain: right olfactory bulb",28,14,28,22227.4077812096,15232.5390625,28831.630859375,3878666.91934643,1935,1935,43010034.0566406,-116.457364341085,-162.412403100775,279.185012919897,NA
"10","brain: left olfacotory bulb",29,14,29,21783.436363488,14669.458984375,28524.0625,4562301.14936562,1795,1795,39101268.2724609,-96.942061281337,-163.696935933148,279.972144846797,NA
"45","brain: right thalamus ",30,14,30,23617.4529790841,16180.98828125,38117.53515625,4074968.08607869,12368,12368,292100658.445312,-113.626374514877,-125.122008408797,297.697202457956,NA
"2","brain: left thalamus",31,14,31,23027.3612953671,15852.1728515625,33830.515625,4227397.11392412,11388,11388,262235590.431641,-97.7233052335792,-126.949947312961,298.399631190727,NA
"7","brain: right hypothamalus ",32,14,32,22516.4267345581,14721.548828125,30426.6796875,4264873.81680064,7895,7895,177767189.069336,-112.355034832172,-123.926662444585,276.469791006966,NA
"8","brain: left hypothalmus",33,14,33,22340.5734834615,15162.1328125,30549.30078125,4100447.7877459,8176,8176,182656528.800781,-96.3104207436399,-126.303571428571,277.41095890411,NA
"9","brain: right septal area",34,14,34,20906.1738052344,13847.3173828125,28936.75390625,4877617.05638016,3157,3157,66000790.703125,-111.344947735192,-146.894520114032,281.424136838771,NA
"5","brain: left septal area",35,14,35,21087.2205928363,14424.5732421875,28944.31640625,4565577.64181632,2984,2984,62924266.2490234,-100.959450402145,-147.803619302949,281.75971849866,NA
"33","brain: left neopallial cortex abd amygdala",36,14,36,24535.2404511966,17113.771484375,36250.46875,5740066.53054729,20313,20313,498384339.285156,-128.488947964358,-135.061340028553,295.609511150495,NA
"32","brain: right neopallial cortex and amygdala",37,14,37,22927.684422448,15141.3271484375,30214.90234375,6571684.58334788,22607,22607,518326161.738281,-82.6122439952227,-136.530809041447,296.456053434777,NA
"23","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,25864.8912750442,18982.927734375,34572.55078125,8111956.94551603,5874,5874,151930371.349609,-128.577800476677,-136.673135852911,286.635342185904,NA
"39","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,24807.1460464779,17072.8984375,33479.34375,8625501.48516083,5272,5272,130783273.957031,-82.8541350531108,-141.483877086495,289.304817905918,NA
"27","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,30453.97761273,18466.31640625,40436.9921875,7046980.44233859,13031,13031,396845782.271484,-122.352083493208,-139.447010973832,300.235054869158,NA
"30","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,29163.4172471083,19488.35546875,38424.7109375,6188706.85825539,12071,12071,352031609.589844,-90.3221771187143,-141.948140170657,302.053019633833,NA
"16","pons",42,15,42,23257.4067778446,16285.3740234375,32914.890625,5280703.32318398,24412,24412,567759814.260742,-104.071194494511,-98.4661232180895,281.844789447813,NA
"48","left cerebellar primordium ",43,16,43,20844.1929311573,14531.5146484375,32794.890625,6259959.31699999,6219,6219,129630035.838867,-87.7401511497025,-86.5341694806239,289.386718121885,NA
"25","right cerebellar primordium",44,17,44,23799.3599633627,16353.1572265625,35327.78125,5346885.34456218,6040,6040,143748134.178711,-118.451986754967,-85.4362582781457,287.611920529801,NA
