"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,3017.96592840575,0,50701.76171875,31717388.2684418,20412086,20412086,0,0,0,0,NA
"27","left lung",1,1,1,29389.2651267354,11729.2412109375,36243.828125,18372839.1697831,13010,13010,382354339.298828,-117.234742505765,-153.476710222905,181.441660261337,NA
"18","right lung: cranial lobe",2,2,2,28994.4069188457,11531.4033203125,42490.38671875,28635544.4397976,6125,6125,177590742.37793,-79.1622857142857,-149.896163265306,193.751183673469,NA
"1","right lung: middle lobe",3,2,3,28538.5316887913,9692.611328125,40814.6015625,32304696.3907565,4943,4943,141065962.137695,-76.523568682986,-136.455593768966,185.188144851305,NA
"28","right lung: caudal lobe",4,2,4,30270.7790014582,8924.0146484375,42693.9765625,33243616.0112291,10651,10651,322414067.144531,-81.2739648859262,-153.180828091259,171.387381466529,NA
"29","right lung: accessory lobe",5,2,5,27796.3330022486,12323.7919921875,34893.69140625,19582759.1640038,4739,4739,131726822.097656,-104.655834564254,-143.182738974467,177.331715551804,NA
"48","left kidney",6,3,6,26078.7824176082,12324.509765625,32330.7890625,7600305.83121753,6088,6088,158767627.358398,-110.072601839685,-141.92444152431,115.388304862024,NA
"5","right kidney",7,4,7,27458.4199121319,15850.712890625,38417.703125,16832665.5501093,5212,5212,143113284.582031,-82.768994627782,-139.564466615503,117.394090560246,NA
"8","stomach wall",8,5,8,25399.4801688028,11068.3583984375,41699.81640625,20962840.7484561,11545,11545,293236998.548828,-121.592637505414,-140.78302295366,132.054569077523,NA
"10","stomach lumen",9,5,9,12461.8976730973,8129.93212890625,22893.958984375,5645869.92520549,6382,6382,79531830.949707,-124.60780319649,-140.023033531808,130.331714196177,NA
"35","medial lobe of liver",10,6,10,46274.0887916448,10189.7392578125,63760.1953125,63575915.1889672,63473,63473,2937155237.87207,-97.2438359617475,-119.20167630331,159.528445165661,NA
"32","left lobe of liver ",11,6,11,45175.4236482339,12071.7109375,60913.73046875,58142902.3525683,38869,38869,1755923541.7832,-122.808330546194,-132.075252772132,146.418559777715,NA
"4","right lobe of liver",12,6,12,46034.5245398101,13617.9208984375,63637.6875,81488917.0278286,19353,19353,890906153.418945,-75.3746705937064,-138.829897173565,139.587040768873,NA
"11","caudate lobe of liver",13,6,13,34938.9664863863,13589.365234375,48485.6015625,29710961.2895109,10546,10546,368466340.56543,-92.1197610468424,-135.265313863076,135.059074530628,NA
"42","left adrenal",14,7,14,32569.0739633777,20936.705078125,42085.640625,20750401.2363423,826,826,26902055.09375,-109.056900726392,-155.082324455206,126.496368038741,NA
"6","right adrenal",15,8,15,34732.3836173401,22863.232421875,48896.39453125,21117693.1362832,563,563,19554331.9765625,-84.7637655417407,-151.168738898757,129.607460035524,NA
"24","rectum/hindgut",16,9,16,26888.7001783336,19066.70703125,37464.8359375,11022415.3552968,1783,1783,47942552.4179688,-101.549074593382,-101.286595625351,97.4161525518789,NA
"3","bladder",17,10,17,25236.6964306718,10573.7392578125,34298.12890625,20408643.0352993,3786,3786,95546132.6865234,-102.577126254622,-103.418383518225,119.340464870576,NA
"14","heart: left ventricle",18,11,18,33358.2800324784,25335.388671875,38738.84375,4187811.13589639,4681,4681,156150108.832031,-109.831019013031,-125.949583422346,191.448622089297,NA
"17","heart: right ventricle",19,11,19,34368.2090577343,23640.177734375,41037.421875,5186702.7234681,3754,3754,129018256.802734,-98.9240809802877,-122.761587639851,194.382791688865,NA
"16","left thymic rudiment",20,12,20,30688.6807985591,20432.48828125,35255.08203125,11470229.8144067,1169,1169,35875067.8535156,-106.04619332763,-137.413173652695,216.611633875107,NA
"13","right thymic rudiment",21,13,21,30286.0495555556,21120.814453125,34383.13671875,10444864.5825802,1125,1125,34071805.75,-96.2284444444444,-134.422222222222,216.696888888889,NA
"50","brain: third ventricle",22,14,22,19086.3831296527,10957.4140625,27507.359375,9974550.87508124,1167,1167,22273809.1123047,-104.463581833762,-99.2690659811482,287.106255355613,NA
"34","brain: mesencephalic vesicle",23,14,23,12732.288923141,8392.88671875,22204.34375,9752427.00272374,3721,3721,47376847.0830078,-100.110722923945,-134.211502284332,313.467078742274,NA
"31","brain: fourth ventricle",24,14,24,16269.5610129776,9108.525390625,25958.423828125,10563849.0863577,2774,2774,45131762.25,-100.160057678443,-142.411319394376,289.33741888969,NA
"51","brain: cerebral aqueduct",25,14,25,19227.5552342242,10551.1435546875,24412.677734375,7023319.193507,518,518,9959873.61132812,-99.7818532818533,-137.903474903475,299.683397683398,NA
"37","brain: left lateral ventricle",26,14,26,24850.3831237521,12277.18359375,34916.4609375,19842998.1823845,1346,1346,33448615.6845703,-119.71396731055,-89.1582466567608,300.315750371471,NA
"20","brain: right lateral ventricle",27,14,27,24983.7675699567,13458.1123046875,33594.77734375,21924649.8871906,1076,1076,26882533.9052734,-93.3540892193309,-84.0669144981413,300.813197026022,NA
"45","brain: right olfactory bulb",28,14,28,24048.5800960885,15686.203125,32309.5390625,6818270.85382996,1794,1794,43143152.6923828,-98.6170568561873,-64.8405797101449,280.860089186176,NA
"39","brain: left olfacotory bulb",29,14,29,24629.4958692809,16246.47265625,33419.57421875,8859935.00768387,1601,1601,39431822.8867188,-117.465334166146,-66.6121174266084,280.971267957527,NA
"21","brain: right thalamus ",30,14,30,25556.7094365746,15364.330078125,39524.85546875,5981534.39681701,10975,10975,280484886.066406,-96.0360820045558,-101.403735763098,300.165284738041,NA
"19","brain: left thalamus",31,14,31,25479.1734698007,16522.646484375,38720.98046875,5705957.71229304,10231,10231,260677423.769531,-111.80236536018,-102.336037532988,300.306323917506,NA
"2","brain: right hypothamalus ",32,14,32,24113.3302848878,15282.556640625,33412.078125,4840418.52217452,7727,7727,186323703.111328,-95.988611362754,-102.715025236185,279.669600103533,NA
"22","brain: left hypothalmus",33,14,33,24514.7623043131,15585.443359375,32027.87890625,3889661.47896409,7825,7825,191828015.03125,-112.37214057508,-103.526261980831,279.882044728434,NA
"30","brain: right septal area",34,14,34,23063.516907299,16061.29296875,29927.71484375,5881186.33432923,2830,2830,65269752.8476562,-102.008127208481,-80.6017667844523,283.359010600707,NA
"49","brain: left septal area",35,14,35,23335.4753638885,16733.734375,31668.10546875,6345563.58643853,2586,2586,60345539.2910156,-111.436968290797,-81.1875483372003,283.548337200309,NA
"47","brain: left neopallial cortex abd amygdala",36,14,36,25792.742204182,18388.369140625,37242.6953125,8219037.96767422,17679,17679,455989889.427734,-83.3299394762147,-88.1747270773234,297.684258159398,NA
"7","brain: right neopallial cortex and amygdala",37,14,37,25129.7258631143,15147.1103515625,36301.84375,9277262.33113924,20005,20005,502720165.891602,-127.829142714321,-94.4923269182704,297.491477130717,NA
"9","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,26704.8114841421,20711.224609375,34661.515625,6151146.53201501,6039,6039,161270356.552734,-83.5898327537672,-87.585030634211,290.61665838715,NA
"36","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,26993.5207306795,20027.681640625,37531.12890625,9699000.1905994,5784,5784,156130523.90625,-128.017116182573,-90.2719571230982,291.51071922545,NA
"33","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,34015.4532874882,25136.779296875,39553.640625,4919689.38229935,11960,11960,406824821.318359,-90.8655518394649,-85.3739130434783,301.576588628763,NA
"40","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,33415.1537585158,23867.125,39216.59765625,6529281.76255816,11486,11486,383806456.070312,-121.09959951245,-88.5662545707818,302.118753264844,NA
"46","pons",42,15,42,24512.6561583371,17518.1015625,34599.92578125,4561472.59606341,23268,23268,570360483.492188,-100.988181193055,-128.210976448341,285.327660306,NA
"43","left cerebellar primordium ",43,16,43,22448.4905963387,14307.8857421875,31834.228515625,6856181.81000973,5547,5547,124521777.337891,-115.162430142419,-141.51288985037,292.83396430503,NA
"44","right cerebellar primordium",44,17,44,24096.7626790638,15361.2412109375,31731.359375,5428629.69881894,5349,5349,128893583.570312,-84.7664984109179,-138.140213123948,291.602729482146,NA
"23","midbrain",45,18,45,23893.2264458582,13159.8896484375,41286.30078125,4464060.57543478,28918,28918,690944322.361328,-101.363718099454,-126.897572446227,314.060135555709,NA
"41","medulla oblongata",46,19,46,23520.5978041879,15226.779296875,30142.236328125,5503192.55241807,17031,17031,400579301.203125,-99.29510891903,-151.126768833304,277.862720920674,NA
"25","spinal cord",47,20,47,24977.1988388317,13785.1865234375,46293.04296875,12322328.3671895,46335,46335,1157318508.19727,-96.3715333980792,-165.722434444804,192.723621452466,NA
"26","vertebrae",48,21,48,20603.8368029318,15147.4794921875,27900.669921875,1860385.26428676,13234,13234,272671176.25,-97.3210669487683,-143.578963276409,147.290086141756,NA
"15","heart: left ventricle chamber",102,11,49,28088.7831815832,18818.240234375,34145.4609375,5126585.08684064,272,272,7640149.02539062,-109.816176470588,-125.867647058824,191.981617647059,NA
"12","heart: right ventricle chamber",103,11,50,32929.1512984155,26031.033203125,37354.58203125,3919830.68342648,213,213,7013909.2265625,-96.8732394366197,-121.356807511737,194.713615023474,NA
