"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,2351.40705957189,0,52168.81640625,24901347.7602732,20435826,20435826,0,0,0,0,NA
"5","left lung",1,1,1,27517.7972535363,11640.4208984375,34839.60546875,12917728.3207175,12796,12796,352117733.65625,-83.0615035948734,-77.0161769302907,177.825336042513,NA
"7","right lung: cranial lobe",2,2,2,28035.5331212989,13466.4365234375,40072.05859375,20269520.4478232,6206,6206,173988518.550781,-120.146793425717,-75.2015791169836,190.159845310989,NA
"34","right lung: middle lobe",3,2,3,27992.9327179439,13617.7138671875,38005.7890625,25201937.7694988,4410,4410,123448833.286133,-125.554421768707,-89.0469387755102,183.435600907029,NA
"44","right lung: caudal lobe",4,2,4,28974.998881497,11979.6591796875,39561.578125,24762875.1501108,9639,9639,279290014.21875,-117.883182902791,-74.5353252412076,168.841788567279,NA
"47","right lung: accessory lobe",5,2,5,25634.5343409997,10059.8408203125,32729.73828125,15350630.4567682,4383,4383,112356164.016602,-96.6246862879306,-85.4503764544832,175.389687428702,NA
"50","left kidney",6,3,6,24624.2424540657,15699.400390625,34107.9921875,8736607.94227691,5008,5008,123318206.209961,-88.875,-91.8604233226837,118.943690095847,NA
"26","right kidney",7,4,7,24798.7462994396,16723.17578125,31811.9921875,5902342.71248167,5270,5270,130689392.998047,-118.640607210626,-89.9897533206831,118.530740037951,NA
"25","stomach wall",8,5,8,25435.0615327957,15126.294921875,38874.40625,10195497.5957907,8557,8557,217647821.536133,-78.9548907327334,-93.9780296833002,133.207549374781,NA
"41","stomach lumen",9,5,9,12851.7874966033,8046.15283203125,24476.51953125,8154824.44185299,4600,4600,59118222.484375,-76.9647826086957,-95.1315217391304,132.674347826087,NA
"28","medial lobe of liver",10,6,10,39601.3561891983,11839.666015625,56713.375,25277813.3694358,59620,59620,2361032856,-108.10043609527,-110.964575645756,160.388879570614,NA
"32","left lobe of liver ",11,6,11,37850.294877497,16919.54296875,48865.95703125,13931590.0711404,39786,39786,1505911831.99609,-79.9844417634344,-101.48079726537,147.747825868396,NA
"33","right lobe of liver",12,6,12,42877.4498748935,11734.328125,60697.515625,50178132.9880274,19652,19652,842627644.941406,-125.137645023407,-89.6058416446163,140.897415021372,NA
"20","caudate lobe of liver",13,6,13,35296.3521179692,11451.3203125,48074.94921875,24074193.1081287,10654,10654,376047335.464844,-109.983855828797,-95.7047118453163,135.574713722546,NA
"3","left adrenal",14,7,14,32131.9684922744,22398.0234375,40792.33203125,22018557.8776844,629,629,20211008.1816406,-89.7170111287758,-78.4133545310016,128.780604133545,NA
"8","right adrenal",15,8,15,33588.0067318925,24271.93359375,41258.02734375,15927249.8233439,535,535,17969583.6015625,-113.828037383178,-78.7607476635514,129.540186915888,NA
"24","rectum/hindgut",16,9,16,26168.5470655488,17264.470703125,34062.8203125,8471391.44258516,1558,1558,40770596.328125,-102.836328626444,-130.120667522465,107.117458279846,NA
"45","bladder",17,10,17,24440.9508419443,10656.0224609375,62889.22265625,29896444.6026006,3617,3617,88402919.1953125,-105.162565662151,-125.404478849876,126.423831904894,NA
"16","heart: left ventricle",18,11,18,28043.342920066,20040.69921875,38281.15234375,6255544.55305221,4742,4742,132981532.126953,-94.3945592576972,-103.765499789119,188.62821594264,NA
"1","heart: right ventricle",19,11,19,30643.8816452303,17323.30859375,48329.59375,14238303.1926022,3308,3308,101369960.482422,-105.249697702539,-104.926239419589,190.882406287787,NA
"40","left thymic rudiment",20,12,20,28417.2475426558,19157.56640625,32852.90234375,11104691.7624755,1011,1011,28729837.265625,-97.1226508407517,-88.811078140455,212.350148367953,NA
"38","right thymic rudiment",21,13,21,27364.3619475562,19301.904296875,32450.158203125,7641886.828725,968,968,26488702.3652344,-106.997933884298,-89.5113636363636,214.136363636364,NA
"51","brain: third ventricle",22,14,22,17502.3987097362,11014.4306640625,23883.287109375,8071550.864344,1008,1008,17642417.8994141,-106.276785714286,-123.820436507937,275.616071428571,NA
"29","brain: mesencephalic vesicle",23,14,23,14136.5762811609,7188.8173828125,23304.265625,12397114.0726859,9472,9472,133901650.535156,-106.027449324324,-92.9590371621622,304.61254222973,NA
"11","brain: fourth ventricle",24,14,24,15617.7235605961,8633.775390625,21722.62109375,7201962.20971895,2380,2380,37170182.0742188,-106.071008403361,-81.1411764705882,277.706302521008,NA
"36","brain: cerebral aqueduct",25,14,25,16935.4412143385,10565.296875,20468.857421875,2382847.3761952,804,804,13616094.7363281,-106.911691542289,-84.9651741293532,288.161691542289,NA
"14","brain: left lateral ventricle",26,14,26,21218.7516050681,11037.0498046875,30118.57421875,13890443.3789066,2340,2340,49651878.7558594,-93.8696581196581,-140.462393162393,291.560256410256,NA
"30","brain: right lateral ventricle",27,14,27,22206.8687259099,11899.373046875,29463.35546875,17444751.7408854,1281,1281,28446998.8378906,-119.427010148322,-139.265417642467,289.587822014052,NA
"46","brain: right olfactory bulb",28,14,28,21199.6845624097,16795,27641.6953125,4321769.99445431,1730,1730,36675454.2929688,-115.912716763006,-156.656069364162,269.169942196532,NA
"13","brain: left olfacotory bulb",29,14,29,21656.8047524816,16564.041015625,28315.3203125,4524769.10920025,1593,1593,34499289.9707031,-97.5900816070308,-158.121155053358,270.023854362837,NA
"43","brain: right thalamus ",30,14,30,22357.9816522252,13877.986328125,36253.55859375,4112098.16533837,10742,10742,240169438.908203,-115.084714205921,-122.543381120834,288.329826847887,NA
"6","brain: left thalamus",31,14,31,22892.8025625046,12669.6337890625,33096.12109375,4542612.87203932,10273,10273,235177760.724609,-98.9182322593205,-123.950647327947,289.374671468899,NA
"22","brain: right hypothamalus ",32,14,32,22132.501052404,14044.7724609375,30441.486328125,3530173.7919435,7082,7082,156742372.453125,-113.647839593335,-119.506495340299,268.040666478396,NA
"19","brain: left hypothalmus",33,14,33,22718.1045350924,14390.2412109375,29627.197265625,3407257.31829589,6669,6669,151507039.144531,-97.815714499925,-121.355525566052,268.726195831459,NA
"48","brain: right septal area",34,14,34,21158.1918526494,16249.2421875,27501.01953125,3235873.46339917,2868,2868,60681694.2333984,-111.210948396095,-141.806136680614,271.981868898187,NA
"49","brain: left septal area",35,14,35,20976.0348846705,15862.9365234375,27460.876953125,3096521.48397038,2607,2607,54684522.9443359,-101.650939777522,-142.540084388186,272.829305715382,NA
"27","brain: left neopallial cortex abd amygdala",36,14,36,23412.6261013686,16670.1875,37997.82421875,9202406.47489527,16643,16643,389656336.205078,-128.104788800096,-132.640209096918,286.492819804122,NA
"10","brain: right neopallial cortex and amygdala",37,14,37,23629.2608717406,15702.11328125,41263.515625,17351604.5057965,19772,19772,467197745.956055,-83.6706453570706,-131.295974104795,287.506827837346,NA
"42","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,24743.5914056015,19046.55078125,30402.02734375,3735227.48483752,5421,5421,134135009.009766,-127.491975650249,-132.923814794318,277.530898358236,NA
"15","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,22746.2099281711,17873.904296875,29528.109375,2616333.15440583,6378,6378,145075326.921875,-84.4568830354343,-136.871589840075,281.092505487614,NA
"31","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,30096.3637995768,21110.15234375,43098.7578125,7069589.01080975,11896,11896,358026343.759766,-122.015047074647,-136.579522528581,290.426698049765,NA
"12","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,28645.9417355992,20742.6484375,42571.8515625,15130559.0367651,12074,12074,345871100.515625,-91.2430843134007,-138.94434321683,292.008116614212,NA
"21","pons",42,15,42,22647.1192537642,12068.2529296875,31749.638671875,5027991.13887638,19723,19723,446669133.041992,-106.267657050145,-95.771332961517,273.823505551894,NA
"4","left cerebellar primordium ",43,16,43,19896.2934782492,14275.0498046875,28968.568359375,7497535.72671087,3636,3636,72342923.0869141,-93.9554455445545,-84.001100110011,280.966721672167,NA
"9","right cerebellar primordium",44,17,44,22223.2386298307,15879.671875,29504.5859375,4882333.80266882,5096,5096,113249624.057617,-120.501569858713,-82.8677394034537,279.304356357928,NA
"23","midbrain",45,18,45,22036.0512172519,12247.5166015625,41749.16015625,21130237.8627651,30065,30065,662513879.84668,-106.625145518044,-98.9528022617662,301.51036088475,NA
"18","medulla oblongata",46,19,46,21374.3104602469,14597.9775390625,28534.248046875,4928064.66654645,16391,16391,350346322.753906,-103.825452992496,-73.2437923250564,266.741016411445,NA
"17","spinal cord",47,20,47,24063.8946419644,12549.4169921875,39524.71875,7694522.78838872,40601,40601,977018186.358398,-101.945001354646,-66.266520529051,185.282899435974,NA
"39","vertebrae",48,21,48,19382.9383540621,15011.1328125,23917.568359375,1741203.85984061,7948,7948,154055594.038086,-103.124056366381,-87.9185958731756,160.363865123301,NA
"2","heart: left ventricle chamber",102,11,49,19250.0711999842,11206.6357421875,25763.107421875,8651656.80128471,592,592,11396042.1503906,-93.347972972973,-104.876689189189,188.964527027027,NA
"37","heart: right ventricle chamber",103,11,50,30178.7900390625,17536.9921875,36051.7734375,10241868.1773039,140,140,4225030.60546875,-107.121428571429,-104.428571428571,190.657142857143,NA
