"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,2864.80442818513,0,52880.01953125,31443704.5112068,20425951,20425952,0,0,0,0,NA
"27","left lung",1,1,1,27639.8299538338,9542.1435546875,35077.6953125,16122788.7371559,12697,12697,350942920.923828,-82.8945420177995,-75.3974954713712,173.984169488856,NA
"23","right lung: cranial lobe",2,2,2,29375.4261961369,10457.6806640625,42302.4296875,35788865.0368977,6899,6899,202661065.327148,-119.310624728221,-72.5023916509639,188.007247427163,NA
"21","right lung: middle lobe",3,2,3,29145.7096546961,10760.392578125,46222.5859375,32593309.7489062,4525,4525,131884336.1875,-124.561104972376,-85.2059668508287,181.86453038674,NA
"26","right lung: caudal lobe",4,2,4,29456.5347789919,9808.1875,42529.67578125,36158459.9860867,9746,9746,287083387.956055,-116.377282987892,-72.5965524317669,166.339216088652,NA
"31","right lung: accessory lobe",5,2,5,25491.2799849127,10322.859375,33901.9921875,14616840.0291718,4373,4373,111473367.374023,-96.0795792362223,-84.790304139035,173.415046878573,NA
"6","left kidney",6,3,6,23862.1771669276,14942.673828125,28171.427734375,3962550.63625076,5440,5440,129810243.788086,-90.3479779411765,-91.2384191176471,115.334558823529,NA
"3","right kidney",7,4,7,26400.2512088608,19008.078125,34959.2578125,9630499.14825822,5154,5154,136066894.730469,-120.017656189367,-90.5964299573147,117.087892898719,NA
"42","stomach wall",8,5,8,25632.0239409221,10709.0048828125,41655.96484375,17793754.5535464,10481,10481,268649242.924805,-79.7456349584963,-93.5597748306459,130.576090067742,NA
"41","stomach lumen",9,5,9,12834.2177741315,7962.3662109375,25161.517578125,7853286.38644567,6332,6332,81266266.9458008,-77.3030638029059,-94.3957675300063,128.748104864182,NA
"29","medial lobe of liver",10,6,10,41307.3307258362,9218.91015625,59790.5703125,56945536.9010455,65290,65290,2696955623.08984,-108.165002297442,-111.386276612039,159.368632256088,NA
"45","left lobe of liver ",11,6,11,40663.7811611077,8844.4658203125,58643.8125,78664683.3772559,38989,38989,1585440163.69043,-81.3381466567493,-104.097258201031,145.570135166329,NA
"48","right lobe of liver",12,6,12,44639.4923058093,12909.8076171875,62108.3125,73012001.6575473,20091,20091,896852039.916016,-124.764173012792,-89.7114628440595,139.237967249017,NA
"19","caudate lobe of liver",13,6,13,34818.1073143549,16143.0087890625,51524.99609375,24915811.9181251,9346,9346,325410030.959961,-109.29402953135,-95.7468435694415,133.303017333619,NA
"47","left adrenal",14,7,14,31286.715996615,20242.533203125,40104.12109375,17406140.4052437,637,637,19929638.0898438,-91.1569858712716,-78.3281004709576,125.594976452119,NA
"13","right adrenal",15,8,15,33801.9928795012,19871.482421875,44094.08984375,17775730.1902874,604,604,20416403.6992188,-114.806291390728,-78.8923841059603,127.551324503311,NA
"33","rectum/hindgut",16,9,16,24479.2595283073,17855.146484375,31601.34375,5341803.15357247,1646,1646,40292861.1835938,-106.131227217497,-132.163426488457,103.273390036452,NA
"4","bladder",17,10,17,22043.2527014839,9674.078125,45009.23828125,20287404.2903053,3937,3937,86784285.8857422,-106.196850393701,-127.540513081026,123.789433578867,NA
"16","heart: left ventricle",18,11,18,29950.1818314621,22180.2734375,37479.1171875,3634319.69528991,4626,4626,138549541.152344,-95.1822308690013,-102.194336359706,188.048205793342,NA
"36","heart: right ventricle",19,11,19,31719.8303515181,24154.7734375,42638.33984375,5892352.32524329,3522,3522,111717242.498047,-105.69647927314,-102.650766609881,191.539466212379,NA
"18","left thymic rudiment",20,12,20,28343.7656110063,19988.68359375,32535.611328125,9557552.53789921,977,977,27691859.0019531,-95.0255885363357,-87.8208802456499,212.019447287615,NA
"17","right thymic rudiment",21,13,21,28254.4964889796,20061.826171875,32876.51171875,8590115.12745281,1018,1018,28763077.4257812,-104.555009823183,-89.0471512770138,213.366404715128,NA
"8","brain: third ventricle",22,14,22,17524.6546156087,10737.3134765625,26088.716796875,7884664.5611875,1247,1247,21853244.3056641,-107.513231756215,-127.015236567763,281.955092221331,NA
