"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,3686.5400750866,0,57195.69140625,37911334.2603803,20324542,20324542,0,0,0,0,NA
"33","left lung",1,1,1,29322.2494064245,11151.9501953125,38246.80859375,16914772.2132597,18002,18002,527859133.814453,-83.772469725586,-77.398677924675,179.416731474281,NA
"30","right lung: cranial lobe",2,2,2,28595.8451908697,9860.7880859375,39605.21484375,27354259.0261942,9654,9654,276064289.472656,-125.482079966853,-79.1062771908017,191.75046612803,NA
"25","right lung: middle lobe",3,2,3,27405.6283502631,13007.212890625,39310.22265625,16354983.7716862,5856,5856,160487359.619141,-128.661714480874,-94.5141734972678,184.100922131148,NA
"32","right lung: caudal lobe",4,2,4,29547.2411120927,12055.0224609375,43321.25390625,26196423.3575568,13229,13229,390880452.671875,-122.643812835437,-75.7971124045657,169.443117393605,NA
"29","right lung: accessory lobe",5,2,5,27278.8163616387,12130.71875,36622.82421875,18554611.6706389,6195,6195,168992267.360352,-97.56400322841,-88.2014527845036,175.557707828894,NA
"38","left kidney",6,3,6,24601.8584283255,14009.294921875,30972.494140625,5881704.85259725,7319,7319,180061001.836914,-89.0931821287061,-85.3495012979915,111.373001776199,NA
"41","right kidney",7,4,7,28184.6535055408,13258.857421875,42094.2421875,31068262.8347784,6469,6469,182326523.527344,-119.918379965992,-86.4920389550162,112.564229401762,NA
"50","stomach wall",8,5,8,25662.4121371134,12619.2685546875,40523.671875,14499543.1436713,13660,13660,350548549.792969,-77.0299414348463,-85.0660322108345,130.374597364568,NA
"22","stomach lumen",9,5,9,14249.6580338854,8286.3642578125,26878.576171875,10940478.0071648,5828,5828,83047007.0214844,-74.0917982155113,-85.1151338366507,129.339910775566,NA
"27","medial lobe of liver",10,6,10,41571.6919451589,12516.943359375,55240.28515625,31854168.9453999,75295,75295,3130140545.01074,-107.367992562587,-111.795989109503,156.532346105319,NA
