"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,2587.90387758259,0,51274.5703125,30326541.1547518,20449703,20449704,0,0,0,0,NA
"35","left lung",1,1,1,29828.6149013441,13930.853515625,38968.61328125,22547669.2022845,10316,10316,307711991.322266,-80.8049631640171,-74.5471112834432,178.890073671966,NA
"2","right lung: cranial lobe",2,2,2,28673.77190368,13268.447265625,36904.87109375,14846719.9332092,5557,5557,159340150.46875,-118.233399316178,-72.2814468238258,188.933057405075,NA
"48","right lung: middle lobe",3,2,3,28626.0183848078,13561.5927734375,38540.53515625,19730452.8886419,3978,3978,113874301.134766,-123.347159376571,-85.562091503268,183.80869783811,NA
"25","right lung: caudal lobe",4,2,4,28556.4715677909,11438.45703125,36473.66015625,14768185.2815114,8867,8867,253210233.391602,-115.119318822601,-72.4791925115597,167.967745573475,NA
"32","right lung: accessory lobe",5,2,5,25976.8450238871,13140.6484375,33104.16015625,12738791.3085801,3475,3475,90269536.4580078,-94.3176978417266,-81.9979856115108,176.790215827338,NA
"26","left kidney",6,3,6,28449.7415626478,15672.720703125,40291.05859375,20657193.8989921,3965,3965,112803225.295898,-85.321815889029,-93.8388398486759,120.81185372005,NA
"19","right kidney",7,4,7,27152.1483969945,18988.70703125,33946.0703125,4542160.7317441,4629,4629,125687294.929688,-112.337437891553,-90.9060272197019,119.421905379132,NA
"22","stomach wall",8,5,8,28791.5716306301,16201.984375,44904.67578125,22913180.899158,7668,7668,220773771.263672,-78.0567292644757,-98.4154929577465,136.6220657277,NA
"45","stomach lumen",9,5,9,13064.2773141841,7900.82373046875,26779.5078125,10314439.477881,4393,4393,57391370.2412109,-75.5923059412702,-98.8786706123378,135.735033007057,NA
"28","medial lobe of liver",10,6,10,44094.1055468597,13851.4599609375,62232.828125,32556775.7601338,68926,68926,3039230318.92285,-108.435365464411,-108.983358964687,161.992571743609,NA
"30","left lobe of liver ",11,6,11,45410.4507520265,14056.4482421875,60336.50390625,50889854.2824939,35148,35148,1596086523.03223,-78.6675486514169,-101.672470695345,151.427193581427,NA
"8","right lobe of liver",12,6,12,43814.4729680587,16608.181640625,61693.79296875,37203626.0864066,22149,22149,970446761.769531,-121.591855162761,-88.7860400018059,139.960359384171,NA
"9","caudate lobe of liver",13,6,13,36876.5924907538,19140.525390625,46222.296875,19374125.7022222,9362,9362,345238658.898438,-104.889553514206,-96.7402264473403,136.571886349071,NA
"5","left adrenal",14,7,14,32683.9501826299,23586.123046875,43449.44921875,15666630.9993156,616,616,20133313.3125,-85.3782467532468,-82.5909090909091,130.675324675325,NA
"41","right adrenal",15,8,15,33374.09541416,22479.12890625,39829.12890625,12654253.9603075,561,561,18722867.5273438,-108.973262032086,-80.1158645276292,129.522281639929,NA
"46","rectum/hindgut",16,9,16,26521.2584036327,20447.826171875,35672.09375,8291619.81634697,1391,1391,36891070.4394531,-99.6714593817398,-131.139468008627,107.841121495327,NA
"20","bladder",17,10,17,24948.1131070108,12391.689453125,55562.80078125,26496720.2132428,3559,3559,88790334.5478516,-102.849114919921,-126.397864568699,127.913739814555,NA
"38","heart: left ventricle",18,11,18,31891.0914728264,18867.439453125,39103.29296875,8802221.29588507,4201,4201,133974475.277344,-96.3146869792906,-100.806950726018,191.286836467508,NA
"34","heart: right ventricle",19,11,19,34982.8247709363,20462.810546875,46402.984375,11310722.1276911,3339,3339,116807651.910156,-106.891883797544,-100.803533992213,193.488469601677,NA
"17","left thymic rudiment",20,12,20,31031.6050398465,21563.708984375,35934.140625,12938394.2795479,847,847,26283769.46875,-97.8512396694215,-85.9433293978748,212.985832349469,NA
"14","right thymic rudiment",21,13,21,31677.2298604775,22779.47265625,37066.1171875,11827157.6459044,822,822,26038682.9453125,-107.169099756691,-86.5304136253041,214.30900243309,NA
"43","brain: third ventricle",22,14,22,20145.4098406471,13075.525390625,27622.900390625,8094997.64954637,919,919,18513631.6435547,-101.994559303591,-123.688792165397,276.297062023939,NA
"15","brain: mesencephalic vesicle",23,14,23,14354.7208205973,8977.2939453125,22395.619140625,9506044.80927658,3292,3292,47255740.9414062,-99.1193803159174,-88.1394289185905,301.712029161604,NA
"29","brain: fourth ventricle",24,14,24,18098.5381516854,9503.00390625,27162.119140625,10253176.4891386,2124,2124,38441295.0341797,-99.1403013182674,-82.3526365348399,278.107815442561,NA
"3","brain: cerebral aqueduct",25,14,25,20776.6038626164,12773.880859375,24797.36328125,3787019.34747178,470,470,9765003.81542969,-100.753191489362,-85.4978723404255,287.293617021277,NA
"12","brain: left lateral ventricle",26,14,26,27117.6113397277,14495.015625,35974.1171875,17629169.4333957,1010,1010,27388787.453125,-88.9623762376238,-136.777227722772,288.036633663366,NA
"44","brain: right lateral ventricle",27,14,27,25827.9973532624,15381.7177734375,36233.8515625,16098294.1613472,887,887,22909433.6523438,-115.404735062007,-136.111612175874,289.687711386697,NA
"10","brain: right olfactory bulb",28,14,28,24255.9196853773,18589.703125,31266.751953125,5194264.78412118,1693,1693,41065272.0273438,-114.185469580626,-155.870643827525,270.950383933845,NA
"11","brain: left olfacotory bulb",29,14,29,24577.0017565763,18819.68359375,32209.724609375,6306899.07650028,1580,1580,38831662.7753906,-95.5563291139241,-157.392405063291,270.279746835443,NA
"36","brain: right thalamus ",30,14,30,25497.8941241976,17361.8671875,41395.828125,8109926.90142844,9678,9678,246768619.333984,-108.662636908452,-121.65922711304,289.061479644555,NA
"1","brain: left thalamus",31,14,31,25631.9407396876,17074.10546875,39860.13671875,8868718.78412743,9438,9438,241914256.701172,-94.1945327399873,-122.943526170799,289.115278660733,NA
"49","brain: right hypothamalus ",32,14,32,24100.3094544445,15594.0712890625,34986.65625,5245941.23724938,7046,7046,169810780.416016,-110.243258586432,-119.92889582742,269.428753902924,NA
"24","brain: left hypothalmus",33,14,33,24357.4642522669,16252.6708984375,34330.73828125,4485966.51877492,7220,7220,175860891.901367,-94.5871191135734,-120.986980609418,269.152770083102,NA
"13","brain: right septal area",34,14,34,23868.0658969442,18164.73828125,31837.333984375,6089041.70900423,2485,2485,59312143.7539062,-108.046680080483,-141.725150905433,272.874849094567,NA
"27","brain: left septal area",35,14,35,23923.6424278253,18104.158203125,35170.16796875,5850597.70841899,2534,2534,60622509.9121094,-98.6862667719021,-142.220205209155,272.437647987372,NA
"18","brain: left neopallial cortex abd amygdala",36,14,36,25277.1734972555,18693.244140625,38017.9765625,8530294.10516582,17467,17467,441516389.476562,-124.551153603939,-131.626552928379,287.733039445812,NA
"51","brain: right neopallial cortex and amygdala",37,14,37,25733.8753694639,17878.7421875,36935.8359375,9238393.13774767,15986,15986,411381731.65625,-81.0888902789941,-132.746966095333,285.637745527336,NA
"7","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,26695.4216266633,19011.818359375,34768.17578125,7946246.00917436,5411,5411,144448926.421875,-123.968952134541,-132.815376085751,281.102753649972,NA
"6","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,26962.977469807,19545.431640625,35645.34375,8823874.1993542,4893,4893,131929848.759766,-82.0940118536685,-136.285918659309,280.326589004701,NA
"31","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,33694.8420343542,25676.55859375,40995.80859375,5805529.41891425,11728,11728,395173107.378906,-116.799710095498,-135.822731923602,291.693298090041,NA
"23","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,33803.8840093188,27050.04296875,40193.8046875,3901426.30660568,10508,10508,355211213.169922,-88.0619527978683,-137.552436239056,290.617529501332,NA
"40","pons",42,15,42,24171.5764319522,14523.7978515625,33493.12890625,3948304.98428136,20712,20712,500641691.058594,-100.454084588644,-95.8292777134029,274.709250675937,NA
"4","left cerebellar primordium ",43,16,43,24185.6091014565,16974.080078125,34932.4375,6049177.85091917,4791,4791,115873253.205078,-85.6933834272594,-84.7063243581716,279.879983302025,NA
"42","right cerebellar primordium",44,17,44,23700.0048530542,15557.3203125,35835.23046875,6421852.80831787,5185,5185,122884525.163086,-115.641851494696,-83.8441658630665,280.329411764706,NA
"47","midbrain",45,18,45,23202.8397329156,15020.2275390625,33291.0234375,3509649.02723742,29464,29464,683648469.890625,-100.239478685854,-96.7129038827043,302.439519413522,NA
"21","medulla oblongata",46,19,46,23621.5052514824,16705.583984375,30721.458984375,4405319.12402462,15737,15737,371731628.142578,-100.760437186249,-73.435661180657,267.309843045053,NA
"37","spinal cord",47,20,47,25786.6690572466,13188.015625,47671.78125,15379499.5128855,44294,44294,1142194719.22168,-98.5501422314535,-64.8172664469228,175.475075631011,NA
"33","vertebrae",48,21,48,21836.6880870163,15675.0673828125,27765.11328125,2447431.27748708,9233,9233,201618141.107422,-100.27293404094,-88.7163435503087,160.737788367811,NA
