"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"41","external",0,0,0,2769.0410911705,0,51071.9140625,27172249.538044,20355224,20355224,0,0,0,0,NA
"30","left lung",1,1,1,25211.3270641005,9120.478515625,32262.296875,11875313.9864179,15991,15991,403154331.082031,-82.0745419298355,-76.9235820148834,170.95960227628,NA
"9","right lung: cranial lobe",2,2,2,27919.3630769045,10458.837890625,38498.921875,26728932.9167642,8411,8411,234829762.839844,-121.247176316728,-75.0426822018785,184.241826180002,NA
"3","right lung: middle lobe",3,2,3,26801.1266375308,11896.5947265625,37707.3125,21764685.6696342,5378,5378,144136459.056641,-125.170509483079,-90.7235031610264,178.451283004835,NA
"31","right lung: caudal lobe",4,2,4,27917.8462228847,8869.2431640625,41355.09765625,29830297.6993767,11339,11339,316560458.321289,-118.981656230708,-73.9847429226563,162.190581179998,NA
"4","right lung: accessory lobe",5,2,5,23947.4572359112,9420.1396484375,31518.05859375,14393240.0485778,5411,5411,129579691.103516,-96.3319164664572,-86.3768249861393,169.158750693033,NA
"15","left kidney",6,3,6,22118.2367932467,12371.2431640625,27252.041015625,3662294.45126883,6578,6578,145493761.625977,-92.3055640012162,-98.8847674065065,104.807540285801,NA
"14","right kidney",7,4,7,27030.9445517815,14518.9404296875,37030.3046875,11514156.277371,5565,5565,150427206.430664,-120.283737646002,-95.8920035938904,107.705660377358,NA
"12","stomach wall",8,5,8,22350.7554452149,13298.3837890625,33630.83203125,10316459.3539596,12332,12332,275629516.150391,-79.6819656179046,-93.3830684398313,125.534382095362,NA
"11","stomach lumen",9,5,9,11344.4870831902,7828.548828125,21766.89453125,5409210.26311598,6825,6825,77426124.3427734,-77.2600732600733,-94.2880586080586,123.805128205128,NA
"23","medial lobe of liver",10,6,10,37296.692765126,13451.48828125,61763.06640625,37094888.1351147,66408,66408,2476798773.14648,-109.964672930972,-113.139395855921,154.520057824359,NA
"28","left lobe of liver ",11,6,11,34321.4021880516,14526.654296875,43724.46875,16933979.092463,44896,44896,1540893672.63477,-79.2283499643621,-104.113595866001,141.163154846757,NA
"26","right lobe of liver",12,6,12,40701.3048517482,14235.9970703125,59503.921875,49602266.668324,21333,21333,868280936.402344,-126.387381052829,-89.7506679791872,132.623306614166,NA
"39","caudate lobe of liver",13,6,13,31499.1732163931,13962.7041015625,45903.171875,18871628.4399777,11585,11585,364917921.711914,-109.118687958567,-97.6841605524385,127.967803193785,NA
"21","left adrenal",14,7,14,30482.7681685396,19452.130859375,39148.45703125,14594230.4760472,698,698,21276972.1816406,-93.5,-83.7220630372493,115.779369627507,NA
"16","right adrenal",15,8,15,32051.8859107093,14651.5576171875,46760.12890625,41405253.6790999,678,678,21731178.6474609,-116.427728613569,-82.1165191740413,118.324483775811,NA
"18","rectum/hindgut",16,9,16,22898.0633648706,16801.404296875,31416.603515625,7345062.64429694,1976,1976,45246573.2089844,-109.79048582996,-141.37044534413,94.1285425101215,NA
"19","bladder",17,10,17,21849.9865747105,7592.22509765625,50772.3828125,24182361.2452077,5592,5592,122185124.925781,-107.464771101574,-139.032546494993,116.6693490701,NA
"38","heart: left ventricle",18,11,18,27525.2021820498,19577.94140625,35222.08984375,3818595.48816937,5404,5404,148746192.591797,-92.0745743893412,-104.703923019985,184.424685418209,NA
"35","heart: right ventricle",19,11,19,27683.125148602,12282.4501953125,34534.55078125,6379943.42743115,3943,3943,109154562.460938,-103.135429875729,-107.030433679939,188.084707075831,NA
"5","left thymic rudiment",20,12,20,26610.0160605779,17527.412109375,30247.9140625,8013650.60881827,1260,1260,33528620.2363281,-95.2277777777778,-90.4150793650794,209.165079365079,NA
"8","right thymic rudiment",21,13,21,26142.0043177481,18535.984375,30211.447265625,6609908.11024768,1310,1310,34246025.65625,-105.563358778626,-92.1404580152672,209.406106870229,NA
"7","brain: third ventricle",22,14,22,16816.9329427083,11125.8310546875,22425.5390625,5484600.4301173,1194,1194,20079417.9335938,-106.653266331658,-126.513400335008,281.206867671692,NA
"45","brain: mesencephalic vesicle",23,14,23,12593.427490822,7706.8603515625,19506.619140625,7106350.50101356,3739,3739,47086825.3881836,-106.531692966034,-88.2029954533298,305.54265846483,NA
"51","brain: fourth ventricle",24,14,24,16108.3015146849,8510.4189453125,23406.134765625,6332267.44509805,2410,2410,38821006.6503906,-103.451452282158,-81.8398340248963,281.751452282158,NA
"2","brain: cerebral aqueduct",25,14,25,17819.3643438217,9359.41796875,21116.916015625,4120134.02744753,545,545,9711553.56738281,-105.535779816514,-85.0935779816514,292.02752293578,NA
"43","brain: left lateral ventricle",26,14,26,22246.6490590671,14066.013671875,27616.939453125,7742431.27407902,751,751,16707233.4433594,-96.3621837549933,-140.992010652463,296.001331557923,NA
"22","brain: right lateral ventricle",27,14,27,23111.2301220496,13652.7705078125,29883.642578125,6969871.0274908,707,707,16339639.6962891,-123.147100424328,-134.090523338048,292.210749646393,NA
"49","brain: right olfactory bulb",28,14,28,19897.4581623284,15896,26512.15625,3664529.23358947,1757,1757,34959833.9912109,-117.332953898691,-161.982925441093,278.266363118953,NA
"42","brain: left olfacotory bulb",29,14,29,19445.2629740701,14137.17578125,26413.03125,4375331.40696715,1608,1608,31267982.8623047,-97.7518656716418,-163.220149253731,279.734452736318,NA
"29","brain: right thalamus ",30,14,30,21702.4150869678,14584.4453125,32594.955078125,3271924.33677066,12170,12170,264118391.608398,-115.660147904684,-122.412489728841,293.285702547247,NA
