"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,3474.19672100065,0,54051.36328125,22895311.4801338,20316537,20316536,0,0,0,0,NA
"2","left lung",1,1,1,22089.9030611602,9845.65234375,29702.630859375,7846006.65648871,17044,17044,376500307.774414,-83.3861769537667,-76.6905069232574,182.402311663929,NA
"19","right lung: cranial lobe",2,2,2,20455.9341712213,11090.947265625,25535.244140625,5779692.6810455,9274,9274,189708333.503906,-123.425490618935,-81.6903170153116,195.281647616994,NA
"49","right lung: middle lobe",3,2,3,20230.6209325613,11491.8515625,27252.62109375,5050410.89267977,6731,6731,136172309.49707,-125.26608230575,-96.7508542564255,186.071014708067,NA
"10","right lung: caudal lobe",4,2,4,20391.0508658178,9095.4599609375,27432.5,5090938.21625585,15497,15497,316000115.267578,-120.81357682132,-75.5104213718784,171.646189585081,NA
"6","right lung: accessory lobe",5,2,5,20135.2001712609,10516.8779296875,24677.994140625,6583869.0312535,5725,5725,115274020.980469,-96.7142358078603,-87.1565065502183,178.431441048035,NA
"1","left kidney",6,3,6,18235.776955532,11559.9658203125,24057.662109375,2582520.09427788,5680,5680,103579213.107422,-80.8007042253521,-84.3463028169014,112.478521126761,NA
"21","right kidney",7,4,7,18430.1327390412,10441.2099609375,25459.90625,4408333.45289576,8455,8455,155826772.308594,-112.647545830869,-82.9821407451212,109.059373151981,NA
"4","stomach wall",8,5,8,20254.7911107204,10900.9091796875,29640.34765625,8028643.67054378,13309,13309,269571014.892578,-72.7714328649786,-83.8728679840709,131.433992035465,NA
"47","stomach lumen",9,5,9,11410.0884741605,6997.28515625,19640.748046875,4064897.13321142,5326,5326,60770131.2133789,-69.8289523094255,-83.6676680435599,130.793466015772,NA
"45","medial lobe of liver",10,6,10,30090.8892001105,9180.4892578125,42123.796875,19941904.2981447,83335,83335,2507624251.49121,-108.788288234235,-109.085186296274,155.456242875142,NA
"26","left lobe of liver ",11,6,11,29871.9156464968,11360.97265625,40752.80859375,21781807.6140127,41258,41258,1232455495.74316,-77.0291579814824,-98.9630859469679,145.64935285278,NA
"22","right lobe of liver",12,6,12,27890.2151814306,8902.5107421875,39226.70703125,17517892.4046417,24709,24709,689139326.917969,-122.830264276175,-81.0331053462301,134.158768060221,NA
"12","caudate lobe of liver",13,6,13,24845.4330149031,7978.0341796875,31336.859375,14926365.4215186,13387,13387,332605811.770508,-104.722267871816,-89.5548666616867,130.624411742736,NA
"43","left adrenal",14,7,14,25313.7287657665,17595.35546875,32356.078125,13779401.38984,773,773,19567512.3359375,-85.1914618369987,-71.1034928848642,127.095730918499,NA
"40","right adrenal",15,8,15,24416.5116547551,11985.7802734375,31586.00390625,15554929.5220226,763,763,18629798.3925781,-108.608125819135,-71.6933158584535,123.309305373526,NA
"35","rectum/hindgut",16,9,16,19465.1619813308,14488.1552734375,27006.8984375,4031371.44597038,2166,2166,42161540.8515625,-92.0637119113573,-124.515697137581,88.9418282548476,NA
"7","bladder",17,10,17,18698.6059051303,8526.4931640625,30160.5,11847731.7898134,5212,5212,97457133.9775391,-96.6884113584037,-126.878549501151,112.264965464313,NA
"13","heart: left ventricle",18,11,18,23814.5317575718,17725.65234375,33050.55859375,4104606.15442769,5518,5518,131408586.238281,-93.1794128307358,-107.045849945632,191.016129032258,NA
"17","heart: right ventricle",19,11,19,24665.3532309746,17268.73828125,33537.234375,6235916.69410785,4062,4062,100190664.824219,-103.739783357952,-110.35721319547,192.612506154604,NA
"20","left thymic rudiment",20,12,20,21638.1112101858,15678.8203125,24269.94140625,2458835.77366049,1507,1507,32608633.59375,-97.8188453881884,-97.7624419376244,218.903118779031,NA
"16","right thymic rudiment",21,13,21,21418.9789645632,15543,24272.583984375,3084005.43878334,1601,1601,34291785.3222656,-108.902560899438,-99.8057464084947,219.801998750781,NA
"23","brain: third ventricle",22,14,22,14671.1514978338,9843.1796875,19055.748046875,3381840.78939666,1338,1338,19630000.7041016,-101.254110612855,-134.826606875934,294.875186846039,NA
"33","brain: mesencephalic vesicle",23,14,23,11491.3317690926,8419.6123046875,16416.49609375,3421741.45414989,2805,2805,32233185.6123047,-101.267736185383,-98.5347593582888,320.64991087344,NA
"38","brain: fourth ventricle",24,14,24,12780.9377324881,8211.556640625,19916.037109375,3060240.11096915,3478,3478,44452101.4335938,-101.794422081656,-90.6190339275446,297.268257619321,NA
