"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"41","external",0,0,0,3127.58593588393,0,51831.4140625,31209899.8215767,20408249,20408248,0,0,0,0,NA
"29","left lung",1,1,1,31547.5957567264,11361.8837890625,46913.0703125,33765882.2299732,12480,12480,393713995.043945,-122.541426282051,-152.202724358974,179.822596153846,NA
"31","right lung: cranial lobe",2,2,2,29059.9158264001,10537.9521484375,37220.12109375,19825556.7675066,6513,6513,189267231.777344,-84.3325656379549,-150.409642253954,192.718562874251,NA
"16","right lung: middle lobe",3,2,3,27466.6670240176,11618.6162109375,35342.2265625,17524990.2323719,5185,5185,142414668.519531,-80.8970106075217,-135.735197685632,186.028736740598,NA
"24","right lung: caudal lobe",4,2,4,28978.1789395668,12873.3154296875,37714.875,18208010.4330061,10089,10089,292360847.321289,-85.4104470215086,-154.531767271286,171.54802259887,NA
"4","right lung: accessory lobe",5,2,5,26725.9833811532,12973.5087890625,33380.109375,16755783.0615312,4520,4520,120801444.882812,-108.910840707965,-142.99203539823,177.336946902655,NA
"47","left kidney",6,3,6,26936.4704752457,14095.171875,43700.36328125,18122966.4721266,4414,4414,118897580.677734,-116.038287267784,-140.850702310829,116.134118713185,NA
"12","right kidney",7,4,7,24255.1719847155,14831.3701171875,29330.240234375,4536517.92968277,6195,6195,150260790.445312,-87.3835351089588,-141.956577885391,116.742050040355,NA
"37","stomach wall",8,5,8,28122.8687760559,14840.92578125,45657.83984375,25641550.2619255,9145,9145,257183634.957031,-124.889666484418,-138.366101694915,131.873810825588,NA
"45","stomach lumen",9,5,9,14066.4308555569,8617.7568359375,24056.330078125,7339659.93753621,3325,3325,46770882.5947266,-127.816541353383,-138.134135338346,130.010526315789,NA
"7","medial lobe of liver",10,6,10,41573.5577175743,10032.560546875,59399.53515625,37988017.7769093,73174,73174,3042103512.42578,-97.9821657965944,-118.929510481865,158.950351217646,NA
"14","left lobe of liver ",11,6,11,43681.5862883762,12466.9873046875,61716.19921875,53162564.5854464,39786,39786,1737915592.06934,-124.568491429146,-129.434851455286,145.490549439501,NA
"33","right lobe of liver",12,6,12,43004.3399344094,10962.978515625,63093.4921875,67703043.3986567,23127,23127,994561369.663086,-78.789856012453,-142.822761274701,140.056254594197,NA
"9","caudate lobe of liver",13,6,13,34423.5682159755,10696.76953125,44966.546875,39258491.2839406,10399,10399,357970685.87793,-96.78257524762,-136.163958072892,135.152418501779,NA
"50","left adrenal",14,7,14,33903.8244303675,21748.580078125,42039.5078125,19681424.7205943,563,563,19087853.1542969,-113.484902309059,-152.490230905861,127.658969804618,NA
"17","right adrenal",15,8,15,33130.1953092823,17982.6953125,40306.0859375,21336987.1242623,607,607,20110028.5527344,-91.4102141680395,-153.26194398682,128.555189456343,NA
"26","rectum/hindgut",16,9,16,24596.1773365358,18002.265625,33094.71484375,7586238.77000109,1841,1841,45281562.4765625,-103.494296577947,-100.948397609995,98.1086366105378,NA
"3","bladder",17,10,17,22620.8361055259,8717.0380859375,31534.06640625,17456987.4993591,4173,4173,94396749.0683594,-102.709082195064,-102.727054876588,120.802779774742,NA
"20","heart: left ventricle",18,11,18,31824.8324955684,22778.625,36924.015625,4153152.67238735,4707,4707,149799486.556641,-111.959209687699,-123.441895049926,190.633524537922,NA
"22","heart: right ventricle",19,11,19,33045.366017642,20209.27734375,44127.33984375,7086972.21012893,3486,3486,115196145.9375,-101.506884681583,-121.390131956397,192.983362019507,NA
"48","left thymic rudiment",20,12,20,29001.6803764977,20340.466796875,33404.90625,8713963.86071125,1012,1012,29349700.5410156,-108.050395256917,-135.381422924901,215.319169960474,NA
"43","right thymic rudiment",21,13,21,28555.7227168262,18669.95703125,33368.2109375,8485054.68573256,1064,1064,30383288.9707031,-98.4558270676692,-133.168233082707,215.929511278195,NA
"27","brain: third ventricle",22,14,22,17592.6376871868,11311.7626953125,24520.201171875,7717974.70630271,1322,1322,23257467.0224609,-106.152798789713,-102.472012102874,288.300302571861,NA
