"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,3390.40382050971,0,60162.546875,37768231.0300392,20389997,20389996,0,0,0,0,NA
"33","left lung",1,1,1,33683.3858969089,13256.5849609375,43946.25390625,24586496.6265644,12573,12573,423501210.881836,-82.5609639704128,-78.8964447625865,170.378429968981,NA
"35","right lung: cranial lobe",2,2,2,31133.6017399177,13968.0205078125,38107.33984375,20401442.1777864,7018,7018,218495617.010742,-119.704616699915,-76.124251923625,183.27329723568,NA
"8","right lung: middle lobe",3,2,3,29952.9554695864,13244.3046875,37514.25,19422973.1663281,5371,5371,160877323.827148,-125.651647737851,-90.6127350586483,175.739154719791,NA
"10","right lung: caudal lobe",4,2,4,31763.9688778373,15811.162109375,38202.9609375,16060573.0604341,11917,11917,378531217.117188,-117.508768985483,-77.142065956197,160.064194008559,NA
"28","right lung: accessory lobe",5,2,5,30202.7604590305,14535.9921875,38925.1328125,22870660.3280846,4449,4449,134372081.282227,-95.8568217576984,-87.1166554281861,168.179590919308,NA
"2","left kidney",6,3,6,29616.4277400337,15625.830078125,36234.33984375,8008569.39141304,4487,4487,132888911.269531,-89.3030978381992,-100.830398930243,109.809003788723,NA
"18","right kidney",7,4,7,28899.9756202564,20324.111328125,34877.19921875,6069639.50934743,5435,5435,157071367.496094,-116.050781968721,-98.7911683532659,108.845814167433,NA
"41","stomach wall",8,5,8,30829.8046274429,16237.2490234375,45836.12109375,19032525.7570074,9610,9610,296274422.469727,-78.3489073881374,-99.5373569198751,125.840478668054,NA
"43","stomach lumen",9,5,9,14251.9226201415,9110.0673828125,27321.119140625,9463887.9446978,5144,5144,73311889.9580078,-75.7414463452566,-100.656881804044,124.40765940902,NA
"14","medial lobe of liver",10,6,10,42440.831965116,16461.798828125,54156.3203125,19792155.2710771,69284,69284,2940470601.87109,-110.337134114659,-113.895286068934,153.176938398476,NA
"50","left lobe of liver ",11,6,11,46888.8924021448,18557.615234375,63213.16015625,39426741.7060103,41331,41331,1937964811.87305,-79.7768745009799,-106.882436911761,141.08364181849,NA
"44","right lobe of liver",12,6,12,42133.2893993762,14535.6767578125,50970.1640625,26470826.4515709,20898,20898,880501481.868164,-123.824863623313,-91.7445688582639,130.4825342138,NA
"36","caudate lobe of liver",13,6,13,37759.3169738332,14691.9423828125,47751.33984375,26028573.833526,9907,9907,374081553.259766,-107.41798728172,-100.918946199657,128.103664075906,NA
"48","left adrenal",14,7,14,39278.3761747472,26318.28515625,50223.0625,36261020.4318862,680,680,26709295.7988281,-90.0911764705882,-87.2338235294118,120.444117647059,NA
"46","right adrenal",15,8,15,38664.1201879957,22733.77734375,46700.99609375,22015207.6894328,662,662,25595647.5644531,-111.276435045317,-85.5453172205438,119.486404833837,NA
"24","rectum/hindgut",16,9,16,28372.1808932242,21641.697265625,38223.10546875,11744065.2014894,1581,1581,44856417.9921875,-104.177735610373,-140.724857685009,102.046173308033,NA
"4","bladder",17,10,17,25667.8545164443,9844.0068359375,40251.0703125,24668798.0675177,4348,4348,111603831.4375,-106.370285188592,-133.966881324747,122.369135234591,NA
"39","heart: left ventricle",18,11,18,36580.0134391307,21024.97265625,60453.73046875,12893701.9016443,5270,5270,192776670.824219,-94.5394686907021,-105.475142314991,185.554459203036,NA
"21","heart: right ventricle",19,11,19,36573.0202843934,27279.537109375,52330.09765625,10099721.0763675,3405,3405,124531134.068359,-106.096328928047,-106.580029368576,188.273127753304,NA
"26","left thymic rudiment",20,12,20,34403.8934794087,23160.9453125,40596.58984375,20033863.8902072,947,947,32580487.125,-97.544878563886,-89.6092925026399,208.441393875396,NA
"29","right thymic rudiment",21,13,21,33732.107292363,22529.408203125,39193.1328125,18506487.0603907,935,935,31539520.3183594,-107.489839572193,-90.0513368983957,209.409625668449,NA
"17","brain: third ventricle",22,14,22,20527.8935433431,13821.1474609375,27485.9921875,8846832.06883352,1033,1033,21205314.0302734,-103.145208131655,-121.992255566312,278.101645692159,NA
"12","brain: mesencephalic vesicle",23,14,23,17174.7142349317,11210.279296875,24718.119140625,9220517.67020052,4140,4140,71103316.9326172,-100.348550724638,-85.9792270531401,302.818599033816,NA
"31","brain: fourth ventricle",24,14,24,20140.5022604561,13393.28515625,25902.060546875,6607754.06874388,2577,2577,51902074.3251953,-99.6255335661622,-79.1199068684517,278.127667830811,NA
"7","brain: cerebral aqueduct",25,14,25,21521.4240178967,13901.865234375,24770.5703125,3167910.53359855,705,705,15172603.9326172,-99.958865248227,-82.709219858156,288.963120567376,NA
"16","brain: left lateral ventricle",26,14,26,27368.0608637092,12833.41796875,33956.578125,17493594.1356708,1424,1424,38972118.6699219,-90.0133426966292,-135.143258426966,292.040730337079,NA
