"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,3620.49488235203,0,60247.1171875,39394397.8478641,20396285,20396284,0,0,0,0,NA
"33","left lung",1,1,1,33823.3442891045,12557.17578125,46385.48828125,34127648.0577976,12653,12653,427966775.290039,-80.2399430964988,-75.8018651703153,173.981664427409,NA
"30","right lung: cranial lobe",2,2,2,34043.0674533321,14540.080078125,42898.2109375,32235748.6175751,6564,6564,223458694.763672,-117.363345521024,-73.7585313833029,183.191499085923,NA
"24","right lung: middle lobe",3,2,3,32771.4187584637,15848.9775390625,41354.890625,29104184.0964699,4223,4223,138393701.416992,-122.530665403741,-87.459862656879,176.857210513853,NA
"32","right lung: caudal lobe",4,2,4,33978.1953277083,14135.08984375,42882.22265625,26690971.4842867,11173,11173,379638376.396484,-114.35988543811,-75.1275396044035,161.146603418956,NA
"28","right lung: accessory lobe",5,2,5,30626.2132613293,14158.9267578125,40840.67578125,25765518.3367098,5216,5216,159746328.371094,-91.9769938650307,-85.4702837423313,170.290644171779,NA
"18","left kidney",6,3,6,28680.4671263473,18703.111328125,38400.42578125,7759769.06436951,4778,4778,137035271.929688,-87.5525324403516,-96.3618668899121,110.431142737547,NA
"41","right kidney",7,4,7,29447.684554938,19483.1640625,35923.11328125,6404717.04394778,5145,5145,151508337.035156,-115.95879494655,-92.3181729834791,113.428182701652,NA
"11","stomach wall",8,5,8,29519.9292935636,15523.6025390625,49913.52734375,25146441.1346263,9968,9968,294254655.198242,-76.9146268057785,-96.8615569823435,126.147873194222,NA
"44","stomach lumen",9,5,9,14571.1313017004,9367.169921875,26945.765625,10044480.713509,4760,4760,69358584.9960938,-74.4191176470588,-97.6521008403361,124.496428571429,NA
"25","medial lobe of liver",10,6,10,44268.9111002303,13414.15625,58928.19921875,42929853.5116564,69086,69086,3058361992.27051,-101.773774715572,-112.39055669745,156.478070810294,NA
"48","left lobe of liver ",11,6,11,46382.9521488554,13060.86328125,62548.3359375,65553652.4911128,46738,46738,2167846417.5332,-76.8772091231974,-105.178634087894,140.381723650991,NA
"49","right lobe of liver",12,6,12,46807.7998240985,18572.90234375,63805.59765625,56342447.3595025,22740,22740,1064409368,-123.54327176781,-90.3814423922603,134.4936235708,NA
"6","caudate lobe of liver",13,6,13,39479.9704083312,14953.3779296875,53748.2578125,40669245.8926235,8401,8401,331671231.400391,-106.17247946673,-97.4395905249375,131.238900130937,NA
"22","left adrenal",14,7,14,37826.30647716,23605.98828125,47702.6484375,29507595.8759131,693,693,26213630.3886719,-87.7344877344877,-83.7965367965368,120.705627705628,NA
"27","right adrenal",15,8,15,39379.107403095,21953.8203125,50401.65234375,31017554.1024593,624,624,24572563.0195312,-110.325320512821,-81.1394230769231,122.975961538462,NA
"42","rectum/hindgut",16,9,16,28506.1792481018,19950.318359375,38639.296875,11699955.9067111,1778,1778,50683986.703125,-105.251968503937,-133.362767154106,98.8374578177728,NA
"39","bladder",17,10,17,26867.1215799213,11074.6865234375,45436.2578125,26108580.2136796,4397,4397,118134733.586914,-104.409142597225,-130.586991130316,120.257220832386,NA
"16","heart: left ventricle",18,11,18,36160.2719627866,24731.759765625,41980.76171875,4922366.88551821,4601,4601,166373411.300781,-94.0841121495327,-103.035644425125,185.374918495979,NA
"17","heart: right ventricle",19,11,19,36896.3004010846,25999.958984375,44849.13671875,5964351.31670226,3884,3884,143305230.757812,-105.459320288363,-103.837023686921,187.694129763131,NA
"46","left thymic rudiment",20,12,20,33582.1953762908,23043.958984375,38302.46484375,13029838.1554004,1041,1041,34959065.3867188,-97.0086455331412,-89.3679154658982,209.767531219981,NA
"45","right thymic rudiment",21,13,21,33488.7281169799,22334.884765625,38825.09765625,16170304.3876109,828,828,27728666.8808594,-106.280193236715,-90.4855072463768,209.794685990338,NA
"8","brain: third ventricle",22,14,22,20497.9368384345,12250.8447265625,28565.384765625,11004972.6283981,1361,1361,27897692.0371094,-103.193975018369,-124.891256429096,282.56355620867,NA
"2","brain: mesencephalic vesicle",23,14,23,15150.883171316,10417.001953125,25085.0703125,9825744.76812695,4556,4556,69027423.7285156,-101.125109745391,-86.1894205443371,305.39552238806,NA
"23","brain: fourth ventricle",24,14,24,18061.0567726215,10572.091796875,28093.73046875,12231746.2367456,2767,2767,49974944.0898438,-100.396096855801,-81.1749186844959,280.092518973618,NA
"21","brain: cerebral aqueduct",25,14,25,20838.8659380458,12681.5361328125,26988.759765625,11506734.2601777,501,501,10440271.8349609,-100.672654690619,-84.8662674650699,290.972055888224,NA
"43","brain: left lateral ventricle",26,14,26,24121.9038265949,13376.6640625,35527.80859375,29007590.4333634,1736,1736,41875625.0429688,-91.6872119815668,-138.348502304147,298.620967741935,NA
"9","brain: right lateral ventricle",27,14,27,22875.8126433591,11060.7041015625,34054.75390625,29189979.2336856,1703,1703,38957508.9316406,-117.684674104521,-136.871403405755,299.100411039342,NA
"29","brain: right olfactory bulb",28,14,28,25382.5903134441,17033.455078125,33133,6585027.13966276,1655,1655,42008186.96875,-115.215709969789,-157.674320241692,278.649546827795,NA
"12","brain: left olfacotory bulb",29,14,29,25468.7759074401,16626.541015625,33398.88671875,7243584.1698233,1523,1523,38788945.7070312,-96.0091923834537,-158.584372948129,278.951411687459,NA
"34","brain: right thalamus ",30,14,30,27211.9581646885,17126.880859375,41174.40234375,8043557.78290554,10732,10732,292038735.023438,-111.120946701454,-121.474002981737,295.781587774879,NA
"31","brain: left thalamus",31,14,31,27964.5387630738,17515.50390625,38763.76171875,5867627.61711875,9830,9830,274891416.041016,-95.5255340793489,-122.350254323499,295.746795523906,NA
"14","brain: right hypothamalus ",32,14,32,25384.2727796538,15946.5888671875,36193.5,7515824.51567044,7415,7415,188224382.661133,-111.216453135536,-120.575590020229,274.869993256912,NA
"13","brain: left hypothalmus",33,14,33,26121.9307758527,17255.197265625,35353.66796875,5042763.8561758,7469,7469,195104700.964844,-95.5304592314902,-122.089436336859,274.935332708529,NA
"15","brain: right septal area",34,14,34,24597.2552794635,15649.255859375,32526.6484375,4985968.11154106,2755,2755,67765438.2949219,-109.560072595281,-142.910707803993,279.9277676951,NA
"38","brain: left septal area",35,14,35,24936.1835742787,16870.8046875,33586.93359375,5252648.69363648,2608,2608,65033566.7617188,-99.7902607361963,-143.344708588957,280.038726993865,NA
"40","brain: left neopallial cortex abd amygdala",36,14,36,26846.4819303677,18745.486328125,36968.5234375,6823264.54866452,18768,18768,503854772.869141,-127.4742114237,-131.298753196931,293.904571611253,NA
"10","brain: right neopallial cortex and amygdala",37,14,37,27061.4011859477,16358.78515625,36506.48828125,6726065.25156013,18320,18320,495764869.726562,-81.7802947598253,-132.80846069869,293.894868995633,NA
