"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"40","external",0,0,0,3107.91691079551,0,59990.05078125,35410797.340503,20398487,20398488,0,0,0,0,NA
"35","left lung",1,1,1,30002.0522505544,10547.5908203125,40491.703125,17228358.3473626,13683,13683,410518080.944336,-81.5068332967916,-76.0125703427611,173.177592633194,NA
"37","right lung: cranial lobe",2,2,2,30859.2235462754,10698.8583984375,41670.6875,41631874.4832522,7922,7922,244466768.933594,-120.48699823277,-73.7510729613734,183.31986872002,NA
"26","right lung: middle lobe",3,2,3,29342.9485224723,11004.7666015625,41729.84375,34319342.5653617,4735,4735,138938861.253906,-125.100739176346,-88.9197465681098,178.236536430834,NA
"32","right lung: caudal lobe",4,2,4,30919.5392666059,11025.322265625,42819.41796875,36191551.6364191,10617,10617,328272748.393555,-115.956767448432,-73.7954224357163,162.233022511067,NA
"30","right lung: accessory lobe",5,2,5,27356.1434985941,9985.1083984375,36216.52734375,20990990.7916736,4718,4718,129066285.026367,-94.4516744383213,-85.8270453582026,171.399533700721,NA
"4","left kidney",6,3,6,28119.9579221911,17850.390625,34297.48046875,6036561.20334598,4893,4893,137590954.113281,-88.6335581442878,-94.5740854281627,111.992642550582,NA
"11","right kidney",7,4,7,30471.5618600852,15792.787109375,42419.96875,14790444.2864828,4125,4125,125695192.672852,-116.221818181818,-91.049696969697,113.985454545455,NA
"48","stomach wall",8,5,8,27840.0500752702,11324.8857421875,41327.8671875,15421989.6397825,10618,10618,295605651.699219,-77.225842908269,-95.6047278206819,128.431813900923,NA
"6","stomach lumen",9,5,9,13170.9652906892,7922.72607421875,25339.59765625,7987551.84304044,7240,7240,95357788.7045898,-74.7459944751381,-96.4139502762431,126.820165745856,NA
"28","medial lobe of liver",10,6,10,42538.7999967818,11027.888671875,59363.28125,43723641.7613514,71249,71249,3030846960.9707,-106.503894791506,-112.27067046555,157.541691813218,NA
"8","left lobe of liver ",11,6,11,41273.4144961494,10223.73046875,60820.453125,49288706.0566533,42731,42731,1763654274.83496,-79.5162996419461,-105.639091058014,142.680138541106,NA
"15","right lobe of liver",12,6,12,45854.8064977426,11564.6826171875,62977.546875,69679726.5547285,20388,20388,934887794.875977,-124.537031587208,-90.6377771237983,135.09279968609,NA
"3","caudate lobe of liver",13,6,13,36571.8341339525,14387.484375,52209.07421875,21861504.3430219,10766,10766,393732366.286133,-109.176481515883,-97.8188742336987,130.0011146201,NA
"14","left adrenal",14,7,14,36268.4031833022,22944.572265625,46273.66015625,30408706.7421532,670,670,24299830.1328125,-89.7507462686567,-81.9298507462687,122.916417910448,NA
"50","right adrenal",15,8,15,37758.5917099084,22920.548828125,49745.74609375,34156089.1822954,539,539,20351880.9316406,-111.443413729128,-80.5343228200371,123.758812615955,NA
"25","rectum/hindgut",16,9,16,29527.290108817,20271.021484375,39382.19921875,11406364.5493957,1792,1792,52912903.875,-106.272879464286,-133.7421875,99.0172991071429,NA
"17","bladder",17,10,17,25893.6330852697,7105.41796875,50434.87109375,28474992.0210102,4153,4153,107536258.203125,-105.109318564893,-130.843486636167,121.355887310378,NA
"20","heart: left ventricle",18,11,18,33923.5316389856,25041.5078125,47945.8828125,8679004.96258802,5242,5242,177827152.851562,-93.5549408622663,-104.107592521938,187.469858832507,NA
"21","heart: right ventricle",19,11,19,34803.3381436614,25606.0078125,44944.51171875,6626740.37821231,2964,2964,103157094.257812,-104.327935222672,-104.625843454791,189.771255060729,NA
"18","left thymic rudiment",20,12,20,29749.7848219313,20652.48828125,33986.41015625,9256360.26027813,888,888,26417808.921875,-97.3378378378378,-87.9673423423423,210.771396396396,NA
"13","right thymic rudiment",21,13,21,30009.2639563301,20465.51953125,34880.828125,10073325.8733779,975,975,29259032.3574219,-107.060512820513,-88.3620512820513,213.361025641026,NA
"1","brain: third ventricle",22,14,22,18076.5803314411,11187.890625,26075.5078125,9015292.19776746,1357,1357,24529919.5097656,-106.462785556374,-123.243183492999,280.22918201916,NA
"27","brain: mesencephalic vesicle",23,14,23,14845.1925754578,8535.64453125,26402.63671875,17484308.2791743,7396,7396,109795044.288086,-104.876825310979,-88.4570037858302,306.900216333153,NA
"47","brain: fourth ventricle",24,14,24,16033.3216019515,9387.8154296875,24181.130859375,10703497.6045887,2912,2912,46689032.5048828,-103.133928571429,-78.9089972527473,278.301510989011,NA
"16","brain: cerebral aqueduct",25,14,25,19426.4675679161,10265.193359375,24667.01953125,7886101.90489113,727,727,14123041.921875,-104.42090784044,-83.1733149931224,288.969738651994,NA
"12","brain: left lateral ventricle",26,14,26,21683.5575266852,11425.3125,32628.82421875,22500367.8814905,2266,2266,49134941.3554688,-92.6606354810238,-136.144748455428,296.203442188879,NA
"42","brain: right lateral ventricle",27,14,27,21918.6314348912,11540.85546875,33552.09765625,28811183.4703921,1668,1668,36560277.2333984,-119.876498800959,-136.528776978417,296.200839328537,NA
"43","brain: right olfactory bulb",28,14,28,24581.0679057953,14109.22265625,32093.130859375,7707973.10363113,1787,1787,43926368.3476562,-116.467263570229,-156.072747621712,275.037493005036,NA
"41","brain: left olfacotory bulb",29,14,29,24558.192012371,15217.0419921875,32067.92578125,7691620.75984167,1587,1587,38973850.7236328,-97.8809073724008,-157.143037177064,276.180844360428,NA
"36","brain: right thalamus ",30,14,30,25314.1395139669,14084.6142578125,38120.55078125,8473345.67341789,10799,10799,273367392.611328,-114.92591906658,-119.779053616076,292.817760903787,NA
"38","brain: left thalamus",31,14,31,24497.7829626778,15097.95703125,39418.95703125,6251040.80561868,11039,11039,270431026.125,-98.7915572062687,-121.887489808859,294.17574055621,NA
"9","brain: right hypothamalus ",32,14,32,23647.7385302556,14989.0263671875,32329.580078125,5610484.64058224,7377,7377,174449367.137695,-113.402060458181,-118.457231937102,272.036058018165,NA
"33","brain: left hypothalmus",33,14,33,23864.8226309993,14913.0654296875,32299.4453125,5125214.41010795,7441,7441,177578145.197266,-97.5647090444833,-120.395511356001,273.414997984142,NA
"31","brain: right septal area",34,14,34,23062.0401047725,11324.400390625,30737.5234375,7096430.36317496,2794,2794,64435340.0527344,-111.360415175376,-141.1170365068,276.985325697924,NA
"45","brain: left septal area",35,14,35,23053.1815966835,13296.619140625,30818.8359375,6016539.85032995,2578,2578,59431102.15625,-101.694724592708,-141.788983708301,278.023661753297,NA
"10","brain: left neopallial cortex abd amygdala",36,14,36,26558.914519555,16532.90234375,37748.34765625,6672503.77267663,16794,16794,446030410.441406,-129.186018816244,-131.143205906872,290.803024889842,NA
"49","brain: right neopallial cortex and amygdala",37,14,37,26020.8851983426,14313.611328125,42429.76171875,13659584.7075554,19711,19711,512897668.144531,-83.5632895337629,-130.239358733702,292.896656689158,NA
"5","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,28171.2657568039,21589.595703125,35407.3125,5616821.2681056,5794,5794,163224313.794922,-128.492923714187,-131.392820158785,281.971694856748,NA
"29","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,26808.993139335,19118.943359375,33743.0703125,6257856.23912701,5608,5608,150344833.525391,-84.0706134094151,-135.444900142653,285.957917261056,NA
"7","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,33506.2081597882,17897.0625,40086.9921875,5540452.72733906,13160,13160,440941699.382812,-122.564969604863,-134.137613981763,295.203647416413,NA
"44","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,32280.0729983138,22558.951171875,47558.60546875,11410468.8813244,12806,12806,413378614.816406,-90.6118225831641,-136.409573637357,298.021786662502,NA
"2","pons",42,15,42,24568.9159055797,16307.994140625,34788.57421875,7288269.94004003,21795,21795,535479522.162109,-105.282174810736,-93.6932323927506,275.839779766001,NA
"22","left cerebellar primordium ",43,16,43,22979.1815665191,14613.6552734375,33173.125,6880049.26533278,5851,5851,134451191.345703,-89.1186122030422,-81.4821398051615,283.078789950436,NA
"51","right cerebellar primordium",44,17,44,25039.3230607107,16005.3955078125,32878.37890625,7484569.91973896,5209,5209,130429833.823242,-119.521021309272,-81.1867920906124,280.164138990209,NA
"24","midbrain",45,18,45,24629.438564984,12357.146484375,46282.390625,23586583.2892139,32338,32338,796466784.314453,-105.246242810316,-94.2045890283877,305.018492176387,NA
"46","medulla oblongata",46,19,46,25491.4649507817,16330.7412109375,34634.0546875,8524390.84744417,15666,15666,399349289.918945,-102.343163538874,-71.6826247925444,266.736946253032,NA
"39","spinal cord",47,20,47,27989.3542120508,14086.359375,35662.2734375,8955279.37170701,43767,43767,1225010065.79883,-100.959558571526,-65.5466218840679,178.079352023214,NA
"34","vertebrae",48,21,48,22115.75216525,15695.71484375,28193.20703125,2538076.58857983,9921,9921,219410377.231445,-102.964015724221,-86.9298457816752,157.430803346437,NA
"19","heart: left ventricle chamber",102,11,49,29320.7858796296,19341.310546875,33647.34375,6567670.54862461,324,324,9499934.625,-92.9938271604938,-103.966049382716,187.388888888889,NA
"23","heart: right ventricle chamber",103,11,50,32823.9880462876,29429.025390625,35949.25390625,1663168.7828235,133,133,4365590.41015625,-106.766917293233,-107.631578947368,189.789473684211,NA
