"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,3802.64962949035,0,58764.10546875,35820570.0821677,20341110,20341110,0,0,0,0,NA
"8","left lung",1,1,1,28309.9177586604,11264.9716796875,34651.29296875,17107295.8500037,16548,16548,468472519.070312,-80.3684433164129,-73.3780517283055,184.458182257675,NA
"11","right lung: cranial lobe",2,2,2,26857.7995352626,11958.2822265625,33426.109375,15055777.9228419,9511,9511,255444531.379883,-122.004941646515,-72.9460624540006,197.37724739775,NA
"33","right lung: middle lobe",3,2,3,26244.6739763518,13472.849609375,34439.9375,11501492.9782459,6081,6081,159593862.450195,-126.92994573261,-87.3015951323795,188.08633448446,NA
"31","right lung: caudal lobe",4,2,4,27135.7812825592,12393.0830078125,33343.62109375,11165881.0234536,13797,13797,374392374.355469,-119.302891933029,-67.8745379430311,174.957092121476,NA
"23","right lung: accessory lobe",5,2,5,26458.8257386643,11362.55859375,33837.078125,19157825.0114849,5843,5843,154598918.791016,-94.7682697244566,-82.6243368132808,180.099777511552,NA
"4","left kidney",6,3,6,25046.6281703025,13254.5859375,32754.65625,7928743.35378514,6717,6717,168238201.419922,-88.7518237308322,-83.0253089176716,116.531189519131,NA
"27","right kidney",7,4,7,24983.3523493429,16040.5390625,37397.2421875,13391211.6574203,7124,7124,177981402.136719,-120.315553060079,-79.2629140932061,117.323975294778,NA
"25","stomach wall",8,5,8,25037.7467242155,11253.7099609375,43805.75,13928164.6645159,12150,12150,304208622.699219,-77.5805761316872,-82.0525925925926,135.738436213992,NA
"10","stomach lumen",9,5,9,13149.952006107,7964.56494140625,25035.080078125,6564313.26049065,7194,7194,94600754.7319336,-74.7053099805393,-82.6544342507645,134.587016958577,NA
"36","medial lobe of liver",10,6,10,42727.46043537,10762.7255859375,63493.78125,62527327.0003994,66356,66356,2835223364.64941,-108.108701549219,-103.242841642052,160.293477605642,NA
"19","left lobe of liver ",11,6,11,42259.0592418634,10490.1591796875,57170.16015625,52940194.5837738,35462,35462,1498590758.83496,-78.7509446731713,-90.6212847555129,149.559669505386,NA
"1","right lobe of liver",12,6,12,41936.2817690281,11218.0146484375,54407.58203125,57057055.3680073,22757,22757,954343964.217773,-126.076459990333,-76.3519796106692,143.183547919322,NA
"38","caudate lobe of liver",13,6,13,35427.8787255833,13640.45703125,47129.265625,37051838.4501712,10962,10962,388360406.589844,-110.685276409414,-85.2959313993797,136.161923006751,NA
"51","left adrenal",14,7,14,33652.7058761069,17817.607421875,45767.19921875,39106598.6021549,607,607,20427192.4667969,-90.4299835255354,-69.3986820428336,128.355848434926,NA
"49","right adrenal",15,8,15,32365.0608051395,14086.65234375,44780.05078125,41676489.9339885,605,605,19580861.7871094,-115.302479338843,-67.8727272727273,130.385123966942,NA
"47","rectum/hindgut",16,9,16,25703.4137451644,17805.349609375,34838.2734375,10909730.4835982,2068,2068,53154659.625,-100.943907156673,-126.221470019342,97.5130560928433,NA
"29","bladder",17,10,17,22081.4941641449,8346.5,32196.697265625,18497154.8130538,5024,5024,110937426.680664,-104.020899681529,-123.216560509554,120.072651273885,NA
"6","heart: left ventricle",18,11,18,29061.681580727,18319.822265625,46471.5703125,8588082.95495428,6065,6065,176259098.787109,-92.1439406430338,-103.6296784831,192.225061830173,NA
"7","heart: right ventricle",19,11,19,27403.0288688329,13507.1572265625,37375.94921875,10267180.6019829,4677,4677,128163966.019531,-104.106050887321,-106.598674363908,194.381227282446,NA
"45","left thymic rudiment",20,12,20,29320.0611859753,18863.57421875,34706.96484375,13543498.8970954,1363,1363,39963243.3964844,-96.0763022743947,-93.8261188554659,220.502567865004,NA
"41","right thymic rudiment",21,13,21,28992.2737115996,18055.91796875,34197.37890625,11765843.192728,1475,1475,42763603.7246094,-106.713220338983,-95.2189830508475,220.886779661017,NA
"43","brain: third ventricle",22,14,22,19603.4175954229,13899.3955078125,24434.583984375,5791897.84942435,892,892,17486248.4951172,-108.061659192825,-140.670403587444,286.350896860987,NA
"14","brain: mesencephalic vesicle",23,14,23,14109.0230336658,9412.48046875,21153.4375,6613749.28908206,2972,2972,41932016.4560547,-103.722409152086,-108.346904441454,319.926985195155,NA
"5","brain: fourth ventricle",24,14,24,16701.736390638,10487.8154296875,23426.568359375,3358396.19618117,3015,3015,50355735.2177734,-100.636815920398,-97.1562189054726,298.227529021559,NA
"22","brain: cerebral aqueduct",25,14,25,17582.8394581239,12497.03515625,21936.017578125,1524256.41883475,1094,1094,19235626.3671875,-102.780621572212,-102.13802559415,308.173674588665,NA
"16","brain: left lateral ventricle",26,14,26,23495.7813999657,13107.0380859375,30615.384765625,12707579.899979,1094,1094,25704384.8515625,-97.3254113345521,-158.569469835466,299.530164533821,NA
"17","brain: right lateral ventricle",27,14,27,21800.6163131359,12780.373046875,28690.798828125,11575531.6484294,946,946,20623383.0322266,-123.558139534884,-155.866807610994,299.983086680761,NA
"26","brain: right olfactory bulb",28,14,28,21775.9441150374,16797.935546875,28762.4609375,3731084.97684094,2122,2122,46208553.4121094,-122.744580584354,-174.776154571159,278.237040527804,NA
"15","brain: left olfacotory bulb",29,14,29,22248.6327708794,16809.4921875,28575.125,4037619.56735742,1924,1924,42806369.4511719,-103.43711018711,-177.757796257796,278.626299376299,NA
"9","brain: right thalamus ",30,14,30,22455.3403221399,16137.9599609375,34028.0078125,4248826.09423122,13279,13279,298184464.137695,-116.759695760223,-139.363430981249,300.244220197304,NA
"12","brain: left thalamus",31,14,31,22767.0365105924,17012.32421875,34589.87109375,3862776.62149072,12894,12894,293558168.767578,-99.7358461299829,-141.969210485497,300.863812626028,NA
"32","brain: right hypothamalus ",32,14,32,22369.8414848856,14717.4501953125,30107.185546875,2881553.17825607,8492,8492,189964693.889648,-115.556994818653,-135.247291568535,278.886716910033,NA
"30","brain: left hypothalmus",33,14,33,22712.7858851446,16167.498046875,29960.716796875,2257242.66693493,8375,8375,190219581.788086,-98.8161194029851,-138.492059701493,279.233194029851,NA
"13","brain: right septal area",34,14,34,20999.6932946132,13043.9619140625,26654.080078125,3916747.66026776,3423,3423,71881950.1474609,-115.89424481449,-159.220566754309,281.573473561204,NA
"3","brain: left septal area",35,14,35,21364.6234971805,14223.5888671875,28570.05078125,3949865.06870697,3253,3253,69499120.2363281,-105.964648017215,-160.874269904703,282.083922533046,NA
"20","brain: left neopallial cortex abd amygdala",36,14,36,23315.7252880045,16991.23046875,29945.99609375,6884508.12936876,24118,24118,562328662.496094,-133.519238742848,-147.193797163944,297.82415623186,NA
"24","brain: right neopallial cortex and amygdala",37,14,37,23893.6854059287,16428.515625,31016.26171875,7263062.53520388,24361,24361,582074070.173828,-85.8293173515045,-152.765650014367,298.297894175116,NA
"34","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,23731.7802279752,18689.404296875,29822.390625,4692085.51661391,7239,7239,171794357.070312,-132.966984390109,-149.308329879818,289.9343832021,NA
"37","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,24656.7923260184,19289.984375,31324.625,4935630.82453016,7521,7521,185443735.083984,-86.9227496343571,-157.029916234543,290.541816247839,NA
"18","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,29309.6431019551,22528.55078125,36354.94140625,4840442.7637809,12774,12774,374401380.984375,-126.786441208705,-151.982307812745,301.756693283232,NA
"2","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,29980.7326066902,23506.8046875,37296.0078125,4415168.85417382,12280,12280,368163396.410156,-94.2749185667752,-156.803664495114,302.454723127036,NA
"21","pons",42,15,42,21868.5760153697,13758.58203125,32076.029296875,3915419.10688328,25552,25552,558785854.344727,-103.301502817783,-110.98086255479,289.476087977458,NA
"50","left cerebellar primordium ",43,16,43,20335.1298846168,15602.1083984375,27964.5390625,3406642.16555148,6495,6495,132076668.600586,-85.694688221709,-101.8805234796,298.988606620477,NA
"48","right cerebellar primordium",44,17,44,20941.0341232646,15113.8193359375,28522.123046875,3160080.85021052,6352,6352,133017448.750977,-118.678683879093,-97.5146410579345,297.915617128463,NA
"46","midbrain",45,18,45,21381.4271498768,14219.62890625,39934.20703125,3600053.90197374,36640,36640,783415490.771484,-104.755840611354,-116.189492358079,318.571424672489,NA
"28","medulla oblongata",46,19,46,20251.3346726528,15139.9677734375,25815.138671875,2963951.52188836,20640,20640,417987547.643555,-99.7662790697674,-87.2927810077519,286.78871124031,NA
"39","spinal cord",47,20,47,22713.3227647813,13458.5595703125,35610.14453125,8094812.83493576,54418,54418,1236013598.21387,-99.8857179609688,-63.1700356499688,196.780495424308,NA
"42","vertebrae",48,21,48,19619.4391696305,12983.9541015625,26108.888671875,2176593.03850053,13307,13307,261075877.030273,-101.621702863155,-84.4416472533253,144.682723378673,NA
"44","heart: left ventricle chamber",102,11,49,23496.3523067624,13627.783203125,31117.01171875,9865776.63210092,433,433,10173920.5488281,-92.5842956120092,-102.551963048499,192.847575057737,NA
"40","heart: right ventricle chamber",103,11,50,18682.8685390364,8407.2626953125,25768.294921875,21144661.489562,599,599,11191038.2548828,-105.163606010017,-106.986644407346,195.524207011686,NA
