"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"41","external",0,0,0,2723.52307645214,0,60776.1171875,20849944.1969115,20353594,20353594,0,0,0,0,NA
"10","left lung",1,1,1,24249.1911075829,6685.693359375,34041.66015625,18290124.2200793,15201,15201,368611954.026367,-80.9945398329057,-74.399907900796,183.073482007763,NA
"11","right lung: cranial lobe",2,2,2,23397.7133156554,8419.67578125,30215.328125,14936654.4243772,7658,7658,179179688.571289,-120.165186732828,-73.7535910159311,195.27866283625,NA
"7","right lung: middle lobe",3,2,3,23028.7109957691,9690.9501953125,30510.056640625,13542753.7472041,5715,5715,131609083.34082,-124.183902012248,-88.5032370953631,187.497462817148,NA
"8","right lung: caudal lobe",4,2,4,23606.3769266575,9755.0029296875,31070.6640625,13070516.8189487,12139,12139,286557809.512695,-118.151165664388,-68.9136666941264,173.659197627482,NA
"5","right lung: accessory lobe",5,2,5,21377.866694548,7896.35888671875,29308.787109375,13716509.6592841,5227,5227,111742109.212402,-94.9387794145781,-83.1557298641668,179.199540845609,NA
"19","left kidney",6,3,6,20825.5347448792,9640.642578125,26908.494140625,6526288.77682934,6336,6336,131950588.143555,-91.9000946969697,-81.6707702020202,114.708648989899,NA
"20","right kidney",7,4,7,21688.8030669458,12127.646484375,31836.58203125,10919011.3112242,7203,7203,156224448.491211,-121.424406497293,-79.095654588366,116.685825350548,NA
"29","stomach wall",8,5,8,21074.0098141129,10148.40625,34496.32421875,11475985.4554062,11339,11339,238958197.282227,-79.7296939765411,-83.3704912249758,132.021695034836,NA
"46","stomach lumen",9,5,9,9860.4797810397,6073.3759765625,20749.3515625,5573004.83444245,6334,6334,62456278.9331055,-78.175244711083,-84.5179981054626,130.756236185665,NA
"44","medial lobe of liver",10,6,10,33390.8136591658,6598.8037109375,44981.60546875,33022912.7472536,75241,75241,2512358210.5293,-107.40071237756,-105.81712098457,160.114618359671,NA
"24","left lobe of liver ",11,6,11,33150.4064088006,5981.68603515625,48069.98046875,59173208.4727955,46159,46159,1530189609.42383,-80.0130418769904,-95.7314499880847,145.322299009944,NA
"26","right lobe of liver",12,6,12,33777.0124486285,9419.4375,45050.23046875,32701406.2760876,26302,26302,888402981.423828,-125.268952931336,-80.4524370770284,142.303246901376,NA
"32","caudate lobe of liver",13,6,13,28074.7639620447,11121.4462890625,36987.23046875,17588210.0751927,10746,10746,301691413.536133,-110.084682672622,-87.2882933184441,134.35501581984,NA
"39","left adrenal",14,7,14,29497.6487716953,16607.263671875,40071.8515625,29308777.2216183,713,713,21031823.5742188,-91.9172510518934,-69.1921458625526,127.73492286115,NA
"36","right adrenal",15,8,15,28300.5379995549,13989.71875,37212.45703125,22102063.4870952,667,667,18876458.8457031,-115.427286356822,-68.2893553223388,129.544227886057,NA
"21","rectum/hindgut",16,9,16,20064.7351046954,14347.689453125,25850.537109375,5332884.75358003,1970,1970,39527528.15625,-107.869543147208,-122.675126903553,95.2583756345178,NA
"22","bladder",17,10,17,19885.1507483087,8435.7529296875,35258.6171875,17537543.5695517,4767,4767,94792513.6171875,-108.358506398154,-123.932662051605,117.493601846025,NA
"14","heart: left ventricle",18,11,18,26642.6014794158,19196.03125,32447.1640625,3252326.71373661,4537,4537,120877482.912109,-93.0828741459114,-102.209609874366,192.85452942473,NA
"16","heart: right ventricle",19,11,19,27646.4936993526,20456.826171875,32572.634765625,3083803.96806446,3355,3355,92753986.3613281,-104.230700447094,-104.514456035768,195.033084947839,NA
"4","left thymic rudiment",20,12,20,23223.3265919284,15600.6416015625,26970.154296875,7283219.22563643,1188,1188,27589311.9912109,-96.1607744107744,-91.4856902356902,218.678451178451,NA
"2","right thymic rudiment",21,13,21,23363.2323870865,15395.5322265625,27181.232421875,7399683.86020742,1179,1179,27545250.984375,-106.177268871925,-92.6895674300254,219.737065309584,NA
"42","brain: third ventricle",22,14,22,13340.8737146013,7776.07080078125,18830.00390625,4831152.01509327,1434,1434,19130812.9067383,-109.908647140865,-134.97350069735,286.382147838215,NA
"12","brain: mesencephalic vesicle",23,14,23,10092.2478835517,6507.650390625,16794.322265625,5426506.17339157,4048,4048,40853419.4326172,-111.314970355731,-100.293231225296,315.01581027668,NA
"48","brain: fourth ventricle",24,14,24,12404.7241901037,6963.01806640625,19071.34375,5179510.93464681,2717,2717,33703635.6245117,-107.453441295547,-90.4777327935223,290.878542510121,NA
"33","brain: cerebral aqueduct",25,14,25,14419.9662900702,8309.361328125,18734.763671875,3492708.41948069,659,659,9502757.78515625,-109.153262518968,-95.9286798179059,301.587253414264,NA
"40","brain: left lateral ventricle",26,14,26,17136.7314866697,7711.2431640625,23987.904296875,11276663.0716991,1464,1464,25088174.8964844,-97.724043715847,-149.630464480874,300.763661202186,NA
"47","brain: right lateral ventricle",27,14,27,17139.929068044,8682.373046875,23649.076171875,12973166.9917825,1381,1381,23670242.0429688,-124.989862418537,-149.149891383056,298.724837074584,NA
"49","brain: right olfactory bulb",28,14,28,17284.7295896839,12252.009765625,22488.439453125,3104835.67081065,1833,1833,31682909.3378906,-119.145117294053,-169.008183306056,278.25095471904,NA
"13","brain: left olfacotory bulb",29,14,29,17230.795637579,11596.1748046875,22764.5859375,4143922.29519634,1621,1621,27931119.7285156,-100.159161011721,-170.204194941394,280.582356570019,NA
"37","brain: right thalamus ",30,14,30,18449.4757145728,11811.4892578125,27628.2265625,2594832.23985902,12458,12458,229843568.452148,-119.731899181249,-132.996869481458,298.945978487719,NA
"34","brain: left thalamus",31,14,31,18053.3233109353,12527.5185546875,25832.857421875,2116526.74338343,11364,11364,205157966.105469,-103.055878211897,-134.302446321718,300.648363252376,NA
"50","brain: right hypothamalus ",32,14,32,17207.1249478734,11418.625,23303.888671875,2344868.56581732,7831,7831,134748995.466797,-116.893883284383,-130.230877282595,278.220150683182,NA
"9","brain: left hypothalmus",33,14,33,17271.1741857177,11438.419921875,22562.72265625,2075553.56574429,7592,7592,131122754.417969,-100.789778714436,-131.91043203372,279.818493150685,NA
"6","brain: right septal area",34,14,34,16195.9480725157,11337.3271484375,20915.392578125,2976179.59824946,3085,3085,49964499.8037109,-114.895948136143,-153.675202593193,281.643111831442,NA
