"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,3035.96093778412,0,61264.7265625,23659913.2501259,20405522,20405522,0,0,0,0,NA
"16","left lung",1,1,1,23703.2364851587,9813.87890625,31741.435546875,12287367.8484315,13159,13159,311910888.908203,-84.2158978645794,-73.9670187704233,176.628391215138,NA
"3","right lung: cranial lobe",2,2,2,24763.7742673121,7808.20263671875,36347.3203125,35015589.3632891,6974,6974,172702561.740234,-121.252509320333,-71.0798680814454,188.887008890163,NA
"1","right lung: middle lobe",3,2,3,25496.0105608343,8047.8056640625,36969.0234375,35852450.445717,4981,4981,126995628.603516,-127.544669745031,-84.4888576591046,180.683999196948,NA
"14","right lung: caudal lobe",4,2,4,24585.9186899346,8180.23388671875,36545.80859375,30418547.4070445,11493,11493,282565963.503418,-118.803358566084,-69.0186200295832,166.197946576177,NA
"21","right lung: accessory lobe",5,2,5,21280.3588217391,10117.927734375,27194.62890625,9960028.32146261,4967,4967,105699542.267578,-97.761022750151,-83.1272397825649,174.128045097644,NA
"27","left kidney",6,3,6,20643.6049490616,12883.869140625,28996.416015625,5408000.03808912,6141,6141,126772377.992188,-87.6813222602182,-86.6507083536883,113.221462302557,NA
"28","right kidney",7,4,7,23072.2491938797,13864.4541015625,33152.3515625,15625111.9387737,5191,5191,119768045.56543,-116.851666345598,-84.1874397996532,112.896551724138,NA
"34","stomach wall",8,5,8,21633.7967506522,9664.7060546875,35214.5390625,13280679.6770734,10398,10398,224948218.613281,-80.197345643393,-91.3051548374687,130.680323139065,NA
"31","stomach lumen",9,5,9,10224.2981452562,6675.57275390625,20320.998046875,5308573.43710502,6735,6735,68860648.0083008,-78.3484780994803,-93.5119524870082,129.398218262806,NA
"23","medial lobe of liver",10,6,10,35918.1401613942,9347.6796875,53138.265625,29860640.733182,68091,68091,2445702081.72949,-109.986635531862,-106.515501314417,155.630670720066,NA
"41","left lobe of liver ",11,6,11,35673.3592817885,11306.505859375,48830.60546875,32563841.0420301,38010,38010,1355944386.30078,-79.56348329387,-97.3449618521442,145.001026045777,NA
"25","right lobe of liver",12,6,12,35590.3806666914,10226.232421875,46928.10546875,40776538.2020143,22660,22660,806478025.907227,-125.093159752868,-83.8032215357458,134.627228596646,NA
"37","caudate lobe of liver",13,6,13,27696.1552603193,11644.013671875,43043.99609375,19189857.1870701,9231,9231,255663209.208008,-107.860795146788,-90.6846495504279,131.364424222728,NA
"26","left adrenal",14,7,14,28626.0203273919,17659.609375,38239.2734375,22438083.3110787,682,682,19522945.8632812,-90.1788856304985,-74.7741935483871,124.703812316716,NA
"30","right adrenal",15,8,15,28327.314340572,16566.009765625,42760.21484375,24661745.1685222,590,590,16713115.4609375,-113.61186440678,-72.6186440677966,123.989830508475,NA
"44","rectum/hindgut",16,9,16,21185.0369544223,15676.32421875,26663.2578125,4883925.38260602,1897,1897,40188015.1025391,-102.424881391671,-128.841328413284,97.0421718502899,NA
"24","bladder",17,10,17,19862.7330839357,10350.392578125,30419.173828125,15773095.2318526,4254,4254,84496066.5390625,-105.874706158909,-126.007052186178,118.588152327221,NA
"36","heart: left ventricle",18,11,18,26634.2508560749,18046.51953125,35469.40625,5225216.33651688,4782,4782,127364987.59375,-96.9824341279799,-102.842743621916,188.373693015475,NA
"33","heart: right ventricle",19,11,19,28065.4107223293,19755.458984375,36110.2109375,8542797.17141957,3226,3226,90539014.9902344,-107.908865468072,-103.321760694358,189.975821450713,NA
"51","left thymic rudiment",20,12,20,23517.2409388892,15502.9599609375,26616.53125,5427842.10981228,1181,1181,27773861.5488281,-97.3962743437765,-89.5613886536833,212.395427603726,NA
"46","right thymic rudiment",21,13,21,23409.2603362008,16587.025390625,26906.5859375,5091607.71413905,1335,1335,31251362.5488281,-107.928838951311,-89.9086142322097,213.682397003745,NA
"13","brain: third ventricle",22,14,22,14426.5913498474,9333.013671875,20519.30078125,5016250.75866716,1444,1444,20831997.9091797,-105.138504155125,-126.232686980609,283.67728531856,NA
"48","brain: mesencephalic vesicle",23,14,23,10378.6766456193,6707.18212890625,17444.15234375,5661618.65418412,3547,3547,36813166.0620117,-103.111361714125,-89.198477586693,307.411897378066,NA
"7","brain: fourth ventricle",24,14,24,12675.2064039194,7479.68359375,18385.560546875,5745378.65772213,2732,2732,34628663.8955078,-101.719985358712,-82.5797950219619,283.555636896047,NA
"5","brain: cerebral aqueduct",25,14,25,15004.4028828739,8471.3818359375,20136.732421875,5731363.62612041,509,509,7637241.06738281,-103.504911591356,-86.6542239685658,293.882121807466,NA
"10","brain: left lateral ventricle",26,14,26,18182.0401407878,9656.314453125,26379.283203125,13201530.1052318,1632,1632,29673089.5097656,-90.936887254902,-138.351715686275,296.802083333333,NA
