"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,3183.48633021831,0,62193.8828125,30102767.8483512,20408387,20408388,0,0,0,0,NA
"45","left lung",1,1,1,28417.8495955878,9340.5263671875,37859.98828125,24574695.4631866,10908,10908,309981903.388672,-82.0111844517785,-74.0631646497983,185.241015768243,NA
"43","right lung: cranial lobe",2,2,2,26911.1746826172,13068.740234375,34850.3984375,13818026.616463,5808,5808,156300102.556641,-119.486914600551,-74.0211776859504,198.245006887052,NA
"46","right lung: middle lobe",3,2,3,25621.2651254085,10956.8486328125,41184.94140625,15527592.2915957,4533,4533,116141194.813477,-125.033973086256,-87.58614604015,191.438341054489,NA
"9","right lung: caudal lobe",4,2,4,27289.8903268788,12138.9169921875,40113.83203125,15434668.5477776,9742,9742,265858111.564453,-117.796961609526,-71.304762882365,177.276637240813,NA
"6","right lung: accessory lobe",5,2,5,24256.4720517334,12023.8857421875,31107.4375,10076696.7193472,4205,4205,101998464.977539,-95.8577883472057,-82.7203329369798,182.826634958383,NA
"24","left kidney",6,3,6,25274.6875718691,12184.26171875,37229.53515625,15608077.0496381,5014,5014,126727283.485352,-85.1412046270443,-82.0406860789789,124.801954527323,NA
"17","right kidney",7,4,7,24738.981410447,16263.9736328125,32607.5625,5052737.66802597,5966,5966,147592763.094727,-113.468488099229,-80.4326181696279,121.682031511901,NA
"13","stomach wall",8,5,8,25578.6296573999,11413.408203125,40102.87109375,17628911.1204418,8656,8656,221408618.314453,-77.3158502772643,-87.8806608133087,139.223197781885,NA
"15","stomach lumen",9,5,9,12572.7287306723,6872.9833984375,23432.880859375,9194826.24628918,4221,4221,53069487.972168,-74.7583511016347,-88.0395640843402,138.031982942431,NA
"19","medial lobe of liver",10,6,10,39465.2230784401,10844.5830078125,59394.00390625,34287141.4633984,68967,68967,2721798040.05078,-111.754621775632,-105.962996795569,163.937709339249,NA
"50","left lobe of liver ",11,6,11,39372.551379914,11543.255859375,54378.04296875,38856417.439222,39595,39595,1558956171.8877,-80.3459022603864,-98.5898724586438,152.125041040535,NA
"48","right lobe of liver",12,6,12,39701.4192281479,10696.0693359375,57215.45703125,39612286.7922306,28468,28468,1130220002.58691,-125.06800618238,-82.5055500913306,142.979239848251,NA
"14","caudate lobe of liver",13,6,13,32606.9001335693,15554.8447265625,47411.76171875,13635762.6097175,11758,11758,383391931.770508,-108.826756251063,-89.0387821058003,137.800476271475,NA
"21","left adrenal",14,7,14,32087.3619013874,20974.53515625,45365.671875,26075709.3800271,678,678,21755231.3691406,-86.0147492625369,-71.0840707964602,136.765486725664,NA
"27","right adrenal",15,8,15,31606.2214183134,17784.607421875,40932.515625,18547409.5736106,680,680,21492230.5644531,-109.902941176471,-70.4808823529412,135.532352941176,NA
"41","rectum/hindgut",16,9,16,24787.5450335157,18247.384765625,33424.49609375,7846616.54397103,1662,1662,41196899.8457031,-98.9584837545126,-120.880866425993,104.891696750903,NA
"7","bladder",17,10,17,21088.3927792495,11350.3544921875,33791.01953125,13189509.0170292,3831,3831,80789632.7373047,-102.057426259462,-120.637953536936,126.333333333333,NA
"35","heart: left ventricle",18,11,18,30408.662696765,19446.1640625,39684.4453125,8315932.72856199,4572,4572,139028405.849609,-94.1695100612423,-102.645888013998,195.01946631671,NA
"1","heart: right ventricle",19,11,19,30417.7867065111,18101.314453125,44596.765625,10492352.5736619,3064,3064,93200098.46875,-104.93635770235,-104.937010443864,198.046018276762,NA
"12","left thymic rudiment",20,12,20,27746.1443741508,16966.732421875,32068.658203125,11469809.221445,920,920,25526452.8242188,-97.7130434782609,-88.9445652173913,222.405434782609,NA
"4","right thymic rudiment",21,13,21,27613.5224182129,19307.484375,33323.75,9949533.82371405,960,960,26508981.5214844,-107.598958333333,-90.3833333333333,222.738541666667,NA
"25","brain: third ventricle",22,14,22,17022.919743413,11039.287109375,23315.19140625,6991274.11194169,1275,1275,21704222.6728516,-104.6,-126.262745098039,288.731764705882,NA
"2","brain: mesencephalic vesicle",23,14,23,12510.5470745796,7816.01025390625,21018.349609375,8351913.85069093,4005,4005,50104741.0336914,-100.165543071161,-91.3188514357054,313.831210986267,NA
"29","brain: fourth ventricle",24,14,24,15240.239000907,8747.3974609375,22982.46484375,8749226.91678133,2429,2429,37018540.5332031,-98.1243310004117,-84.1790860436394,289.764100452861,NA
"32","brain: cerebral aqueduct",25,14,25,17207.75544006,9375.61328125,22288.220703125,5337173.8104198,531,531,9137318.13867188,-99.6779661016949,-87.8229755178908,299.677966101695,NA
"37","brain: left lateral ventricle",26,14,26,22895.6586734912,12358.416015625,30921.3984375,21338168.2365118,1281,1281,29329338.7607422,-93.60031225605,-141.594067135051,301.611241217799,NA
"20","brain: right lateral ventricle",27,14,27,21288.3935943183,12028.7587890625,29433.509765625,15198662.0907588,1306,1306,27802642.0341797,-120.16539050536,-137.46248085758,302.561255742726,NA
"5","brain: right olfactory bulb",28,14,28,22158.3090145353,16590.748046875,29082.955078125,4847611.06928095,1606,1606,35586244.2773438,-118.841220423412,-158.671232876712,282.084682440847,NA
"16","brain: left olfacotory bulb",29,14,29,22572.8137073422,16506.20703125,29907.794921875,5474495.33153909,1608,1608,36297084.4414062,-100.478855721393,-161.071517412935,281.811567164179,NA
"44","brain: right thalamus ",30,14,30,22193.0695800565,14249.86328125,35008.30859375,5125667.40623747,11301,11301,250803879.324219,-112.273869569065,-123.518980621184,301.968940801699,NA
"42","brain: left thalamus",31,14,31,22978.7417945297,12926.98046875,37129.796875,5189399.39455574,10410,10410,239208702.081055,-96.445437079731,-125.478578290106,301.574159462056,NA
"22","brain: right hypothamalus ",32,14,32,21023.6467535696,13352.6328125,29892.19140625,3387339.3162098,7669,7669,161230346.953125,-112.602164558613,-121.619898291824,281.394445168862,NA
"10","brain: left hypothalmus",33,14,33,21448.9699169323,15517.7861328125,30130.6171875,2573963.58198079,7587,7587,162733334.759766,-96.6880189798339,-123.866482140503,280.80057993937,NA
"39","brain: right septal area",34,14,34,20902.4394238072,15505.599609375,28648.861328125,3973059.2036159,2798,2798,58485025.5078125,-112.17762687634,-144.316297355254,284.591851322373,NA
"23","brain: left septal area",35,14,35,21283.3262046673,16199.818359375,28536.8203125,3748268.75600213,2710,2710,57677814.0146484,-102.660885608856,-145.307011070111,284.40442804428,NA
"18","brain: left neopallial cortex abd amygdala",36,14,36,22643.1332574947,16500.92578125,29747.48046875,6577107.31702894,19887,19887,450303991.091797,-129.011112787248,-132.202142102881,299.428873133203,NA
"30","brain: right neopallial cortex and amygdala",37,14,37,23807.2152909345,15935.142578125,31667.95703125,7450213.76867891,18012,18012,428815561.820312,-83.9677437264046,-136.560737286254,298.108927381746,NA
"31","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,23513.2773602851,17328.734375,29804.974609375,5652479.99159222,5906,5906,138869416.089844,-128.258889265154,-134.452082627836,293.404673213681,NA
"36","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,25004.652997709,19566.3828125,31208.830078125,4733893.94381019,5579,5579,139500959.074219,-85.0354902312242,-139.789209535759,291.884567126725,NA
"51","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,29650.6886018517,20612.158203125,35145.02734375,4244678.08223082,12401,12401,367698189.351562,-121.392790903959,-137.457221191839,304.094024675429,NA
"49","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,30641.3306016712,23557.3671875,35219.83984375,2788717.67758219,11423,11423,350015919.462891,-91.619977238904,-140.628293793224,302.886019434474,NA
"33","pons",42,15,42,21621.0899117554,13247.654296875,30166.8828125,3215336.53789664,22014,22014,475966673.317383,-100.452711910602,-98.1643953847552,286.228808939766,NA
"28","left cerebellar primordium ",43,16,43,22174.0672013896,15315.5400390625,32431.521484375,4558775.36135027,5006,5006,111003380.410156,-84.3601677986416,-87.6082700759089,292.151018777467,NA
"26","right cerebellar primordium",44,17,44,20347.4166442882,12525.2529296875,34141.7265625,6185573.46121429,5833,5833,118686481.286133,-115.097719869707,-84.3252185839191,292.377335847763,NA
"40","midbrain",45,18,45,21380.9824970175,12687.3857421875,34131.953125,2683538.88008628,30320,30320,648271389.30957,-101.33944591029,-98.6244393139842,314.724934036939,NA
"8","medulla oblongata",46,19,46,21095.6339868304,15006.8447265625,27838.98828125,4549683.49559334,16068,16068,338964646.900391,-98.8270475479213,-75.9875529001743,278.793253671894,NA
"34","spinal cord",47,20,47,24728.1484643937,12785.98828125,42202.58203125,18764000.6507539,40742,40742,1007474224.73633,-98.4065092533504,-60.5684551568406,196.797972608119,NA
"47","vertebrae",48,21,48,19637.3348344134,14678.998046875,27623.552734375,1984658.3705327,16911,16911,332086969.384766,-99.2633197327183,-78.5848855774348,151.481225238011,NA
"11","heart: left ventricle chamber",102,11,49,21368.7962107209,11405.9775390625,29804.6328125,20802932.7471043,541,541,11560518.75,-94.6451016635859,-102.545286506469,195.798521256932,NA
"3","heart: right ventricle chamber",103,11,50,24505.7433268229,16336.1669921875,34410.41796875,12561475.0513496,246,246,6028412.85839844,-105.569105691057,-106.345528455285,198.479674796748,NA
