"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"42","external",0,0,0,3513.35034351466,0,55880.17578125,39777097.5507276,20349628,20349628,0,0,0,0,NA
"12","left lung",1,1,1,31626.310958508,9617.6162109375,43119.8671875,25237105.5329753,15461,15461,488974393.729492,-81.318414074122,-77.3831576224048,176.521764439558,NA
"10","right lung: cranial lobe",2,2,2,31213.4551545819,13508.1123046875,38817.0234375,20009594.8948729,9273,9273,289442369.648438,-121.032028469751,-74.7329882454438,187.687587619972,NA
"15","right lung: middle lobe",3,2,3,30134.7191034132,13256.93359375,39226.84765625,22744266.0614434,5952,5952,179361848.103516,-124.210349462366,-91.330813172043,181.149529569892,NA
"14","right lung: caudal lobe",4,2,4,31082.7503516604,13212.31640625,40074.8515625,19832485.3595556,13163,13163,409142242.878906,-117.453999848059,-71.8658360556104,165.649927828003,NA
"2","right lung: accessory lobe",5,2,5,29862.7013533791,10634.3330078125,38530.8828125,23517782.5645045,6365,6365,190076094.114258,-95.3641791044776,-86.7417124901807,172.732285938727,NA
"8","left kidney",6,3,6,28605.0379629175,17806.49609375,41031.8125,15565594.7062025,6041,6041,172803034.333984,-86.1600728356232,-92.5050488329747,108.956960768085,NA
"49","right kidney",7,4,7,25540.2149490879,13789.705078125,39856.95703125,5340676.04207472,7704,7704,196761815.967773,-115.636292834891,-88.5122014537902,107.159138110073,NA
"37","stomach wall",8,5,8,29054.4087613849,12308.0751953125,46298.2734375,23508103.021232,11199,11199,325380323.71875,-77.4090543798553,-91.3841414412001,127.758281989463,NA
"35","stomach lumen",9,5,9,15427.1131187839,9694.244140625,26977.748046875,11256162.6548461,3318,3318,51187161.328125,-74.5195901145268,-92.2365883062086,126.213381555154,NA
"28","medial lobe of liver",10,6,10,43805.1630101099,11412.9912109375,63477.453125,48467018.141796,73164,73164,3204960946.47168,-110.940544530097,-108.960636378547,153.557145590728,NA
"31","left lobe of liver ",11,6,11,45398.5010192058,12823.53125,57992.14453125,43706985.3323929,41290,41290,1874504107.08301,-78.2054492613224,-101.114797771858,142.17730685396,NA
"33","right lobe of liver",12,6,12,42172.5934638572,10599.3056640625,58478.30078125,57976296.6687099,25709,25709,1084215205.3623,-124.823330351239,-81.3793224162745,132.706523007507,NA
"40","caudate lobe of liver",13,6,13,36099.0881857953,11923.9111328125,48966.140625,35428216.6034391,14372,14372,518816095.40625,-107.844002226552,-92.3131088227108,127.743459504592,NA
"51","left adrenal",14,7,14,35980.3120541467,22395.244140625,47038.92578125,34231580.2121472,679,679,24430631.8847656,-87.1237113402062,-78.0780559646539,120.290132547865,NA
"23","right adrenal",15,8,15,35753.9920442152,16156.9833984375,46823.23828125,46140148.5226898,702,702,25099302.4150391,-110.292022792023,-76.3774928774929,119.287749287749,NA
"46","rectum/hindgut",16,9,16,27517.5139707411,19900.4453125,37779.15625,10197468.596982,1954,1954,53769222.2988281,-100.660184237462,-137.648925281474,93.2558853633572,NA
"26","bladder",17,10,17,27778.9806098422,14311.736328125,53838.3125,28377133.0196798,4582,4582,127283289.154297,-103.600611086862,-134.306416412047,115.553906591008,NA
"16","heart: left ventricle",18,11,18,34939.0276643468,25720.421875,41928.43359375,5921267.54514929,4892,4892,170921723.333984,-95.6404333605887,-104.722812755519,185.476083401472,NA
"17","heart: right ventricle",19,11,19,37281.4218995676,22621.328125,50095.53125,12035565.2517688,3657,3657,136338159.886719,-106.49822258682,-105.628383921247,188.232430954334,NA
"18","left thymic rudiment",20,12,20,31782.563574658,20798.560546875,36103.5,9208731.59958209,1334,1334,42397939.8085938,-98.3898050974513,-92.3268365817091,212.019490254873,NA
"20","right thymic rudiment",21,13,21,31905.2616467199,22356.779296875,35950.9375,9038974.60667247,1410,1410,44986418.921875,-109.435460992908,-91.958865248227,214.684397163121,NA
"6","brain: third ventricle",22,14,22,20493.5382111016,12609.2099609375,28837.36328125,10119344.9804163,1381,1381,28301576.2695312,-105.975380159305,-128.251267197683,286.175959449674,NA
"48","brain: mesencephalic vesicle",23,14,23,14517.740267696,9105.37890625,23071.939453125,11845820.0026466,3810,3810,55312590.4199219,-102.533858267717,-91.6965879265092,311.899212598425,NA
"30","brain: fourth ventricle",24,14,24,18409.4147642624,9886.3408203125,27118.552734375,10774777.6412109,2580,2580,47496290.0917969,-101.187984496124,-83.7593023255814,287.566279069767,NA
"5","brain: cerebral aqueduct",25,14,25,20771.8957095437,11524.8359375,27194.92578125,6959367.72066677,639,639,13273241.3583984,-102.015649452269,-87.6353677621283,298.489827856025,NA
"45","brain: left lateral ventricle",26,14,26,26881.8849635675,13222.2578125,36470.6328125,22766622.8005453,1411,1411,37930339.6835938,-92.7094259390503,-140.946846208363,299.475549255847,NA
"4","brain: right lateral ventricle",27,14,27,25159.9939777401,14314.2119140625,33946.6953125,15817577.696895,1307,1307,32884112.1289062,-121.769701606733,-138.045141545524,300.023718439174,NA
"7","brain: right olfactory bulb",28,14,28,24784.9277719552,17829.580078125,32082.580078125,5157923.68786386,1871,1871,46372599.8613281,-118.805986103688,-163.223944414751,282.011223944415,NA
"43","brain: left olfacotory bulb",29,14,29,25292.5628792377,17816.84375,32748.283203125,5836382.66634585,1921,1921,48587013.2910156,-99.6975533576262,-164.82248828735,282.052576782926,NA
"11","brain: right thalamus ",30,14,30,27059.6181153068,18377.91015625,42375.2890625,6887116.96475299,12138,12138,328449644.683594,-114.043829296424,-124.570522326578,299.232245839512,NA
