"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,3072.03334298814,0,61837.12109375,32682957.0942083,20382467,20382468,0,0,0,0,NA
"12","left lung",1,1,1,29840.8562623424,13572.2119140625,43162.03515625,24642734.9916131,13973,13973,416966284.553711,-80.6461031990267,-76.0698489944894,176.181206612753,NA
"14","right lung: cranial lobe",2,2,2,28758.6108812325,15310.6240234375,39234.34375,16753496.8101975,7397,7397,212727444.688477,-118.929971610112,-72.889144247668,186.906448560227,NA
"10","right lung: middle lobe",3,2,3,26907.3939546522,13344.591796875,40378.30078125,17566129.3063555,4517,4517,121540698.493164,-124.270754925836,-86.8680540181536,180.384104494133,NA
"42","right lung: caudal lobe",4,2,4,29006.6410108082,13574.0947265625,39469.22265625,15944017.8164026,10583,10583,306977281.817383,-115.880752149674,-72.623547198337,164.780497023528,NA
"21","right lung: accessory lobe",5,2,5,25917.3928732567,14383.630859375,32289.810546875,11606408.9824344,4831,4831,125206924.970703,-94.5185261850549,-85.1252328710412,173.434485613745,NA
"23","left kidney",6,3,6,25615.2821863283,13643.6181640625,39024.03515625,12872746.2593363,5534,5534,141754971.619141,-83.4846404047705,-91.4340440910734,113.152150343332,NA
"38","right kidney",7,4,7,24200.9177733715,15800.4736328125,29239.669921875,3798335.70279824,5923,5923,143342035.97168,-113.881816646969,-88.8315043052507,110.478473746412,NA
"45","stomach wall",8,5,8,27233.8356734488,12762.0869140625,42678.1953125,22091778.2756237,9834,9834,267817540.012695,-74.2137482204596,-94.3845840959935,129.279336994102,NA
"5","stomach lumen",9,5,9,13904.2583816083,8522.046875,23715.328125,6325259.84405721,4561,4561,63417322.4785156,-71.3236132427099,-94.8035518526639,128.713001534751,NA
"49","medial lobe of liver",10,6,10,37825.7578402201,11794.98046875,55077.4140625,34411803.3464631,80323,80323,3038278347,-109.634662549955,-108.942121185713,154.883308641361,NA
"47","left lobe of liver ",11,6,11,39606.3429793438,13532.529296875,58425.625,59189952.216148,43676,43676,1729846635.96582,-77.6645755105779,-103.32947156333,143.701758402784,NA
"30","right lobe of liver",12,6,12,37170.8294401594,10999.15234375,52157.84375,25299937.2171507,25467,25467,946629513.352539,-124.9797777516,-85.974044842345,131.304236855539,NA
"39","caudate lobe of liver",13,6,13,32689.105087771,16144.130859375,43574.578125,11736020.5777526,12655,12655,413680624.885742,-107.26297905966,-94.4934808376136,128.213196365073,NA
"1","left adrenal",14,7,14,33402.6556492286,22697.05078125,48383.61328125,24778351.9676326,790,790,26388097.9628906,-84.3025316455696,-78.3417721518987,123.798734177215,NA
"3","right adrenal",15,8,15,33486.7560371695,21845.6796875,41577.4609375,19668749.7808548,747,747,25014606.7597656,-110.002677376171,-77.2690763052209,122.423025435074,NA
