"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,2817.33009694948,0,56591.73828125,28684631.0696196,20448609,20448608,0,0,0,0,NA
"46","left lung",1,1,1,30397.1832069787,10685.6845703125,45559.4609375,44485348.8330853,10491,10491,318896849.024414,-81.3793727957297,-77.2610809265084,179.262606043275,NA
"48","right lung: cranial lobe",2,2,2,25466.8415945393,12843.6279296875,32689.435546875,12881061.4269873,6424,6424,163598990.40332,-120.590753424658,-74.1092777085928,189.416562889166,NA
"31","right lung: middle lobe",3,2,3,24292.9700652941,13517.96875,30609.001953125,11451753.9635551,4731,4731,114930041.378906,-125.560769393363,-86.6015641513422,181.249418727542,NA
"21","right lung: caudal lobe",4,2,4,25910.4863373895,10171.79296875,32183.62890625,12585096.7029127,9803,9803,254000497.56543,-116.32592063654,-71.583290829338,167.457513006223,NA
"15","right lung: accessory lobe",5,2,5,23579.9517059881,11009.216796875,33730.83203125,13230682.2092112,4123,4123,97220140.8837891,-95.9398496240601,-84.7540625757943,175.414989085617,NA
"4","left kidney",6,3,6,25623.66723217,12607.7294921875,38963.0546875,20677338.3595241,4521,4521,115844599.556641,-82.8635257686353,-88.9480203494802,116.482415394824,NA
"5","right kidney",7,4,7,22875.1893110957,15182.66796875,28396.017578125,4847767.1419067,5480,5480,125356037.424805,-111.439781021898,-85.5032846715329,114.771350364964,NA
"22","stomach wall",8,5,8,27272.2556938264,13437.8193359375,46042.44921875,23488006.416538,8406,8406,229250581.362305,-75.8050202236498,-92.2000951701166,134.858196526291,NA
"41","stomach lumen",9,5,9,13518.3517565743,8808.1484375,23921.373046875,7744848.08371651,3628,3628,49044580.1728516,-72.6601433296582,-92.5264608599779,133.534454244763,NA
"7","medial lobe of liver",10,6,10,41292.8459836116,10265.31640625,55564.59375,53973734.9281203,61455,61455,2537651849.92285,-109.039264502481,-107.42878529005,158.801724839313,NA
"6","left lobe of liver ",11,6,11,44331.1235825771,10431.6708984375,62108.484375,103789517.395575,35287,35287,1564312357.8584,-79.0662850341485,-100.699577748179,149.069459007567,NA
"1","right lobe of liver",12,6,12,40890.0661450752,9961.447265625,59919.96875,53771572.0285889,20352,20352,832194626.18457,-120.319526336478,-84.5586183176101,137.399272798742,NA
"33","caudate lobe of liver",13,6,13,32848.7936524247,11941.138671875,45224.30078125,32230656.2803532,8449,8449,277539457.569336,-103.665522547047,-91.1984850278139,133.776304888152,NA
"18","left adrenal",14,7,14,33768.0056152344,19242.341796875,48614.47265625,38773260.0162595,608,608,20530947.4140625,-84.0476973684211,-76.6480263157895,127.144736842105,NA
"17","right adrenal",15,8,15,31700.3635245093,15285.9892578125,41865.84375,28581188.4631056,554,554,17562001.3925781,-107.393501805054,-75.3808664259928,126.9440433213,NA
"9","rectum/hindgut",16,9,16,24082.3042231852,16902.17578125,34063.57421875,9070842.92474091,1691,1691,40723176.4414062,-96.9379065641632,-125.822590183323,99.8172678888232,NA
"20","bladder",17,10,17,22335.221705308,8320.66015625,35037.1953125,23841670.6694154,3926,3926,87688080.4150391,-100.704788588895,-124.310748853795,121.140855832909,NA
"23","heart: left ventricle",18,11,18,29740.6628151744,21355.19921875,39800.89453125,8030253.44553605,4411,4411,131186063.677734,-95.8639764225799,-103.82566311494,189.179777828157,NA
"29","heart: right ventricle",19,11,19,29439.4458305204,21395.064453125,38977.0703125,7555750.12771472,3842,3842,113106350.880859,-107.119729307652,-104.662155127538,191.400052056221,NA
"3","left thymic rudiment",20,12,20,26937.1782236589,18836.775390625,31213.005859375,9097522.52517509,974,974,26236811.5898438,-98.2022587268994,-89.5595482546201,214.008213552361,NA
"36","right thymic rudiment",21,13,21,26986.0931858503,18611.154296875,31111.3359375,8728493.13387925,1004,1004,27094037.5585938,-108.195219123506,-90.394422310757,214.892430278884,NA
"28","brain: third ventricle",22,14,22,16973.8550707161,9058.8642578125,25097.84375,8267302.57953803,1239,1239,21030606.4326172,-102.095238095238,-125.221146085553,280.46004842615,NA
"44","brain: mesencephalic vesicle",23,14,23,12520.794482878,8172.85888671875,21476.888671875,8435073.95298642,3854,3854,48255141.9370117,-98.1984950700571,-90.0495588998443,306.058121432278,NA
"13","brain: fourth ventricle",24,14,24,14644.6858308995,8493.28515625,22663.861328125,8953394.50748053,2675,2675,39174534.5976562,-98.1330841121495,-81.8590654205608,281.451588785047,NA
"39","brain: cerebral aqueduct",25,14,25,17108.3827697754,10375.2353515625,22294.751953125,7528915.90655307,480,480,8212023.72949219,-98.89375,-86.3,291.825,NA
"42","brain: left lateral ventricle",26,14,26,23341.2164182753,12361.275390625,32293.669921875,22683995.9483032,1478,1478,34498317.8662109,-89.8755074424898,-138.81799729364,293.533829499323,NA
"51","brain: right lateral ventricle",27,14,27,21095.4882188748,12513.3671875,30675.423828125,17754236.5859412,1503,1503,31706518.7929688,-116.351962741184,-136.447105788423,295.059880239521,NA
"38","brain: right olfactory bulb",28,14,28,22878.0598583926,16333.0810546875,29561.9296875,5227974.24387559,1678,1678,38389384.4423828,-115.259833134684,-157.421334922527,275.979737783075,NA
"11","brain: left olfacotory bulb",29,14,29,23631.9540505671,16464.490234375,30557.15234375,6377112.99470274,1532,1532,36204153.6054688,-96.8381201044386,-158.861618798956,275.219321148825,NA
"47","brain: right thalamus ",30,14,30,22404.2157534494,15001.529296875,36564.41015625,6787898.96069108,10808,10808,242144763.863281,-109.030532938564,-122.243615840118,293.725388601036,NA
"49","brain: left thalamus",31,14,31,23564.3583791915,15237.392578125,35828.67578125,5651990.75195098,9996,9996,235549326.358398,-93.5058023209284,-123.497398959584,293.219887955182,NA
"30","brain: right hypothamalus ",32,14,32,20794.1981002493,13956.916015625,29668.029296875,4382695.15453498,7121,7121,148075484.671875,-110.2530543463,-120.225389692459,273.877826148013,NA
"34","brain: left hypothalmus",33,14,33,21851.6854226601,15260.02734375,29143.67578125,3088179.29864384,7115,7115,155474741.782227,-94.6421644413212,-122.235277582572,273.199437807449,NA
"14","brain: right septal area",34,14,34,21255.2590120286,15157.974609375,28164.767578125,4452844.44314583,2698,2698,57346688.8144531,-108.917346182357,-142.758339510749,277.449592290586,NA
"27","brain: left septal area",35,14,35,21816.4266002264,15798.947265625,28668.166015625,4912225.16950682,2485,2485,54213820.1015625,-99.2659959758551,-143.534808853119,277.243058350101,NA
"45","brain: left neopallial cortex abd amygdala",36,14,36,23599.3521244973,15624.6982421875,32283.306640625,11301199.7210935,18136,18136,427997850.129883,-125.36419276577,-130.936149095721,292.350959417733,NA
"26","brain: right neopallial cortex and amygdala",37,14,37,25589.8317435248,14510.9677734375,33360.625,10462394.4484242,16743,16743,428450552.881836,-81.0001791793585,-133.859523382906,290.07071612017,NA
"40","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,24489.7819498281,17452.18359375,31677.181640625,7524501.32497303,5071,5071,124187684.267578,-125.176888187734,-133.675409189509,284.878130546243,NA
"8","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,26652.7105809046,19893.814453125,36161.83984375,7653618.72210226,4913,4913,130944767.083984,-81.4239772033381,-137.260126195807,283.2827193161,NA
"50","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,31066.9646210494,20305.31640625,39161.9921875,7509563.31863506,12059,12059,374636526.365234,-117.748818309976,-136.295629820051,296.633137076043,NA
"2","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,32458.977211245,23694.65234375,39047.5078125,6017860.71150942,10772,10772,349648102.519531,-87.8675269216487,-138.541589305607,294.891663572224,NA
"32","pons",42,15,42,21795.6121264169,13746.0625,30275.103515625,3986095.25926691,21145,21145,460868218.413086,-99.4926933081107,-96.1348309292977,278.883944194845,NA
"19","left cerebellar primordium ",43,16,43,22698.8049825678,16321.7080078125,32021.85546875,4931918.20169265,4885,4885,110883662.339844,-83.7676560900717,-85.3439099283521,284.124053224156,NA
"16","right cerebellar primordium",44,17,44,21358.7393383693,13116.12109375,33680.4140625,7842225.88330489,5831,5831,124542809.082031,-114.799691305093,-83.6074429771909,285.002743954725,NA
"43","midbrain",45,18,45,22452.8851072643,12909.12109375,36681.1171875,4106371.69503316,29122,29122,653872920.09375,-98.7742943479157,-96.9558066066891,307.01023281368,NA
"35","medulla oblongata",46,19,46,22234.3346120237,14029.8203125,29390.693359375,7548081.59590198,15279,15279,339718398.537109,-99.1282151973297,-74.0885529157667,270.634465606388,NA
"24","spinal cord",47,20,47,25651.2905874321,11609.3310546875,42348.3125,17431123.252856,35779,35779,917777525.927734,-97.4452052880181,-61.3149053914307,184.823974957377,NA
"12","vertebrae",48,21,48,19349.2988132961,14234.5693359375,26733.984375,2458393.97399161,15937,15937,308369775.1875,-97.9376294158248,-80.4086716446006,154.460563468658,NA
"25","heart: left ventricle chamber",102,11,49,24744.3004642955,17477.849609375,29979.0078125,5072286.37034671,456,456,11283401.0117188,-95.2850877192982,-104.914473684211,189.521929824561,NA
"10","heart: right ventricle chamber",103,11,50,20651.3355942637,12309.5087890625,26831.943359375,11534295.5235319,441,441,9107238.99707031,-109.090702947846,-106.460317460317,191.589569160998,NA
