"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,14.476063166407,0,255,482.335291375795,20374374,20374374,0,0,0,0,NA
"13","left lung",1,1,1,115.00576562081,34,144,288.582601686666,14916,14916,1715426,-82.7191606328774,-73.4187449718423,175.971641190668,NA
"4","right lung: cranial lobe",2,2,2,112.621270576132,39,154,425.492944288965,7776,7776,875743,-121.51774691358,-73.8310185185185,189.669624485597,NA
"3","right lung: middle lobe",3,2,3,110.488735465116,36,150,384.638070434096,5504,5504,608130,-124.736918604651,-88.8364825581395,182.096111918605,NA
"17","right lung: caudal lobe",4,2,4,115.825308939175,37,160,368.339675592695,12462,12462,1443415,-118.513079762478,-71.2698603755416,167.266088910287,NA
"18","right lung: accessory lobe",5,2,5,106.658754863813,33,138,333.360470136433,5140,5140,548226,-96.6077821011673,-83.2324902723735,173.527626459144,NA
"42","left kidney",6,3,6,94.9624204764018,60,127,82.8967823026055,6759,6759,641851,-87.5876608965823,-92.277407900577,111.515608817872,NA
"7","right kidney",7,4,7,104.631578947368,58,152,208.769395805354,6232,6232,652064,-118.194801026958,-92.3299101412067,112.541720154044,NA
"26","stomach wall",8,5,8,100.377551020408,51,159,257.08315263332,11662,11662,1170603,-77.9920253815812,-91.0816326530612,129.785457039959,NA
"9","stomach lumen",9,5,9,49.9497657890486,29,97,113.246102933828,6191,6191,309239,-75.8202229042158,-91.8606041027298,128.151510256824,NA
"19","medial lobe of liver",10,6,10,169.282847051597,40,245,1030.45297440312,65120,65120,11023699,-109.026842751843,-108.663390663391,156.843166461916,NA
"1","left lobe of liver ",11,6,11,163.359371404905,38,232,733.184601781525,43462,43462,7099925,-78.1470019787401,-100.816023192674,144.553817127606,NA
"6","right lobe of liver",12,6,12,174.906757168342,39,247,1414.8461918289,22983,22983,4019882,-124.286864203977,-86.6562676761084,135.64817473785,NA
"10","caudate lobe of liver",13,6,13,135.353819477892,42,191,416.705724572033,10381,10381,1405108,-106.622001733937,-94.6294191311049,132.441961275407,NA
"14","left adrenal",14,7,14,138.311781609195,79,182,597.832148763746,696,696,96265,-91.4454022988506,-78.9152298850575,123.300287356322,NA
"22","right adrenal",15,8,15,136.894964028777,61,196,639.523533680261,695,695,95142,-115.49928057554,-78.2776978417266,122.847482014388,NA
"8","rectum/hindgut",16,9,16,95.9108813392418,68,136,168.418162326307,2031,2031,194795,-100.991629739045,-134.11619891679,95.1349089118661,NA
"46","bladder",17,10,17,90.4716379859783,30,150,413.95303095434,4707,4707,425850,-101.362863819843,-132.289143828341,117.778840025494,NA
"11","heart: left ventricle",18,11,18,127.061878677216,91,150,58.5568439536214,4929,4929,626288,-93.3110164333536,-100.856360316494,188.016433353621,NA
"15","heart: right ventricle",19,11,19,130.083052405762,93,152,58.7959818510232,3263,3263,424461,-103.967821023598,-102.281029727245,190.521299417714,NA
"50","left thymic rudiment",20,12,20,114.168248490078,73,136,160.810182680858,1159,1159,132321,-96.1665228645384,-89.0094909404659,213.62812769629,NA
"20","right thymic rudiment",21,13,21,112.884009942005,76,136,150.217049246998,1207,1207,136251,-106.406793703397,-90.4341342170671,213.111847555924,NA
"23","brain: third ventricle",22,14,22,71.0363937138131,41,95,137.669204202477,1209,1209,85883,-105.255583126551,-128.485525227461,285.792390405294,NA
"41","brain: mesencephalic vesicle",23,14,23,53.3833333333333,30,86,120.130310763298,2940,2940,156947,-102.842517006803,-91.1496598639456,310.813945578231,NA
"49","brain: fourth ventricle",24,14,24,65.5631105900742,34,101,123.759795793473,2559,2559,167776,-102.099648300117,-84.7717858538492,285.749511527941,NA
"30","brain: cerebral aqueduct",25,14,25,73.2544031311155,43,96,103.005740378343,511,511,37433,-103.54011741683,-87.6575342465753,296.679060665362,NA
"40","brain: left lateral ventricle",26,14,26,80.5422535211268,40,122,311.549162181763,1846,1846,148681,-92.0232936078007,-142.43661971831,299.945828819068,NA
"39","brain: right lateral ventricle",27,14,27,82.397342192691,39,118,391.935099314342,1505,1505,124008,-119.95415282392,-141.440531561462,299.390697674419,NA
"5","brain: right olfactory bulb",28,14,28,87.051948051948,56,116,72.4827469827466,1925,1925,167575,-116.492987012987,-162.287792207792,279.408831168831,NA
"37","brain: left olfacotory bulb",29,14,29,85.3164699269252,54,114,85.9498466991791,1779,1779,151778,-96.9151208544126,-163.514333895447,280.351883080382,NA
"33","brain: right thalamus ",30,14,30,92.6724513681492,61,153,70.3265101430378,12389,12389,1148119,-113.659455969005,-125.151101783841,297.743159254177,NA
"31","brain: left thalamus",31,14,31,90.3606341976174,61,138,72.8340139297777,11416,11416,1031557,-97.7227575332866,-126.971005606167,298.408637000701,NA
"2","brain: right hypothamalus ",32,14,32,88.3863952459224,56,122,72.3618078058247,7909,7909,699048,-112.399544822354,-123.911872550259,276.545960298394,NA
"48","brain: left hypothalmus",33,14,33,87.7061773700306,58,125,70.0854218305379,8175,8175,716998,-96.3074006116208,-126.247339449541,277.439143730887,NA
"44","brain: right septal area",34,14,34,82.0980961600516,50,113,77.7870170327133,3099,3099,254422,-111.364311068086,-146.801871571475,281.565666343982,NA
"43","brain: left septal area",35,14,35,82.8115646258503,55,115,75.3397777484589,2940,2940,243466,-100.96462585034,-147.654081632653,281.904081632653,NA
"28","brain: left neopallial cortex abd amygdala",36,14,36,96.5129267318826,64,143,97.0168031932337,20036,20036,1933733,-128.536634058694,-135.071072070274,295.721102016371,NA
"25","brain: right neopallial cortex and amygdala",37,14,37,90.1957624855337,58,121,108.404853620681,22466,22466,2026338,-82.5585328941512,-136.526306418588,296.547894596279,NA
"45","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,101.375,73,139,130.66877011689,5904,5904,598518,-128.63668699187,-136.637195121951,286.652947154472,NA
"38","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,97.2605968447063,65,131,138.768007932683,5261,5261,511688,-82.8026991066337,-141.455046569093,289.338148640943,NA
"27","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,119.932180141736,65,160,116.17555558041,13123,13123,1573870,-122.383525108588,-139.418578069039,300.327516573954,NA
"24","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,114.746274800362,69,154,102.180307832597,12147,12147,1393823,-90.2926648555199,-141.913888202848,302.076150489833,NA
"29","pons",42,15,42,91.3130341880342,61,131,87.8732404173229,24336,24336,2222194,-104.075115055884,-98.4538132807364,281.843852728468,NA
"34","left cerebellar primordium ",43,16,43,82.1295286950946,52,134,111.815510792748,6238,6238,512324,-87.7540878486694,-86.5455274126323,289.396120551459,NA
"32","right cerebellar primordium",44,17,44,93.8633416458853,57,148,102.394025080299,6015,6015,564588,-118.441396508728,-85.4665004156276,287.640897755611,NA
"35","midbrain",45,18,45,89.8855695425238,55,172,95.9194484842948,32570,32570,2927573,-103.560085968683,-98.9797359533313,312.038563094873,NA
