"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,10.7597718852665,0,225,307.253798750642,20497580,20497580,0,0,0,0,NA
"14","left lung",1,1,1,107.202719546742,45,136,294.536076012112,8825,8825,946064,-86.1126345609065,-81.2562039660057,175.084192634561,NA
"13","right lung: cranial lobe",2,2,2,103.788784638883,40,133,281.506229491585,4583,4583,475664,-118.714597425267,-77.6458651538294,187.604189395592,NA
"22","right lung: middle lobe",3,2,3,100.272464605605,46,133,298.250308056912,3461,3461,347043,-124.06125397284,-90.2392372146778,181.812193007801,NA
"11","right lung: caudal lobe",4,2,4,103.976327312534,42,142,300.34527229028,7308,7308,759859,-116.269978106185,-78.3349753694581,167.606185002737,NA
"12","right lung: accessory lobe",5,2,5,97.6502447980416,39,128,312.108732722425,3268,3268,319121,-97.9541003671971,-89.1551407588739,173.957160342717,NA
"17","left kidney",6,3,6,96.5586359855836,54,123,115.704755543274,3607,3607,348287,-90.764069864153,-95.2176323814805,121.797615747158,NA
"9","right kidney",7,4,7,97.3442485306465,61,128,115.298033120747,3573,3573,347811,-117.22138259166,-93.1206269241534,121.947663028268,NA
"5","stomach wall",8,5,8,97.4501012829169,48,151,213.655701299842,7405,7405,721618,-80.8931802835922,-98.4888588791357,135.24037812289,NA
"39","stomach lumen",9,5,9,46.9428229665072,26,94,114.193188487436,4180,4180,196221,-78.483971291866,-99.6363636363636,133.838277511962,NA
"23","medial lobe of liver",10,6,10,150.297441181522,37,216,370.29335356376,52407,52407,7876638,-108.005113820673,-112.30734443872,160.945465300437,NA
"20","left lobe of liver ",11,6,11,156.169327998205,33,255,908.679180359916,26741,26741,4176124,-83.8905800082271,-106.823978160877,148.404921281927,NA
"26","right lobe of liver",12,6,12,158.561543923062,56,207,526.478218943285,15493,15493,2456594,-123.772090621571,-93.6450655134577,141.955980120054,NA
"3","caudate lobe of liver",13,6,13,131.990612999573,59,165,332.28326891294,7031,7031,928026,-109.477741430806,-99.2988195135827,136.52112075096,NA
"49","left adrenal",14,7,14,126.948760330579,73,168,392.366575447429,605,605,76804,-90.5471074380165,-84.3454545454545,130.904132231405,NA
"47","right adrenal",15,8,15,128.249523809524,73,159,272.294489276627,525,525,67331,-113.344761904762,-83.352380952381,132.072380952381,NA
"7","rectum/hindgut",16,9,16,93.0917431192661,66,119,78.9265423302896,1308,1308,121764,-104.951070336391,-130.831039755352,108.29128440367,NA
"42","bladder",17,10,17,91.6248791492104,48,237,653.424035889646,3103,3103,284312,-104.787302610377,-126.595230422172,127.976474379633,NA
"15","heart: left ventricle",18,11,18,110.085192697769,75,171,73.5580459684379,3944,3944,434176,-95.2487322515213,-104.959432048682,188.865111561866,NA
"16","heart: right ventricle",19,11,19,108.090341655716,61,147,68.4699822690361,3044,3044,329027,-105.732917214192,-106.295335085414,190.951051248357,NA
"29","left thymic rudiment",20,12,20,108.524926686217,69,129,236.423019451298,682,682,74014,-98.425219941349,-91.9076246334311,211.733137829912,NA
"33","right thymic rudiment",21,13,21,107.826322930801,68,128,204.143708335792,737,737,79468,-106.914518317503,-92.6119402985075,213.0868385346,NA
"1","brain: third ventricle",22,14,22,57.5280811232449,27,94,157.657680780299,1282,1282,73751,-105.404836193448,-125.855694227769,276.578783151326,NA
"4","brain: mesencephalic vesicle",23,14,23,43.3964,27,82,117.64679639928,5000,5000,216982,-107.128,-92.1516,303.5102,NA
"45","brain: fourth ventricle",24,14,24,53.5110694183865,29,84,121.481202497056,2665,2665,142607,-104.618761726079,-83.706191369606,277.371106941839,NA
"51","brain: cerebral aqueduct",25,14,25,64.030612244898,33,84,125.084950544635,490,490,31375,-105.214285714286,-88.8448979591837,288.381632653061,NA
"35","brain: left lateral ventricle",26,14,26,73.5077755240027,31,115,392.83197603618,1479,1479,108718,-94.6910074374577,-140.199459093982,290.454361054767,NA
"28","brain: right lateral ventricle",27,14,27,69.6490233144297,32,107,343.970684732747,1587,1587,110533,-118.238815374921,-140.737870195337,289.870825456837,NA
"27","brain: right olfactory bulb",28,14,28,76.0523178807947,51,101,69.0317209326817,1510,1510,114839,-114.343708609272,-156.45761589404,268.894039735099,NA
"37","brain: left olfacotory bulb",29,14,29,78.2142857142857,48,105,90.6398240824989,1414,1414,110595,-96.2553041018388,-156.86775106082,270.270155586987,NA
"41","brain: right thalamus ",30,14,30,85.029676558853,42,146,79.2722405912392,8997,8997,765012,-113.540402356341,-124.141825052795,289.372568633989,NA
"38","brain: left thalamus",31,14,31,84.8247755008059,43,142,78.7923210491917,8686,8686,736788,-99.2658300713792,-124.831107529358,290.183513700207,NA
"21","brain: right hypothamalus ",32,14,32,80.2474312230693,39,120,98.1673438063908,6034,6034,484213,-111.787703016241,-121.198873052701,269.582863771959,NA
"44","brain: left hypothalmus",33,14,33,80.9002674217398,52,115,69.1687806081472,6357,6357,514283,-97.2471291489696,-122.156834985056,270.424728645588,NA
"32","brain: right septal area",34,14,34,75.8074534161491,43,112,84.3739169030667,2254,2254,170870,-109.622892635315,-142.366903283052,271.538154392192,NA
"30","brain: left septal area",35,14,35,75.6487523992323,44,109,86.8751256631001,2084,2084,157652,-100.448176583493,-142.522552783109,272.170825335893,NA
"8","brain: left neopallial cortex abd amygdala",36,14,36,84.2364957610012,55,116,108.256645988051,12385,12385,1043269,-126.629713362939,-134.480662091239,285.466047638272,NA
"46","brain: right neopallial cortex and amygdala",37,14,37,85.2613133718952,52,117,126.673646158427,14695,14695,1252915,-85.0930248383804,-133.621503912896,287.879006464784,NA
"40","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,86.9125056230319,63,113,63.3118030792716,4446,4446,386413,-125.812640575798,-134.847053531264,278.507872244714,NA
"24","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,88.7228017883756,66,115,73.6071311602356,4697,4697,416731,-85.2627208856717,-136.406855439642,282.183521396636,NA
"19","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,107.294876325088,72,136,52.53040929648,11320,11320,1214578,-120.140459363958,-138.859540636042,289.594699646643,NA
"25","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,110.145721040189,75,131,45.6503162357737,10575,10575,1164791,-92.8177777777778,-138.880567375887,291.934940898345,NA
"2","pons",42,15,42,85.1236371117054,50,125,67.9700034142601,19444,19444,1655144,-104.717033532195,-98.1809298498251,274.921826784612,NA
"50","left cerebellar primordium ",43,16,43,76.1240629685157,44,120,87.2891978097177,5336,5336,406198,-91.0910794602699,-85.8410794602699,282.40535982009,NA
"48","right cerebellar primordium",44,17,44,80.0533408197642,43,121,79.149344415269,5343,5343,427725,-119.081602096201,-86.6131386861314,279.93206064009,NA
"6","midbrain",45,18,45,79.314100575604,42,162,66.3797256809088,29013,29013,2301140,-106.467032020129,-98.7834763726605,303.41257367387,NA
"43","medulla oblongata",46,19,46,82.2931191467222,52,108,63.5356040328925,15376,15376,1265339,-104.042078563996,-75.6407388137357,267.103017689906,NA
"34","spinal cord",47,20,47,88.7834141414141,42,159,165.618315178289,49500,49500,4394779,-102.280242424242,-66.4890505050505,182.41202020202,NA
"31","vertebrae",48,21,48,75.3080010032606,51,95,27.918167507336,7974,7974,600506,-103.778404815651,-94.4204915976925,153.593177827941,NA
"10","heart: left ventricle chamber",102,11,49,86.2741433021807,42,115,153.074610591901,321,321,27694,-96.0934579439252,-104.467289719626,189.380062305296,NA
"18","heart: right ventricle chamber",103,11,50,79.6533742331288,45,104,187.359480887211,326,326,25967,-107.496932515337,-107.162576687117,191.699386503067,NA
