"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"38","external",0,0,0,13.3387972611416,0,255,446.720625641637,20393022,20393022,0,0,0,0,NA
"30","left lung",1,1,1,113.424259762552,46,150,352.576589019995,13982,13982,1585898,-80.1275926190817,-74.7857960234587,176.917822915177,NA
"28","right lung: cranial lobe",2,2,2,107.263982376698,48,149,188.380855570803,8171,8171,876454,-119.640925223351,-74.8140986415371,187.180883612777,NA
"44","right lung: middle lobe",3,2,3,102.303428154632,37,129,170.830402252543,5484,5484,561032,-124.536469730124,-88.8389861415026,179.466265499635,NA
"18","right lung: caudal lobe",4,2,4,105.580788407604,42,134,152.516339884793,12836,12836,1355235,-116.675210345902,-72.2375350576504,164.715721408538,NA
"48","right lung: accessory lobe",5,2,5,98.1595233519124,44,124,208.369780011133,5203,5203,510724,-93.472035364213,-84.5089371516433,173.274264847204,NA
"47","left kidney",6,3,6,93.8410430434006,48,138,162.752148679641,5599,5599,525416,-82.8431862832649,-89.0180389355242,110.59010537596,NA
"4","right kidney",7,4,7,94.553384398937,55,135,138.323799128794,6397,6397,604858,-112.284195716742,-86.8805690167266,109.977645771455,NA
"3","stomach wall",8,5,8,100.877132761232,46,172,250.991667060825,9905,9905,999188,-75.0433114588592,-88.4568399798082,130.296920747097,NA
"24","stomach lumen",9,5,9,49.6692650334076,28,101,104.923822218216,5388,5388,267618,-71.9023756495917,-88.9072011878248,128.859131403118,NA
"16","medial lobe of liver",10,6,10,163.868599250098,36,245,820.66655311867,71476,71476,11712672,-105.195702053836,-108.855685824612,155.114863730483,NA
"13","left lobe of liver ",11,6,11,166.83773543159,32,249,1238.12155641601,36157,36157,6032352,-77.2938296871975,-98.790026827447,143.673479547529,NA
"14","right lobe of liver",12,6,12,166.284220532319,44,222,870.081337654513,23144,23144,3848482,-120.315848600069,-84.8525319737297,134.30837366056,NA
"10","caudate lobe of liver",13,6,13,140.380796731359,42,197,597.768759810553,9790,9790,1374328,-106.063840653728,-93.1776302349336,128.554647599591,NA
"49","left adrenal",14,7,14,132.629349470499,75,177,470.809379727684,661,661,87668,-86.9984871406959,-77.1452344931921,122.819969742814,NA
"51","right adrenal",15,8,15,129.11835106383,38,173,673.41739914157,752,752,97097,-107.594414893617,-75.4534574468085,122.022606382979,NA
"25","rectum/hindgut",16,9,16,99.0622748327329,68,139,144.162443226178,1943,1943,192478,-97.8594956253217,-128.792588780237,94.1137416366444,NA
"39","bladder",17,10,17,93.8711303095752,31,139,404.197742913163,4167,4167,391161,-99.0511159107271,-127.085673146148,116.133189344852,NA
"40","heart: left ventricle",18,11,18,117.398593200469,87,163,103.254811387737,5118,5118,600846,-92.2567409144197,-104.478311840563,187.929269245799,NA
"43","heart: right ventricle",19,11,19,117.649327581832,86,169,108.213038253323,3941,3941,463656,-103.701598579041,-105.776452676986,189.561025120528,NA
"21","left thymic rudiment",20,12,20,112.666955017301,76,131,133.46387678066,1156,1156,130243,-96.0112456747405,-89.613321799308,212.354671280277,NA
"1","right thymic rudiment",21,13,21,112.970515970516,74,134,145.566343094212,1221,1221,137937,-106.140868140868,-91.7796887796888,212.354627354627,NA
"42","brain: third ventricle",22,14,22,72.523102310231,49,106,129.95735188713,1212,1212,87898,-103.693069306931,-125.084158415842,283.978547854785,NA
"36","brain: mesencephalic vesicle",23,14,23,49.384779706275,31,89,129.530056742323,3745,3745,184946,-100.483845126836,-86.8480640854473,307.302002670227,NA
"8","brain: fourth ventricle",24,14,24,63.4420440382219,35,100,172.22429972707,2407,2407,152705,-99.1877856252597,-80.7623597839634,282.611549646863,NA
"2","brain: cerebral aqueduct",25,14,25,73.7939508506616,40,94,128.60708455061,529,529,39037,-100.916824196597,-84.5103969754253,293.122873345936,NA
"37","brain: left lateral ventricle",26,14,26,91.5655172413793,47,133,397.014683134624,1450,1450,132770,-91.68,-137.591724137931,298.977931034483,NA
"32","brain: right lateral ventricle",27,14,27,89.6149773071104,49,129,268.302061657319,1322,1322,118471,-119.572617246596,-134.258698940998,298.158850226929,NA
"5","brain: right olfactory bulb",28,14,28,89.5915088927137,58,126,113.720524874633,1743,1743,156158,-116.208835341365,-158.637980493402,280.914515203672,NA
"9","brain: left olfacotory bulb",29,14,29,90.2232346241458,55,124,126.01737437455,1756,1756,158432,-96.875284738041,-159.838268792711,281.376993166287,NA
"29","brain: right thalamus ",30,14,30,96.8111809802739,61,154,105.057383589658,11609,11609,1123881,-111.64518907744,-120.893444741149,297.052028598501,NA
"27","brain: left thalamus",31,14,31,98.4774324824269,66,169,103.695078487255,10812,10812,1064738,-95.5780614132445,-121.904642989271,297.367924528302,NA
"45","brain: right hypothamalus ",32,14,32,88.6778182764905,54,118,68.6467387364034,7682,7682,681223,-111.652824785212,-120.79888049987,276.72233793283,NA
"17","brain: left hypothalmus",33,14,33,89.6565233929251,57,123,58.5316411198875,7887,7887,707121,-95.2952960568023,-122.339672879422,277.214023075948,NA
"6","brain: right septal area",34,14,34,87.5064319566689,51,118,87.5849569227308,2954,2954,258494,-110.273188896412,-143.332430602573,282.167907921462,NA
"46","brain: left septal area",35,14,35,88.2431304347826,62,118,89.1367612477682,2875,2875,253699,-100.197913043478,-143.907826086957,282.63652173913,NA
"35","brain: left neopallial cortex abd amygdala",36,14,36,94.4879261030619,64,130,106.470066630945,21327,21327,2015144,-127.489285881746,-130.720870258358,296.192150794767,NA
"34","brain: right neopallial cortex and amygdala",37,14,37,97.0077403245943,60,127,122.030153827891,20025,20025,1942580,-82.5224469413234,-133.031960049938,296.433957553059,NA
"23","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,102.966775009029,76,137,151.323078671061,5538,5538,570230,-127.177500902853,-133.507764535934,287.631816540267,NA
"15","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,107.132693844924,79,141,137.50027809054,5004,5004,536092,-82.4078737010392,-136.589128697042,288.435051958433,NA
"33","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,126.323818817598,76,167,154.293799078425,12297,12297,1553404,-120.55127266813,-134.932910465967,300.248597218834,NA
"31","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,129.047178289001,80,172,159.110652592638,11128,11128,1436037,-89.7700395398994,-136.753235082674,300.583483105679,NA
"41","pons",42,15,42,92.3550133209287,62,126,67.3791196469092,23647,23647,2183919,-101.003129361018,-95.1990104452996,280.431682665877,NA
"19","left cerebellar primordium ",43,16,43,94.9008681607107,72,147,79.9439269521218,4953,4953,470044,-85.5158489804159,-83.7359176256814,285.917221885726,NA
"22","right cerebellar primordium",44,17,44,88.0068988173456,59,150,130.915345859975,6088,6088,535786,-116.180026281209,-82.0354796320631,285.519218134034,NA
"26","midbrain",45,18,45,90.2128676955547,49,158,53.2555136043661,30324,30324,2735615,-102.139394538979,-94.3926592797784,308.778855032318,NA
"7","medulla oblongata",46,19,46,92.2877086109525,61,126,113.299627437361,15759,15759,1454362,-100.082682911352,-73.6873532584555,270.646297353893,NA
"11","spinal cord",47,20,47,100.112970996389,50,163,245.146590403015,44029,44029,4407874,-98.6897499375412,-62.994912444071,183.351586454382,NA
"12","vertebrae",48,21,48,76.5949942388939,50,112,36.3098731546942,15622,15622,1196567,-98.6052362053514,-80.4825886570221,142.362757649469,NA
"20","heart: left ventricle chamber",102,11,49,102.154822335025,71,120,51.9327120548683,394,394,40249,-92.5812182741117,-104.878172588832,188.748730964467,NA
"50","heart: right ventricle chamber",103,11,50,94.2655826558266,58,116,120.342317662307,369,369,34784,-105.368563685637,-107.531165311653,190.308943089431,NA
