"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,18.2089672402949,0,255,249.695096459052,20317979,20317980,0,0,0,0,NA
"13","left lung",1,1,1,87.1253353551849,35,118,130.716106988726,17146,17146,1493851,-83.3893036276683,-76.7133442202263,182.468797387146,NA
"21","right lung: cranial lobe",2,2,2,80.5952766095115,39,105,102.55350227734,9273,9273,747360,-123.503181278982,-81.748409360509,195.349832848053,NA
"51","right lung: middle lobe",3,2,3,79.6430044182622,39,109,96.457599456454,6790,6790,540776,-125.29057437408,-96.8880706921944,186.155375552283,NA
"14","right lung: caudal lobe",4,2,4,80.2403002162575,31,114,89.6280227582836,15722,15722,1261538,-120.827248441674,-75.5732731204681,171.717783996947,NA
"15","right lung: accessory lobe",5,2,5,79.4463227605437,36,98,118.10248691132,5738,5738,455863,-96.6484837922621,-87.2546183339143,178.521436040432,NA
"25","left kidney",6,3,6,71.7585842577919,41,95,48.3159596719676,5679,5679,407517,-80.855432294418,-84.3130832893115,112.424370487762,NA
"29","right kidney",7,4,7,72.6433136094675,39,104,80.7381876220774,8450,8450,613836,-112.64224852071,-82.9881656804734,109.085207100592,NA
"39","stomach wall",8,5,8,80.6162330746995,39,120,157.653320339434,13146,13146,1059781,-72.8893199452305,-83.8842994066636,131.476570820021,NA
"37","stomach lumen",9,5,9,43.4661640308937,25,80,67.0784024612258,5438,5438,236369,-69.7988230967267,-83.6347922030158,130.730599485105,NA
"19","medial lobe of liver",10,6,10,118.58967982219,34,173,321.61832105831,83235,83235,9870812,-108.828725896558,-109.130389860035,155.472000961134,NA
"3","left lobe of liver ",11,6,11,117.708067169957,38,165,348.933985781828,41328,41328,4864639,-77.0467721641502,-98.8856465350368,145.721568912118,NA
"24","right lobe of liver",12,6,12,109.734511845663,31,156,295.838215164708,24777,24777,2718892,-122.811195867135,-81.049239213787,134.204948137385,NA
"42","caudate lobe of liver",13,6,13,98.1161401150198,29,125,257.683328512186,13389,13389,1313677,-104.702143550676,-89.5004854731496,130.729330047054,NA
"48","left adrenal",14,7,14,100.795865633075,66,129,243.132919495506,774,774,78016,-85.2312661498708,-71.1162790697674,127.127906976744,NA
"16","right adrenal",15,8,15,96.5407894736842,41,129,298.396225989876,760,760,73371,-108.625,-71.6657894736842,123.290789473684,NA
"7","rectum/hindgut",16,9,16,76.9849108367627,57,108,67.0423156713695,2187,2187,168366,-92.0644718792867,-124.765889346136,88.9112940100594,NA
"50","bladder",17,10,17,73.7865934482106,30,124,212.265623260632,5281,5281,389667,-96.6786593448211,-126.865366407877,112.275516000757,NA
