"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,11.7227818448753,0,215,373.977387130848,20461903,20461904,0,0,0,0,NA
"16","left lung",1,1,1,110.465706950303,31,150,352.836650563907,10906,10906,1204739,-81.9769851457913,-77.5418118466899,174.477810379608,NA
"14","right lung: cranial lobe",2,2,2,110.784750843012,40,143,444.964526647671,5338,5338,591369,-118.851442487823,-73.8945297864369,184.761708505058,NA
"45","right lung: middle lobe",3,2,3,111.599446749654,46,143,429.324847507886,3615,3615,403432,-123.731950207469,-86.6085753803596,177.549377593361,NA
"44","right lung: caudal lobe",4,2,4,112.584080844783,41,141,355.979274146541,8807,8807,991528,-114.93584648575,-74.4044510048825,164.073577835812,NA
"47","right lung: accessory lobe",5,2,5,101.632321373812,40,133,372.19943353595,3261,3261,331423,-95.1671266482674,-85.2980680772769,172.148114075437,NA
"10","left kidney",6,3,6,102.65817130846,53,141,172.215054105731,3806,3806,390717,-83.3715186547556,-93.7251707829742,118.797687861272,NA
"49","right kidney",7,4,7,106.431038618374,66,153,192.414688964199,4169,4169,443711,-109.509954425522,-92.8781482369873,116.739985608059,NA
"5","stomach wall",8,5,8,104.681493152345,48,177,344.073328970226,8251,8251,863727,-75.7882680887165,-95.4340079990304,135.45558114168,NA
"20","stomach lumen",9,5,9,51.1128330614464,28,105,121.086802904406,3678,3678,187993,-72.7281131049483,-96.0831973898858,134.073409461664,NA
"12","medial lobe of liver",10,6,10,171.819669585137,41,236,778.911743560015,51511,51511,8850603,-107.070470384966,-109.665294791404,157.96035798179,NA
"8","left lobe of liver ",11,6,11,179.097105075054,49,255,980.65753477648,27980,27980,5011137,-77.2584345961401,-103.018906361687,148.227055039314,NA
"28","right lobe of liver",12,6,12,174.379964747356,43,250,1231.50595028961,17020,17020,2967947,-119.256639247944,-88.7020564042303,136.789952996475,NA
"6","caudate lobe of liver",13,6,13,137.824565983553,43,190,675.829271107297,7661,7661,1055874,-104.412217726145,-96.2404385850411,134.514032110691,NA
"41","left adrenal",14,7,14,128.338383838384,77,169,353.485640553937,594,594,76233,-85.3922558922559,-82.7845117845118,129.360269360269,NA
