"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,14.6886189649372,0,209,463.638877418584,20388541,20388540,0,0,0,0,NA
"35","left lung",1,1,1,117.396721833227,42,165,389.002462396716,12568,12568,1475442,-81.6666931890516,-76.2828612348822,179.273551877785,NA
"36","right lung: cranial lobe",2,2,2,115.208823122666,49,151,305.108254091947,7231,7231,833075,-119.344212418753,-75.9206195546951,190.622597151155,NA
"33","right lung: middle lobe",3,2,3,110.551309408341,50,145,250.545048246313,5155,5155,569892,-125.107856450049,-88.9557710960233,182.90611057226,NA
"34","right lung: caudal lobe",4,2,4,116.205002273761,37,155,276.091315706288,10995,10995,1277674,-116.26139154161,-73.8744884038199,167.593542519327,NA
"31","right lung: accessory lobe",5,2,5,106.790425109257,41,138,293.005741802159,5034,5034,537583,-95.2179181565356,-85.7679777512912,175.189312673818,NA
"21","left kidney",6,3,6,102.638983390034,50,151,168.318800247323,4997,4997,512887,-83.8447068240945,-88.8641184710826,115.604562737643,NA
"4","right kidney",7,4,7,100.391507856904,58,140,82.7987106836868,5982,5982,600542,-112.519725844199,-87.0264125710465,112.944332998997,NA
"12","stomach wall",8,5,8,105.800492105803,37,186,381.837358519213,9754,9754,1031978,-76.227291367644,-93.7588681566537,132.226061103137,NA
"10","stomach lumen",9,5,9,49.4030769230769,26,103,149.471677030397,4875,4875,240840,-73.5811282051282,-94.4028717948718,131.221538461538,NA
"15","medial lobe of liver",10,6,10,169.07336135642,34,255,835.922669769884,77793,77793,13152724,-105.115833044104,-110.666988032342,158.466057357346,NA
"51","left lobe of liver ",11,6,11,171.580988103182,36,235,1091.027457943,43457,43457,7456395,-77.6189106473065,-102.766320730837,144.526635524772,NA
"8","right lobe of liver",12,6,12,171.258918201427,45,242,949.131863466489,24108,24108,4128710,-122.531027044964,-87.0420607267297,137.103409656546,NA
"46","caudate lobe of liver",13,6,13,138.448934536379,46,182,452.842213033826,10418,10418,1442361,-106.884238817431,-93.6905356114417,130.784411595316,NA
"7","left adrenal",14,7,14,130.206976744186,89,166,274.415783631588,860,860,111978,-84.7511627906977,-77.2046511627907,127.161627906977,NA
"18","right adrenal",15,8,15,133.644415917843,61,167,319.555916721391,779,779,104109,-109.329910141207,-76.0834403080873,125.971758664955,NA
"45","rectum/hindgut",16,9,16,103.275515600212,74,137,127.745744112323,1891,1891,195294,-97.1142252776309,-128.452670544685,96.7815970386039,NA
"2","bladder",17,10,17,97.3145927036482,49,185,367.840271878556,4002,4002,389453,-100.934782608696,-127.740129935032,117.643178410795,NA
"29","heart: left ventricle",18,11,18,130.017481830682,90,162,69.1586334218211,5091,5091,661919,-95.1628363779218,-104.087605578472,189.898841092123,NA
"27","heart: right ventricle",19,11,19,136.677171827898,104,172,78.6166963852133,3649,3649,498735,-106.528912030693,-105.239517676076,192.663469443683,NA
"26","left thymic rudiment",20,12,20,121.313072439634,74,144,160.025237302249,1201,1201,145697,-97.9567027477102,-91.8051623646961,216.905079100749,NA
"24","right thymic rudiment",21,13,21,121.391031390135,79,143,182.50763942002,1115,1115,135351,-107.746188340807,-92.4636771300448,217.328251121076,NA
"42","brain: third ventricle",22,14,22,72.0021201413428,40,109,163.173262828555,1415,1415,101883,-103.137809187279,-128.720848056537,284.914487632509,NA
"1","brain: mesencephalic vesicle",23,14,23,50.3976395823877,34,91,146.660462077561,4406,4406,222052,-98.9639128461189,-93.0410803449841,309.674761688606,NA
"48","brain: fourth ventricle",24,14,24,63.5894090560246,36,108,197.326168019173,2606,2606,165714,-98.5011511895625,-85.7083653108212,285.037989255564,NA
"49","brain: cerebral aqueduct",25,14,25,75.7206823027718,41,101,195.210276456545,469,469,35513,-99.3560767590618,-89.9424307036247,295.371002132196,NA
"13","brain: left lateral ventricle",26,14,26,89.4091174751607,45,135,463.723753080344,1711,1711,152979,-90.406779661017,-142.898889538282,299.022209234366,NA
"50","brain: right lateral ventricle",27,14,27,79.9750724637681,38,133,387.380468744746,1725,1725,137957,-118.626086956522,-139.713623188406,300.089275362319,NA
"16","brain: right olfactory bulb",28,14,28,95.0138888888889,65,129,100.507044972013,1728,1728,164184,-116.58275462963,-161.649305555556,280.333333333333,NA
"40","brain: left olfacotory bulb",29,14,29,97.351209941138,61,132,127.577487082205,1529,1529,148850,-97.7743623283192,-163.323086984957,279.799869195553,NA
"14","brain: right thalamus ",30,14,30,97.2760892480675,56,161,120.183189975694,11384,11384,1107391,-110.390196767393,-126.198260716796,298.506148981026,NA
"37","brain: left thalamus",31,14,31,100.31160722732,57,171,106.858426281287,10571,10571,1060394,-94.5403462302526,-127.314066786491,298.274430044461,NA
"20","brain: right hypothamalus ",32,14,32,94.0425451331903,60,132,83.51220483461,7921,7921,744911,-111.756722636031,-124.626814796112,277.64815048605,NA
"19","brain: left hypothalmus",33,14,33,94.6147439085032,64,132,70.9870808619228,8044,8044,761081,-95.4702884137245,-126.279090004973,277.37941322725,NA
"32","brain: right septal area",34,14,34,90.2762573964497,66,119,92.7061175452659,2704,2704,244107,-110.202662721893,-146.766642011834,281.658653846154,NA
"41","brain: left septal area",35,14,35,91.5468992248062,65,127,91.4142400906553,2580,2580,236191,-100.466666666667,-147.676744186047,281.527131782946,NA
