"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,13.9717757021808,0,247,513.225940046908,20398736,20398736,0,0,0,0,NA
"27","left lung",1,1,1,118.380188197534,37,160,284.562332879666,13709,13709,1622874,-81.512291195565,-76.00364723904,173.201400539791,NA
"14","right lung: cranial lobe",2,2,2,121.536828806064,37,169,730.487492343067,7915,7915,961964,-120.48427037271,-73.7824384080859,183.36323436513,NA
"50","right lung: middle lobe",3,2,3,115.883868243243,40,168,604.127587652331,4736,4736,548826,-125.096494932432,-88.9543918918919,178.237964527027,NA
"33","right lung: caudal lobe",4,2,4,121.948060486522,33,175,638.00115324526,10647,10647,1298381,-115.93228139382,-73.7922419460881,162.226354841739,NA
"1","right lung: accessory lobe",5,2,5,108.144644750795,31,146,366.324427721672,4715,4715,509902,-94.3813361611877,-85.8765641569459,171.430540827147,NA
"24","left kidney",6,3,6,111.028822567457,64,138,115.77528849274,4892,4892,543153,-88.61345053148,-94.5748160261652,111.966067048242,NA
"43","right kidney",7,4,7,120.4200968523,57,170,269.165447314424,4130,4130,497335,-116.234382566586,-91.0675544794189,113.98813559322,NA
"17","stomach wall",8,5,8,110.585888402209,54,165,270.353683331226,10502,10502,1161373,-77.2799466768235,-95.6059798133689,128.456103599314,NA
"45","stomach lumen",9,5,9,50.5083952656207,28,103,120.137644582078,7266,7266,366994,-74.7416735480319,-96.4204514175612,126.796036333609,NA
"29","medial lobe of liver",10,6,10,167.453569977727,33,245,725.064870670598,71387,71387,11954008,-106.480619720677,-112.253029263031,157.560620281004,NA
"31","left lobe of liver ",11,6,11,162.435074661798,29,248,814.273315321519,42726,42726,6940201,-79.5319477601461,-105.645204325235,142.666549641904,NA
"30","right lobe of liver",12,6,12,180.635138446459,38,255,1134.68675777955,20405,20405,3685860,-124.544082332762,-90.6543494241607,135.112962509189,NA
"38","caudate lobe of liver",13,6,13,144.275710955711,47,218,381.994752210366,10725,10725,1547357,-109.189277389277,-97.7862937062937,130.02041958042,NA
"42","left adrenal",14,7,14,144.607784431138,84,186,524.616551005934,668,668,96598,-89.7589820359281,-81.9281437125749,122.946107784431,NA
"51","right adrenal",15,8,15,149.749536178108,80,200,638.080273948039,539,539,80715,-111.424860853432,-80.5398886827458,123.764378478664,NA
"26","rectum/hindgut",16,9,16,116.511924570161,77,157,189.753881033152,1803,1803,210071,-106.257903494176,-133.77592900721,99.0194120909595,NA
"40","bladder",17,10,17,102.260764974741,26,210,521.017163322276,4157,4157,425098,-105.096704354102,-130.848929516478,121.350012027905,NA
"37","heart: left ventricle",18,11,18,133.740712661107,95,192,150.853326051261,5276,5276,705616,-93.5517437452616,-104.093442001516,187.483510235027,NA
"35","heart: right ventricle",19,11,19,137.388479571333,99,185,112.470808608795,2986,2986,410242,-104.326523777629,-104.647689216343,189.749832551909,NA
"47","left thymic rudiment",20,12,20,117.974128233971,79,137,152.49144701507,889,889,104879,-97.3014623172104,-87.9977502812148,210.764904386952,NA
"48","right thymic rudiment",21,13,21,118.861224489796,79,139,173.043030164057,980,980,116484,-107.086734693878,-88.3622448979592,213.370408163265,NA
"6","brain: third ventricle",22,14,22,69.8519882179676,37,109,165.648673273259,1358,1358,94859,-106.472754050074,-123.236377025037,280.296023564065,NA
"28","brain: mesencephalic vesicle",23,14,23,57.4541128484024,30,104,299.597941676141,7355,7355,422575,-104.846498980286,-88.4609109449354,306.895717199184,NA
"16","brain: fourth ventricle",24,14,24,61.8556806550665,32,102,188.858004408564,2931,2931,181299,-103.196519959058,-78.9375639713408,278.313203684749,NA
"19","brain: cerebral aqueduct",25,14,25,75.8885793871866,38,98,143.700259903731,718,718,54488,-104.461002785515,-83.1880222841226,288.878830083565,NA
"8","brain: left lateral ventricle",26,14,26,82.6904221516114,38,132,429.043082610081,2203,2203,182167,-92.6168860644576,-136.035860190649,296.105764866092,NA
"7","brain: right lateral ventricle",27,14,27,82.8482088646023,35,135,581.692619815401,1647,1647,136451,-119.941105039466,-136.429265330905,296.134183363692,NA
"23","brain: right olfactory bulb",28,14,28,96.3699324324324,52,131,144.184763037685,1776,1776,171153,-116.554617117117,-155.927927927928,275.271959459459,NA
"10","brain: left olfacotory bulb",29,14,29,96.0270610446822,51,132,148.554053132921,1589,1589,152587,-97.8848332284456,-157.035242290749,276.471365638767,NA
"12","brain: right thalamus ",30,14,30,99.3726690787643,52,154,139.807569893357,10779,10779,1071138,-114.948047128676,-119.8089804249,292.895908711383,NA
"15","brain: left thalamus",31,14,31,96.1089592760181,55,161,105.318201921592,11050,11050,1062004,-98.7735746606335,-121.941357466063,294.190950226244,NA
"22","brain: right hypothamalus ",32,14,32,92.8480808080808,55,133,97.2279950365723,7425,7425,689397,-113.458585858586,-118.447811447811,272.108148148148,NA
"21","brain: left hypothalmus",33,14,33,93.6780931976433,58,134,87.2275527048523,7468,7468,699588,-97.5494108194965,-120.380423138725,273.426084627745,NA
"2","brain: right septal area",34,14,34,90.4900181488203,39,125,118.627623638015,2755,2755,249300,-111.368421052632,-141.031215970962,277.119056261343,NA
"3","brain: left septal area",35,14,35,90.4462450592885,48,125,98.8735426366403,2530,2530,228829,-101.698418972332,-141.662845849802,278.163636363636,NA
"44","brain: left neopallial cortex abd amygdala",36,14,36,104.479467726397,62,152,115.858312669038,16608,16608,1735195,-129.239342485549,-131.152276011561,290.896676300578,NA
"18","brain: right neopallial cortex and amygdala",37,14,37,102.606798110495,50,179,247.465204617723,19476,19476,1998370,-83.5549394126104,-130.259447525159,292.931864859314,NA
"5","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,110.34,82,143,93.2653000512899,5850,5850,645489,-128.590427350427,-131.315213675214,281.990769230769,NA
"4","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,105.110157367668,74,135,104.207144171261,5592,5592,587776,-84.0116237482117,-135.409155937053,285.997854077253,NA
"32","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,132.113079019074,54,163,95.2936991859431,13212,13212,1745478,-122.599227974569,-134.097941265516,295.282092037542,NA
"9","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,127.316411412579,91,193,206.878883964453,12863,12863,1637671,-90.5850890150043,-136.39407603203,298.044546373319,NA
"20","pons",42,15,42,96.4713490127491,61,144,119.935465099901,21727,21727,2096033,-105.292125005753,-93.687025360151,275.795599944769,NA
"11","left cerebellar primordium ",43,16,43,90.5907924011638,53,136,127.872404079285,5843,5843,529322,-89.1376005476639,-81.4785213075475,283.055622111929,NA
"13","right cerebellar primordium",44,17,44,98.7529366454843,59,134,134.590527295099,5193,5193,512824,-119.538417099942,-81.2035432312729,280.164067013287,NA
"25","midbrain",45,18,45,96.9776726759006,44,189,405.875514988801,32561,32561,3157690,-105.24197659777,-94.2150425355487,304.984398513559,NA
"41","medulla oblongata",46,19,46,100.164285714286,61,139,137.859353275082,15680,15680,1570576,-102.350446428571,-71.6357780612245,266.72806122449,NA
"36","spinal cord",47,20,47,109.896805390045,50,143,148.02567468022,43636,43636,4795457,-100.964776789807,-65.4969749747915,178.204235035292,NA
"34","vertebrae",48,21,48,86.2526952141058,59,114,44.5578638052223,9925,9925,856058,-103.014911838791,-87.3576826196473,157.12725440806,NA
"46","heart: left ventricle chamber",102,11,49,114.332307692308,67,136,122.154662867997,325,325,37158,-92.9723076923077,-103.972307692308,187.393846153846,NA
"49","heart: right ventricle chamber",103,11,50,128,113,142,37.9111111111111,136,136,17408,-106.779411764706,-107.610294117647,189.794117647059,NA
