"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"39","external",0,0,0,12.3437274109415,0,225,311.456780338754,20493882,20493882,0,0,0,0,NA
"43","left lung",1,1,1,97.0004623564768,32,136,319.624229132696,12977,12977,1258775,-82.3683439932188,-76.155120597981,176.450951683748,NA
"41","right lung: cranial lobe",2,2,2,97.8984591679507,30,140,455.888747818104,6490,6490,635361,-119.761171032357,-75.0685670261941,189.948844375963,NA
"3","right lung: middle lobe",3,2,3,93.9497288277013,32,134,291.439366711344,4794,4794,450395,-124.286608260325,-87.8262411347518,182.021276595745,NA
"23","right lung: caudal lobe",4,2,4,96.387725631769,30,137,376.223183345387,9695,9695,934479,-116.697782362042,-73.8570397111913,168.973078906653,NA
"50","right lung: accessory lobe",5,2,5,90.1799503273877,31,123,349.41182917549,4429,4429,399407,-94.6902235267555,-85.0946037480244,173.08783020998,NA
"46","left kidney",6,3,6,95.9266035299182,40,144,300.961888439979,4646,4646,445675,-91.0012914334912,-87.6366767111494,116.365690916918,NA
"49","right kidney",7,4,7,91.4432564246858,43,156,300.529753296147,5331,5331,487484,-120.432564246858,-86.0193209529169,118.81410617145,NA
"34","stomach wall",8,5,8,93.1989541240789,31,170,426.689997717377,8414,8414,784176,-79.4875207986689,-90.6672212978369,132.323983836463,NA
"44","stomach lumen",9,5,9,41.7608754390705,22,100,182.671182368534,3701,3701,154557,-76.6014590651175,-90.4412320994326,130.563631450959,NA
"28","medial lobe of liver",10,6,10,161.848809343898,25,255,1463.78039232772,46319,46319,7496675,-105.080226257044,-106.616593622488,159.773872492929,NA
"29","left lobe of liver ",11,6,11,169.550233936926,29,245,1999.86945838873,27999,27999,4747237,-80.8398871388264,-99.4077645630201,145.965463052252,NA
"31","right lobe of liver",12,6,12,160.21376302757,26,237,1670.52881411326,13529,13529,2167532,-125.09424199867,-85.3219011013379,140.590139699904,NA
"38","caudate lobe of liver",13,6,13,128.682181997291,30,175,632.472008834361,8121,8121,1045028,-110.352665927841,-91.600664942741,135.328161556459,NA
"5","left adrenal",14,7,14,129.633644859813,57,189,883.828079386747,535,535,69354,-91.4205607476636,-76.0710280373832,126.805607476636,NA
"25","right adrenal",15,8,15,124.467415730337,55,172,705.154904342544,445,445,55388,-114.552808988764,-76.3887640449438,130.132584269663,NA
"45","rectum/hindgut",16,9,16,92.4780150753769,58,136,231.140936849552,1592,1592,147225,-103.915201005025,-128.525125628141,104.318467336683,NA
"24","bladder",17,10,17,81.3291634089132,41,120,301.162999638827,3837,3837,312060,-102.90252801668,-128.26739640344,125.675006515507,NA
"37","heart: left ventricle",18,11,18,97.6946462715105,49,138,110.429785828189,5230,5230,510943,-91.4684512428298,-103.287571701721,187.92638623327,NA
"17","heart: right ventricle",19,11,19,93.5492319315034,40,136,183.970560493046,3971,3971,371484,-102.654243263662,-106.55023923445,191.167715940569,NA
"1","left thymic rudiment",20,12,20,105.158208955224,51,129,370.282713920438,1005,1005,105684,-96.0019900497512,-91.1412935323383,214.765174129353,NA
"19","right thymic rudiment",21,13,21,104.22482197355,52,128,342.718242712674,983,983,102453,-105.776195320448,-92.8921668362157,215.171922685656,NA
"13","brain: third ventricle",22,14,22,57.7361668003208,29,96,173.907061699282,1247,1247,71997,-105.720128307939,-124.400962309543,282.129911788292,NA
"40","brain: mesencephalic vesicle",23,14,23,40.2273127753304,26,74,104.874283170357,3405,3405,136974,-107.194419970631,-91.4375917767988,306.571218795888,NA
"8","brain: fourth ventricle",24,14,24,50.9244935543278,23,81,171.082274040953,2172,2172,110608,-104.834254143646,-83.164364640884,283.922651933702,NA
"20","brain: cerebral aqueduct",25,14,25,62.2174887892377,27,95,157.554839522346,446,446,27749,-106.067264573991,-87.3542600896861,293.713004484305,NA
"11","brain: left lateral ventricle",26,14,26,76.5437448896157,36,135,448.207372871035,1223,1223,93613,-92.3957481602616,-134.480784955029,294.941128372854,NA
"26","brain: right lateral ventricle",27,14,27,75.818345323741,27,133,528.841859365793,1112,1112,84310,-120.578237410072,-134.375,292.812050359712,NA
