"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"37","external",0,0,0,14.1971181080349,0,233,385.462367703783,20445874,20445874,0,0,0,0,NA
"6","left lung",1,1,1,117.005839280749,38,166,620.915334828079,10789,10789,1262376,-82.6546482528501,-75.0283622207804,175.810918528131,NA
"9","right lung: cranial lobe",2,2,2,99.557780230175,37,129,300.048655557496,6343,6343,631495,-118.988491250197,-73.092700614851,188.218035629828,NA
"4","right lung: middle lobe",3,2,3,97.3977913004282,35,128,320.51057221703,4437,4437,432154,-124.585080009015,-86.5463150777552,180.969348659004,NA
"8","right lung: caudal lobe",4,2,4,101.617521367521,37,130,243.012574140117,10764,10764,1093811,-117.1458565589,-72.3511705685619,166.110646599777,NA
"5","right lung: accessory lobe",5,2,5,96.788993152422,33,131,342.046281659771,3943,3943,381639,-95.7940654324119,-83.5133147349734,172.999746386001,NA
"41","left kidney",6,3,6,99.6098109810981,41,131,143.134236381098,4444,4444,442666,-89.8031053105311,-92.226597659766,115.778577857786,NA
"15","right kidney",7,4,7,93.0203887195122,57,120,93.0796299613139,5248,5248,488171,-117.324695121951,-88.0434451219512,116.959032012195,NA
"21","stomach wall",8,5,8,101.720500988794,44,175,304.104708769969,9102,9102,925860,-78.8100417490661,-93.8176225005493,130.655899802241,NA
"47","stomach lumen",9,5,9,45.5900066181337,25,92,86.9647586297758,6044,6044,275546,-76.3365320979484,-94.9169424222369,129.499669093316,NA
"3","medial lobe of liver",10,6,10,156.432957535416,38,255,529.371075906417,57389,57389,8977531,-108.045688198087,-108.989701859241,158.194636602833,NA
"1","left lobe of liver ",11,6,11,163.002351306578,33,220,577.513100683633,37426,37426,6100526,-80.2309089937477,-100.093624752846,146.199540426442,NA
"26","right lobe of liver",12,6,12,154.887105482747,34,232,597.010815953775,20373,20373,3155515,-124.664605114612,-86.7737201197664,138.448534825504,NA
"11","caudate lobe of liver",13,6,13,133.510163499779,54,176,439.169822666888,9052,9052,1208534,-108.784246575342,-93.8366106937693,134.130247459125,NA
"23","left adrenal",14,7,14,129.232974910394,67,172,509.428569590034,558,558,72112,-90.4444444444444,-80.2043010752688,125.575268817204,NA
"20","right adrenal",15,8,15,120.95719844358,53,154,366.672628393291,514,514,62172,-112.066147859922,-77.5214007782101,127.597276264591,NA
"46","rectum/hindgut",16,9,16,94.1752637749121,63,132,99.0443379069211,1706,1706,160663,-103.629542790152,-131.102579132474,102.5550996483,NA
"16","bladder",17,10,17,86.4813071895425,42,189,310.758084064867,3825,3825,330791,-104.247581699346,-128.762875816993,123.231111111111,NA
"36","heart: left ventricle",18,11,18,117.63204559848,80,195,180.792579281704,4737,4737,557223,-95.4122862571248,-102.742664133418,187.326366898881,NA
"34","heart: right ventricle",19,11,19,122.194805194805,82,192,201.215197723626,2849,2849,348133,-105.502281502282,-102.862758862759,189.641628641629,NA
"17","left thymic rudiment",20,12,20,107.162189054726,68,129,166.548369705258,1005,1005,107698,-96.8109452736318,-87.8298507462687,211.061691542289,NA
"51","right thymic rudiment",21,13,21,105.306910569106,70,124,147.476412012339,984,984,103622,-106.524390243902,-88.2073170731707,211.947154471545,NA
"32","brain: third ventricle",22,14,22,63.5844370860927,36,94,136.508191729262,1208,1208,76810,-104.425496688742,-123.442880794702,279.748344370861,NA
"19","brain: mesencephalic vesicle",23,14,23,44.3084190052792,26,81,122.999348222385,3599,3599,159466,-102.247013059183,-89.2233953876077,304.589330369547,NA
"25","brain: fourth ventricle",24,14,24,58.240065546907,27,96,169.071033438325,2441,2441,142164,-100.678410487505,-81.2179434657927,280.325276526014,NA
"49","brain: cerebral aqueduct",25,14,25,69.5614406779661,37,91,117.864582208788,472,472,32833,-102.468220338983,-85.656779661017,290.343220338983,NA
"44","brain: left lateral ventricle",26,14,26,89.0819383259912,42,131,412.51620787979,1135,1135,101108,-93.1198237885463,-137.387665198238,292.376211453744,NA
"39","brain: right lateral ventricle",27,14,27,78.8400974025974,36,126,309.526806814225,1232,1232,97131,-120.033279220779,-134.017857142857,292.083603896104,NA
"12","brain: right olfactory bulb",28,14,28,83.1910979228487,55,113,85.0109658366049,1685,1685,140177,-116.559643916914,-156.343620178042,273.513353115727,NA
"13","brain: left olfacotory bulb",29,14,29,85.2732958098812,53,120,104.850794575146,1599,1599,136352,-97.8011257035647,-157.427767354597,274.112570356473,NA
"7","brain: right thalamus ",30,14,30,83.9149013546686,51,141,114.621962872157,10999,10999,922980,-112.301209200836,-120.674334030366,291.808255295936,NA
"10","brain: left thalamus",31,14,31,88.9738398316127,55,143,94.5090389129957,9977,9977,887692,-96.48401323043,-121.602285256089,292.124486318533,NA
