"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"36","external",0,0,0,16.1458303260401,0,255,390.794537957743,20408718,20408718,0,0,0,0,NA
"47","left lung",1,1,1,112.371099112291,32,152,399.14243026722,10927,10927,1227879,-82.0042097556511,-74.0837375308868,185.275647478722,NA
"46","right lung: cranial lobe",2,2,2,106.206938211943,41,143,233.846518398737,5794,5794,615363,-119.482050396962,-74.0151881256472,198.258715913013,NA
"49","right lung: middle lobe",3,2,3,101.130425203789,42,176,273.254470753494,4539,4539,459031,-125.047587574356,-87.6109275170742,191.45428508482,NA
"43","right lung: caudal lobe",4,2,4,107.506967755061,40,176,270.776528251147,9831,9831,1056901,-117.815685077815,-71.3289594140983,177.286644288475,NA
"45","right lung: accessory lobe",5,2,5,95.8327014218009,41,123,175.766268595352,4220,4220,404414,-95.8132701421801,-82.7779620853081,182.881516587678,NA
"29","left kidney",6,3,6,99.9074406542988,43,150,274.787520443653,5013,5013,500836,-85.1348493915819,-82.0402952323958,124.810492718931,NA
"31","right kidney",7,4,7,97.6008684034736,62,129,96.3330675604319,5988,5988,584434,-113.463092852371,-80.4423847695391,121.704241816967,NA
"3","stomach wall",8,5,8,101.946652597022,36,159,328.660732520127,8529,8529,869503,-77.3362645093211,-87.9092507914175,139.279047954039,NA
"19","stomach lumen",9,5,9,47.6972541656888,25,101,143.576868045479,4261,4261,203238,-74.7601501994837,-88.0082140342643,138.034029570523,NA
"4","medial lobe of liver",10,6,10,155.346240928882,35,246,545.52042956212,68900,68900,10703356,-111.771552975327,-105.962844702467,163.974194484761,NA
"8","left lobe of liver ",11,6,11,154.999949655138,38,220,606.668848329749,39726,39726,6157528,-80.3830992297236,-98.6066052459347,152.165735286714,NA
"25","right lobe of liver",12,6,12,156.169439180178,37,241,647.765835385468,28494,28494,4449892,-125.070435881238,-82.5038604618516,143.014388994174,NA
"35","caudate lobe of liver",13,6,13,128.556985605419,54,200,226.432733397201,11810,11810,1518258,-108.889415749365,-89.0264182895851,137.823539373412,NA
"11","left adrenal",14,7,14,127.466666666667,81,186,479.10556361877,690,690,87952,-86.0420289855072,-71.0898550724638,136.804347826087,NA
"39","right adrenal",15,8,15,124.760997067449,52,167,375.750429547716,682,682,85087,-109.909090909091,-70.4853372434018,135.58211143695,NA
"30","rectum/hindgut",16,9,16,97.8991097922849,72,134,132.179838874518,1685,1685,164960,-98.973293768546,-121.102077151335,104.830860534125,NA
"28","bladder",17,10,17,83.3781274181068,43,140,245.48340175569,3877,3877,323257,-102.064998710343,-120.666752643797,126.377353623936,NA
"34","heart: left ventricle",18,11,18,120.260926573427,73,162,143.121847797012,4576,4576,550314,-94.176791958042,-102.63548951049,194.995847902098,NA
"22","heart: right ventricle",19,11,19,120.252903225806,59,186,188.254831839616,3100,3100,372784,-104.959032258065,-104.955161290323,198.084838709677,NA
"5","left thymic rudiment",20,12,20,110.01724137931,62,128,189.326563255588,928,928,102096,-97.7209051724138,-88.9202586206897,222.427801724138,NA
"7","right thymic rudiment",21,13,21,109.736183524505,75,133,164.701726964197,959,959,105237,-107.603753910323,-90.4098018769552,222.741397288843,NA
"41","brain: third ventricle",22,14,22,65.9471608832808,40,92,131.742272911744,1268,1268,83621,-104.610410094637,-126.22476340694,288.794952681388,NA
"51","brain: mesencephalic vesicle",23,14,23,47.7609841827768,28,88,138.458678287796,3983,3983,190232,-100.174993723324,-91.30856138589,313.790107958825,NA
"23","brain: fourth ventricle",24,14,24,59.0872401141459,30,94,155.162043481066,2453,2453,144941,-98.196086424786,-84.1789645332246,289.727680391358,NA
"24","brain: cerebral aqueduct",25,14,25,67.1977401129944,35,90,94.004221298369,531,531,35682,-99.6572504708098,-87.8474576271186,299.621468926554,NA
"13","brain: left lateral ventricle",26,14,26,87.7705179282868,44,125,398.259895664551,1255,1255,110152,-93.5665338645418,-141.484462151394,301.600796812749,NA
"17","brain: right lateral ventricle",27,14,27,81.176833976834,44,118,289.426974512601,1295,1295,105124,-120.345945945946,-136.977606177606,302.490347490348,NA
"27","brain: right olfactory bulb",28,14,28,86.5438047559449,61,119,87.2626384890947,1598,1598,138297,-118.875469336671,-158.590112640801,282.273466833542,NA
"37","brain: left olfacotory bulb",29,14,29,88.314850223072,62,122,96.0053979526797,1569,1569,138566,-100.518164435946,-160.97896749522,282.073295092416,NA
"1","brain: right thalamus ",30,14,30,87.027110561639,54,139,84.0173696950966,11324,11324,985495,-112.323737195337,-123.543977393147,302.086806782056,NA
"18","brain: left thalamus",31,14,31,90.1558527793588,49,149,87.2658129099249,10542,10542,950423,-96.4404287611459,-125.521438057295,301.632707266173,NA
"48","brain: right hypothamalus ",32,14,32,82.5018177096858,49,121,57.8747532206292,7702,7702,635429,-112.660737470787,-121.635029862373,281.471565827058,NA
"42","brain: left hypothalmus",33,14,33,84.1625931250817,59,133,46.6831025035816,7651,7651,643928,-96.7029146516795,-123.845902496406,280.801333159064,NA
"44","brain: right septal area",34,14,34,81.8122730573711,54,114,62.7300926882163,2754,2754,225311,-112.179012345679,-144.285766158315,284.656499636892,NA
"16","brain: left septal area",35,14,35,83.3464003015454,62,117,61.0108062303464,2653,2653,221118,-102.672446287222,-145.230305314738,284.534112325669,NA
"15","brain: left neopallial cortex abd amygdala",36,14,36,88.8223267225516,64,119,106.078638638633,19564,19564,1737720,-129.064301778777,-132.22996319771,299.488090370067,NA
"2","brain: right neopallial cortex and amygdala",37,14,37,93.404649859944,59,124,120.360032162117,17850,17850,1667273,-83.8806722689076,-136.600952380952,298.159495798319,NA
"20","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,92.0725311203319,65,119,90.8597782039199,6025,6025,554737,-128.406473029046,-134.370124481328,293.426556016597,NA
"40","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,98.0550345071669,74,124,78.0325458881892,5651,5651,554109,-84.9702707485401,-139.802689789418,291.935586621837,NA
"9","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,116.664996819338,79,141,72.0325750775247,12576,12576,1467179,-121.434080788804,-137.428355597964,304.152830788804,NA
"26","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,120.653059455712,87,142,49.1510962122925,11538,11538,1392095,-91.6003640145606,-140.62107817646,302.931010573756,NA
"10","pons",42,15,42,84.8763108485598,56,122,54.0745061184269,21837,21837,1853444,-100.441315198974,-98.1769473828823,286.252461418693,NA
"12","left cerebellar primordium ",43,16,43,87.2750495049505,57,136,86.0382167236327,5050,5050,440739,-84.3687128712871,-87.6336633663366,292.157623762376,NA
"38","right cerebellar primordium",44,17,44,80.0916239316239,46,141,108.729849473867,5850,5850,468536,-115.120854700855,-84.3682051282051,292.349572649573,NA
"14","midbrain",45,18,45,84.0256948774325,45,134,47.2526542698531,30473,30473,2560515,-101.382797886654,-98.589800807272,314.720080070882,NA
"21","medulla oblongata",46,19,46,82.8544621291881,57,113,73.8957008549234,16147,16147,1337851,-98.8206477983526,-75.9085278999195,278.83433455131,NA
"33","spinal cord",47,20,47,97.2733315145954,45,168,316.954033069882,40321,40321,3922158,-98.4144242454304,-60.583244463183,196.991914883063,NA
"32","vertebrae",48,21,48,76.6188917182006,55,112,37.6552691045056,16494,16494,1263752,-99.2669455559597,-78.8213895962168,150.772523341821,NA
"50","heart: left ventricle chamber",102,11,49,83,42,118,363.738489871087,544,544,45152,-94.6231617647059,-102.615808823529,195.799632352941,NA
"6","heart: right ventricle chamber",103,11,50,95.4901960784314,58,138,270.156399567701,255,255,24350,-105.654901960784,-106.341176470588,198.458823529412,NA
