"","Structure","Label","Organ_Masks","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
"35","external",0,0,0,14.5900130323806,0,238,584.203982139266,20350081,20350080,0,0,0,0,NA
"39","left lung",1,1,1,124.947846242998,30,175,427.951690628257,15531,15531,1940565,-81.3231601313502,-77.3914107269332,176.544523855515,NA
"36","right lung: cranial lobe",2,2,2,123.26412049489,44,157,352.66866625619,9295,9295,1145740,-121.047337278107,-74.7090909090909,187.672081764389,NA
"24","right lung: middle lobe",3,2,3,119.213375796178,48,161,412.18564503126,5966,5966,711227,-124.225276567214,-91.3980891719745,181.144653033859,NA
"42","right lung: caudal lobe",4,2,4,122.532426303855,43,162,348.93730358422,13230,13230,1621104,-117.469236583522,-71.8662131519274,165.640362811791,NA
"37","right lung: accessory lobe",5,2,5,118.247485857951,31,154,410.433633470648,6364,6364,752527,-95.343180389692,-86.7917976115651,172.745285983658,NA
"19","left kidney",6,3,6,112.951296021133,62,168,282.049311810804,6057,6057,684146,-86.1556876341423,-92.5114743272247,108.936272081889,NA
"28","right kidney",7,4,7,100.739231966788,49,161,102.885669683825,7708,7708,776498,-115.63894654904,-88.5207576543851,107.16683964712,NA
"8","stomach wall",8,5,8,115.511066943717,41,187,458.032697352673,11069,11069,1278592,-77.4683349896106,-91.3919053211672,127.79844611076,NA
"49","stomach lumen",9,5,9,58.7234678624813,34,109,173.221054955979,3345,3345,196430,-74.4911808669656,-92.2074738415546,126.179671150972,NA
"3","medial lobe of liver",10,6,10,172.53840803077,39,255,776.14091333504,73318,73318,12650171,-110.966011075043,-108.940614855833,153.575970430181,NA
"5","left lobe of liver ",11,6,11,178.759210908036,42,231,696.140650838768,41364,41364,7394196,-78.2336089353061,-101.105889178996,142.188182961029,NA
"6","right lobe of liver",12,6,12,166.007140916676,37,236,948.269606693754,25767,25767,4277506,-124.843831257034,-81.3510303877052,132.717739744635,NA
"27","caudate lobe of liver",13,6,13,142.826221224031,37,196,618.334928318292,14248,14248,2034988,-107.822852330152,-92.1876754632229,127.800182481752,NA
"47","left adrenal",14,7,14,143.79940564636,85,192,593.342142503362,673,673,96777,-87.1604754829123,-78.0787518573551,120.30014858841,NA
"45","right adrenal",15,8,15,142.316165951359,51,191,874.858348602792,699,699,99479,-110.294706723891,-76.3590844062947,119.273247496423,NA
"15","rectum/hindgut",16,9,16,108.895758814512,76,154,169.879721266953,1957,1957,213109,-100.647419519673,-137.710781808891,93.248339294839,NA
"50","bladder",17,10,17,110.091088241734,43,235,545.726698924975,4567,4567,502786,-103.580687541055,-134.313991679439,115.566236041165,NA
"9","heart: left ventricle",18,11,18,137.893634329876,98,173,100.234208859749,4917,4917,678023,-95.6495830791133,-104.693105552166,185.472035794183,NA
"41","heart: right ventricle",19,11,19,147.134944338854,78,204,203.035288610426,3683,3683,541898,-106.500678794461,-105.626934564214,188.236220472441,NA
"17","left thymic rudiment",20,12,20,126.226796407186,80,148,146.34777579672,1336,1336,168639,-98.372754491018,-92.3428143712575,212.008982035928,NA
"1","right thymic rudiment",21,13,21,126.825194621373,86,146,147.199591410396,1413,1413,179204,-109.457183297948,-91.9815994338287,214.684359518754,NA
"18","brain: third ventricle",22,14,22,79.5532994923858,44,118,178.830792806465,1379,1379,109704,-105.968817984046,-128.180565627266,286.187092095722,NA
"33","brain: mesencephalic vesicle",23,14,23,55.791104050834,34,93,189.425365756385,3777,3777,210723,-102.530050304474,-91.633571617686,311.868678845645,NA
"11","brain: fourth ventricle",24,14,24,71.2217459080281,37,109,187.605000615334,2566,2566,182755,-101.227591582229,-83.7747466874513,287.581060015588,NA
"23","brain: cerebral aqueduct",25,14,25,81.209375,43,112,132.049990219092,640,640,51974,-101.9796875,-87.6328125,298.51875,NA
"14","brain: left lateral ventricle",26,14,26,103.391085549964,48,142,436.802337741597,1391,1391,143817,-92.588066139468,-140.722501797268,299.516175413372,NA
"38","brain: right lateral ventricle",27,14,27,96.7746371275783,51,135,318.122720147275,1309,1309,126678,-121.779220779221,-137.90679908327,299.995416348358,NA
"43","brain: right olfactory bulb",28,14,28,97.0452099031216,66,127,97.3700605105743,1858,1858,180310,-118.880516684607,-163.001076426265,282.306243272336,NA
"13","brain: left olfacotory bulb",29,14,29,99.0398114195914,66,130,108.994221348068,1909,1909,189067,-99.634363541121,-164.671555788371,282.310110005238,NA
"40","brain: right thalamus ",30,14,30,106.215783391118,68,172,115.580445984944,12114,12114,1286698,-114.052501238237,-124.606653458808,299.255654614496,NA
"22","brain: left thalamus",31,14,31,109.22870498615,69,168,103.114514884131,11552,11552,1261810,-97.045966066482,-125.920966066482,299.049601800554,NA
"25","brain: right hypothamalus ",32,14,32,98.4484878288665,66,135,76.0673695315749,8134,8134,800780,-114.111876075732,-124.023850504057,278.186869928694,NA
"12","brain: left hypothalmus",33,14,33,101.50730189131,64,131,58.9503237860215,8354,8354,847992,-97.6049796504668,-125.874670816375,278.024419439789,NA
"21","brain: right septal area",34,14,34,96.5083333333333,56,121,88.1813243303327,3000,3000,289525,-112.562333333333,-147.299,283.208666666667,NA
"20","brain: left septal area",35,14,35,98.4055380301437,64,136,89.8828164442935,2853,2853,280751,-102.772870662461,-147.869610935857,283.338240448651,NA
"29","brain: left neopallial cortex abd amygdala",36,14,36,101.672085442224,75,142,94.6428213102479,23314,23314,2370383,-130.127176803637,-134.157544822853,298.548554516599,NA
"31","brain: right neopallial cortex and amygdala",37,14,37,107.878744714,65,140,94.9146056179185,22465,22465,2423496,-83.5196973069219,-137.11297574004,297.428043623414,NA
"48","brain: right striatum (caudate-putamen, globus pallidus)",38,14,38,109.408566221142,83,141,110.165723357912,6584,6584,720346,-129.867709599028,-136.498481166464,289.942588092345,NA
"4","brain: left striatum  (caudate-putamen, globus pallidus)",39,14,39,116.104858104858,88,156,102.149362219279,6237,6237,724146,-84.0917107583774,-140.760782427449,289.51595318262,NA
"32","brain: right ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",40,14,40,131.622728971963,88,170,106.239890114589,13375,13375,1760454,-123.244635514019,-137.918429906542,302.435962616822,NA
"30","brain: left ventricular zone, hippocampus, medial ganglionic eminence, lateral ganglionic ",41,14,41,136.429208201637,92,184,109.649774142012,12339,12339,1683400,-90.7287462517222,-140.459680687252,301.705729799822,NA
"26","pons",42,15,42,101.881946937961,59,153,81.11768596351,25065,25065,2553671,-103.257570317175,-98.2956712547377,283.369160183523,NA
"46","left cerebellar primordium ",43,16,43,99.2761720126895,68,147,115.866074115303,5674,5674,563293,-86.6600281988016,-86.8921395840677,290.172012689461,NA
"44","right cerebellar primordium",44,17,44,95.409333752357,62,145,108.734981231355,6364,6364,607185,-118.775769956003,-84.9047768698932,290.469044626021,NA
"34","midbrain",45,18,45,97.0841826645167,56,162,56.0939535891232,32869,32869,3191060,-103.260306063464,-99.0374821260154,312.859959232103,NA
"51","medulla oblongata",46,19,46,100.952004581901,65,137,98.8271825327702,17460,17460,1762622,-102.005040091638,-75.9887743413517,275.550229095074,NA
"10","spinal cord",47,20,47,104.614094157954,60,187,208.002985692943,50787,50787,5313036,-99.3440644259358,-63.6209463051568,183.206903341406,NA
"7","vertebrae",48,21,48,82.9607217107217,52,112,39.4468123401633,13468,13468,1117315,-99.6746361746362,-87.6949064449065,144.4752004752,NA
"16","heart: left ventricle chamber",102,11,49,107.287037037037,71,133,149.513706281688,432,432,46348,-95.037037037037,-106.796296296296,185.685185185185,NA
"2","heart: right ventricle chamber",103,11,50,139.993006993007,115,173,138.852063429529,143,143,20019,-107.41958041958,-107.286713286713,186.335664335664,NA
